Input,Options,Expected,Output (raw),Predicted
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Esel"" oder ""Jeans""? A:","['Esel', 'Jeans']",esel,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches wort kommt zuerst, ""esel"" oder ""jeans""? a:UTT_BOUNDARY esel? a:UTT_BOUNDARY", esel? a:
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Drache"" oder ""Igel""? A:","['Drache', 'Igel']",drache,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches wort kommt zuerst, ""drache"" oder ""igel""? a:UTT_BOUNDARY drache"" oder """," drache"" oder """
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Ameise"" oder ""Joghurt""? A:","['Ameise', 'Joghurt']",ameise,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches wort kommt zuerst, ""ameise"" oder ""joghurt""? a:UTT_BOUNDARY ameise läuft schnell durch den", ameise läuft schnell durch den
"F: In alphabetischer Reihenfolge, welches der Wörter ""Gold"" und ""Dose"" kommt zuerst? A:","['Gold', 'Dose']",dose,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches der wörter ""gold"" und ""dose"" kommt zuerst? a:UTT_BOUNDARY dose"" oder ""jacke"," dose"" oder ""jacke"
"Welches von den Wörtern ""Dorf"" und ""Kamm"", kommt alphabetisch zuerst? ","['Dorf', 'Kamm']",dorf,"UTT_BOUNDARY welches von den wörtern ""dorf"" und ""kamm"", kommt alphabetisch zuerst?UTT_BOUNDARY dorfdirektor,"," dorfdirektor,"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Insel"" oder ""Burg""? A:","['Insel', 'Burg']",burg,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches wort kommt zuerst, ""insel"" oder ""burg""? a:UTT_BOUNDARY burg? a:UTT_BOUNDARY", burg? a:
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Dialog"" oder ""Ideal""? A:","['Dialog', 'Ideal']",dialog,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches wort kommt zuerst, ""dialog"" oder ""ideal""? a:UTT_BOUNDARY dialog mit den zahlen 5", dialog mit den zahlen 5
"Welches von den Wörtern ""Jaguar"" und ""Clown"", kommt alphabetisch zuerst? ","['Jaguar', 'Clown']",clown,"UTT_BOUNDARY welches von den wörtern ""jaguar"" und ""clown"", kommt alphabetisch zuerst?UTT_BOUNDARY clownfisch?UTT_BOUNDARY", clownfisch?
"F: In alphabetischer Reihenfolge, welches der Wörter ""Glocke"" und ""Clown"" kommt zuerst? A:","['Glocke', 'Clown']",clown,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches der wörter ""glocke"" und ""clown"" kommt zuerst? a:UTT_BOUNDARY clownshafen"" kommt"," clownshafen"" kommt"
"Welches von den Wörtern ""Karte"" und ""Echo"", kommt alphabetisch zuerst? ","['Karte', 'Echo']",echo,"UTT_BOUNDARY welches von den wörtern ""karte"" und ""echo"", kommt alphabetisch zuerst?UTT_BOUNDARY echo ""gabel"":"," echo ""gabel"":"
