Input,Options,Expected,Predicted
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""jeans"" oder ""esel""? A:","['jeans', 'esel']",esel,"esel""? a:"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""igel"" oder ""drache""? A:","['igel', 'drache']",drache,"drache"" oder ""igel""? a:"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""ameise"" oder ""joghurt""? A:","['ameise', 'joghurt']",ameise,"ameise"" oder ""ameise""? a:"
"F: In alphabetischer Reihenfolge, welches der Woerter ""dose"" und ""gold"" kommt zuerst? A:","['dose', 'gold']",dose,"dose"" kommt zuerst? a:"
"Welches von den Woertern ""dorf"" und ""kamm"", kommt alphabetisch zuerst? ","['dorf', 'kamm']",dorf,dorf?
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""insel"" oder ""burg""? A:","['insel', 'burg']",burg,burger kommt zuerst? a:
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""ideal"" oder ""dialog""? A:","['ideal', 'dialog']",dialog,"dialog""? a:"
"Welches von den Woertern ""jaguar"" und ""clown"", kommt alphabetisch zuerst? ","['jaguar', 'clown']",clown,"clown""?"
"F: In alphabetischer Reihenfolge, welches der Woerter ""clown"" und ""glocke"" kommt zuerst? A:","['clown', 'glocke']",clown,"clown"" kommt zuerst? a:"
"Welches von den Woertern ""echo"" und ""karte"", kommt alphabetisch zuerst? ","['echo', 'karte']",echo,echo?
"Welches von den Woertern ""einkauf"" und ""kaffee"", kommt alphabetisch zuerst? ","['einkauf', 'kaffee']",einkauf,einkauf?
"F: In alphabetischer Reihenfolge, welches der Woerter ""ecke"" und ""garten"" kommt zuerst? A:","['ecke', 'garten']",ecke,"ecke"" kommt zuerst? a:"
"F: In alphabetischer Reihenfolge, welches der Woerter ""donner"" und ""hut"" kommt zuerst? A:","['donner', 'hut']",donner,donner?
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""jeans"" oder ""anker""? A:","['jeans', 'anker']",anker,"anker"" kommt zuerst? a:"
"Welches von den Woertern ""lampe"" und ""chip"", kommt alphabetisch zuerst? ","['lampe', 'chip']",chip,chip?
"F: In alphabetischer Reihenfolge, welches der Woerter ""herz"" und ""couch"" kommt zuerst? A:","['herz', 'couch']",couch,"couch"" kommt zuerst? a:"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""chor"" oder ""heft""? A:","['chor', 'heft']",chor,"chor"" oder ""chor""? a:"
"F: In alphabetischer Reihenfolge, welches der Woerter ""decke"" und ""gummi"" kommt zuerst? A:","['decke', 'gummi']",decke,"decke"" kommt zuerst? a:"
"Welches von den Woertern ""keks"" und ""erdbeere"", kommt alphabetisch zuerst? ","['keks', 'erdbeere']",erdbeere,"erdbeere""?"
"Welches von den Woertern ""karte"" und ""brot"", kommt alphabetisch zuerst? ","['karte', 'brot']",brot,brot?
"F: In alphabetischer Reihenfolge, welches der Woerter ""garten"" und ""eule"" kommt zuerst? A:","['garten', 'eule']",eule,"eule"" kommt zuerst? a:"
"F: In alphabetischer Reihenfolge, welches der Woerter ""brille"" und ""gans"" kommt zuerst? A:","['brille', 'gans']",brille,"brille"" kommt zuerst? a:"
"F: In alphabetischer Reihenfolge, welches der Woerter ""decke"" und ""herz"" kommt zuerst? A:","['decke', 'herz']",decke,"decke"" kommt zuerst? a:"
"Welches von den Woertern ""jasmin"" und ""energie"", kommt alphabetisch zuerst? ","['jasmin', 'energie']",energie,energierierierierierierie
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""eimer"" oder ""indigo""? A:","['eimer', 'indigo']",eimer,eimer?
"Welches von den Woertern ""leiter"" und ""drache"", kommt alphabetisch zuerst? ","['leiter', 'drache']",drache,drache?
"Welches von den Woertern ""brett"" und ""kuh"", kommt alphabetisch zuerst? ","['brett', 'kuh']",brett,brett?
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""brot"" oder ""iris""? A:","['brot', 'iris']",brot,"brot""? a:"
"F: In alphabetischer Reihenfolge, welches der Woerter ""chef"" und ""gans"" kommt zuerst? A:","['chef', 'gans']",chef,"chef"" kommt zuerst? a:"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""dose"" oder ""iris""? A:","['dose', 'iris']",dose,"dose""? a:"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""huegel"" oder ""boot""? A:","['huegel', 'boot']",boot,boot? a:
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""junge"" oder ""boot""? A:","['junge', 'boot']",boot,boot? a:
"F: In alphabetischer Reihenfolge, welches der Woerter ""dose"" und ""hemd"" kommt zuerst? A:","['dose', 'hemd']",dose,"dose"" kommt zuerst? a:"
"Welches von den Woertern ""eis"" und ""loeffel"", kommt alphabetisch zuerst? ","['eis', 'loeffel']",eis,eisenhower?
"F: In alphabetischer Reihenfolge, welches der Woerter ""brot"" und ""gans"" kommt zuerst? A:","['brot', 'gans']",brot,brot? a:
"F: In alphabetischer Reihenfolge, welches der Woerter ""hose"" und ""ball"" kommt zuerst? A:","['hose', 'ball']",ball,ballll? a:
"Welches von den Woertern ""einkauf"" und ""jaguar"", kommt alphabetisch zuerst? ","['einkauf', 'jaguar']",einkauf,einkauf?
"F: In alphabetischer Reihenfolge, welches der Woerter ""elch"" und ""gans"" kommt zuerst? A:","['elch', 'gans']",elch,"elches"" kommt zuerst? a:"
"F: In alphabetischer Reihenfolge, welches der Woerter ""clown"" und ""gans"" kommt zuerst? A:","['clown', 'gans']",clown,"clown"" kommt zuerst? a:"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""iglu"" oder ""drucker""? A:","['iglu', 'drucker']",drucker,"drucker"" oder ""iglu""? a:"
"F: In alphabetischer Reihenfolge, welches der Woerter ""glas"" und ""café"" kommt zuerst? A:","['glas', 'café']",café,cafe.
