Input,Options,Expected,Predicted
"Q: In the sentence ""John was lots more obnoxious than Fred"", what is the last word? A:","['john', 'was', 'lots', 'more', 'obnoxious', 'than', 'fred']",fred,lots
"Q: In the sentence ""A boy hit the ball"", what is the last word? A:","['a', 'boy', 'hit', 'the', 'ball']",ball,ball
"Q: In the sentence ""I remembered having kissed Mary"", what is the last word? A:","['i', 'remembered', 'having', 'kissed', 'mary']",mary,mary
"Q: What is the last word of the sentence ""I believe strongly that the world is round""? A:","['i', 'believe', 'strongly', 'that', 'the', 'world', 'is', 'round']",round,round
"Write the last word of the sentence ""John will see you"": ","['john', 'will', 'see', 'you']",you,see
"Q: In the sentence ""They gave the bicycle to me"", what is the last word? A:","['they', 'gave', 'the', 'bicycle', 'to', 'me']",me,me
"Q: In the sentence ""An owl hunts mice"", what is the last word? A:","['an', 'owl', 'hunts', 'mice']",mice,mice
"Write the last word of the sentence ""Helen wiped the wall"": ","['helen', 'wiped', 'the', 'wall']",wall,wiped
"Q: What is the last word of the sentence ""Elizabeth regretted that she had met Wickham""? A:","['elizabeth', 'regretted', 'that', 'she', 'had', 'met', 'wickham']",wickham,met
"Write the last word of the sentence ""I told the story to Daniel"": ","['i', 'told', 'the', 'story', 'to', 'daniel']",daniel,told
"Write the last word of the sentence ""Sonatas are easy to play on this violin"": ","['sonatas', 'are', 'easy', 'to', 'play', 'on', 'this', 'violin']",violin,play
"Q: What is the last word of the sentence ""Paula hit the fence""? A:","['paula', 'hit', 'the', 'fence']",fence,fence
"Q: What is the last word of the sentence ""The man killed the king with the knife""? A:","['the', 'man', 'killed', 'the', 'king', 'with', 'the', 'knife']",knife,knife
"Q: In the sentence ""The student knew the answers"", what is the last word? A:","['the', 'student', 'knew', 'the', 'answers']",answers,answers
"Write the last word of the sentence ""Celia brushed her hair"": ","['celia', 'brushed', 'her', 'hair']",hair,hair
"Q: What is the last word of the sentence ""I served leek soup to my guests""? A:","['i', 'served', 'leek', 'soup', 'to', 'my', 'guests']",guests,my
