Input,Options,Expected,Predicted
"Q: In an alphabetical order, which word comes first, ""blanket"" or ""diary""? A:","['blanket', 'diary']",blanket," diary"" or ""d"
"Q: In an alphabetical order, which word comes first, ""back"" or ""everything""? A:","['back', 'everything']",back," everything""? a:"
"Q: In an alphabetical order, which word comes first, ""guest"" or ""dressed""? A:","['guest', 'dressed']",dressed," dressed""? a:"
"Q: In an alphabetical order, which of the words ""policewoman"" and ""chef"" comes first? A:","['policewoman', 'chef']",chef," chef"" comes first?"
"Q: Of the words ""sandwich"" and ""various"", which word comes first alphabetically? A:","['sandwich', 'various']",sandwich, sandwich sandwich sandwich sandwich sandwich
"Q: In an alphabetical order, which word comes first, ""keyboard"" or ""health""? A:","['keyboard', 'health']",health," keyboard"" or """
"Q: In an alphabetical order, which word comes first, ""jam"" or ""granddaughter""? A:","['jam', 'granddaughter']",granddaughter," jam""? a:"
"Q: Of the words ""make"" and ""nature"", which word comes first alphabetically? A:","['make', 'nature']",make, nature:
"Q: In an alphabetical order, which of the words ""bat"" and ""highway"" comes first? A:","['bat', 'highway']",bat," highway"" comes first"
"Q: Of the words ""tour"" and ""across"", which word comes first alphabetically? A:","['tour', 'across']",across," across""? a:"
"Q: Of the words ""number"" and ""guide"", which word comes first alphabetically? A:","['number', 'guide']",guide," guide"" and ""s"
"Q: In an alphabetical order, which of the words ""call"" and ""computer"" comes first? A:","['call', 'computer']",call," caller"" comes first"
"Q: In an alphabetical order, which of the words ""coat"" and ""somebody"" comes first? A:","['coat', 'somebody']",coat," somebody"" comes first?"
"Q: In an alphabetical order, which word comes first, ""size"" or ""rap""? A:","['size', 'rap']",rap," rap""? a:"
"Q: Of the words ""paper"" and ""different"", which word comes first alphabetically? A:","['paper', 'different']",different, different word for different things
"Q: In an alphabetical order, which of the words ""nearly"" and ""sink"" comes first? A:","['nearly', 'sink']",nearly," nearly every word ""ne"
"Q: In an alphabetical order, which word comes first, ""advertisement"" or ""policewoman""? A:","['advertisement', 'policewoman']",advertisement, advice:
"Q: In an alphabetical order, which of the words ""why"" and ""race"" comes first? A:","['why', 'race']",race, why not?
"Q: Of the words ""more"" and ""pet"", which word comes first alphabetically? A:","['more', 'pet']",more, pet is a word that
"Q: Of the words ""insect"" and ""gate"", which word comes first alphabetically? A:","['insect', 'gate']",gate," gate""? a:"
"Q: In an alphabetical order, which of the words ""oh"" and ""in"" comes first? A:","['oh', 'in']",in," oh, yeah, yeah"
"Q: In an alphabetical order, which of the words ""hungry"" and ""low"" comes first? A:","['hungry', 'low']",hungry, hungry? hungry?
"Q: In an alphabetical order, which of the words ""expensive"" and ""yes"" comes first? A:","['expensive', 'yes']",expensive," expensive perfume"":"
"Q: Of the words ""a"" and ""comparative"", which word comes first alphabetically? A:","['a', 'comparative']",a, comparative linguistics is
"Q: In an alphabetical order, which word comes first, ""woman"" or ""try""? A:","['woman', 'try']",try," try"" or ""s"
"Q: Of the words ""grandchild"" and ""colleague"", which word comes first alphabetically? A:","['grandchild', 'colleague']",colleague, colleague:
"Q: Of the words ""listen"" and ""great"", which word comes first alphabetically? A:","['listen', 'great']",great, great idea!
"Q: In an alphabetical order, which word comes first, ""each"" or ""visit""? A:","['each', 'visit']",each, each word has more letters
"Q: In an alphabetical order, which of the words ""milk"" and ""what"" comes first? A:","['milk', 'what']",milk," milk"" comes first?"
"Q: In an alphabetical order, which word comes first, ""big"" or ""poor""? A:","['big', 'poor']",big, big brother:
"Q: In an alphabetical order, which word comes first, ""may"" or ""motorcycle""? A:","['may', 'motorcycle']",may," mayday""? a:"
"Q: In an alphabetical order, which word comes first, ""order"" or ""surprise""? A:","['order', 'surprise']",order," order of precedent""?"
"Q: In an alphabetical order, which of the words ""occupation"" and ""guy"" comes first? A:","['occupation', 'guy']",guy, guy asleep in the corner
"Q: Of the words ""subway"" and ""anyone"", which word comes first alphabetically? A:","['subway', 'anyone']",anyone, anyone who has a passport
"Q: In an alphabetical order, which of the words ""roast"" and ""many"" comes first? A:","['roast', 'many']",many, roast beef has a mel
"Q: In an alphabetical order, which of the words ""singular"" and ""dress"" comes first? A:","['singular', 'dress']",dress, dress singular:
"Q: Of the words ""school"" and ""world"", which word comes first alphabetically? A:","['school', 'world']",school, school:
"Q: In an alphabetical order, which of the words ""kid"" and ""sailing"" comes first? A:","['kid', 'sailing']",kid, kite flying is flying is
"Q: In an alphabetical order, which of the words ""information"" and ""disco"" comes first? A:","['information', 'disco']",disco, discography.
"Q: In an alphabetical order, which word comes first, ""information"" or ""disco""? A:","['information', 'disco']",disco, discography.
"Q: In an alphabetical order, which of the words ""final"" and ""hey"" comes first? A:","['final', 'hey']",final, final word:
"Q: In an alphabetical order, which of the words ""them"" and ""crazy"" comes first? A:","['them', 'crazy']",crazy," crazy""? a:"
"Q: In an alphabetical order, which of the words ""follow"" and ""bathroom"" comes first? A:","['follow', 'bathroom']",bathroom, bathroom bathroom bath
"Q: In an alphabetical order, which of the words ""easily"" and ""black"" comes first? A:","['easily', 'black']",black," blackmailer"" comes"
"Q: In an alphabetical order, which word comes first, ""himself"" or ""hot""? A:","['himself', 'hot']",himself," himself""? a:"
"Q: In an alphabetical order, which word comes first, ""short"" or ""invite""? A:","['short', 'invite']",invite," invite""? a:"
"Q: Of the words ""toothache"" and ""goal"", which word comes first alphabetically? A:","['toothache', 'goal']",goal, goalkeepers always win
"Q: In an alphabetical order, which of the words ""morning"" and ""ship"" comes first? A:","['morning', 'ship']",morning, shipyard projectiles are
"Q: Of the words ""health"" and ""worry"", which word comes first alphabetically? A:","['health', 'worry']",health, healthcare workers are usually
