Input,Options,Expected,Output (raw),Predicted
"F: Welches Wort ist kürzer, ""nach"" oder ""wertlos""? A:","['nach', 'wertlos']",nach,"UTT_BOUNDARY f: welches wort ist kürzer, ""nach"" oder ""wertlos""? a:UTT_BOUNDARY nach dem abi ein """," nach dem abi ein """
"F: Welches Wort ist kürzer, ""darüber"" oder ""man""? A:","['darüber', 'man']",man,"UTT_BOUNDARY f: welches wort ist kürzer, ""darüber"" oder ""man""? a:UTT_BOUNDARY man sich nicht mehr um", man sich nicht mehr um
"F: Welches Wort ist kürzer, ""solches"" oder ""mehr""? A:","['solches', 'mehr']",mehr,"UTT_BOUNDARY f: welches wort ist kürzer, ""solches"" oder ""mehr""? a:UTT_BOUNDARY mehr, weniger noch weniger"," mehr, weniger noch weniger"
"F: Welches Wort hat weniger Buchstaben, ""völlig"" oder ""in""? A:","['völlig', 'in']",in,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""völlig"" oder ""in""? a:UTT_BOUNDARY in der form, in"," in der form, in"
"Von den Wörtern ""lang"" und ""zwischen"", welches hat weniger Buchstaben? ","['lang', 'zwischen']",lang,"UTT_BOUNDARY von den wörtern ""lang"" und ""zwischen"", welches hat weniger buchstaben?UTT_BOUNDARY lang, lang, lang"," lang, lang, lang"
"F: Welches Wort ist kürzer, ""ist"" oder ""solches""? A:","['ist', 'solches']",ist,"UTT_BOUNDARY f: welches wort ist kürzer, ""ist"" oder ""solches""? a:UTT_BOUNDARY ist ein wort, das"," ist ein wort, das"
"F: Welches Wort ist kürzer, ""Abschied"" oder ""der""? A:","['Abschied', 'der']",der,"UTT_BOUNDARY f: welches wort ist kürzer, ""abschied"" oder ""der""? a:UTT_BOUNDARY der ist ja auch ein", der ist ja auch ein
"Von den Wörtern ""viel"" und ""gespürt"", welches hat weniger Buchstaben? ","['viel', 'gespürt']",viel,"UTT_BOUNDARY von den wörtern ""viel"" und ""gespürt"", welches hat weniger buchstaben?UTT_BOUNDARY viel mehr zeit, um"," viel mehr zeit, um"
"F: Welches Wort hat weniger Buchstaben, ""pulvrig"" oder ""da""? A:","['pulvrig', 'da']",da,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""pulvrig"" oder ""da""? a:UTT_BOUNDARY da? a:UTT_BOUNDARY", da? a:
"Von den Wörtern ""wurde"" und ""offensiv"", welches hat weniger Buchstaben? ","['wurde', 'offensiv']",wurde,"UTT_BOUNDARY von den wörtern ""wurde"" und ""offensiv"", welches hat weniger buchstaben?UTT_BOUNDARY wurde von den wörtern", wurde von den wörtern
"Von den Wörtern ""bedrohen"" und ""wenn"", welches hat weniger Buchstaben? ","['bedrohen', 'wenn']",wenn,"UTT_BOUNDARY von den wörtern ""bedrohen"" und ""wenn"", welches hat weniger buchstaben?UTT_BOUNDARY wenn man sich die frage", wenn man sich die frage
"F: Welches Wort hat weniger Buchstaben, ""jemand"" oder ""im""? A:","['jemand', 'im']",im,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""jemand"" oder ""im""? a:UTT_BOUNDARY im leben? a:", im leben? a:
"F: Welches Wort hat weniger Buchstaben, ""sollen"" oder ""das""? A:","['sollen', 'das']",das,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""sollen"" oder ""das""? a:UTT_BOUNDARY das ist das, was"," das ist das, was"
"F: Welches Wort ist kürzer, ""auch"" oder ""bestens""? A:","['auch', 'bestens']",auch,"UTT_BOUNDARY f: welches wort ist kürzer, ""auch"" oder ""bestens""? a:UTT_BOUNDARY auch nicht"" oder """," auch nicht"" oder """
"Von den Wörtern ""gemeinsam"" und ""diese"", welches hat weniger Buchstaben? ","['gemeinsam', 'diese']",diese,"UTT_BOUNDARY von den wörtern ""gemeinsam"" und ""diese"", welches hat weniger buchstaben?UTT_BOUNDARY diese ""völl"," diese ""völl"
"F: Welches Wort hat weniger Buchstaben, ""ehe"" oder ""einmal""? A:","['ehe', 'einmal']",ehe,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""ehe"" oder ""einmal""? a:UTT_BOUNDARY ehe"" oder ""ein"," ehe"" oder ""ein"
"F: Welches Wort ist kürzer, ""gespürt"" oder ""das""? A:","['gespürt', 'das']",das,"UTT_BOUNDARY f: welches wort ist kürzer, ""gespürt"" oder ""das""? a:UTT_BOUNDARY das ist das, was"," das ist das, was"
"F: Welches Wort hat weniger Buchstaben, ""so"" oder ""tüfteln""? A:","['so', 'tüfteln']",so,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""so"" oder ""tüfteln""? a:UTT_BOUNDARY so? a:UTT_BOUNDARY", so? a:
"Von den Wörtern ""würde"" und ""wirklich"", welches hat weniger Buchstaben? ","['würde', 'wirklich']",würde,"UTT_BOUNDARY von den wörtern ""würde"" und ""wirklich"", welches hat weniger buchstaben?UTT_BOUNDARY würde sich auch an den", würde sich auch an den
"Von den Wörtern ""geborene"" und ""haben"", welches hat weniger Buchstaben? ","['geborene', 'haben']",haben,"UTT_BOUNDARY von den wörtern ""geborene"" und ""haben"", welches hat weniger buchstaben?UTT_BOUNDARY haben sie sich auch in", haben sie sich auch in
"F: Welches Wort hat weniger Buchstaben, ""Anteil"" oder ""im""? A:","['Anteil', 'im']",im,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""anteil"" oder ""im""? a:UTT_BOUNDARY im leben? a:", im leben? a:
"F: Welches Wort hat weniger Buchstaben, ""ja"" oder ""sehen ""? A:","['ja', 'sehen ']",ja,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""ja"" oder ""sehen ""? a:UTT_BOUNDARY ja, ja, ja"," ja, ja, ja"
"F: Welches Wort hat weniger Buchstaben, ""Anteil"" oder ""nie""? A:","['Anteil', 'nie']",nie,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""anteil"" oder ""nie""? a:UTT_BOUNDARY niedlich? a:", niedlich? a:
"Von den Wörtern ""sehr"" und ""bestens"", welches hat weniger Buchstaben? ","['sehr', 'bestens']",sehr,"UTT_BOUNDARY von den wörtern ""sehr"" und ""bestens"", welches hat weniger buchstaben?UTT_BOUNDARY sehr viel mehr. """," sehr viel mehr. """
"F: Welches Wort ist kürzer, ""erzählt"" oder ""rot""? A:","['erzählt', 'rot']",rot,"UTT_BOUNDARY f: welches wort ist kürzer, ""erzählt"" oder ""rot""? a:UTT_BOUNDARY rot rot rot rot rot", rot rot rot rot rot
"Von den Wörtern ""Bedeutung"" und ""dabei"", welches hat weniger Buchstaben? ","['Bedeutung', 'dabei']",dabei,"UTT_BOUNDARY von den wörtern ""bedeutung"" und ""dabei"", welches hat weniger buchstaben?UTT_BOUNDARY dabei, ""darüber"," dabei, ""darüber"
"Von den Wörtern ""Abschied"" und ""daher"", welches hat weniger Buchstaben? ","['Abschied', 'daher']",daher,"UTT_BOUNDARY von den wörtern ""abschied"" und ""daher"", welches hat weniger buchstaben?UTT_BOUNDARY daher, wie es sich"," daher, wie es sich"
"F: Welches Wort ist kürzer, ""gezeigt"" oder ""all""? A:","['gezeigt', 'all']",all,"UTT_BOUNDARY f: welches wort ist kürzer, ""gezeigt"" oder ""all""? a:UTT_BOUNDARY all diese dinge, die"," all diese dinge, die"
"F: Welches Wort hat weniger Buchstaben, ""beenden"" oder ""am""? A:","['beenden', 'am']",am,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""beenden"" oder ""am""? a:UTT_BOUNDARY am anfang? a:", am anfang? a:
"F: Welches Wort ist kürzer, ""wertlos"" oder ""weg""? A:","['wertlos', 'weg']",weg,"UTT_BOUNDARY f: welches wort ist kürzer, ""wertlos"" oder ""weg""? a:UTT_BOUNDARY weg, weg, weg"," weg, weg, weg"
"F: Welches Wort ist kürzer, ""gedanke"" oder ""der""? A:","['gedanke', 'der']",der,"UTT_BOUNDARY f: welches wort ist kürzer, ""gedanke"" oder ""der""? a:UTT_BOUNDARY der ist ja auch ein", der ist ja auch ein
"F: Welches Wort ist kürzer, ""ehe"" oder ""namenlos""? A:","['ehe', 'namenlos']",ehe,"UTT_BOUNDARY f: welches wort ist kürzer, ""ehe"" oder ""namenlos""? a:UTT_BOUNDARY ehe"" oder ""ein"," ehe"" oder ""ein"
"F: Welches Wort hat weniger Buchstaben, ""besser"" oder ""mit""? A:","['besser', 'mit']",mit,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""besser"" oder ""mit""? a:UTT_BOUNDARY mit. mit. mit", mit. mit. mit
"Von den Wörtern ""daher"" und ""Polarität"", welches hat weniger Buchstaben? ","['daher', 'Polarität']",daher,"UTT_BOUNDARY von den wörtern ""daher"" und ""polarität"", welches hat weniger buchstaben?UTT_BOUNDARY daher, wie es sich"," daher, wie es sich"
"F: Welches Wort hat weniger Buchstaben, ""ja"" oder ""tragen""? A:","['ja', 'tragen']",ja,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""ja"" oder ""tragen""? a:UTT_BOUNDARY ja, das ist ja"," ja, das ist ja"
"F: Welches Wort hat weniger Buchstaben, ""tragen"" oder ""man""? A:","['tragen', 'man']",man,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""tragen"" oder ""man""? a:UTT_BOUNDARY man muss sich fragen:", man muss sich fragen:
"Von den Wörtern ""lang"" und ""beweise"", welches hat weniger Buchstaben? ","['lang', 'beweise']",lang,"UTT_BOUNDARY von den wörtern ""lang"" und ""beweise"", welches hat weniger buchstaben?UTT_BOUNDARY lang, lang, lang"," lang, lang, lang"
