Input,Options,Expected,Output (raw),Predicted
"Q: In an alphabetical order, which word comes first, ""blanket"" or ""diary""? A:","['blanket', 'diary']",blanket,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""blanket"" or ""diary""? a:UTT_BOUNDARY blanket""? a:UTT_BOUNDARY"," blanket""? a:"
"Q: In an alphabetical order, which word comes first, ""back"" or ""everything""? A:","['back', 'everything']",back,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""back"" or ""everything""? a:UTT_BOUNDARY backpack""? a:"," backpack""? a:"
"Q: In an alphabetical order, which word comes first, ""guest"" or ""dressed""? A:","['guest', 'dressed']",dressed,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""guest"" or ""dressed""? a:UTT_BOUNDARY dressed for ""det"," dressed for ""det"
"Q: In an alphabetical order, which of the words ""policewoman"" and ""chef"" comes first? A:","['policewoman', 'chef']",chef,"UTT_BOUNDARY q: in an alphabetical order, which of the words ""policewoman"" and ""chef"" comes first? a:UTT_BOUNDARY chef mary"", which word"," chef mary"", which word"
"Q: Of the words ""sandwich"" and ""various"", which word comes first alphabetically? A:","['sandwich', 'various']",sandwich,"UTT_BOUNDARY q: of the words ""sandwich"" and ""various"", which word comes first alphabetically? a:UTT_BOUNDARY sandwich"" or "" me"," sandwich"" or "" me"
"Q: In an alphabetical order, which word comes first, ""keyboard"" or ""health""? A:","['keyboard', 'health']",health,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""keyboard"" or ""health""? a:UTT_BOUNDARY health care""? a:"," health care""? a:"
"Q: In an alphabetical order, which word comes first, ""jam"" or ""granddaughter""? A:","['jam', 'granddaughter']",granddaughter,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""jam"" or ""granddaughter""? a:UTT_BOUNDARY jamalies""? a"," jamalies""? a"
"Q: Of the words ""make"" and ""nature"", which word comes first alphabetically? A:","['make', 'nature']",make,"UTT_BOUNDARY q: of the words ""make"" and ""nature"", which word comes first alphabetically? a:UTT_BOUNDARY make some people uncomfortable""?"," make some people uncomfortable""?"
"Q: In an alphabetical order, which of the words ""bat"" and ""highway"" comes first? A:","['bat', 'highway']",bat,"UTT_BOUNDARY q: in an alphabetical order, which of the words ""bat"" and ""highway"" comes first? a:UTT_BOUNDARY bathed watermelon"","," bathed watermelon"","
"Q: Of the words ""tour"" and ""across"", which word comes first alphabetically? A:","['tour', 'across']",across,"UTT_BOUNDARY q: of the words ""tour"" and ""across"", which word comes first alphabetically? a:UTT_BOUNDARY across the tablet and", across the tablet and
"Q: Of the words ""number"" and ""guide"", which word comes first alphabetically? A:","['number', 'guide']",guide,"UTT_BOUNDARY q: of the words ""number"" and ""guide"", which word comes first alphabetically? a:UTT_BOUNDARY guidebook which word comes", guidebook which word comes
"Q: In an alphabetical order, which of the words ""call"" and ""computer"" comes first? A:","['call', 'computer']",call,"UTT_BOUNDARY q: in an alphabetical order, which of the words ""call"" and ""computer"" comes first? a:UTT_BOUNDARY call the word ""ex"," call the word ""ex"
