Input,Expected,Predicted
"Q: In an alphabetical order, which word comes first, ""face"" or ""wild""? A:",face,face?
"Q: In an alphabetical order, which word comes first, ""oil"" or ""any""? A:",any,anyall?
"Q: In an alphabetical order, which word comes first, ""loud"" or ""yard""? A:",loud,"loud""? a:"
"Q: In an alphabetical order, which of the words ""your"" and ""grass"" comes first? A:",grass,grass?
"Q: Of the words ""some"" and ""cathedral"", which word comes first alphabetically? A:",cathedral,cathedral?
"Q: In an alphabetical order, which word comes first, ""chess"" or ""receptionist""? A:",chess,chess?
"Q: In an alphabetical order, which word comes first, ""business"" or ""occupation""? A:",business,businessman? a:
"Q: Of the words ""waiter"" and ""awful"", which word comes first alphabetically? A:",awful,"awful"" and ""awful""? a:"
"Q: In an alphabetical order, which of the words ""useful"" and ""available"" comes first? A:",available,available.
"Q: Of the words ""party"" and ""beginner"", which word comes first alphabetically? A:",beginner,"beginner"" and ""beginner""?"
"Q: Of the words ""cleaner"" and ""various"", which word comes first alphabetically? A:",cleaner,"cleaner"" and ""cleaner""? a"
"Q: In an alphabetical order, which of the words ""yes"" and ""kiss"" comes first? A:",kiss,kiss? a:
"Q: In an alphabetical order, which of the words ""various"" and ""indoor"" comes first? A:",indoor,indoor? a:
"Q: In an alphabetical order, which word comes first, ""excited"" or ""rice""? A:",excited,excited?
"Q: Of the words ""exciting"" and ""too"", which word comes first alphabetically? A:",exciting,exciting?
"Q: In an alphabetical order, which of the words ""earring"" and ""seat"" comes first? A:",earring,earring?
"Q: In an alphabetical order, which word comes first, ""zoo"" or ""grow""? A:",grow,grow? a:
"Q: In an alphabetical order, which of the words ""there"" and ""conversation"" comes first? A:",conversation,conversational order? a:
"Q: Of the words ""jazz"" and ""worst"", which word comes first alphabetically? A:",jazz,"jazz"" and ""jazz""? a:"
"Q: Of the words ""bedroom"" and ""various"", which word comes first alphabetically? A:",bedroom,"bedroom, various words? a"
"Q: In an alphabetical order, which of the words ""play"" and ""comparative"" comes first? A:",comparative,comparative? a:
"Q: In an alphabetical order, which of the words ""walking"" and ""invite"" comes first? A:",invite,invite? a:
"Q: In an alphabetical order, which of the words ""worry"" and ""close"" comes first? A:",close,closed?
"Q: Of the words ""degree"" and ""time"", which word comes first alphabetically? A:",degree,degree?
"Q: In an alphabetical order, which word comes first, ""will"" or ""example""? A:",example,example?
"Q: Of the words ""into"" and ""yellow"", which word comes first alphabetically? A:",into,"into ""yellow""? a:"
"Q: Of the words ""with"" and ""grandma"", which word comes first alphabetically? A:",grandma,"grandma"" and ""grandma""? a"
"Q: In an alphabetical order, which word comes first, ""guy"" or ""today""? A:",guy,guy? a:
"Q: In an alphabetical order, which of the words ""however"" and ""yeah"" comes first? A:",however,"however"" comes first? a:"
"Q: In an alphabetical order, which word comes first, ""birth"" or ""project""? A:",birth,birthday order?
"Q: In an alphabetical order, which word comes first, ""zoo"" or ""minus""? A:",minus,minus?
"Q: In an alphabetical order, which word comes first, ""upstairs"" or ""high""? A:",high,high? a:
"Q: In an alphabetical order, which of the words ""unhappy"" and ""dream"" comes first? A:",dream,dream? a:
"Q: Of the words ""mouth"" and ""zoo"", which word comes first alphabetically? A:",mouth,"mouth"" and ""mouth""? a:"
"Q: In an alphabetical order, which of the words ""vegetable"" and ""it"" comes first? A:",it,it comes first? a:
"Q: In an alphabetical order, which of the words ""zoo"" and ""hate"" comes first? A:",hate,"hate"" comes first? a:"
"Q: Of the words ""brown"" and ""travel"", which word comes first alphabetically? A:",brown,"brown, brown, brown, brow"
"Q: In an alphabetical order, which of the words ""dirty"" and ""quiz"" comes first? A:",dirty,"dirty"" and ""dirty""? a:"
"Q: In an alphabetical order, which of the words ""quickly"" and ""bar"" comes first? A:",bar,bar? a:
"Q: In an alphabetical order, which word comes first, ""quickly"" or ""bar""? A:",bar,bar? a:
"Q: In an alphabetical order, which of the words ""zoo"" and ""jam"" comes first? A:",jam,jam? a:
"Q: In an alphabetical order, which of the words ""cook"" and ""question"" comes first? A:",cook,cook? a:
"Q: In an alphabetical order, which of the words ""diary"" and ""restroom"" comes first? A:",diary,"diary"" and ""diary""? a:"
"Q: In an alphabetical order, which of the words ""interesting"" and ""wood"" comes first? A:",interesting,interesting?
"Q: In an alphabetical order, which word comes first, ""entrance"" or ""ruler""? A:",entrance,entrance?
"Q: In an alphabetical order, which word comes first, ""visitor"" or ""identification""? A:",identification,identification?
"Q: Of the words ""discount"" and ""queen"", which word comes first alphabetically? A:",discount,discount comes first alph
"Q: In an alphabetical order, which of the words ""expensive"" and ""useful"" comes first? A:",expensive,expensive?
"Q: Of the words ""crowd"" and ""sing"", which word comes first alphabetically? A:",crowd,"crowd, crowd, crowd""? a:"
"Q: In an alphabetical order, which word comes first, ""test"" or ""address""? A:",address,address?
"Q: In an alphabetical order, which word comes first, ""lucky"" or ""you""? A:",lucky,lucky?
"Q: Of the words ""fit"" and ""zoo"", which word comes first alphabetically? A:",fit,"fit"" and ""fit""? a:"
"Q: In an alphabetical order, which of the words ""between"" and ""tree"" comes first? A:",between,between an alphabetical o
"Q: Of the words ""quite"" and ""die"", which word comes first alphabetically? A:",die,"die"" and ""die""? a:"
"Q: In an alphabetical order, which of the words ""queen"" and ""airport"" comes first? A:",airport,airport?
"Q: Of the words ""visitor"" and ""invitation"", which word comes first alphabetically? A:",invitation,invitation?
"Q: In an alphabetical order, which word comes first, ""cathedral"" or ""plan""? A:",cathedral,cathedral?
"Q: In an alphabetical order, which of the words ""businesswoman"" and ""zoo"" comes first? A:",businesswoman,businesswoman? a:
"Q: Of the words ""ear"" and ""zoo"", which word comes first alphabetically? A:",ear,ear+ace-
"Q: In an alphabetical order, which word comes first, ""you"" or ""aunt""? A:",aunt,"aunt, aunt, aunt, aunt, a"
"Q: In an alphabetical order, which of the words ""boat"" and ""university"" comes first? A:",boat,boat? a:
"Q: In an alphabetical order, which of the words ""wooden"" and ""job"" comes first? A:",job,job?
"Q: In an alphabetical order, which of the words ""vacation"" and ""finally"" comes first? A:",finally,"finally, finally, ""vacati"
"Q: In an alphabetical order, which of the words ""yard"" and ""invite"" comes first? A:",invite,"invite"" comes first? a:"
"Q: In an alphabetical order, which of the words ""a"" and ""nationality"" comes first? A:",a,alphabetical order? a:
"Q: In an alphabetical order, which word comes first, ""boot"" or ""weekend""? A:",boot,boot? a:
"Q: In an alphabetical order, which word comes first, ""kick"" or ""you""? A:",kick,"kick""? a:"
"Q: In an alphabetical order, which word comes first, ""ad"" or ""negative""? A:",ad,adamson negative? adamson
"Q: In an alphabetical order, which word comes first, ""ceiling"" or ""question""? A:",ceiling,ceiling?
"Q: In an alphabetical order, which of the words ""visitor"" and ""flight"" comes first? A:",flight,"flight, flight, flight"" c"
"Q: In an alphabetical order, which word comes first, ""table"" or ""comfortable""? A:",comfortable,"comfortable""? a:"
"Q: Of the words ""zoo"" and ""interesting"", which word comes first alphabetically? A:",interesting,interesting.
"Q: Of the words ""examination"" and ""themselves"", which word comes first alphabetically? A:",examination,examination?
"Q: In an alphabetical order, which word comes first, ""dangerous"" or ""quick""? A:",dangerous,"dangerous""? a:"
"Q: In an alphabetical order, which of the words ""tall"" and ""field"" comes first? A:",field,"field"" comes first? a:"
"Q: In an alphabetical order, which of the words ""plane"" and ""art"" comes first? A:",art,art?
"Q: Of the words ""pull"" and ""at"", which word comes first alphabetically? A:",at,"at&amp;t""? a:"
"Q: Of the words ""kill"" and ""you"", which word comes first alphabetically? A:",kill,"kill"" and ""you""? a:"
"Q: Of the words ""various"" and ""fill"", which word comes first alphabetically? A:",fill,"fill, fill, fill, fill, f"
"Q: Of the words ""zoo"" and ""favorite"", which word comes first alphabetically? A:",favorite,favoritely?
"Q: In an alphabetical order, which word comes first, ""vacation"" or ""finally""? A:",finally,"finally""? a:"
"Q: In an alphabetical order, which word comes first, ""door"" or ""run""? A:",door,"door, door, door, door""? "
"Q: In an alphabetical order, which of the words ""gift"" and ""zoo"" comes first? A:",gift,gift? a:
"Q: In an alphabetical order, which word comes first, ""give"" or ""window""? A:",give,"give"" or ""give""? a:"
"Q: Of the words ""you"" and ""aunt"", which word comes first alphabetically? A:",aunt,"aunt"" and ""aunt""? a:"
"Q: In an alphabetical order, which of the words ""brown"" and ""travel"" comes first? A:",brown,"brown, brown, brown, brow"
"Q: Of the words ""he"" and ""up"", which word comes first alphabetically? A:",he,"he"" and ""up""? a:"
"Q: In an alphabetical order, which word comes first, ""flower"" or ""umbrella""? A:",flower,flower? a:
"Q: Of the words ""cap"" and ""refrigerator"", which word comes first alphabetically? A:",cap,"cap"" and ""cap""? a:"
"Q: Of the words ""violin"" and ""housewife"", which word comes first alphabetically? A:",housewife,"housewife""? a:"
"Q: In an alphabetical order, which of the words ""bath"" and ""water"" comes first? A:",bath,bath? a:
"Q: In an alphabetical order, which word comes first, ""blond"" or ""worry""? A:",blond,"blond""? a:"
"Q: Of the words ""bridge"" and ""often"", which word comes first alphabetically? A:",bridge,bridge?
"Q: In an alphabetical order, which word comes first, ""until"" or ""describe""? A:",describe,describe?
"Q: In an alphabetical order, which word comes first, ""worry"" or ""hall""? A:",hall,hall?
"Q: In an alphabetical order, which of the words ""theater"" and ""exciting"" comes first? A:",exciting,exciting?
"Q: Of the words ""ear"" and ""yogurt"", which word comes first alphabetically? A:",ear,"ear"" and ""ear""? a:"
"Q: Of the words ""vegetable"" and ""it"", which word comes first alphabetically? A:",it,it:
"Q: In an alphabetical order, which of the words ""upset"" and ""file"" comes first? A:",file,"file, file, file, file, f"
"Q: In an alphabetical order, which word comes first, ""sky"" or ""except""? A:",except,"except for ""except""? a:"
"Q: Of the words ""juice"" and ""week"", which word comes first alphabetically? A:",juice,"juice"" and ""week""? a:"
"Q: In an alphabetical order, which of the words ""zoo"" and ""enter"" comes first? A:",enter,enterprise?
"Q: In an alphabetical order, which of the words ""chef"" and ""weekend"" comes first? A:",chef,"chef, chef, chef, chef, c"
"Q: In an alphabetical order, which word comes first, ""activity"" or ""quickly""? A:",activity,activity?
"Q: In an alphabetical order, which word comes first, ""ride"" or ""earring""? A:",earring,earring?
"Q: In an alphabetical order, which of the words ""view"" and ""adverb"" comes first? A:",adverb,adverb?
"Q: In an alphabetical order, which word comes first, ""instead"" or ""vacation""? A:",instead,"instead of ""instead""? a:"
"Q: In an alphabetical order, which of the words ""who"" and ""across"" comes first? A:",across,"across, across, across, a"
"Q: In an alphabetical order, which of the words ""juice"" and ""yours"" comes first? A:",juice,"juice"" comes first? a:"
"Q: In an alphabetical order, which word comes first, ""luggage"" or ""zoo""? A:",luggage,luggageageageageageageage
"Q: Of the words ""queen"" and ""bed"", which word comes first alphabetically? A:",bed,"bed, queen""? a:"
"Q: In an alphabetical order, which of the words ""find"" and ""unusual"" comes first? A:",find,"find"" comes first? a:"
"Q: Of the words ""each"" and ""run"", which word comes first alphabetically? A:",each,"each of the words ""each"" "
"Q: Of the words ""zoo"" and ""enter"", which word comes first alphabetically? A:",enter,"enterprise"" and ""enterpri"
"Q: In an alphabetical order, which of the words ""eye"" and ""they"" comes first? A:",eye,"eye"" comes first? a:"
"Q: Of the words ""zoo"" and ""library"", which word comes first alphabetically? A:",library,"library""? a:"
"Q: In an alphabetical order, which of the words ""bake"" and ""zoo"" comes first? A:",bake,baked cookies? a:
"Q: In an alphabetical order, which of the words ""rugby"" and ""desert"" comes first? A:",desert,"desert, desert, desert""? "
"Q: In an alphabetical order, which word comes first, ""various"" or ""fill""? A:",fill,fill?
"Q: In an alphabetical order, which word comes first, ""bookstore"" or ""quiet""? A:",bookstore,bookstore?
"Q: Of the words ""old"" and ""anything"", which word comes first alphabetically? A:",anything,"anything"" and ""anything""?"
"Q: In an alphabetical order, which word comes first, ""apple"" or ""sleep""? A:",apple,apple?
"Q: In an alphabetical order, which of the words ""play"" and ""comic"" comes first? A:",comic,comic order? a:
"Q: In an alphabetical order, which word comes first, ""sell"" or ""full""? A:",full,full-length order? a:
"Q: In an alphabetical order, which word comes first, ""difference"" or ""yet""? A:",difference,"difference""? a:"
"Q: Of the words ""upset"" and ""file"", which word comes first alphabetically? A:",file,"file, file, file, file""? "
"Q: In an alphabetical order, which word comes first, ""zoo"" or ""backpack""? A:",backpack,backpack? a:
"Q: In an alphabetical order, which of the words ""oil"" and ""body"" comes first? A:",body,"body"" comes first? a:"
"Q: In an alphabetical order, which of the words ""fantastic"" and ""upstairs"" comes first? A:",fantastic,"fantastic"" comes first? a"
"Q: In an alphabetical order, which of the words ""up"" and ""gram"" comes first? A:",gram,gram? a:
"Q: Of the words ""dry"" and ""teacher"", which word comes first alphabetically? A:",dry,"dry, dry, dry, dry, dry, "
"Q: In an alphabetical order, which word comes first, ""language"" or ""yogurt""? A:",language,language(again)? a:
"Q: In an alphabetical order, which word comes first, ""neck"" or ""armchair""? A:",armchair,armchair?
"Q: In an alphabetical order, which word comes first, ""win"" or ""jeans""? A:",jeans,jeans?
"Q: In an alphabetical order, which of the words ""watch"" and ""climb"" comes first? A:",climb,"climb, climb, climb, clim"
"Q: In an alphabetical order, which of the words ""yeah"" and ""kilometer"" comes first? A:",kilometer,"kilometer"" comes first? a"
"Q: In an alphabetical order, which of the words ""knife"" and ""yard"" comes first? A:",knife,"knife, knife, knife, knif"
"Q: In an alphabetical order, which word comes first, ""far"" or ""these""? A:",far,far?
"Q: In an alphabetical order, which word comes first, ""slim"" or ""ad""? A:",ad,adams adams adams adams a
"Q: Of the words ""jewelry"" and ""why"", which word comes first alphabetically? A:",jewelry,jewelry?
"Q: Of the words ""jeans"" and ""walking"", which word comes first alphabetically? A:",jeans,jeans?
"Q: In an alphabetical order, which word comes first, ""early"" or ""receipt""? A:",early,early?
"Q: Of the words ""zoo"" and ""manager"", which word comes first alphabetically? A:",manager,manager?
