Input,Options,Expected,Predicted
"F: Mit welchem Buchstaben beginnt das Wort ""Parkscheibe""? A:","['p', 'a', 'r', 'k', 's', 'c', 'h', 'e', 'i', 'b', 'e']",p,a
"F: Mit welchem Buchstaben beginnt das Wort ""elastisch""? A:","['e', 'l', 'a', 's', 't', 'i', 's', 'c', 'h']",e,a
"F: Mit welchem Buchstaben beginnt das Wort ""Zug""? A:","['z', 'u', 'g']",z,g
"F: Was ist der erste Buchstabe des Wortes ""Schaf""? A:","['s', 'c', 'h', 'a', 'f']",s,a
"Schreibe den ersten Buchstaben des Wortes ""Bäckerei"": ","['b', 'ä', 'c', 'k', 'e', 'r', 'e', 'i']",b,b
"F: Mit welchem Buchstaben beginnt das Wort ""Flasche""? A:","['f', 'l', 'a', 's', 'c', 'h', 'e']",f,a
"F: Mit welchem Buchstaben beginnt das Wort ""Goldfisch""? A:","['g', 'o', 'l', 'd', 'f', 'i', 's', 'c', 'h']",g,g
"Schreibe den ersten Buchstaben des Wortes ""ausgraben"": ","['a', 'u', 's', 'g', 'r', 'a', 'b', 'e', 'n']",a,r
"F: Was ist der erste Buchstabe des Wortes ""Kunst""? A:","['k', 'u', 'n', 's', 't']",k,n
"Schreibe den ersten Buchstaben des Wortes ""menschlich"": ","['m', 'e', 'n', 's', 'c', 'h', 'l', 'i', 'c', 'h']",m,n
"Schreibe den ersten Buchstaben des Wortes ""Punktestand"": ","['p', 'u', 'n', 'k', 't', 'e', 's', 't', 'a', 'n', 'd']",p,a
"F: Was ist der erste Buchstabe des Wortes ""Haus""? A:","['h', 'a', 'u', 's']",h,a
"F: Was ist der erste Buchstabe des Wortes ""rennen""? A:","['r', 'e', 'n', 'n', 'e', 'n']",r,r
"F: Mit welchem Buchstaben beginnt das Wort ""lesen""? A:","['l', 'e', 's', 'e', 'n']",l,n
"Schreibe den ersten Buchstaben des Wortes ""Hof"": ","['h', 'o', 'f']",h,o
"F: Was ist der erste Buchstabe des Wortes ""berühren""? A:","['b', 'e', 'r', 'ü', 'h', 'r', 'e', 'n']",b,r
"F: Mit welchem Buchstaben beginnt das Wort ""Entwicklungshilfe""? A:","['e', 'n', 't', 'w', 'i', 'c', 'k', 'l', 'u', 'n', 'g', 's', 'h', 'i', 'l', 'f', 'e']",e,g
"F: Was ist der erste Buchstabe des Wortes ""Nudelholz""? A:","['n', 'u', 'd', 'e', 'l', 'h', 'o', 'l', 'z']",n,n
"Schreibe den ersten Buchstaben des Wortes ""Essen"": ","['e', 's', 's', 'e', 'n']",e,n
"Schreibe den ersten Buchstaben des Wortes ""bezaubernd"": ","['b', 'e', 'z', 'a', 'u', 'b', 'e', 'r', 'n', 'd']",b,a
"F: Was ist der erste Buchstabe des Wortes ""Hand""? A:","['h', 'a', 'n', 'd']",h,a
"F: Was ist der erste Buchstabe des Wortes ""treffen""? A:","['t', 'r', 'e', 'f', 'f', 'e', 'n']",t,n
"F: Was ist der erste Buchstabe des Wortes ""warm""? A:","['w', 'a', 'r', 'm']",w,r
"Schreibe den ersten Buchstaben des Wortes ""Löffel"": ","['l', 'ö', 'f', 'f', 'e', 'l']",l,e
"F: Mit welchem Buchstaben beginnt das Wort ""Feuerwehrmann""? A:","['f', 'e', 'u', 'e', 'r', 'w', 'e', 'h', 'r', 'm', 'a', 'n', 'n']",f,r
"Schreibe den ersten Buchstaben des Wortes ""Trick"": ","['t', 'r', 'i', 'c', 'k']",t,k
"Schreibe den ersten Buchstaben des Wortes ""Abnahme"": ","['a', 'b', 'n', 'a', 'h', 'm', 'e']",a,a
"F: Mit welchem Buchstaben beginnt das Wort ""unverwüstlich""? A:","['u', 'n', 'v', 'e', 'r', 'w', 'ü', 's', 't', 'l', 'i', 'c', 'h']",u,n
"F: Was ist der erste Buchstabe des Wortes ""schwach""? A:","['s', 'c', 'h', 'w', 'a', 'c', 'h']",s,a
"F: Mit welchem Buchstaben beginnt das Wort ""glücklich""? A:","['g', 'l', 'ü', 'c', 'k', 'l', 'i', 'c', 'h']",g,k
"F: Mit welchem Buchstaben beginnt das Wort ""verabschieden""? A:","['v', 'e', 'r', 'a', 'b', 's', 'c', 'h', 'i', 'e', 'd', 'e', 'n']",v,a
"F: Mit welchem Buchstaben beginnt das Wort ""unterscheidbar""? A:","['u', 'n', 't', 'e', 'r', 's', 'c', 'h', 'e', 'i', 'd', 'b', 'a', 'r']",u,r
"F: Was ist der erste Buchstabe des Wortes ""Strom""? A:","['s', 't', 'r', 'o', 'm']",s,r
"Schreibe den ersten Buchstaben des Wortes ""zartbitter"": ","['z', 'a', 'r', 't', 'b', 'i', 't', 't', 'e', 'r']",z,a
"F: Was ist der erste Buchstabe des Wortes ""Bord""? A:","['b', 'o', 'r', 'd']",b,r
"F: Was ist der erste Buchstabe des Wortes ""Kälte""? A:","['k', 'ä', 'l', 't', 'e']",k,k
"Schreibe den ersten Buchstaben des Wortes ""Unterricht"": ","['u', 'n', 't', 'e', 'r', 'r', 'i', 'c', 'h', 't']",u,r
"F: Was ist der erste Buchstabe des Wortes ""Frühstück""? A:","['f', 'r', 'ü', 'h', 's', 't', 'ü', 'c', 'k']",f,r
"F: Was ist der erste Buchstabe des Wortes ""Schnur""? A:","['s', 'c', 'h', 'n', 'u', 'r']",s,r
"F: Mit welchem Buchstaben beginnt das Wort ""Dosis""? A:","['d', 'o', 's', 'i', 's']",d,d
"F: Was ist der erste Buchstabe des Wortes ""anklären""? A:","['a', 'n', 'k', 'l', 'ä', 'r', 'e', 'n']",a,r
"F: Was ist der erste Buchstabe des Wortes ""Gedanke""? A:","['g', 'e', 'd', 'a', 'n', 'k', 'e']",g,a
"F: Was ist der erste Buchstabe des Wortes ""Krawatte""? A:","['k', 'r', 'a', 'w', 'a', 't', 't', 'e']",k,a
"F: Was ist der erste Buchstabe des Wortes ""Tee""? A:","['t', 'e', 'e']",t,e
"F: Mit welchem Buchstaben beginnt das Wort ""ängstlich""? A:","['ä', 'n', 'g', 's', 't', 'l', 'i', 'c', 'h']",ä,g
"F: Mit welchem Buchstaben beginnt das Wort ""unfreundlich""? A:","['u', 'n', 'f', 'r', 'e', 'u', 'n', 'd', 'l', 'i', 'c', 'h']",u,r
"Schreibe den ersten Buchstaben des Wortes ""Fuchs"": ","['f', 'u', 'c', 'h', 's']",f,c
"F: Was ist der erste Buchstabe des Wortes ""Schwimmen""? A:","['s', 'c', 'h', 'w', 'i', 'm', 'm', 'e', 'n']",s,n
