Input,Options,Expected,Output (raw),Predicted
"Q: Which is a rhyme of the word ""baby"", ""maybe"" or ""war""? A:","['maybe', 'war']",maybe,"UTT_BOUNDARY q: which is a rhyme of the word ""baby"", ""maybe"" or ""war""? a:UTT_BOUNDARY maybe later""? a:"," maybe later""? a:"
"Q: Which is a rhyme of the word ""bay"", ""advanced"" or ""away""? A:","['away', 'advanced']",away,"UTT_BOUNDARY q: which is a rhyme of the word ""bay"", ""advanced"" or ""away""? a:UTT_BOUNDARY away""? a:UTT_BOUNDARY"," away""? a:"
"Q: Which is a rhyme of the word ""not"", ""spot"" or ""individual""? A:","['spot', 'individual']",spot,"UTT_BOUNDARY q: which is a rhyme of the word ""not"", ""spot"" or ""individual""? a:UTT_BOUNDARY spotless zone of earth", spotless zone of earth
"Q: Which word rhymes with the word ""amusing"", ""confusing"" or ""frog""? A:","['confusing', 'frog']",confusing,"UTT_BOUNDARY q: which word rhymes with the word ""amusing"", ""confusing"" or ""frog""? a:UTT_BOUNDARY confusing"", which word"," confusing"", which word"
"Q: Of the words ""guitar"" and ""kitchen"", which one rhymes with ""bar""? A:","['guitar', 'kitchen']",guitar,"UTT_BOUNDARY q: of the words ""guitar"" and ""kitchen"", which one rhymes with ""bar""? a:UTT_BOUNDARY guitar player who is not", guitar player who is not
"Q: Which is a rhyme of the word ""pray"", ""stay"" or ""cold""? A:","['stay', 'cold']",stay,"UTT_BOUNDARY q: which is a rhyme of the word ""pray"", ""stay"" or ""cold""? a:UTT_BOUNDARY stay there""? a:"," stay there""? a:"
"Q: Which is a rhyme of the word ""fur"", ""per"" or ""server""? A:","['per', 'server']",per,"UTT_BOUNDARY q: which is a rhyme of the word ""fur"", ""per"" or ""server""? a:UTT_BOUNDARY pervert, pea"," pervert, pea"
"Q: Of the words ""sit"" and ""lighter"", which one rhymes with ""writer""? A:","['lighter', 'sit']",lighter,"UTT_BOUNDARY q: of the words ""sit"" and ""lighter"", which one rhymes with ""writer""? a:UTT_BOUNDARY lighter? a:UTT_BOUNDARY", lighter? a:
"Q: Which word rhymes with the word ""plastic"", ""guest"" or ""fantastic""? A:","['fantastic', 'guest']",fantastic,"UTT_BOUNDARY q: which word rhymes with the word ""plastic"", ""guest"" or ""fantastic""? a:UTT_BOUNDARY fantastic gift""? a:"," fantastic gift""? a:"
"Q: Of the words ""guess"" and ""grass"", which one rhymes with ""press""? A:","['guess', 'grass']",guess,"UTT_BOUNDARY q: of the words ""guess"" and ""grass"", which one rhymes with ""press""? a:UTT_BOUNDARY guess what she is""?"," guess what she is""?"
"Q: Of the words ""mouse"" and ""fight"", which one rhymes with ""house""? A:","['mouse', 'fight']",mouse,"UTT_BOUNDARY q: of the words ""mouse"" and ""fight"", which one rhymes with ""house""? a:UTT_BOUNDARY mouse"", what is the"," mouse"", what is the"
"Q: Which word rhymes with the word ""southwest"", ""breast"" or ""cola""? A:","['breast', 'cola']",breast,"UTT_BOUNDARY q: which word rhymes with the word ""southwest"", ""breast"" or ""cola""? a:UTT_BOUNDARY breastworker""? a"," breastworker""? a"
"Q: Which word rhymes with the word ""escape"", ""grape"" or ""quantity""? A:","['grape', 'quantity']",grape,"UTT_BOUNDARY q: which word rhymes with the word ""escape"", ""grape"" or ""quantity""? a:UTT_BOUNDARY grapefruit"", which"," grapefruit"", which"
"Q: Which is a rhyme of the word ""beat"", ""wide"" or ""heat""? A:","['heat', 'wide']",heat,"UTT_BOUNDARY q: which is a rhyme of the word ""beat"", ""wide"" or ""heat""? a:UTT_BOUNDARY heat from the heat melted", heat from the heat melted
"Q: Of the words ""sum"" and ""healthy"", which one rhymes with ""come""? A:","['sum', 'healthy']",sum,"UTT_BOUNDARY q: of the words ""sum"" and ""healthy"", which one rhymes with ""come""? a:UTT_BOUNDARY summarily, he"," summarily, he"
"Q: Which word rhymes with the word ""reason"", ""season"" or ""fail""? A:","['season', 'fail']",season,"UTT_BOUNDARY q: which word rhymes with the word ""reason"", ""season"" or ""fail""? a:UTT_BOUNDARY season""? a:UTT_BOUNDARY"," season""? a:"
"Q: Which is a rhyme of the word ""rarely"", ""smoking"" or ""fairly""? A:","['fairly', 'smoking']",fairly,"UTT_BOUNDARY q: which is a rhyme of the word ""rarely"", ""smoking"" or ""fairly""? a:UTT_BOUNDARY fairly fair"", which word"," fairly fair"", which word"
"Q: Which word rhymes with the word ""shorts"", ""sports"" or ""atmosphere""? A:","['sports', 'atmosphere']",sports,"UTT_BOUNDARY q: which word rhymes with the word ""shorts"", ""sports"" or ""atmosphere""? a:UTT_BOUNDARY sports carmen and helicop", sports carmen and helicop
"Q: Of the words ""salary"" and ""cut"", which one rhymes with ""gallery""? A:","['salary', 'cut']",salary,"UTT_BOUNDARY q: of the words ""salary"" and ""cut"", which one rhymes with ""gallery""? a:UTT_BOUNDARY salary""? a:UTT_BOUNDARY"," salary""? a:"
"Q: Of the words ""guard"" and ""inexpensive"", which one rhymes with ""card""? A:","['guard', 'inexpensive']",guard,"UTT_BOUNDARY q: of the words ""guard"" and ""inexpensive"", which one rhymes with ""card""? a:UTT_BOUNDARY guard the door"", which"," guard the door"", which"
"Q: Which word rhymes with the word ""fork"", ""pork"" or ""ordinary""? A:","['pork', 'ordinary']",pork,"UTT_BOUNDARY q: which word rhymes with the word ""fork"", ""pork"" or ""ordinary""? a:UTT_BOUNDARY pork or a fork"","," pork or a fork"","
"Q: Which word rhymes with the word ""table"", ""altogether"" or ""label""? A:","['label', 'altogether']",label,"UTT_BOUNDARY q: which word rhymes with the word ""table"", ""altogether"" or ""label""? a:UTT_BOUNDARY label the word ""c"," label the word ""c"
"Q: Which word rhymes with the word ""afternoon"", ""cartoon"" or ""ages""? A:","['cartoon', 'ages']",cartoon,"UTT_BOUNDARY q: which word rhymes with the word ""afternoon"", ""cartoon"" or ""ages""? a:UTT_BOUNDARY cartoon game""? a:"," cartoon game""? a:"
"Q: Of the words ""souvenir"" and ""rescue"", which one rhymes with ""year""? A:","['souvenir', 'rescue']",souvenir,"UTT_BOUNDARY q: of the words ""souvenir"" and ""rescue"", which one rhymes with ""year""? a:UTT_BOUNDARY souvenir"", """," souvenir"", """
"Q: Which is a rhyme of the word ""pretty"", ""city"" or ""curtain""? A:","['city', 'curtain']",city,"UTT_BOUNDARY q: which is a rhyme of the word ""pretty"", ""city"" or ""curtain""? a:UTT_BOUNDARY city""? a:UTT_BOUNDARY"," city""? a:"
"Q: Of the words ""identification"" and ""star"", which one rhymes with ""application""? A:","['identification', 'star']",identification,"UTT_BOUNDARY q: of the words ""identification"" and ""star"", which one rhymes with ""application""? a:UTT_BOUNDARY identification of the word", identification of the word
"Q: Of the words ""biography"" and ""trust"", which one rhymes with ""photography""? A:","['biography', 'trust']",biography,"UTT_BOUNDARY q: of the words ""biography"" and ""trust"", which one rhymes with ""photography""? a:UTT_BOUNDARY biography of the word """," biography of the word """
"Q: Which is a rhyme of the word ""involve"", ""solve"" or ""fever""? A:","['solve', 'fever']",solve,"UTT_BOUNDARY q: which is a rhyme of the word ""involve"", ""solve"" or ""fever""? a:UTT_BOUNDARY solve the problem""? a"," solve the problem""? a"
"Q: Which word rhymes with the word ""city"", ""beginner"" or ""pretty""? A:","['pretty', 'beginner']",pretty,"UTT_BOUNDARY q: which word rhymes with the word ""city"", ""beginner"" or ""pretty""? a:UTT_BOUNDARY pretty fairfax"","," pretty fairfax"","
"Q: Which is a rhyme of the word ""bored"", ""screen"" or ""board""? A:","['board', 'screen']",board,"UTT_BOUNDARY q: which is a rhyme of the word ""bored"", ""screen"" or ""board""? a:UTT_BOUNDARY boarder""? a:"," boarder""? a:"
"Q: Which is a rhyme of the word ""sort"", ""arrest"" or ""support""? A:","['support', 'arrest']",support,"UTT_BOUNDARY q: which is a rhyme of the word ""sort"", ""arrest"" or ""support""? a:UTT_BOUNDARY supportive person who is", supportive person who is
