Input,Expected,Predicted
"Q: Which is a homophone of the word ""hour"", ""minute"" or ""our""? A:",our,"our""? a:"
"Q: Which is a homophone of the word ""new"", ""knew"" or ""long""? A:",knew,knew? a:
"Q: Of the two words ""potato"" and ""beat"", which one sounds more like ""beet""? A:",beat,"beat"" and ""beat""? a:"
"Q: Which is a homophone of the word ""but"", ""however"" or ""butt""? A:",butt,butt? a:
"Q: Which is a homophone of the word ""high"", ""street"" or ""hi""? A:",hi,street? a:
"Q: Which word sounds like the word ""buy"", ""bye"" or ""order""? A:",bye,"bye""? a:"
"Q: Of the two words ""maximum"" and ""peek"", which one sounds more like ""peak""? A:",peek,"peek""? a:"
"Q: Which is a homophone of the word ""build"", ""create"" or ""billed""? A:",billed,billed? a:
"Q: Of the two words ""smile"" and ""meet"", which one sounds more like ""meat""? A:",meet,"meet, ""meet""? a:"
"Q: Of the two words ""daze"" and ""weeks"", which one sounds more like ""days""? A:",daze,daze?
"Q: Which is a homophone of the word ""build"", ""construct"" or ""billed""? A:",billed,billed? a:
"Q: Which word sounds like the word ""build"", ""create"" or ""billed""? A:",billed,billed? a:
"Q: Of the two words ""halve"" and ""need"", which one sounds more like ""have""? A:",halve,"halve"" and ""need""? a:"
"Q: Of the two words ""tail"" and ""mystery"", which one sounds more like ""tale""? A:",tail,"mystery""? a:"
"Q: Which is a homophone of the word ""duel"", ""young"" or ""dual""? A:",dual,"dual""? a:"
"Q: Which is a homophone of the word ""cereal"", ""oatmeal"" or ""serial""? A:",serial,serial?
"Q: Which word sounds like the word ""sent"", ""work"" or ""scent""? A:",scent,scent? a:
"Q: Which is a homophone of the word ""sight"", ""board"" or ""cite""? A:",cite,"board""? a:"
"Q: Of the two words ""spider"" and ""thrown"", which one sounds more like ""throne""? A:",thrown,"thrown"" and ""thrown""? a:"
"Q: Of the two words ""hips"" and ""waste"", which one sounds more like ""waist""? A:",waste,"waste"" and ""waste""? a:"
"Q: Of the two words ""chews"" and ""play"", which one sounds more like ""choose""? A:",chews,"chews"" and ""chews""? a:"
"Q: Which is a homophone of the word ""pea"", ""pee"" or ""bean""? A:",pee,pee? a:
"Q: Of the two words ""board"" and ""cite"", which one sounds more like ""sight""? A:",cite,"board"" and ""board""? a:"
"Q: Which is a homophone of the word ""pea"", ""pee"" or ""world""? A:",pee,"pee""? a:"
"Q: Of the two words ""pee"" and ""world"", which one sounds more like ""pea""? A:",pee,"pee""? a:"
"Q: Which word sounds like the word ""moose"", ""hunting"" or ""mousse""? A:",mousse,"mousse""? a:"
"Q: Of the two words ""mined"" and ""thinking"", which one sounds more like ""mind""? A:",mined,"mined, ""mined""? a:"
"Q: Which is a homophone of the word ""bye"", ""year"" or ""by""? A:",by,byear? a:
"Q: Of the two words ""winner"" and ""meddle"", which one sounds more like ""medal""? A:",meddle,meddle?
"Q: Which is a homophone of the word ""know"", ""no"" or ""understand""? A:",no,understand? a:
"Q: Which is a homophone of the word ""cereal"", ""serial"" or ""wheat""? A:",serial,serial?
"Q: Of the two words ""urn"" and ""money"", which one sounds more like ""earn""? A:",urn,money? a:
"Q: Which is a homophone of the word ""hire"", ""higher"" or ""close""? A:",higher,higher? a:
"Q: Of the two words ""halve"" and ""already"", which one sounds more like ""have""? A:",halve,"halve"" and ""halve""? a:"
"Q: Of the two words ""hare"" and ""beard"", which one sounds more like ""hair""? A:",hare,hare? a:
"Q: Which is a homophone of the word ""meat"", ""food"" or ""meet""? A:",meet,food?
"Q: Which word sounds like the word ""site"", ""sight"" or ""ear""? A:",sight,sight? a:
"Q: Which word sounds like the word ""nose"", ""mouth"" or ""knows""? A:",knows,"knows""? a:"
"Q: Which word sounds like the word ""mind"", ""mined"" or ""sense""? A:",mined,sense?
"Q: Of the two words ""cent"" and ""smell"", which one sounds more like ""scent""? A:",cent,smell?
"Q: Which word sounds like the word ""knight"", ""sword"" or ""night""? A:",night,sword? a:
"Q: Of the two words ""meddle"" and ""olympics"", which one sounds more like ""medal""? A:",meddle,meddle?
"Q: Which word sounds like the word ""waist"", ""waste"" or ""hips""? A:",waste,"waste""? a:"
"Q: Which word sounds like the word ""peak"", ""maximum"" or ""peek""? A:",peek,"peek"" or ""peek""? a:"
"Q: Which word sounds like the word ""bite"", ""byte"" or ""guitar""? A:",byte,byte? a:
"Q: Of the two words ""money"" and ""urn"", which one sounds more like ""earn""? A:",urn,money? a:
"Q: Which is a homophone of the word ""herd"", ""heard"" or ""cows""? A:",heard,"heard"" or ""herd""? a:"
"Q: Which is a homophone of the word ""nun"", ""none"" or ""monk""? A:",none,"none"" or ""none""? a:"
"Q: Which is a homophone of the word ""side"", ""sighed"" or ""front""? A:",sighed,sighed? a:
"Q: Of the two words ""pea"" and ""dual"", which one sounds more like ""duel""? A:",dual,dual= = = pear soup = = =
"Q: Of the two words ""cat"" and ""dye"", which one sounds more like ""die""? A:",dye,"dye""? a:"
"Q: Which is a homophone of the word ""blue"", ""question"" or ""blew""? A:",blew,blew? a:
"Q: Which word sounds like the word ""high"", ""hi"" or ""up""? A:",hi,"high""? a:"
"Q: Which is a homophone of the word ""site"", ""sight"" or ""page""? A:",sight,"sight""? a:"
"Q: Which is a homophone of the word ""find"", ""fined"" or ""locate""? A:",fined,fined? a:
