Input,Options,Expected,Predicted
"Q: In the sentence ""John was lots more obnoxious than Fred"", what is the last word? A:","['John', 'was', 'lots', 'more', 'obnoxious', 'than', 'Fred']",Fred,logic
"Q: In the sentence ""A boy hit the ball"", what is the last word? A:","['A', 'boy', 'hit', 'the', 'ball']",ball,ball
"Q: In the sentence ""I remembered having kissed Mary"", what is the last word? A:","['I', 'remembered', 'having', 'kissed', 'Mary']",Mary,liter
"Q: What is the last word of the sentence ""I believe strongly that the world is round""? A:","['I', 'believe', 'strongly', 'that', 'the', 'world', 'is', 'round']",round,its
"Write the last word of the sentence ""John will see you"": ","['John', 'will', 'see', 'you']",you,with trade
"Q: In the sentence ""They gave the bicycle to me"", what is the last word? A:","['They', 'gave', 'the', 'bicycle', 'to', 'me']",me,butter
"Q: In the sentence ""An owl hunts mice"", what is the last word? A:","['An', 'owl', 'hunts', 'mice']",mice,theater
"Write the last word of the sentence ""Helen wiped the wall"": ","['Helen', 'wiped', 'the', 'wall']",wall,this is is it
"Q: What is the last word of the sentence ""Elizabeth regretted that she had met Wickham""? A:","['Elizabeth', 'regretted', 'that', 'she', 'had', 'met', 'Wickham']",Wickham,this
"Write the last word of the sentence ""I told the story to Daniel"": ","['I', 'told', 'the', 'story', 'to', 'Daniel']",Daniel,the burked
"Write the last word of the sentence ""Sonatas are easy to play on this violin"": ","['Sonatas', 'are', 'easy', 'to', 'play', 'on', 'this', 'violin']",violin,the boys
"Q: What is the last word of the sentence ""Paula hit the fence""? A:","['Paula', 'hit', 'the', 'fence']",fence,theater
"Q: What is the last word of the sentence ""The man killed the king with the knife""? A:","['The', 'man', 'killed', 'the', 'king', 'with', 'the', 'knife']",knife,the chili
"Q: In the sentence ""The student knew the answers"", what is the last word? A:","['The', 'student', 'knew', 'the', 'answers']",answers,look
"Write the last word of the sentence ""Celia brushed her hair"": ","['Celia', 'brushed', 'her', 'hair']",hair,the burg
"Q: What is the last word of the sentence ""I served leek soup to my guests""? A:","['I', 'served', 'leek', 'soup', 'to', 'my', 'guests']",guests,below
"Q: In the sentence ""Never had Sir Thomas been so offended"", what is the last word? A:","['Never', 'had', 'Sir', 'Thomas', 'been', 'so', 'offended']",offended,butter
"Q: What is the last word of the sentence ""I will speak to Hector about this""? A:","['I', 'will', 'speak', 'to', 'Hector', 'about', 'this']",this,it
"Write the last word of the sentence ""Rosemary hates New York"": ","['Rosemary', 'hates', 'New', 'York']",York,worth
"Write the last word of the sentence ""He planted the garden with roses last November"": ","['He', 'planted', 'the', 'garden', 'with', 'roses', 'last', 'November']",November,hand
"Q: What is the last word of the sentence ""Julie felt he was there""? A:","['Julie', 'felt', 'he', 'was', 'there']",there,w
"Q: What is the last word of the sentence ""Kim is fond of Lee""? A:","['Kim', 'is', 'fond', 'of', 'Lee']",Lee,theater
"Q: What is the last word of the sentence ""I know the person whose mother died""? A:","['I', 'know', 'the', 'person', 'whose', 'mother', 'died']",died,player
"Write the last word of the sentence ""Almost every lawyer could answer that question"": ","['Almost', 'every', 'lawyer', 'could', 'answer', 'that', 'question']",question,this is moderation
"Q: In the sentence ""The boat sank"", what is the last word? A:","['The', 'boat', 'sank']",sank,butter
"Write the last word of the sentence ""Most of the fruit is rotten"": ","['Most', 'of', 'the', 'fruit', 'is', 'rotten']",rotten,
"Write the last word of the sentence ""Don swatted the mosquito with the newspaper"": ","['Don', 'swatted', 'the', 'mosquito', 'with', 'the', 'newspaper']",newspaper,the burn
"Q: In the sentence ""Shannon sent Dan an email"", what is the last word? A:","['Shannon', 'sent', 'Dan', 'an', 'email']",email,but
"Q: What is the last word of the sentence ""The defendant denied the accusation""? A:","['The', 'defendant', 'denied', 'the', 'accusation']",accusation,theater
"Q: In the sentence ""I have six more of them"", what is the last word? A:","['I', 'have', 'six', 'more', 'of', 'them']",them,it
"Q: In the sentence ""The dog chased the cat for days"", what is the last word? A:","['The', 'dog', 'chased', 'the', 'cat', 'for', 'days']",days,liter
"Q: In the sentence ""Fred kicked the ball over the fence"", what is the last word? A:","['Fred', 'kicked', 'the', 'ball', 'over', 'the', 'fence']",fence,brille
"Q: What is the last word of the sentence ""John talked to any politician who is powerful""? A:","['John', 'talked', 'to', 'any', 'politician', 'who', 'is', 'powerful']",powerful,italin
"Write the last word of the sentence ""Jessica loaded boxes under the wagon"": ","['Jessica', 'loaded', 'boxes', 'under', 'the', 'wagon']",wagon,this is motors
"Q: What is the last word of the sentence ""He looks so formidable""? A:","['He', 'looks', 'so', 'formidable']",formidable,heady
"Q: What is the last word of the sentence ""Jackie chased the thief""? A:","['Jackie', 'chased', 'the', 'thief']",thief,chip
