Input,Options,Expected,Predicted
"F: Welches Wort ist kürzer, ""nach"" oder ""wertlos""? A:","['nach', 'wertlos']",nach,nach
"F: Welches Wort ist kürzer, ""darüber"" oder ""man""? A:","['darüber', 'man']",man,man
"F: Welches Wort ist kürzer, ""solches"" oder ""mehr""? A:","['solches', 'mehr']",mehr,mehr
"F: Welches Wort hat weniger Buchstaben, ""völlig"" oder ""in""? A:","['völlig', 'in']",in,in
"Von den Wörtern ""lang"" und ""zwischen"", welches hat weniger Buchstaben? ","['lang', 'zwischen']",lang,lang
"F: Welches Wort ist kürzer, ""ist"" oder ""solches""? A:","['ist', 'solches']",ist,solches
"F: Welches Wort ist kürzer, ""Abschied"" oder ""der""? A:","['abschied', 'der']",der,der
"Von den Wörtern ""viel"" und ""gespürt"", welches hat weniger Buchstaben? ","['viel', 'gespürt']",viel,viel
"F: Welches Wort hat weniger Buchstaben, ""pulvrig"" oder ""da""? A:","['pulvrig', 'da']",da,da
"Von den Wörtern ""wurde"" und ""offensiv"", welches hat weniger Buchstaben? ","['wurde', 'offensiv']",wurde,wurde
"Von den Wörtern ""bedrohen"" und ""wenn"", welches hat weniger Buchstaben? ","['bedrohen', 'wenn']",wenn,wenn
"F: Welches Wort hat weniger Buchstaben, ""jemand"" oder ""im""? A:","['jemand', 'im']",im,im
"F: Welches Wort hat weniger Buchstaben, ""sollen"" oder ""das""? A:","['sollen', 'das']",das,sollen
"F: Welches Wort ist kürzer, ""auch"" oder ""bestens""? A:","['auch', 'bestens']",auch,auch
"Von den Wörtern ""gemeinsam"" und ""diese"", welches hat weniger Buchstaben? ","['gemeinsam', 'diese']",diese,gemeinsam
"F: Welches Wort hat weniger Buchstaben, ""ehe"" oder ""einmal""? A:","['ehe', 'einmal']",ehe,ehe
"F: Welches Wort ist kürzer, ""gespürt"" oder ""das""? A:","['gespürt', 'das']",das,das
"F: Welches Wort hat weniger Buchstaben, ""so"" oder ""tüfteln""? A:","['so', 'tüfteln']",so,so
"Von den Wörtern ""würde"" und ""wirklich"", welches hat weniger Buchstaben? ","['würde', 'wirklich']",würde,würde
"Von den Wörtern ""geborene"" und ""haben"", welches hat weniger Buchstaben? ","['geborene', 'haben']",haben,haben
"F: Welches Wort hat weniger Buchstaben, ""Anteil"" oder ""im""? A:","['anteil', 'im']",im,im
"F: Welches Wort hat weniger Buchstaben, ""ja"" oder ""sehen ""? A:","['ja', 'sehen ']",ja,ja
"F: Welches Wort hat weniger Buchstaben, ""Anteil"" oder ""nie""? A:","['anteil', 'nie']",nie,nie
"Von den Wörtern ""sehr"" und ""bestens"", welches hat weniger Buchstaben? ","['sehr', 'bestens']",sehr,sehr
"F: Welches Wort ist kürzer, ""erzählt"" oder ""rot""? A:","['erzählt', 'rot']",rot,erzählt
"Von den Wörtern ""Bedeutung"" und ""dabei"", welches hat weniger Buchstaben? ","['bedeutung', 'dabei']",dabei,bedeutung
"Von den Wörtern ""Abschied"" und ""daher"", welches hat weniger Buchstaben? ","['abschied', 'daher']",daher,daher
"F: Welches Wort ist kürzer, ""gezeigt"" oder ""all""? A:","['gezeigt', 'all']",all,all
"F: Welches Wort hat weniger Buchstaben, ""beenden"" oder ""am""? A:","['beenden', 'am']",am,am
"F: Welches Wort ist kürzer, ""wertlos"" oder ""weg""? A:","['wertlos', 'weg']",weg,weg
"F: Welches Wort ist kürzer, ""gedanke"" oder ""der""? A:","['gedanke', 'der']",der,der
"F: Welches Wort ist kürzer, ""ehe"" oder ""namenlos""? A:","['ehe', 'namenlos']",ehe,ehe
"F: Welches Wort hat weniger Buchstaben, ""besser"" oder ""mit""? A:","['besser', 'mit']",mit,mit
"Von den Wörtern ""daher"" und ""Polarität"", welches hat weniger Buchstaben? ","['daher', 'polarität']",daher,daher
"F: Welches Wort hat weniger Buchstaben, ""ja"" oder ""tragen""? A:","['ja', 'tragen']",ja,ja
"F: Welches Wort hat weniger Buchstaben, ""tragen"" oder ""man""? A:","['tragen', 'man']",man,man
"Von den Wörtern ""lang"" und ""beweise"", welches hat weniger Buchstaben? ","['lang', 'beweise']",lang,lang
"F: Welches Wort hat weniger Buchstaben, ""an"" oder ""gewinnt""? A:","['an', 'gewinnt']",an,an
"F: Welches Wort hat weniger Buchstaben, ""am"" oder ""ungerne""? A:","['am', 'ungerne']",am,am
"F: Welches Wort ist kürzer, ""ungerne"" oder ""ehe""? A:","['ungerne', 'ehe']",ehe,ehe
"F: Welches Wort hat weniger Buchstaben, ""Gebiss"" oder ""ab""? A:","['gebiss', 'ab']",ab,ab
"F: Welches Wort hat weniger Buchstaben, ""es"" oder ""mulmig""? A:","['es', 'mulmig']",es,mulmig
"F: Welches Wort hat weniger Buchstaben, ""gespürt"" oder ""zu""? A:","['gespürt', 'zu']",zu,zu
"F: Welches Wort hat weniger Buchstaben, ""ich"" oder ""nichts""? A:","['ich', 'nichts']",ich,ich
"F: Welches Wort ist kürzer, ""zwischen"" oder ""aus""? A:","['zwischen', 'aus']",aus,aus
"F: Welches Wort ist kürzer, ""zwischen"" oder ""mit""? A:","['zwischen', 'mit']",mit,mit
"Von den Wörtern ""heut"" und ""namenlos"", welches hat weniger Buchstaben? ","['heut', 'namenlos']",heut,heut
"F: Welches Wort hat weniger Buchstaben, ""am"" oder ""fragen""? A:","['am', 'fragen']",am,am
"Von den Wörtern ""sowie"" und ""Abschied"", welches hat weniger Buchstaben? ","['sowie', 'abschied']",sowie,sowie
"F: Welches Wort ist kürzer, ""wirklich"" oder ""all""? A:","['wirklich', 'all']",all,all
"F: Welches Wort ist kürzer, ""ein"" oder ""darüber""? A:","['ein', 'darüber']",ein,ein
"Von den Wörtern ""brüllen"" und ""viel"", welches hat weniger Buchstaben? ","['brüllen', 'viel']",viel,viel
"F: Welches Wort hat weniger Buchstaben, ""ab"" oder ""fragen""? A:","['ab', 'fragen']",ab,ab
"Von den Wörtern ""versucht"" und ""erst"", welches hat weniger Buchstaben? ","['versucht', 'erst']",erst,erst
"F: Welches Wort hat weniger Buchstaben, ""Gebiss"" oder ""du""? A:","['gebiss', 'du']",du,gebiss
"Von den Wörtern ""dabei"" und ""Verlusten"", welches hat weniger Buchstaben? ","['dabei', 'verlusten']",dabei,dabei
"F: Welches Wort ist kürzer, ""anderen"" oder ""rot""? A:","['anderen', 'rot']",rot,anderen
"F: Welches Wort hat weniger Buchstaben, ""man"" oder ""wissen""? A:","['man', 'wissen']",man,wissen
"Von den Wörtern ""bedeutet"" und ""waren"", welches hat weniger Buchstaben? ","['bedeutet', 'waren']",waren,waren
"F: Welches Wort ist kürzer, ""der"" oder ""wertlos""? A:","['der', 'wertlos']",der,der
"F: Welches Wort hat weniger Buchstaben, ""ist"" oder ""tragen""? A:","['ist', 'tragen']",ist,ist
"F: Welches Wort hat weniger Buchstaben, ""die"" oder ""laufen""? A:","['die', 'laufen']",die,die
"F: Welches Wort hat weniger Buchstaben, ""sehen "" oder ""weg""? A:","['sehen ', 'weg']",weg,weg
"F: Welches Wort hat weniger Buchstaben, ""um"" oder ""fragen""? A:","['um', 'fragen']",um,um
"F: Welches Wort hat weniger Buchstaben, ""wissen"" oder ""im""? A:","['wissen', 'im']",im,im
"F: Welches Wort ist kürzer, ""aus"" oder ""einfach""? A:","['aus', 'einfach']",aus,einfach
"F: Welches Wort ist kürzer, ""war"" oder ""darüber""? A:","['war', 'darüber']",war,war
"F: Welches Wort ist kürzer, ""tadellos"" oder ""sie""? A:","['tadellos', 'sie']",sie,tadellos
"F: Welches Wort ist kürzer, ""aus"" oder ""wirklich""? A:","['aus', 'wirklich']",aus,wirklich
"F: Welches Wort hat weniger Buchstaben, ""in"" oder ""wertlos""? A:","['in', 'wertlos']",in,in
"F: Welches Wort ist kürzer, ""nie"" oder ""versucht""? A:","['nie', 'versucht']",nie,nie
"Von den Wörtern ""irgendwo"" und ""allen"", welches hat weniger Buchstaben? ","['irgendwo', 'allen']",allen,allen
