Input,Options,Expected,Output (raw),Predicted
"Q: Which word is longer, ""point"" or ""jacket""? A:","['point', 'jacket']",jacket,"UTT_BOUNDARY q : W w h i c h W w o r d W i s W l o n g e r , W "" p o i n t "" W o r W "" j a c k e t "" ? W a : UTT_BOUNDARY j a c k e t W p o t a t o e s W a r e W p a r t W",jacket potatoes are part 
"Q: Which word is longer, ""tour"" or ""roast""? A:","['tour', 'roast']",roast,"UTT_BOUNDARY q : W w h i c h W w o r d W i s W l o n g e r , W "" t o u r "" W o r W "" r o a s t "" ? W a : UTT_BOUNDARY r o a s t e d W o r W "" s t r a n g e "" ? W a : UTT_BOUNDARY","roasted or ""strange""? a:"
"Q: Which word is longer, ""careful"" or ""worst""? A:","['careful', 'worst']",careful,"UTT_BOUNDARY q : W w h i c h W w o r d W i s W l o n g e r , W "" c a r e f u l "" W o r W "" w o r s t "" ? W a : UTT_BOUNDARY c a r e f u l l y ? W a : UTT_BOUNDARY",carefully? a:
"Q: Which word has more letters, ""friendly"" or ""policeman""? A:","['friendly', 'policeman']",policeman,"UTT_BOUNDARY q : W w h i c h W w o r d W h a s W m o r e W l e t t e r s , W "" f r i e n d l y "" W o r W "" p o l i c e m a n "" ? W a : UTT_BOUNDARY p o l i c e m a n ? W a : UTT_BOUNDARY",policeman? a:
"Q: Of the words ""wonderful"" and ""diploma"" which one has more letters? A:","['wonderful', 'diploma']",wonderful,"UTT_BOUNDARY q : W o f W t h e W w o r d s W "" w o n d e r f u l "" W a n d W "" d i p l o m a "" W w h i c h W o n e W h a s W m o r e W l e t t e r s ? W a : UTT_BOUNDARY w o n d e r f u l o t "" s o m e "" W w h i n o k v","wonderfulot""some"" whinokv"
"Q: Which word is longer, ""dinosaur"" or ""cloudy""? A:","['dinosaur', 'cloudy']",dinosaur,"UTT_BOUNDARY q : W w h i c h W w o r d W i s W l o n g e r , W "" d i n o s a u r "" W o r W "" c l o u d y "" ? W a : UTT_BOUNDARY d i n o s a u r "" ? W a : UTT_BOUNDARY","dinosaur""? a:"
"Q: Which word is longer, ""enough"" or ""various""? A:","['enough', 'various']",various,"UTT_BOUNDARY q : W w h i c h W w o r d W i s W l o n g e r , W "" e n o u g h "" W o r W "" v a r i o u s "" ? W a : UTT_BOUNDARY v a r i o u s l y W i n c o r r e c t "" ? W a : UTT_BOUNDARY","variously incorrect""? a:"
"Q: Of the words ""special"" and ""favorite"" which one has more letters? A:","['special', 'favorite']",favorite,"UTT_BOUNDARY q : W o f W t h e W w o r d s W "" s p e c i a l "" W a n d W "" f a v o r i t e "" W w h i c h W o n e W h a s W m o r e W l e t t e r s ? W a : UTT_BOUNDARY f a v o r i t e r "" s u b b o y "" "" W w h o r d r","favoriter""subboy"""" whordr"
"Q: Which word has more letters, ""dirty"" or ""buy""? A:","['dirty', 'buy']",dirty,"UTT_BOUNDARY q : W w h i c h W w o r d W h a s W m o r e W l e t t e r s , W "" d i r t y "" W o r W "" b u y "" ? W a : UTT_BOUNDARY d i r t y W f r u i t s "" W o r W "" d i s c o u n","dirty fruits"" or ""discoun"
"Q: Of the words ""blond"" and ""shower"" which one has more letters? A:","['blond', 'shower']",shower,"UTT_BOUNDARY q : W o f W t h e W w o r d s W "" b l o n d "" W a n d W "" s h o w e r "" W w h i c h W o n e W h a s W m o r e W l e t t e r s ? W a : UTT_BOUNDARY b l o u s e y W a n d y "" b i l l "" b o y "" W w h","blousey andy""bill""boy"" wh"
