Sen,Sen_ppl,Wrong_Sen,Wrong_Sen_ppl,Score
"Yes, lovely creature, is n't she?",1058.4354248046875,"Yes, lovely creature, am n't she?",1571.176513671875,1
There is no easy answer to the painful issue of abortion.,69.57696533203125,There am no easy answer to the painful issue of abortion.,802.0714721679688,1
"Right up to a week after my birth he continued to say, 'How is he?'",727.6612548828125,"Right up to a week after my birth he continued to say, 'How am he?'",2362.20361328125,1
This is whale meat that I photographed in a grocery store in Tokyo - or is it?,192.67869567871094,This is whale meat that I photographed in a grocery store in Tokyo - or am it?,400.8714904785156,1
Among them is the former cloister from the abbey church of St. Peter and Paul.,98.28702545166016,Among them am the former cloister from the abbey church of St. Peter and Paul.,216.26983642578125,1
how much is a flight from washington to montreal,238.25509643554688,how much 'm a flight from washington to montreal,3114.227783203125,1
Among them is the former cloister from the abbey church of St. Peter and Paul.,98.28702545166016,Among them 'm the former cloister from the abbey church of St. Peter and Paul.,808.48974609375,1
"Right up to a week after my birth he continued to say, 'How is he?'",727.6612548828125,"Right up to a week after my birth he continued to say, 'How 'm he?'",1769.81884765625,1
There is no easy answer to the painful issue of abortion.,69.57696533203125,There 'm no easy answer to the painful issue of abortion.,2465.59814453125,1
how much is a flight from washington to boston,156.52772521972656,how much 'm a flight from washington to boston,1963.0916748046875,1
But here is a mushroom that's past its prime.,800.664794921875,But here am a mushroom that's past its prime.,2164.131103515625,1
"Yes, lovely creature, is n't she?",1058.4354248046875,"Yes, lovely creature, 'm n't she?",17001.833984375,1
how much is a flight from washington to montreal,238.25509643554688,how much am a flight from washington to montreal,1194.1441650390625,1
"For one thing, there is increasing concern, and that is undoubtedly true, on the part of experts too.",252.61631774902344,"For one thing, there am increasing concern, and that is undoubtedly true, on the part of experts too.",509.90203857421875,1
"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so is their country – the sea.",111.00467681884766,"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so am their country – the sea.",169.2802276611328,1
how much is a flight from washington to boston,156.52772521972656,how much am a flight from washington to boston,868.03125,1
"Tindi Kente is a wonderful dancer, wonderful, is n't she... just like a snake brought out by music, and sometimes he 'll try with her.",1027.5888671875,"Tindi Kente is a wonderful dancer, wonderful, 'm n't she... just like a snake brought out by music, and sometimes he 'll try with her.",1875.88916015625,1
"For one thing, there is increasing concern, and that is undoubtedly true, on the part of experts too.",252.61631774902344,"For one thing, there 'm increasing concern, and that is undoubtedly true, on the part of experts too.",814.7919921875,1
In the corner is a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,754.830322265625,In the corner 'm a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,3273.011474609375,1
"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so is their country – the sea.",111.00467681884766,"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so 'm their country – the sea.",328.09918212890625,1
This is whale meat that I photographed in a grocery store in Tokyo - or is it?,192.67869567871094,This is whale meat that I photographed in a grocery store in Tokyo - or 'm it?,1281.7657470703125,1
But here is a mushroom that's past its prime.,800.664794921875,But here 'm a mushroom that's past its prime.,6745.61865234375,1
In the corner is a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,754.830322265625,In the corner am a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,1152.0166015625,1
"You say I cook chicken, is n't it?",841.3994140625,"You say I cook chicken, 'm n't it?",5576.177734375,1
"Tindi Kente is a wonderful dancer, wonderful, is n't she... just like a snake brought out by music, and sometimes he 'll try with her.",1027.5888671875,"Tindi Kente is a wonderful dancer, wonderful, am n't she... just like a snake brought out by music, and sometimes he 'll try with her.",1208.435791015625,1
"The answer is obvious, is n't it?",160.05931091308594,"The answer is obvious, 'm n't it?",5495.31640625,1
"You say I cook chicken, is n't it?",841.3994140625,"You say I cook chicken, am n't it?",1522.768310546875,1
"The answer is obvious, is n't it?",160.05931091308594,"The answer is obvious, am n't it?",294.70001220703125,1
What do the new al-Qaeda videotape and audio speeches of Bin Laden and Ayman al-Zawahiri tell us about the hopes of the remaining top leadership of the organization?,91.70392608642578,What does the new al-Qaeda videotape and audio speeches of Bin Laden and Ayman al-Zawahiri tell us about the hopes of the remaining top leadership of the organization?,104.94707489013672,1
What do other Holga owners do when they need to change film when they are traveling?,1534.4129638671875,What does other Holga owners do when they need to change film when they are traveling?,2196.576904296875,1
"Even the IP and ICDC have abandoned the neighbourhood, and those are trained and armed, so do n't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank does n't bomb them, and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen?",264.5498046875,"Even the IP and ICDC have abandoned the neighbourhood, and those are trained and armed, so do n't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank does n't bomb them, and also how is American soldiers going to distinguish the brave and valiant civilians from the Fedayeen?",271.24658203125,1
"When those lucky enough not to have Herpes create a climate of shame and indignity for those of us who do, not only are they hurting us, but they are hurting themselves.",129.16346740722656,"When those lucky enough not to have Herpes create a climate of shame and indignity for those of us who do, not only is they hurting us, but they are hurting themselves.",167.36231994628906,1
Is there any other way to communicate or do your friends only understand text.,1040.1678466796875,Is there any other way to communicate or does your friends only understand text.,890.4653930664062,0
What do french men find sexy?,3418.1416015625,What does french men find sexy?,3651.4931640625,1
Also how much do compact system cameras drop on boxing day?,13227.662109375,Also how much does compact system cameras drop on boxing day?,7450.9345703125,0
How do these places stay in business.,6593.22265625,How does these places stay in business.,15154.7177734375,1
How are things going with you?,836.8200073242188,How is things going with you?,833.4141235351562,0
"It looks good on paper, but what do they really have?",58.20912551879883,"It looks good on paper, but what does they really have?",88.65692138671875,1
"People like this will never have my sympathy, nor do they deserve my sympathy.",266.23077392578125,"People like this will never have my sympathy, nor does they deserve my sympathy.",506.8623962402344,1
But do they know what they have heard?,235.14385986328125,But does they know what they have heard?,854.1984252929688,1
"Struggling against the currents of human nature and society, they may lose more often than they win - but only rarely do they give up.",146.76463317871094,"Struggling against the currents of human nature and society, they may lose more often than they win - but only rarely does they give up.",211.82432556152344,1
What do they want to hear how you had to go round to the back door of the missionary 's house?,403.19378662109375,What does they want to hear how you had to go round to the back door of the missionary 's house?,635.6390380859375,1
"The below site from the US government verifies this-it 's the same for Canada ,too.....",2947.948974609375,"The below site from the US government verify this-it 's the same for Canada ,too.....",3491.82666015625,1
"Typically, a developer creates an XSL transformation file that, when applied to an XML document during export, interprets or transforms the XML data into a presentation format that can be recognized by another application, such as Service Advertising Protocol (SAP) or a custom purchase order format.",132.758056640625,"Typically, a developer creates an XSL transformation file that, when applied to an XML document during export, interpret or transforms the XML data into a presentation format that can be recognized by another application, such as Service Advertising Protocol (SAP) or a custom purchase order format.",134.5326385498047,1
"In the best case, the clamoring for a ""refund"" subsides.",462.34375,"In the best case, the clamoring for a ""refund"" subside.",570.3836669921875,1
Can you accept that the road we are travelling points toward a grim and painful future?,1115.1993408203125,Can you accept that the road we are travelling point toward a grim and painful future?,1806.8985595703125,1
Scientific research to develop products like irradiated sterile insects or the Oxitec mosquitoes proceeds progressively from more to less contained conditions – from the laboratory to confined trials to limited field trials.,816.7913818359375,Scientific research to develop products like irradiated sterile insects or the Oxitec mosquitoes proceed progressively from more to less contained conditions – from the laboratory to confined trials to limited field trials.,785.64599609375,0
"""Balzac's use of repeating characters, moving in and out of the Comédie's books, strengthens the realist representation.",1856.21484375,"""Balzac's use of repeating characters, moving in and out of the Comédie's books, strengthen the realist representation.",1770.64599609375,0
"Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's story of the taming of a woman's independent spirit by a man sometimes troubles modern critics and directors.",859.8821411132812,"Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's story of the taming of a woman's independent spirit by a man sometimes trouble modern critics and directors.",970.9744873046875,1
The feeling of being swept along and of uncertainty as regards the future prevents you from seeing things in any perspective whatsoever.,342.6996765136719,The feeling of being swept along and of uncertainty as regards the future prevent you from seeing things in any perspective whatsoever.,330.36907958984375,0
"750,000 - Tons of toxic waste the US military, the world 's biggest polluter, generates around the world each year.",134.8825225830078,"750,000 - Tons of toxic waste the US military, the world 's biggest polluter, generate around the world each year.",131.746337890625,0
"Your love life is full, and any dissatisfaction with career and money matters fades into the background.",482.3796691894531,"Your love life is full, and any dissatisfaction with career and money matters fade into the background.",541.2681274414062,1
Examination of three views of the right foot demonstrates the second through fifth metatarsal head fractures.,351.0105895996094,Examination of three views of the right foot demonstrate the second through fifth metatarsal head fractures.,413.5282897949219,1
"In this scenario, pieces of option three remain stubbornly impervious to artificial intelligence and continue to be mind-numbingly boring, while option four – engaging in social reciprocity and negotiation – remains limited.",594.7615966796875,"In this scenario, pieces of option three remain stubbornly impervious to artificial intelligence and continue to be mind-numbingly boring, while option four – engaging in social reciprocity and negotiation – remain limited.",575.9478759765625,0
"Yet a superficial fixation on China's headline GDP growth persists, so that a 25% deceleration, to a 7-8% annual rate, is perceived as somehow heralding the end of the modern world's greatest development story.",223.67251586914062,"Yet a superficial fixation on China's headline GDP growth persist, so that a 25% deceleration, to a 7-8% annual rate, is perceived as somehow heralding the end of the modern world's greatest development story.",234.8983154296875,1
"Then every element of S strictly precedes x, as x is in T.",926.1909790039062,"Then every element of S strictly precede x, as x is in T.",1571.88623046875,1
"Now, NASA engineers and astronauts are almost giddy with ""go"" fever as the tentative date for the first launch since the Columbia disaster approaches.",598.404296875,"Now, NASA engineers and astronauts are almost giddy with ""go"" fever as the tentative date for the first launch since the Columbia disaster approach.",621.1940307617188,1
"Your learning of concepts of all kinds combines with extensive group activity, bringing your mind into a whole new space this year.",716.0660400390625,"Your learning of concepts of all kinds combine with extensive group activity, bringing your mind into a whole new space this year.",744.9815063476562,1
The default view – the view in which the object is open when you carry out the Save As command – determines the design of the data access page.,310.6026306152344,The default view – the view in which the object is open when you carry out the Save As command – determine the design of the data access page.,386.2033996582031,1
"If the snake is not pregnant or shedding, and its enclosure is properly equipped, a loss of appetite probably signals a beginning of hibernation.",372.2313537597656,"If the snake is not pregnant or shedding, and its enclosure is properly equipped, a loss of appetite probably signal a beginning of hibernation.",439.34930419921875,1
"Also, every element of S strictly precedes x, as x is in T.",807.754150390625,"Also, every element of S strictly precede x, as x is in T.",1266.136474609375,1
