Input,Expected,Predicted
"Q: In the sentence ""I broke those twigs and branches apart"", which word immediately succeeds the word ""and""? A:",branches,branches apart? a:
"Q: In the sentence ""I might eat deep fried muffins"", which word immediately succeeds the word ""deep""? A:",fried,muffins? a:
"Q: In the sentence ""Jason was killed"", which word immediately succeeds the word ""was""? A:",killed,killed?
"Q: In the sentence ""The tigers hunt prey at night"", which word comes right after the word ""The""? A:",tigers,"hunt prey at night""? a:"
"Q: Which word comes right after ""Susan"" in the sentence ""Susan bought some flowers for her mother""? A:",bought,flowers for her mother?
"Q: In the sentence ""Lucy sent Jane a letter"", which word immediately succeeds the word ""Lucy""? A:",sent,"letter""? a:"
"Q: In the sentence ""I want him to eat asparagus"", which word immediately succeeds the word ""eat""? A:",asparagus,eat?
"Q: Which word comes right after ""butter"" in the sentence ""The king loved peanut butter cookies""? A:",cookies,loved peanut butter cooki
"Q: In the sentence ""Dogs like Kim"", which word comes right after the word ""Dogs""? A:",like,kim is a dog who likes ki
"Q: Which word comes right after ""halfway"" in the sentence ""I sent the package halfway around the world""? A:",around,package halfway around ic
"Q: Which word comes right after ""Ellen"" in the sentence ""Ellen talked with Helen about the problem""? A:",talked,problem?
"Q: In the sentence ""The barber shaved my chin"", which word comes right after the word ""barber""? A:",shaved,shaved my chin my chin my
"Q: In the sentence ""Fred threw the ball behind the tree"", which word comes right after the word ""ball""? A:",behind,threw the ball behind the
"Q: In the sentence ""Susan rode a bright blue train from New York"", which word immediately succeeds the word ""Susan""? A:",rode,bright blue? woray?
"Q: Which word comes right after ""large"" in the sentence ""A large dog chased a small cat""? A:",dog,chased a small cat chased
"Q: In the sentence ""I went to the store and bought some whisky"", which word comes right after the word ""I""? A:",went,whisky?
"Q: In the sentence ""Nora sent the book"", which word immediately succeeds the word ""the""? A:",book,book? a:
"Q: In the sentence ""It is obvious to everybody that Tasha likes Misha"", which word comes right after the word ""to""? A:",everybody,likes misha?
"Q: Which word comes right after ""John"" in the sentence ""John believes Sally to be polite""? A:",believes,politeness?
"Q: Which word comes right after ""the"" in the sentence ""A large ship appeared on the horizon""? A:",horizon,ship appeared on the hori
"Q: In the sentence ""Everyone thinks he is smart"", which word comes right after the word ""is""? A:",smart,smart? a:
"Q: In the sentence ""Dana longs for a sunny day"", which word comes right after the word ""sunny""? A:",day,"day""? a:"
"Q: In the sentence ""That whole wheat flour bakes wonderful bread"", which word comes right after the word ""flour""? A:",bakes,flour bakes wonderfloulou
"Q: Which word comes right after ""package"" in the sentence ""The package weighed ten pounds""? A:",weighed,package weighed ten pound
"Q: In the sentence ""The storm arrived while we ate lunch"", which word immediately succeeds the word ""ate""? A:",lunch,"ate""? a:"
"Q: Which word comes right after ""a"" in the sentence ""It is a problem that he is here""? A:",problem,problem that he is here? 
"Q: Which word comes right after ""The"" in the sentence ""The son took care of his parents""? A:",son,parents took care of his 
"Q: In the sentence ""There remained just a few problems to be solved"", which word immediately succeeds the word ""few""? A:",problems,solved?
"Q: In the sentence ""Jason expected Medea to be treated by the doctor"", which word comes right after the word ""Jason""? A:",expected,expected tofor tor trexpe
"Q: In the sentence ""No one could remove the blood on the wall"", which word immediately succeeds the word ""one""? A:",could,"blood on the wal""? a:"
"Q: In the sentence ""I would like for John to win"", which word immediately succeeds the word ""for""? A:",John,win? a:
"Q: In the sentence ""It seems to be easy to fool Ben"", which word immediately succeeds the word ""be""? A:",easy,easy to fool ben is easy 
"Q: In the sentence ""John wants to leave"", which word comes right after the word ""to""? A:",leave,"wants to leave""? a:"
"Q: Which word comes right after ""to"" in the sentence ""Mary has always preferred lemons to limes""? A:",limes,lemons to limes?
"Q: In the sentence ""Margaret cut the string"", which word comes right after the word ""the""? A:",string,string word comes right a
"Q: In the sentence ""The old and new carts banged together"", which word comes right after the word ""The""? A:",old,carts banged togetherorou
"Q: Which word comes right after ""David"" in the sentence ""David constructed the house""? A:",constructed,constructed the house?
"Q: In the sentence ""The press conjectured that Smith would be the appointee"", which word comes right after the word ""press""? A:",conjectured,pressedededededededededed
"Q: In the sentence ""He looks more formidable than he is"", which word comes right after the word ""more""? A:",formidable,formidable than he isomor
"Q: In the sentence ""He looks more formidable than he is"", which word immediately succeeds the word ""more""? A:",formidable,"formidable""? a:"
"Q: In the sentence ""They saw Bill leave"", which word comes right after the word ""They""? A:",saw,saw bill leave? a:
"Q: In the sentence ""He treats John very nicely"", which word comes right after the word ""He""? A:",treats,treats john very nicely? 
"Q: In the sentence ""I was hunting in the woods"", which word comes right after the word ""the""? A:",woods,woods word comes right af
