Input,Options,Expected,Predicted
"Q: In the sentence ""John arranged for himself to get the prize"", which word immediately precedes the word ""the""? A:","['john', 'arranged', 'for', 'himself', 'to', 'get', 'the', 'prize']",get,john
"Q: In the sentence ""Sally believes that she is brilliant"", which word immediately precedes the word ""that""? A:","['sally', 'believes', 'that', 'she', 'is', 'brilliant']",believes,sally
"Q: In the sentence ""Sue knows the answer"", which word immediately precedes the word ""the""? A:","['sue', 'knows', 'the', 'answer']",knows,answer
"Q: In the sentence ""John is eager to find a new home"", which word comes right before the word ""is""? A:","['john', 'is', 'eager', 'to', 'find', 'a', 'new', 'home']",john,find
"Q: Which word comes right before ""pleased"" in the sentence ""The news pleased the students""? A:","['the', 'news', 'pleased', 'the', 'students']",news,the
"Q: In the sentence ""Over the fort fluttered a large flag"", which word immediately precedes the word ""a""? A:","['over', 'the', 'fort', 'fluttered', 'a', 'large', 'flag']",fluttered,flag
"Q: In the sentence ""I saw John on Sunday"", which word immediately precedes the word ""John""? A:","['i', 'saw', 'john', 'on', 'sunday']",saw,on
"Q: Which word comes right before ""of"" in the sentence ""A serious accident happened in front of them""? A:","['a', 'serious', 'accident', 'happened', 'in', 'front', 'of', 'them']",front,a
"Q: In the sentence ""Brown equipped Jones with a camera"", which word comes right before the word ""with""? A:","['brown', 'equipped', 'jones', 'with', 'a', 'camera']",jones,brown
"Q: Which word comes right before ""to"" in the sentence ""John fed rice to the baby""? A:","['john', 'fed', 'rice', 'to', 'the', 'baby']",rice,baby
"Q: Which word comes right before ""people"" in the sentence ""It annoys people that dogs bark""? A:","['it', 'annoys', 'people', 'that', 'dogs', 'bark']",annoys,bark
"Q: In the sentence ""The old and new carts banged together"", which word comes right before the word ""carts""? A:","['the', 'old', 'and', 'new', 'carts', 'banged', 'together']",new,banged
"Q: In the sentence ""People from Tucson think very highly of themselves"", which word comes right before the word ""of""? A:","['people', 'from', 'tucson', 'think', 'very', 'highly', 'of', 'themselves']",highly,of
"Q: In the sentence ""He continued writing poems"", which word immediately precedes the word ""poems""? A:","['he', 'continued', 'writing', 'poems']",writing,writing
"Q: Which word comes right before ""was"" in the sentence ""Calvin was eating""? A:","['calvin', 'was', 'eating']",calvin,calvin
"Q: In the sentence ""John knows whether she will come back"", which word comes right before the word ""back""? A:","['john', 'knows', 'whether', 'she', 'will', 'come', 'back']",come,back
"Q: In the sentence ""The bandits murdered innocent victims"", which word immediately precedes the word ""innocent""? A:","['the', 'bandits', 'murdered', 'innocent', 'victims']",murdered,bandits
"Q: In the sentence ""Bill sent Tom a package"", which word comes right before the word ""Tom""? A:","['bill', 'sent', 'tom', 'a', 'package']",sent,bill
"Q: Which word comes right before ""lawyer"" in the sentence ""Almost every lawyer could answer that question""? A:","['almost', 'every', 'lawyer', 'could', 'answer', 'that', 'question']",every,question
"Q: Which word comes right before ""to"" in the sentence ""John promised Bill to leave""? A:","['john', 'promised', 'bill', 'to', 'leave']",bill,bill
"Q: In the sentence ""Martha carved the baby a toy out of wood"", which word comes right before the word ""carved""? A:","['martha', 'carved', 'the', 'baby', 'a', 'toy', 'out', 'of', 'wood']",martha,baby
"Q: In the sentence ""It is obvious to everybody that Tasha likes Misha"", which word comes right before the word ""to""? A:","['it', 'is', 'obvious', 'to', 'everybody', 'that', 'tasha', 'likes', 'misha']",obvious,is
"Q: In the sentence ""The farmer loaded the cart with apples"", which word comes right before the word ""with""? A:","['the', 'farmer', 'loaded', 'the', 'cart', 'with', 'apples']",cart,farmer
"Q: Which word comes right before ""this"" in the sentence ""A pilot must be flying this plane""? A:","['a', 'pilot', 'must', 'be', 'flying', 'this', 'plane']",flying,be
"Q: In the sentence ""This violin is difficult to play sonatas on"", which word immediately precedes the word ""is""? A:","['this', 'violin', 'is', 'difficult', 'to', 'play', 'sonatas', 'on']",violin,this
"Q: Which word comes right before ""by"" in the sentence ""Mary was visited by Bill""? A:","['mary', 'was', 'visited', 'by', 'bill']",visited,bill
"Q: Which word comes right before ""on"" in the sentence ""It is easy to play sonatas on this violin""? A:","['it', 'is', 'easy', 'to', 'play', 'sonatas', 'on', 'this', 'violin']",sonatas,sonatas
"Q: In the sentence ""Bill dried the clothes"", which word immediately precedes the word ""the""? A:","['bill', 'dried', 'the', 'clothes']",dried,dried
"Q: In the sentence ""Susan rode a bright blue train from New York"", which word comes right before the word ""blue""? A:","['susan', 'rode', 'a', 'bright', 'blue', 'train', 'from', 'new', 'york']",bright,bright
"Q: In the sentence ""Martina is deathly afraid of spiders"", which word immediately precedes the word ""is""? A:","['martina', 'is', 'deathly', 'afraid', 'of', 'spiders']",martina,martina
"Q: In the sentence ""Carla was shoveling the walk"", which word immediately precedes the word ""was""? A:","['carla', 'was', 'shoveling', 'the', 'walk']",carla,the
"Q: In the sentence ""Mary is taller than six feet"", which word immediately precedes the word ""is""? A:","['mary', 'is', 'taller', 'than', 'six', 'feet']",mary,is
"Q: In the sentence ""I saw John on Sunday"", which word comes right before the word ""on""? A:","['i', 'saw', 'john', 'on', 'sunday']",john,john
"Q: Which word comes right before ""secretary"" in the sentence ""The president declared Smith press secretary""? A:","['the', 'president', 'declared', 'smith', 'press', 'secretary']",press,declared
"Q: In the sentence ""Pat is the captain of the team"", which word comes right before the word ""is""? A:","['pat', 'is', 'the', 'captain', 'of', 'the', 'team']",pat,the
"Q: In the sentence ""The students felt comfortable in the class"", which word comes right before the word ""comfortable""? A:","['the', 'students', 'felt', 'comfortable', 'in', 'the', 'class']",felt,comfortable
"Q: Which word comes right before ""vases"" in the sentence ""Crystal vases break easily""? A:","['crystal', 'vases', 'break', 'easily']",crystal,break
"Q: In the sentence ""I broke the twig and the branch apart"", which word comes right before the word ""apart""? A:","['i', 'broke', 'the', 'twig', 'and', 'the', 'branch', 'apart']",branch,branch
"Q: In the sentence ""A chair was broken"", which word comes right before the word ""was""? A:","['a', 'chair', 'was', 'broken']",chair,broken
"Q: In the sentence ""A chair was broken"", which word immediately precedes the word ""was""? A:","['a', 'chair', 'was', 'broken']",chair,was
"Q: In the sentence ""I ate deep fried muffins"", which word comes right before the word ""fried""? A:","['i', 'ate', 'deep', 'fried', 'muffins']",deep,muffins
"Q: In the sentence ""There appears to be a problem with this solution"", which word comes right before the word ""to""? A:","['there', 'appears', 'to', 'be', 'a', 'problem', 'with', 'this', 'solution']",appears,be
"Q: In the sentence ""Jack sprayed the wall with paint"", which word comes right before the word ""the""? A:","['jack', 'sprayed', 'the', 'wall', 'with', 'paint']",sprayed,with
"Q: In the sentence ""I want to go"", which word comes right before the word ""to""? A:","['i', 'want', 'to', 'go']",want,go
"Q: In the sentence ""A large dog chased a small cat"", which word immediately precedes the word ""cat""? A:","['a', 'large', 'dog', 'chased', 'a', 'small', 'cat']",small,dog
"Q: In the sentence ""John asks in which box he put the book"", which word immediately precedes the word ""in""? A:","['john', 'asks', 'in', 'which', 'box', 'he', 'put', 'the', 'book']",asks,put
"Q: Which word comes right before ""to"" in the sentence ""She tried to leave""? A:","['she', 'tried', 'to', 'leave']",tried,she
"Q: In the sentence ""Much of that theory is unfounded"", which word comes right before the word ""is""? A:","['much', 'of', 'that', 'theory', 'is', 'unfounded']",theory,is
"Q: Which word comes right before ""lunch"" in the sentence ""The storm arrived while we ate lunch""? A:","['the', 'storm', 'arrived', 'while', 'we', 'ate', 'lunch']",ate,the
"Q: In the sentence ""Mary is more than six feet tall"", which word immediately precedes the word ""feet""? A:","['mary', 'is', 'more', 'than', 'six', 'feet', 'tall']",six,is
"Q: In the sentence ""John told us which book we should review"", which word immediately precedes the word ""us""? A:","['john', 'told', 'us', 'which', 'book', 'we', 'should', 'review']",told,book
"Q: Which word comes right before ""talked"" in the sentence ""Ellen talked with Helen""? A:","['ellen', 'talked', 'with', 'helen']",ellen,helen
"Q: In the sentence ""Nora sent the book from Paris to London"", which word comes right before the word ""the""? A:","['nora', 'sent', 'the', 'book', 'from', 'paris', 'to', 'london']",sent,book
"Q: Which word comes right before ""promised"" in the sentence ""John promised us to be gentle""? A:","['john', 'promised', 'us', 'to', 'be', 'gentle']",john,gentle
"Q: In the sentence ""It is likely that Bill likes chocolate"", which word comes right before the word ""chocolate""? A:","['it', 'is', 'likely', 'that', 'bill', 'likes', 'chocolate']",likes,is
"Q: Which word comes right before ""at"" in the sentence ""We ate at a really fancy restaurant""? A:","['we', 'ate', 'at', 'a', 'really', 'fancy', 'restaurant']",ate,we
"Q: In the sentence ""That picture of Susan offended her"", which word immediately precedes the word ""her""? A:","['that', 'picture', 'of', 'susan', 'offended', 'her']",offended,offended
"Q: In the sentence ""Wickham eloped with Lydia"", which word comes right before the word ""with""? A:","['wickham', 'eloped', 'with', 'lydia']",eloped,lydia
"Q: Which word comes right before ""Mary"" in the sentence ""John has not kissed Mary""? A:","['john', 'has', 'not', 'kissed', 'mary']",kissed,john
"Q: In the sentence ""It is nice to go abroad"", which word immediately precedes the word ""to""? A:","['it', 'is', 'nice', 'to', 'go', 'abroad']",nice,is
"Q: In the sentence ""Gary and Kevin ran themselves into exhaustion"", which word comes right before the word ""ran""? A:","['gary', 'and', 'kevin', 'ran', 'themselves', 'into', 'exhaustion']",kevin,kevin
"Q: In the sentence ""The witch vanished into the forest"", which word comes right before the word ""into""? A:","['the', 'witch', 'vanished', 'into', 'the', 'forest']",vanished,vanished
"Q: In the sentence ""I am fond of circus performers"", which word comes right before the word ""performers""? A:","['i', 'am', 'fond', 'of', 'circus', 'performers']",circus,performers
"Q: In the sentence ""We made enough puddings to last for days"", which word comes right before the word ""puddings""? A:","['we', 'made', 'enough', 'puddings', 'to', 'last', 'for', 'days']",enough,days
"Q: In the sentence ""Amanda carried the package from Boston to New York"", which word comes right before the word ""to""? A:","['amanda', 'carried', 'the', 'package', 'from', 'boston', 'to', 'new', 'york']",boston,boston
