Input,Options,Expected,Predicted
"F: Welches Wort ist kuerzer, ""einfach"" oder ""mehr""? A:","['einfach', 'mehr']",mehr,"mehr""? a:"
"F: Welches Wort ist kuerzer, ""gedanke"" oder ""war""? A:","['gedanke', 'war']",war,"wardens ort""? a:"
"F: Welches Wort ist kuerzer, ""dann"" oder ""einfach""? A:","['dann', 'einfach']",dann,"dann"" oder ""einfach""? a:"
"F: Welches Wort hat weniger Buchstaben, ""in"" oder ""sollen""? A:","['in', 'sollen']",in,"in ""in""? a:"
"Von den Woertern ""sich"" und ""geborene"", welches hat weniger Buchstaben? ","['sich', 'geborene']",sich,sich?
"F: Welches Wort ist kuerzer, ""man"" oder ""einfach""? A:","['man', 'einfach']",man,"man""? a:"
"F: Welches Wort ist kuerzer, ""sie"" oder ""namenlos""? A:","['sie', 'namenlos']",sie,"sie"" oder ""namenlos""? a:"
"Von den Woertern ""entsteht"" und ""noch"", welches hat weniger Buchstaben? ","['entsteht', 'noch']",noch,entsteht?
"F: Welches Wort hat weniger Buchstaben, ""er"" oder ""ungerne""? A:","['er', 'ungerne']",er,"ungerne"" oder ""ungerne""? "
"Von den Woertern ""darueber"" und ""sowie"", welches hat weniger Buchstaben? ","['darueber', 'sowie']",sowie,"sowier""?"
"Von den Woertern ""will"" und ""bekannte"", welches hat weniger Buchstaben? ","['will', 'bekannte']",will,will?
"F: Welches Wort hat weniger Buchstaben, ""nichts"" oder ""im""? A:","['nichts', 'im']",im,"im ""nichts""? a:"
"F: Welches Wort hat weniger Buchstaben, ""koennt"" oder ""sie""? A:","['koennt', 'sie']",sie,koennt? a:
"F: Welches Wort ist kuerzer, ""gezeigt"" oder ""auch""? A:","['gezeigt', 'auch']",auch,auch? a:
"Von den Woertern ""daran"" und ""zwischen"", welches hat weniger Buchstaben? ","['daran', 'zwischen']",daran,zwischen?
"F: Welches Wort hat weniger Buchstaben, ""fragen"" oder ""nie""? A:","['fragen', 'nie']",nie,fragen?
"F: Welches Wort ist kuerzer, ""ist"" oder ""anderen""? A:","['ist', 'anderen']",ist,"ist kuerzer, ""ist""? a:"
"F: Welches Wort hat weniger Buchstaben, ""ungerne"" oder ""ob""? A:","['ungerne', 'ob']",ob,"ob""? a:"
"Von den Woertern ""allen"" und ""abschied"", welches hat weniger Buchstaben? ","['allen', 'abschied']",allen,abschied?
"Von den Woertern ""zwischen"" und ""diese"", welches hat weniger Buchstaben? ","['zwischen', 'diese']",diese,"diese""?"
"F: Welches Wort hat weniger Buchstaben, ""im"" oder ""mulmig""? A:","['im', 'mulmig']",im,"im"" oder ""mulmig""? a:"
"F: Welches Wort hat weniger Buchstaben, ""ja"" oder ""anteil""? A:","['ja', 'anteil']",ja,"anteil""? a:"
"F: Welches Wort hat weniger Buchstaben, ""los"" oder ""besser""? A:","['los', 'besser']",los,"los""? a:"
"Von den Woertern ""beispiel"" und ""auch"", welches hat weniger Buchstaben? ","['beispiel', 'auch']",auch,"auch""?"
"F: Welches Wort ist kuerzer, ""und"" oder ""abschied""? A:","['und', 'abschied']",und,abschied? a:
"Von den Woertern ""unter"" und ""erfahrung"", welches hat weniger Buchstaben? ","['unter', 'erfahrung']",unter,"unter""?"
"Von den Woertern ""wurde"" und ""bruellen"", welches hat weniger Buchstaben? ","['wurde', 'bruellen']",wurde,wurder?
"F: Welches Wort ist kuerzer, ""ehe"" oder ""pulvrig""? A:","['ehe', 'pulvrig']",ehe,"pulvrig ist kuerzer, ""ehe"
"F: Welches Wort hat weniger Buchstaben, ""weinen"" oder ""ja""? A:","['weinen', 'ja']",ja,"ja""? a:"
"F: Welches Wort ist kuerzer, ""nie"" oder ""mehrere""? A:","['nie', 'mehrere']",nie,mehrerererererererererere
"F: Welches Wort ist kuerzer, ""und"" oder ""einfach""? A:","['und', 'einfach']",und,"und""? a:"
"F: Welches Wort ist kuerzer, ""nie"" oder ""gespuert""? A:","['nie', 'gespuert']",nie,"gespuert""? a:"
"F: Welches Wort hat weniger Buchstaben, ""fragen"" oder ""man""? A:","['fragen', 'man']",man,"fragen""? a:"
"Von den Woertern ""sowie"" und ""verlusten"", welches hat weniger Buchstaben? ","['sowie', 'verlusten']",sowie,sowierkerkerkerkerkerkerk
"F: Welches Wort hat weniger Buchstaben, ""ja"" oder ""bagger""? A:","['ja', 'bagger']",ja,"bagger""? a:"
"F: Welches Wort hat weniger Buchstaben, ""all"" oder ""gebiss""? A:","['all', 'gebiss']",all,"all"" oder ""gebiss""? a:"
"Von den Woertern ""tuefteln"" und ""mehr"", welches hat weniger Buchstaben? ","['tuefteln', 'mehr']",mehr,"mehr""?"
"F: Welches Wort hat weniger Buchstaben, ""am"" oder ""pulvrig""? A:","['am', 'pulvrig']",am,"am"" oder ""pulvrig""? a:"
"F: Welches Wort hat weniger Buchstaben, ""ja"" oder ""jemand""? A:","['ja', 'jemand']",ja,jamaichen?
"F: Welches Wort ist kuerzer, ""bedeutet"" oder ""der""? A:","['bedeutet', 'der']",der,"der""? a:"
"F: Welches Wort hat weniger Buchstaben, ""so"" oder ""sehen ""? A:","['so', 'sehen ']",so,"sehen ""so""? a:"
"F: Welches Wort hat weniger Buchstaben, ""laufen"" oder ""im""? A:","['laufen', 'im']",im,"im ald ""laufen""? a:"
"F: Welches Wort hat weniger Buchstaben, ""da"" oder ""anderen""? A:","['da', 'anderen']",da,"anderen""? a:"
"F: Welches Wort hat weniger Buchstaben, ""laufen"" oder ""mit""? A:","['laufen', 'mit']",mit,"laufen""? a:"
"F: Welches Wort ist kuerzer, ""bedrohen"" oder ""weg""? A:","['bedrohen', 'weg']",weg,weg? a:
"F: Welches Wort ist kuerzer, ""all"" oder ""bruellen""? A:","['all', 'bruellen']",all,"all"" oder ""bruellen""? a:"
"Von den Woertern ""blamabel"" und ""heut"", welches hat weniger Buchstaben? ","['blamabel', 'heut']",heut,heute?
"F: Welches Wort hat weniger Buchstaben, ""am"" oder ""denken""? A:","['am', 'denken']",am,"am"" oder ""am""? a:"
"Von den Woertern ""tadellos"" und ""haben"", welches hat weniger Buchstaben? ","['tadellos', 'haben']",haben,haben?
"F: Welches Wort ist kuerzer, ""irgendwo"" oder ""war""? A:","['irgendwo', 'war']",war,"irgendwo"" oder ""war""? a:"
"F: Welches Wort ist kuerzer, ""wertlos"" oder ""ich""? A:","['wertlos', 'ich']",ich,"ich""? a:"
"Von den Woertern ""noch"" und ""offensiv"", welches hat weniger Buchstaben? ","['noch', 'offensiv']",noch,noch?
"F: Welches Wort hat weniger Buchstaben, ""bagger"" oder ""ab""? A:","['bagger', 'ab']",ab,"bagger""? a:"
"Von den Woertern ""heut"" und ""darueber"", welches hat weniger Buchstaben? ","['heut', 'darueber']",heut,"darueber""?"
"F: Welches Wort hat weniger Buchstaben, ""tragen"" oder ""er""? A:","['tragen', 'er']",er,"tragen""? a:"
"Von den Woertern ""unter"" und ""verzichts"", welches hat weniger Buchstaben? ","['unter', 'verzichts']",unter,"unter""?"
"F: Welches Wort ist kuerzer, ""bekannte"" oder ""und""? A:","['bekannte', 'und']",und,"und""? a:"
"F: Welches Wort hat weniger Buchstaben, ""aus"" oder ""tragen""? A:","['aus', 'tragen']",aus,"aus""? a:"
"Von den Woertern ""dabei"" und ""blamabel"", welches hat weniger Buchstaben? ","['dabei', 'blamabel']",dabei,"dabei""?"
"F: Welches Wort ist kuerzer, ""mehrere"" oder ""die""? A:","['mehrere', 'die']",die,mehrerererererererererere
"F: Welches Wort hat weniger Buchstaben, ""weinen"" oder ""mit""? A:","['weinen', 'mit']",mit,"weinen ""weinen""? a:"
"F: Welches Wort hat weniger Buchstaben, ""das"" oder ""denken""? A:","['das', 'denken']",das,"das erste""? a:"
"F: Welches Wort hat weniger Buchstaben, ""nun"" oder ""koennt""? A:","['nun', 'koennt']",nun,koennt? a:
"F: Welches Wort hat weniger Buchstaben, ""koennt"" oder ""um""? A:","['koennt', 'um']",um,"um""? a:"
"F: Welches Wort hat weniger Buchstaben, ""gebiss"" oder ""im""? A:","['gebiss', 'im']",im,"im ""gebiss""? a:"
"F: Welches Wort ist kuerzer, ""lebende"" oder ""war""? A:","['lebende', 'war']",war,"warden""? a:"
"F: Welches Wort ist kuerzer, ""rot"" oder ""gedanke""? A:","['rot', 'gedanke']",rot,"rot""? a:"
"F: Welches Wort ist kuerzer, ""mit"" oder ""bedrohen""? A:","['mit', 'bedrohen']",mit,"mit""? a:"
"F: Welches Wort ist kuerzer, ""weg"" oder ""zwischen""? A:","['weg', 'zwischen']",weg,"zwischen ""weg""? a:"
"F: Welches Wort hat weniger Buchstaben, ""anderen"" oder ""ja""? A:","['anderen', 'ja']",ja,"anderen"" oder ""ja""? a:"
"F: Welches Wort ist kuerzer, ""los"" oder ""beispiel""? A:","['los', 'beispiel']",los,"los""? a:"
"Von den Woertern ""offensiv"" und ""unter"", welches hat weniger Buchstaben? ","['offensiv', 'unter']",unter,"unter""?"
"Von den Woertern ""waren"" und ""irgendwo"", welches hat weniger Buchstaben? ","['waren', 'irgendwo']",waren,irgendwood?
"F: Welches Wort ist kuerzer, ""beweise"" oder ""hier""? A:","['beweise', 'hier']",hier,"hier""? a:"
"F: Welches Wort hat weniger Buchstaben, ""denken"" oder ""zu""? A:","['denken', 'zu']",zu,"denken"" oder ""zu""? a:"
"F: Welches Wort hat weniger Buchstaben, ""ich"" oder ""sollen""? A:","['ich', 'sollen']",ich,"ich"" oder ""wenn""? a:"
"Von den Woertern ""zeit"" und ""variabel"", welches hat weniger Buchstaben? ","['zeit', 'variabel']",zeit,zeit?
"Von den Woertern ""blamabel"" und ""allen"", welches hat weniger Buchstaben? ","['blamabel', 'allen']",allen,allen?
"Von den Woertern ""muss"" und ""offensiv"", welches hat weniger Buchstaben? ","['muss', 'offensiv']",muss,offensive?
"Von den Woertern ""geborene"" und ""viel"", welches hat weniger Buchstaben? ","['geborene', 'viel']",viel,"viel""?"
"F: Welches Wort ist kuerzer, ""gedanke"" oder ""wenn""? A:","['gedanke', 'wenn']",wenn,"wenn"" oder ""wenn""? a:"
"F: Welches Wort ist kuerzer, ""dann"" oder ""pulvrig""? A:","['dann', 'pulvrig']",dann,pulvrig?
"F: Welches Wort hat weniger Buchstaben, ""all"" oder ""tragen""? A:","['all', 'tragen']",all,"all"" oder ""wenn""? a:"
"F: Welches Wort ist kuerzer, ""ungerne"" oder ""dann""? A:","['ungerne', 'dann']",dann,"ungerne"" oder ""ungerne""? "
"Von den Woertern ""heut"" und ""beweise"", welches hat weniger Buchstaben? ","['heut', 'beweise']",heut,"heut""?"
"F: Welches Wort hat weniger Buchstaben, ""jemand"" oder ""er""? A:","['jemand', 'er']",er,"ert""? a:"
"Von den Woertern ""offensiv"" und ""lang"", welches hat weniger Buchstaben? ","['offensiv', 'lang']",lang,offensive?
"F: Welches Wort ist kuerzer, ""bedrohen"" oder ""die""? A:","['bedrohen', 'die']",die,"die""? a:"
"Von den Woertern ""zwischen"" und ""viel"", welches hat weniger Buchstaben? ","['zwischen', 'viel']",viel,zwischen?
"Von den Woertern ""daher"" und ""verlieren"", welches hat weniger Buchstaben? ","['daher', 'verlieren']",daher,daher?
"F: Welches Wort hat weniger Buchstaben, ""am"" oder ""mehrere""? A:","['am', 'mehrere']",am,"am""? a:"
"F: Welches Wort ist kuerzer, ""rot"" oder ""einfach""? A:","['rot', 'einfach']",rot,"rot""? a:"
"Von den Woertern ""erst"" und ""verloren"", welches hat weniger Buchstaben? ","['erst', 'verloren']",erst,erstern?
"F: Welches Wort ist kuerzer, ""rot"" oder ""beweise""? A:","['rot', 'beweise']",rot,beweise?
"F: Welches Wort ist kuerzer, ""auch"" oder ""bestens""? A:","['auch', 'bestens']",auch,auch? a:
"F: Welches Wort hat weniger Buchstaben, ""voellig"" oder ""er""? A:","['voellig', 'er']",er,"ert""? a:"
"Von den Woertern ""variabel"" und ""daher"", welches hat weniger Buchstaben? ","['variabel', 'daher']",daher,daher?
"Von den Woertern ""sind"" und ""tadellos"", welches hat weniger Buchstaben? ","['sind', 'tadellos']",sind,sind?
"F: Welches Wort hat weniger Buchstaben, ""du"" oder ""tragen""? A:","['du', 'tragen']",du,"du"" oder ""wenn""? a:"
"F: Welches Wort ist kuerzer, ""geborene"" oder ""rot""? A:","['geborene', 'rot']",rot,"geborene"" oder ""geborene"""
"Von den Woertern ""dann"" und ""beispiel"", welches hat weniger Buchstaben? ","['dann', 'beispiel']",dann,"dann""?"
"F: Welches Wort hat weniger Buchstaben, ""analog"" oder ""im""? A:","['analog', 'im']",im,analog
"F: Welches Wort hat weniger Buchstaben, ""graben"" oder ""ist""? A:","['graben', 'ist']",ist,ist? a:
"F: Welches Wort ist kuerzer, ""offensiv"" oder ""war""? A:","['offensiv', 'war']",war,offensive? a:
"F: Welches Wort ist kuerzer, ""solches"" oder ""nie""? A:","['solches', 'nie']",nie,"solches ort ist kuerzer, "
"F: Welches Wort hat weniger Buchstaben, ""mulmig"" oder ""ehe""? A:","['mulmig', 'ehe']",ehe,"mulmig""? a:"
"F: Welches Wort ist kuerzer, ""ganz"" oder ""anderen""? A:","['ganz', 'anderen']",ganz,"anderen""? a:"
"F: Welches Wort hat weniger Buchstaben, ""gewinnt"" oder ""an""? A:","['gewinnt', 'an']",an,"anderen""? a:"
"F: Welches Wort hat weniger Buchstaben, ""zu"" oder ""bagger""? A:","['zu', 'bagger']",zu,"bagger""? a:"
"F: Welches Wort ist kuerzer, ""ehe"" oder ""namenlos""? A:","['ehe', 'namenlos']",ehe,"namenlos""? a:"
"Von den Woertern ""reden"" und ""effizient"", welches hat weniger Buchstaben? ","['reden', 'effizient']",reden,reden?
"F: Welches Wort hat weniger Buchstaben, ""wertlos"" oder ""um""? A:","['wertlos', 'um']",um,"um""? a:"
"Von den Woertern ""dabei"" und ""bedeutung"", welches hat weniger Buchstaben? ","['dabei', 'bedeutung']",dabei,"dabei""?"
"Von den Woertern ""sich"" und ""anderen"", welches hat weniger Buchstaben? ","['sich', 'anderen']",sich,sich?
"F: Welches Wort hat weniger Buchstaben, ""gezeigt"" oder ""in""? A:","['gezeigt', 'in']",in,"in ""gezeigt""? a:"
"Von den Woertern ""zwischen"" und ""nach"", welches hat weniger Buchstaben? ","['zwischen', 'nach']",nach,zwischen?
"F: Welches Wort hat weniger Buchstaben, ""am"" oder ""mulmig""? A:","['am', 'mulmig']",am,"am""? a:"
"F: Welches Wort hat weniger Buchstaben, ""am"" oder ""wertlos""? A:","['am', 'wertlos']",am,"am"" oder ""wertlos""? a:"
"F: Welches Wort ist kuerzer, ""voellig"" oder ""rot""? A:","['voellig', 'rot']",rot,"rot""? a:"
"F: Welches Wort ist kuerzer, ""mehrere"" oder ""zeit""? A:","['mehrere', 'zeit']",zeit,mehrerererererererererere
"Von den Woertern ""iteration"" und ""waren"", welches hat weniger Buchstaben? ","['iteration', 'waren']",waren,"waren""?"
"F: Welches Wort ist kuerzer, ""darueber"" oder ""die""? A:","['darueber', 'die']",die,"darueber""? a:"
"F: Welches Wort hat weniger Buchstaben, ""aus"" oder ""anteil""? A:","['aus', 'anteil']",aus,anteil?
"F: Welches Wort ist kuerzer, ""beenden"" oder ""noch""? A:","['beenden', 'noch']",noch,beenden?
"F: Welches Wort ist kuerzer, ""ungerne"" oder ""nun""? A:","['ungerne', 'nun']",nun,"ungerne"" oder ""ungerne""? "
"Von den Woertern ""dann"" und ""erzaehlt"", welches hat weniger Buchstaben? ","['dann', 'erzaehlt']",dann,"dann""?"
"F: Welches Wort ist kuerzer, ""lebende"" oder ""erst""? A:","['lebende', 'erst']",erst,"erst""? a:"
"F: Welches Wort hat weniger Buchstaben, ""meinen"" oder ""ehe""? A:","['meinen', 'ehe']",ehe,"meinen"" oder ""meinen""? a:"
"F: Welches Wort hat weniger Buchstaben, ""aus"" oder ""einmal""? A:","['aus', 'einmal']",aus,"aus""? a:"
"F: Welches Wort hat weniger Buchstaben, ""los"" oder ""graben""? A:","['los', 'graben']",los,graben?
"Von den Woertern ""bedeutet"" und ""ganz"", welches hat weniger Buchstaben? ","['bedeutet', 'ganz']",ganz,bedeutetetetetetetetetete
"F: Welches Wort ist kuerzer, ""das"" oder ""wirklich""? A:","['das', 'wirklich']",das,wirklich? a:
"F: Welches Wort ist kuerzer, ""mehr"" oder ""pulvrig""? A:","['mehr', 'pulvrig']",mehr,pulvrig?
"F: Welches Wort ist kuerzer, ""nach"" oder ""pulvrig""? A:","['nach', 'pulvrig']",nach,pulvrig?
"F: Welches Wort hat weniger Buchstaben, ""rot"" oder ""analog""? A:","['rot', 'analog']",rot,analog
"F: Welches Wort hat weniger Buchstaben, ""abholen"" oder ""so""? A:","['abholen', 'so']",so,"abholen""? a:"
"F: Welches Wort hat weniger Buchstaben, ""tragen"" oder ""so""? A:","['tragen', 'so']",so,so?
"F: Welches Wort ist kuerzer, ""gedanke"" oder ""auch""? A:","['gedanke', 'auch']",auch,auch? a:
"F: Welches Wort ist kuerzer, ""voellig"" oder ""sie""? A:","['voellig', 'sie']",sie,"sie""? a:"
"Von den Woertern ""zeit"" und ""versucht"", welches hat weniger Buchstaben? ","['zeit', 'versucht']",zeit,zeit?
"Von den Woertern ""geborene"" und ""lang"", welches hat weniger Buchstaben? ","['geborene', 'lang']",lang,"geborene""?"
"F: Welches Wort ist kuerzer, ""bestens"" oder ""rot""? A:","['bestens', 'rot']",rot,"bestens"" oder ""bestens""? "
"Von den Woertern ""bekannte"" und ""hier"", welches hat weniger Buchstaben? ","['bekannte', 'hier']",hier,"hier""?"
"Von den Woertern ""versucht"" und ""daran"", welches hat weniger Buchstaben? ","['versucht', 'daran']",daran,"daran""?"
"Von den Woertern ""bedrohen"" und ""kann"", welches hat weniger Buchstaben? ","['bedrohen', 'kann']",kann,"kann""?"
"F: Welches Wort hat weniger Buchstaben, ""pulvrig"" oder ""so""? A:","['pulvrig', 'so']",so,pulvrig? a:
"Von den Woertern ""dann"" und ""ehrenlos"", welches hat weniger Buchstaben? ","['dann', 'ehrenlos']",dann,"dann""?"
"Von den Woertern ""ganz"" und ""darueber"", welches hat weniger Buchstaben? ","['ganz', 'darueber']",ganz,"darueber""?"
"Von den Woertern ""ungerne"" und ""sehr"", welches hat weniger Buchstaben? ","['ungerne', 'sehr']",sehr,"ungerne""?"
"F: Welches Wort hat weniger Buchstaben, ""um"" oder ""besser""? A:","['um', 'besser']",um,"um""? a:"
"F: Welches Wort ist kuerzer, ""wenn"" oder ""bestens""? A:","['wenn', 'bestens']",wenn,"bestens"" oder ""wenn""? a:"
"Von den Woertern ""nicht"" und ""idiotisch"", welches hat weniger Buchstaben? ","['nicht', 'idiotisch']",nicht,idiotisch?
"F: Welches Wort hat weniger Buchstaben, ""der"" oder ""wertlos""? A:","['der', 'wertlos']",der,"wertlos""? a:"
"Von den Woertern ""bruellen"" und ""dann"", welches hat weniger Buchstaben? ","['bruellen', 'dann']",dann,"dann""?"
"F: Welches Wort hat weniger Buchstaben, ""im"" oder ""pulvrig""? A:","['im', 'pulvrig']",im,"im ""pulvrig""? a:"
"F: Welches Wort ist kuerzer, ""will"" oder ""voellig""? A:","['will', 'voellig']",will,"will, will?"
"F: Welches Wort hat weniger Buchstaben, ""nichts"" oder ""so""? A:","['nichts', 'so']",so,"nichts""? a:"
"Von den Woertern ""gespuert"" und ""waren"", welches hat weniger Buchstaben? ","['gespuert', 'waren']",waren,"waren""?"
"F: Welches Wort ist kuerzer, ""nun"" oder ""ehrenlos""? A:","['nun', 'ehrenlos']",nun,"nun"" oder ""ehrenlos""? a:"
"Von den Woertern ""waren"" und ""verloren"", welches hat weniger Buchstaben? ","['waren', 'verloren']",waren,"waren""?"
"F: Welches Wort ist kuerzer, ""ehrenlos"" oder ""rot""? A:","['ehrenlos', 'rot']",rot,"rot""? a:"
"F: Welches Wort ist kuerzer, ""kann"" oder ""mehrere""? A:","['kann', 'mehrere']",kann,mehrerererererererererere
"F: Welches Wort hat weniger Buchstaben, ""in"" oder ""wuerde""? A:","['in', 'wuerde']",in,"in ""wuerde""? a:"
"F: Welches Wort hat weniger Buchstaben, ""analog"" oder ""die""? A:","['analog', 'die']",die,"analog""? a:"
"F: Welches Wort ist kuerzer, ""auch"" oder ""abholen""? A:","['auch', 'abholen']",auch,"abholen""? a:"
"F: Welches Wort ist kuerzer, ""das"" oder ""tuefteln""? A:","['das', 'tuefteln']",das,"tuefteln ist kuerzer, ""da"
"F: Welches Wort hat weniger Buchstaben, ""analog"" oder ""es""? A:","['analog', 'es']",es,analog
"Von den Woertern ""versucht"" und ""wurde"", welches hat weniger Buchstaben? ","['versucht', 'wurde']",wurde,versucht?
"Von den Woertern ""gespuert"" und ""sind"", welches hat weniger Buchstaben? ","['gespuert', 'sind']",sind,sind?
"F: Welches Wort hat weniger Buchstaben, ""der"" oder ""mulmig""? A:","['der', 'mulmig']",der,"mulmig""? a:"
"Von den Woertern ""daher"" und ""jobcenter"", welches hat weniger Buchstaben? ","['daher', 'jobcenter']",daher,daher?
"Von den Woertern ""nicht"" und ""tadellos"", welches hat weniger Buchstaben? ","['nicht', 'tadellos']",nicht,"tadellos""?"
"F: Welches Wort ist kuerzer, ""tuefteln"" oder ""man""? A:","['tuefteln', 'man']",man,"man""? a:"
"F: Welches Wort hat weniger Buchstaben, ""aus"" oder ""sollen""? A:","['aus', 'sollen']",aus,"aus"" oder ""wenn""? a:"
"Von den Woertern ""wirklich"" und ""waren"", welches hat weniger Buchstaben? ","['wirklich', 'waren']",waren,"waren""ren""?"
"F: Welches Wort ist kuerzer, ""lebende"" oder ""nun""? A:","['lebende', 'nun']",nun,"nun""? a:"
"Von den Woertern ""erzaehlt"" und ""will"", welches hat weniger Buchstaben? ","['erzaehlt', 'will']",will,will?
"F: Welches Wort ist kuerzer, ""beweise"" oder ""nach""? A:","['beweise', 'nach']",nach,"nach""? a:"
"F: Welches Wort hat weniger Buchstaben, ""anteil"" oder ""der""? A:","['anteil', 'der']",der,"anteil"" oder ""wenn""? a:"
"F: Welches Wort ist kuerzer, ""versucht"" oder ""neu""? A:","['versucht', 'neu']",neu,"versucht"" oder ""neu""? a:"
"F: Welches Wort hat weniger Buchstaben, ""ab"" oder ""gezeigt""? A:","['ab', 'gezeigt']",ab,"ab"" oder ""ab""? a:"
"Von den Woertern ""dabei"" und ""variabel"", welches hat weniger Buchstaben? ","['dabei', 'variabel']",dabei,"dabei""?"
"F: Welches Wort ist kuerzer, ""gewinnt"" oder ""wenn""? A:","['gewinnt', 'wenn']",wenn,"wenn"" oder ""wenn""? a:"
"Von den Woertern ""gemeinsam"" und ""wurde"", welches hat weniger Buchstaben? ","['gemeinsam', 'wurde']",wurde,wurder?
"F: Welches Wort hat weniger Buchstaben, ""da"" oder ""denken""? A:","['da', 'denken']",da,"da""? a:"
"F: Welches Wort hat weniger Buchstaben, ""koennt"" oder ""so""? A:","['koennt', 'so']",so,koennt? a:
"F: Welches Wort hat weniger Buchstaben, ""fragen"" oder ""so""? A:","['fragen', 'so']",so,fragen?
"Von den Woertern ""hier"" und ""gespuert"", welches hat weniger Buchstaben? ","['hier', 'gespuert']",hier,"hier""?"
"F: Welches Wort ist kuerzer, ""sie"" oder ""abschied""? A:","['sie', 'abschied']",sie,abschied? a:
"F: Welches Wort ist kuerzer, ""blamabel"" oder ""los""? A:","['blamabel', 'los']",los,"los""? a:"
"F: Welches Wort hat weniger Buchstaben, ""wissen"" oder ""man""? A:","['wissen', 'man']",man,"wissen""? a:"
"F: Welches Wort ist kuerzer, ""das"" oder ""pulvrig""? A:","['das', 'pulvrig']",das,pulvrig? a:
"F: Welches Wort ist kuerzer, ""wertlos"" oder ""ganz""? A:","['wertlos', 'ganz']",ganz,"wertlos""? a:"
"F: Welches Wort hat weniger Buchstaben, ""ob"" oder ""gedanke""? A:","['ob', 'gedanke']",ob,"ob"" oder ""ob""? a:"
"F: Welches Wort ist kuerzer, ""gewinnt"" oder ""das""? A:","['gewinnt', 'das']",das,"das erste ort ""gewinnt""? "
"Von den Woertern ""ehrenlos"" und ""wurde"", welches hat weniger Buchstaben? ","['ehrenlos', 'wurde']",wurde,wurder?
"F: Welches Wort hat weniger Buchstaben, ""voellig"" oder ""es""? A:","['voellig', 'es']",es,"es""? a:"
"Von den Woertern ""lang"" und ""zwischen"", welches hat weniger Buchstaben? ","['lang', 'zwischen']",lang,zwischen?
"F: Welches Wort hat weniger Buchstaben, ""bagger"" oder ""nun""? A:","['bagger', 'nun']",nun,bagger? a:
"F: Welches Wort hat weniger Buchstaben, ""denken"" oder ""in""? A:","['denken', 'in']",in,index?
"F: Welches Wort ist kuerzer, ""ehe"" oder ""gedanke""? A:","['ehe', 'gedanke']",ehe,"gedanker""? a:"
"F: Welches Wort ist kuerzer, ""heut"" oder ""abholen""? A:","['heut', 'abholen']",heut,"abholen""? a:"
"F: Welches Wort hat weniger Buchstaben, ""einmal"" oder ""ab""? A:","['einmal', 'ab']",ab,"ab""? a:"
"Von den Woertern ""geborene"" und ""dabei"", welches hat weniger Buchstaben? ","['geborene', 'dabei']",dabei,"dabei""?"
"F: Welches Wort ist kuerzer, ""anderen"" oder ""bald""? A:","['anderen', 'bald']",bald,"anderen"" oder ""bald""? a:"
"F: Welches Wort ist kuerzer, ""das"" oder ""darueber""? A:","['das', 'darueber']",das,"darueber""? a:"
"Von den Woertern ""mehr"" und ""erzaehlt"", welches hat weniger Buchstaben? ","['mehr', 'erzaehlt']",mehr,"mehr""?"
"Von den Woertern ""mehr"" und ""tadellos"", welches hat weniger Buchstaben? ","['mehr', 'tadellos']",mehr,"tadellos""?"
"F: Welches Wort hat weniger Buchstaben, ""einmal"" oder ""die""? A:","['einmal', 'die']",die,"die""? a:"
"Von den Woertern ""wenn"" und ""geborene"", welches hat weniger Buchstaben? ","['wenn', 'geborene']",wenn,wenn?
"Von den Woertern ""auch"" und ""bekannte"", welches hat weniger Buchstaben? ","['auch', 'bekannte']",auch,auch?
