Input,Options,Expected,Predicted
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Gabel"" oder ""Wand""? A:","['gabel', 'wand']",Gabel,gabel
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Qualm"" oder ""Vogel""? A:","['qualm', 'vogel']",Qualm,qualm
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Hut"" oder ""Hammer""? A:","['hut', 'hammer']",Hammer,hammer
"F: In alphabetischer Reihenfolge, welches der Wörter ""Maske"" und ""Ente"" kommt zuerst? A:","['maske', 'ente']",Ente,ente
"Welches von den Wörtern ""Teller"" und ""Lampe"", kommt alphabetisch zuerst? ","['teller', 'lampe']",Lampe,teller
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Uhr"" oder ""Wiese""? A:","['uhr', 'wiese']",Uhr,uhr
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Zelt"" oder ""Rakete""? A:","['zelt', 'rakete']",Rakete,rakete
"Welches von den Wörtern ""Milch"" und ""Erdbeere"", kommt alphabetisch zuerst? ","['milch', 'erdbeere']",Erdbeere,erdbeere
"F: In alphabetischer Reihenfolge, welches der Wörter ""Erdbeere"" und ""Haus"" kommt zuerst? A:","['erdbeere', 'haus']",Erdbeere,haus
"Welches von den Wörtern ""Ufer"" und ""Glas"", kommt alphabetisch zuerst? ","['ufer', 'glas']",Glas,ufer
"Welches von den Wörtern ""Oma"" und ""Lied"", kommt alphabetisch zuerst? ","['oma', 'lied']",Lied,oma
"F: In alphabetischer Reihenfolge, welches der Wörter ""Journal"" und ""Apfel"" kommt zuerst? A:","['journal', 'apfel']",Apfel,apfel
"F: In alphabetischer Reihenfolge, welches der Wörter ""Urlaub"" und ""Lampe"" kommt zuerst? A:","['urlaub', 'lampe']",Lampe,lampe
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Insekt"" oder ""Gabel""? A:","['insekt', 'gabel']",Gabel,insekt
"Welches von den Wörtern ""Ampel"" und ""Hose"", kommt alphabetisch zuerst? ","['ampel', 'hose']",Ampel,hose
"F: In alphabetischer Reihenfolge, welches der Wörter ""Birne"" und ""Qualle"" kommt zuerst? A:","['birne', 'qualle']",Birne,qualle
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Tasse"" oder ""Jeans""? A:","['tasse', 'jeans']",Jeans,tasse
"F: In alphabetischer Reihenfolge, welches der Wörter ""Nacht"" und ""Insel"" kommt zuerst? A:","['nacht', 'insel']",Insel,nacht
"Welches von den Wörtern ""Zug"" und ""Alltag"", kommt alphabetisch zuerst? ","['zug', 'alltag']",Alltag,alltag
"Welches von den Wörtern ""Vase"" und ""Ufer"", kommt alphabetisch zuerst? ","['vase', 'ufer']",Ufer,ufer
"F: In alphabetischer Reihenfolge, welches der Wörter ""Apfel"" und ""Boot"" kommt zuerst? A:","['apfel', 'boot']",Apfel,apfel
"F: In alphabetischer Reihenfolge, welches der Wörter ""Fenster"" und ""Treppe"" kommt zuerst? A:","['fenster', 'treppe']",Fenster,treppe
"F: In alphabetischer Reihenfolge, welches der Wörter ""Qualle"" und ""Nacht"" kommt zuerst? A:","['qualle', 'nacht']",Nacht,nacht
"Welches von den Wörtern ""Farbe"" und ""Löffel"", kommt alphabetisch zuerst? ","['farbe', 'löffel']",Farbe,löffel
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Yacht"" oder ""Vulkan""? A:","['yacht', 'vulkan']",Vulkan,yacht
"Welches von den Wörtern ""Chef"" und ""Qualm"", kommt alphabetisch zuerst? ","['chef', 'qualm']",Chef,chef
"Welches von den Wörtern ""Vorhang"" und ""Zange"", kommt alphabetisch zuerst? ","['vorhang', 'zange']",Vorhang,vorhang
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Vase"" oder ""Wasser""? A:","['vase', 'wasser']",Vase,wasser
"F: In alphabetischer Reihenfolge, welches der Wörter ""Chili"" und ""Fenster"" kommt zuerst? A:","['chili', 'fenster']",Chili,chili
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Maske"" oder ""Wasser""? A:","['maske', 'wasser']",Maske,maske
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Uniform"" oder ""Schule""? A:","['uniform', 'schule']",Schule,uniform
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Uniform"" oder ""Eimer""? A:","['uniform', 'eimer']",Eimer,eimer
"F: In alphabetischer Reihenfolge, welches der Wörter ""Nase"" und ""Maske"" kommt zuerst? A:","['nase', 'maske']",Maske,nase
"Welches von den Wörtern ""Buch"" und ""Decke"", kommt alphabetisch zuerst? ","['buch', 'decke']",Buch,decke
"F: In alphabetischer Reihenfolge, welches der Wörter ""Vase"" und ""Fenster"" kommt zuerst? A:","['vase', 'fenster']",Fenster,fenster
"F: In alphabetischer Reihenfolge, welches der Wörter ""Ofen"" und ""Quark"" kommt zuerst? A:","['ofen', 'quark']",Ofen,ofen
"Welches von den Wörtern ""Milch"" und ""Lied"", kommt alphabetisch zuerst? ","['milch', 'lied']",Lied,lied
"F: In alphabetischer Reihenfolge, welches der Wörter ""Fenster"" und ""Engel"" kommt zuerst? A:","['fenster', 'engel']",Engel,fenster
"F: In alphabetischer Reihenfolge, welches der Wörter ""Fenster"" und ""Erdbeere"" kommt zuerst? A:","['fenster', 'erdbeere']",Erdbeere,erdbeere
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Xylofon"" oder ""Orange""? A:","['xylofon', 'orange']",Orange,xylofon
"F: In alphabetischer Reihenfolge, welches der Wörter ""Kugel"" und ""Dorf"" kommt zuerst? A:","['kugel', 'dorf']",Dorf,kugel
"F: In alphabetischer Reihenfolge, welches der Wörter ""Banane"" und ""Nagel"" kommt zuerst? A:","['banane', 'nagel']",Banane,nagel
"F: In alphabetischer Reihenfolge, welches der Wörter ""Haus"" und ""Nagel"" kommt zuerst? A:","['haus', 'nagel']",Haus,haus
"F: In alphabetischer Reihenfolge, welches der Wörter ""Nase"" und ""Rucksack"" kommt zuerst? A:","['nase', 'rucksack']",Nase,nase
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Computer"" oder ""Alltag""? A:","['computer', 'alltag']",Alltag,computer
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Messer"" oder ""Computer""? A:","['messer', 'computer']",Computer,messer
"Welches von den Wörtern ""Stuhl"" und ""Kerze"", kommt alphabetisch zuerst? ","['stuhl', 'kerze']",Kerze,kerze
"F: In alphabetischer Reihenfolge, welches der Wörter ""Apfel"" und ""Treppe"" kommt zuerst? A:","['apfel', 'treppe']",Apfel,apfel
"Welches von den Wörtern ""Ufer"" und ""Salat"", kommt alphabetisch zuerst? ","['ufer', 'salat']",Salat,ufer
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Dose"" oder ""Kerze""? A:","['dose', 'kerze']",Dose,dose
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Tasse"" oder ""Creme""? A:","['tasse', 'creme']",Creme,creme
"Welches von den Wörtern ""Chili"" und ""Milch"", kommt alphabetisch zuerst? ","['chili', 'milch']",Chili,milch
"F: In alphabetischer Reihenfolge, welches der Wörter ""Trommel"" und ""Dorf"" kommt zuerst? A:","['trommel', 'dorf']",Dorf,dorf
"Welches von den Wörtern ""Regen"" und ""Käse"", kommt alphabetisch zuerst? ","['regen', 'käse']",Käse,regen
"F: In alphabetischer Reihenfolge, welches der Wörter ""Couch"" und ""Zebra"" kommt zuerst? A:","['couch', 'zebra']",Couch,couch
"Welches von den Wörtern ""Chef"" und ""Wand"", kommt alphabetisch zuerst? ","['chef', 'wand']",Chef,chef
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Yacht"" oder ""Urlaub""? A:","['yacht', 'urlaub']",Urlaub,yacht
"F: In alphabetischer Reihenfolge, welches der Wörter ""Ofen"" und ""Hammer"" kommt zuerst? A:","['ofen', 'hammer']",Hammer,hammer
"Welches von den Wörtern ""Trommel"" und ""Wolke"", kommt alphabetisch zuerst? ","['trommel', 'wolke']",Trommel,wolke
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Quark"" oder ""Schule""? A:","['quark', 'schule']",Quark,quark
"F: In alphabetischer Reihenfolge, welches der Wörter ""Insekt"" und ""Nase"" kommt zuerst? A:","['insekt', 'nase']",Insekt,insekt
"F: In alphabetischer Reihenfolge, welches der Wörter ""Lampe"" und ""Messer"" kommt zuerst? A:","['lampe', 'messer']",Lampe,lampe
"F: In alphabetischer Reihenfolge, welches der Wörter ""Papier"" und ""Wiese"" kommt zuerst? A:","['papier', 'wiese']",Papier,papier
"F: In alphabetischer Reihenfolge, welches der Wörter ""Decke"" und ""Ente"" kommt zuerst? A:","['decke', 'ente']",Decke,ente
"F: In alphabetischer Reihenfolge, welches der Wörter ""Iglu"" und ""Apfel"" kommt zuerst? A:","['iglu', 'apfel']",Apfel,apfel
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Vulkan"" oder ""Vogel""? A:","['vulkan', 'vogel']",Vogel,vogel
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Xylofon"" oder ""Kerze""? A:","['xylofon', 'kerze']",Kerze,kerze
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Leiter"" oder ""Blume""? A:","['leiter', 'blume']",Blume,leiter
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Computer"" oder ""Zebra""? A:","['computer', 'zebra']",Computer,computer
"F: In alphabetischer Reihenfolge, welches der Wörter ""Junge"" und ""Hose"" kommt zuerst? A:","['junge', 'hose']",Hose,hose
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Boot"" oder ""Eimer""? A:","['boot', 'eimer']",Boot,eimer
"Welches von den Wörtern ""Erdbeere"" und ""Wolke"", kommt alphabetisch zuerst? ","['erdbeere', 'wolke']",Erdbeere,erdbeere
"Welches von den Wörtern ""Käse"" und ""Zug"", kommt alphabetisch zuerst? ","['käse', 'zug']",Käse,käse
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Iglu"" oder ""Igel""? A:","['iglu', 'igel']",Igel,igel
"F: In alphabetischer Reihenfolge, welches der Wörter ""Banane"" und ""Engel"" kommt zuerst? A:","['banane', 'engel']",Banane,engel
"F: In alphabetischer Reihenfolge, welches der Wörter ""Mütze"" und ""Qualm"" kommt zuerst? A:","['mütze', 'qualm']",Mütze,mütze
"Welches von den Wörtern ""Quelle"" und ""Drucker"", kommt alphabetisch zuerst? ","['quelle', 'drucker']",Drucker,drucker
"Welches von den Wörtern ""Zug"" und ""Kugel"", kommt alphabetisch zuerst? ","['zug', 'kugel']",Kugel,kugel
"Welches von den Wörtern ""Puppe"" und ""Wiese"", kommt alphabetisch zuerst? ","['puppe', 'wiese']",Puppe,puppe
"Welches von den Wörtern ""Teller"" und ""Messer"", kommt alphabetisch zuerst? ","['teller', 'messer']",Messer,teller
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Hut"" oder ""Iris""? A:","['hut', 'iris']",Hut,iris
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Hut"" oder ""Uniform""? A:","['hut', 'uniform']",Hut,uniform
"F: In alphabetischer Reihenfolge, welches der Wörter ""Ofen"" und ""Fuchs"" kommt zuerst? A:","['ofen', 'fuchs']",Fuchs,ofen
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Hut"" oder ""Kerze""? A:","['hut', 'kerze']",Hut,hut
"Welches von den Wörtern ""Chili"" und ""Kissen"", kommt alphabetisch zuerst? ","['chili', 'kissen']",Chili,chili
"F: In alphabetischer Reihenfolge, welches der Wörter ""Couch"" und ""Pfanne"" kommt zuerst? A:","['couch', 'pfanne']",Couch,couch
"Welches von den Wörtern ""Hafen"" und ""Teller"", kommt alphabetisch zuerst? ","['hafen', 'teller']",Hafen,hafen
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Yacht"" oder ""Paket""? A:","['yacht', 'paket']",Paket,paket
"Welches von den Wörtern ""Teller"" und ""Hammer"", kommt alphabetisch zuerst? ","['teller', 'hammer']",Hammer,hammer
"Welches von den Wörtern ""Chef"" und ""Chili"", kommt alphabetisch zuerst? ","['chef', 'chili']",Chef,chili
