Input,Options,Expected,Output (raw),Predicted
"F: Welches Wort ist länger, ""beenden"" oder ""entsteht""? A:","['beenden', 'entsteht']",entsteht,"UTT_BOUNDARY f: welches wort ist länger, ""beenden"" oder ""entsteht""? a:UTT_BOUNDARY entsteht oft die letzte buchstabe", entsteht oft die letzte buchstabe
"F: Welches Wort ist länger, ""ein"" oder ""hier""? A:","['ein', 'hier']",hier,"UTT_BOUNDARY f: welches wort ist länger, ""ein"" oder ""hier""? a:UTT_BOUNDARY hier ist noch ein wort", hier ist noch ein wort
"F: Welches Wort ist länger, ""solches"" oder ""offensiv""? A:","['solches', 'offensiv']",offensiv,"UTT_BOUNDARY f: welches wort ist länger, ""solches"" oder ""offensiv""? a:UTT_BOUNDARY offensiv""? a"," offensiv""? a"
"F: Welches Wort hat mehr Buchstaben, ""zeit"" oder ""völlig""? A:","['zeit', 'völlig']",völlig,"UTT_BOUNDARY f: welches wort hat mehr buchstaben, ""zeit"" oder ""völlig""? a:UTT_BOUNDARY völlig unbesonnen"""," völlig unbesonnen"""
"Von den Wörtern ""zeit"" und ""verloren"", welches hat mehr Buchstaben? ","['zeit', 'verloren']",verloren,"UTT_BOUNDARY von den wörtern ""zeit"" und ""verloren"", welches hat mehr buchstaben?UTT_BOUNDARY verlorenen anteil an den", verlorenen anteil an den
"F: Welches Wort ist länger, ""der"" oder ""viel""? A:","['der', 'viel']",viel,"UTT_BOUNDARY f: welches wort ist länger, ""der"" oder ""viel""? a:UTT_BOUNDARY vielem"" oder """," vielem"" oder """
"F: Welches Wort ist länger, ""zeit"" oder ""ehe""? A:","['zeit', 'ehe']",zeit,"UTT_BOUNDARY f: welches wort ist länger, ""zeit"" oder ""ehe""? a:UTT_BOUNDARY zeit"" oder ""ich"," zeit"" oder ""ich"
"Von den Wörtern ""auch"" und ""Gleichheiten"", welches hat mehr Buchstaben? ","['auch', 'Gleichheiten']",gleichheiten,"UTT_BOUNDARY von den wörtern ""auch"" und ""gleichheiten"", welches hat mehr buchstaben?UTT_BOUNDARY gleichheiten"", welches hat"," gleichheiten"", welches hat"
"F: Welches Wort hat mehr Buchstaben, ""wissen"" oder ""lang""? A:","['wissen', 'lang']",wissen,"UTT_BOUNDARY f: welches wort hat mehr buchstaben, ""wissen"" oder ""lang""? a:UTT_BOUNDARY wissen""? a:UTT_BOUNDARY"," wissen""? a:"
"Von den Wörtern ""Abschied"" und ""heut"", welches hat mehr Buchstaben? ","['Abschied', 'heut']",abschied,"UTT_BOUNDARY von den wörtern ""abschied"" und ""heut"", welches hat mehr buchstaben?UTT_BOUNDARY abschied von den wörtern", abschied von den wörtern
"Von den Wörtern ""umgänglicher"" und ""heut"", welches hat mehr Buchstaben? ","['umgänglicher', 'heut']",umgänglicher,"UTT_BOUNDARY von den wörtern ""umgänglicher"" und ""heut"", welches hat mehr buchstaben?UTT_BOUNDARY umgänglicher um", umgänglicher um
"F: Welches Wort hat mehr Buchstaben, ""jemand"" oder ""nach""? A:","['jemand', 'nach']",jemand,"UTT_BOUNDARY f: welches wort hat mehr buchstaben, ""jemand"" oder ""nach""? a:UTT_BOUNDARY jemand an der tür klingelt", jemand an der tür klingelt
"F: Welches Wort hat mehr Buchstaben, ""ungerne"" oder ""all""? A:","['ungerne', 'all']",ungerne,"UTT_BOUNDARY f: welches wort hat mehr buchstaben, ""ungerne"" oder ""all""? a:UTT_BOUNDARY ungerned"""," ungerned"""
"F: Welches Wort ist länger, ""offensiv"" oder ""abholen""? A:","['offensiv', 'abholen']",offensiv,"UTT_BOUNDARY f: welches wort ist länger, ""offensiv"" oder ""abholen""? a:UTT_BOUNDARY offensivere""?"," offensivere""?"
