Input,Expected,Predicted
"Q: Which is a homophone of the word ""hour"", ""minute"" or ""our""? A:",our," minute or ""min"
"Q: Which is a homophone of the word ""new"", ""knew"" or ""long""? A:",knew," long""? a:"
"Q: Of the two words ""potato"" and ""beat"", which one sounds more like ""beet""? A:",beat," beat"", which one sounds"
"Q: Which is a homophone of the word ""but"", ""however"" or ""butt""? A:",butt," buttocks, buttocks"
"Q: Which is a homophone of the word ""high"", ""street"" or ""hi""? A:",hi," hi, hi, hi"
"Q: Which word sounds like the word ""buy"", ""bye"" or ""order""? A:",bye," bye"" or ""bu"
"Q: Of the two words ""maximum"" and ""peek"", which one sounds more like ""peak""? A:",peek, hint:
"Q: Which is a homophone of the word ""build"", ""create"" or ""billed""? A:",billed," billed""? a:"
"Q: Of the two words ""smile"" and ""meet"", which one sounds more like ""meat""? A:",meet," meet""meat""?"
"Q: Of the two words ""daze"" and ""weeks"", which one sounds more like ""days""? A:",daze, daze:
"Q: Which is a homophone of the word ""build"", ""construct"" or ""billed""? A:",billed," billed""? a:"
"Q: Which word sounds like the word ""build"", ""create"" or ""billed""? A:",billed," billed""? a:"
"Q: Of the two words ""halve"" and ""need"", which one sounds more like ""have""? A:",halve," halve""? a:"
"Q: Of the two words ""tail"" and ""mystery"", which one sounds more like ""tale""? A:",tail," tail, tail, tail"
"Q: Which is a homophone of the word ""duel"", ""young"" or ""dual""? A:",dual," mined, dual"
"Q: Which is a homophone of the word ""cereal"", ""oatmeal"" or ""serial""? A:",serial," serialized"" or """
"Q: Which word sounds like the word ""sent"", ""work"" or ""scent""? A:",scent, scented:
"Q: Which is a homophone of the word ""sight"", ""board"" or ""cite""? A:",cite, cite:
"Q: Of the two words ""spider"" and ""thrown"", which one sounds more like ""throne""? A:",thrown, thrown together:
"Q: Of the two words ""hips"" and ""waste"", which one sounds more like ""waist""? A:",waste," wasteful""? a:"
"Q: Of the two words ""chews"" and ""play"", which one sounds more like ""choose""? A:",chews," chews ""chews"
"Q: Which is a homophone of the word ""pea"", ""pee"" or ""bean""? A:",pee," peewee""? a"
"Q: Of the two words ""board"" and ""cite"", which one sounds more like ""sight""? A:",cite, cite
"Q: Which is a homophone of the word ""pea"", ""pee"" or ""world""? A:",pee, peewee.
"Q: Of the two words ""pee"" and ""world"", which one sounds more like ""pea""? A:",pee, pee.
"Q: Which word sounds like the word ""moose"", ""hunting"" or ""mousse""? A:",mousse, mousse
"Q: Of the two words ""mined"" and ""thinking"", which one sounds more like ""mind""? A:",mined, munger:
"Q: Which is a homophone of the word ""bye"", ""year"" or ""by""? A:",by, by:
"Q: Of the two words ""winner"" and ""meddle"", which one sounds more like ""medal""? A:",meddle," meddle"" sounds more"
"Q: Which is a homophone of the word ""know"", ""no"" or ""understand""? A:",no," no, no, no"
"Q: Which is a homophone of the word ""cereal"", ""serial"" or ""wheat""? A:",serial," serialized"" or """
"Q: Of the two words ""urn"" and ""money"", which one sounds more like ""earn""? A:",urn," urn, mous"
"Q: Which is a homophone of the word ""hire"", ""higher"" or ""close""? A:",higher," higher, higher, higher"
"Q: Of the two words ""halve"" and ""already"", which one sounds more like ""have""? A:",halve," halve""? a:"
"Q: Of the two words ""hare"" and ""beard"", which one sounds more like ""hair""? A:",hare, hare is a word
"Q: Which is a homophone of the word ""meat"", ""food"" or ""meet""? A:",meet, meet someone who's not
"Q: Which word sounds like the word ""site"", ""sight"" or ""ear""? A:",sight, sight:
"Q: Which word sounds like the word ""nose"", ""mouth"" or ""knows""? A:",knows," knows ""nose""?"
"Q: Which word sounds like the word ""mind"", ""mined"" or ""sense""? A:",mined," mined, mined"
"Q: Of the two words ""cent"" and ""smell"", which one sounds more like ""scent""? A:",cent, centered around the cent
"Q: Which word sounds like the word ""knight"", ""sword"" or ""night""? A:",night, night.
"Q: Of the two words ""meddle"" and ""olympics"", which one sounds more like ""medal""? A:",meddle," meddle"" sounds more"
"Q: Which word sounds like the word ""waist"", ""waste"" or ""hips""? A:",waste, wasteful.
"Q: Which word sounds like the word ""peak"", ""maximum"" or ""peek""? A:",peek, hint:
"Q: Which word sounds like the word ""bite"", ""byte"" or ""guitar""? A:",byte, byte is a word
"Q: Of the two words ""money"" and ""urn"", which one sounds more like ""earn""? A:",urn, urn is a word
"Q: Which is a homophone of the word ""herd"", ""heard"" or ""cows""? A:",heard," heard""? a:"
"Q: Which is a homophone of the word ""nun"", ""none"" or ""monk""? A:",none," none of the words """
"Q: Which is a homophone of the word ""side"", ""sighed"" or ""front""? A:",sighed," sighed""? a:"
"Q: Of the two words ""pea"" and ""dual"", which one sounds more like ""duel""? A:",dual," dual""? a:"
"Q: Of the two words ""cat"" and ""dye"", which one sounds more like ""die""? A:",dye, dye dye dye dye dye
"Q: Which is a homophone of the word ""blue"", ""question"" or ""blew""? A:",blew, dye:
"Q: Which word sounds like the word ""high"", ""hi"" or ""up""? A:",hi," hiatus"" or """
"Q: Which is a homophone of the word ""site"", ""sight"" or ""page""? A:",sight," sighted, by the"
