Input,Options,Expected,Predicted
"F: Welches Wort ist laenger, ""einfach"" oder ""mehr""? A:","['einfach', 'mehr']",einfach,einfach
"F: Welches Wort ist laenger, ""war"" oder ""gedanke""? A:","['war', 'gedanke']",gedanke,war
"F: Welches Wort ist laenger, ""dann"" oder ""einfach""? A:","['dann', 'einfach']",einfach,einfach
"F: Welches Wort hat mehr Buchstaben, ""in"" oder ""sollen""? A:","['in', 'sollen']",sollen,sollen
"Von den Woertern ""sich"" und ""geborene"", welches hat mehr Buchstaben? ","['sich', 'geborene']",geborene,geborene
"F: Welches Wort ist laenger, ""man"" oder ""einfach""? A:","['man', 'einfach']",einfach,man
"F: Welches Wort ist laenger, ""sie"" oder ""namenlos""? A:","['sie', 'namenlos']",namenlos,namenlos
"Von den Woertern ""entsteht"" und ""noch"", welches hat mehr Buchstaben? ","['entsteht', 'noch']",entsteht,entsteht
"F: Welches Wort hat mehr Buchstaben, ""er"" oder ""ungerne""? A:","['er', 'ungerne']",ungerne,ungerne
"Von den Woertern ""darueber"" und ""sowie"", welches hat mehr Buchstaben? ","['darueber', 'sowie']",darueber,sowie
"Von den Woertern ""will"" und ""bekannte"", welches hat mehr Buchstaben? ","['will', 'bekannte']",bekannte,bekannte
"F: Welches Wort hat mehr Buchstaben, ""im"" oder ""nichts""? A:","['im', 'nichts']",nichts,nichts
"F: Welches Wort hat mehr Buchstaben, ""koennt"" oder ""sie""? A:","['koennt', 'sie']",koennt,koennt
"F: Welches Wort ist laenger, ""gezeigt"" oder ""auch""? A:","['gezeigt', 'auch']",gezeigt,auch
"Von den Woertern ""daran"" und ""zwischen"", welches hat mehr Buchstaben? ","['daran', 'zwischen']",zwischen,zwischen
"F: Welches Wort hat mehr Buchstaben, ""nie"" oder ""fragen""? A:","['nie', 'fragen']",fragen,nie
"F: Welches Wort ist laenger, ""anderen"" oder ""ist""? A:","['anderen', 'ist']",anderen,anderen
"F: Welches Wort hat mehr Buchstaben, ""ob"" oder ""ungerne""? A:","['ob', 'ungerne']",ungerne,ungerne
"Von den Woertern ""allen"" und ""abschied"", welches hat mehr Buchstaben? ","['allen', 'abschied']",abschied,abschied
"Von den Woertern ""diese"" und ""zwischen"", welches hat mehr Buchstaben? ","['diese', 'zwischen']",zwischen,zwischen
"F: Welches Wort hat mehr Buchstaben, ""im"" oder ""mulmig""? A:","['im', 'mulmig']",mulmig,mulmig
"F: Welches Wort hat mehr Buchstaben, ""anteil"" oder ""ja""? A:","['anteil', 'ja']",anteil,ja
"F: Welches Wort hat mehr Buchstaben, ""besser"" oder ""los""? A:","['besser', 'los']",besser,besser
"Von den Woertern ""auch"" und ""beispiel"", welches hat mehr Buchstaben? ","['auch', 'beispiel']",beispiel,beispiel
"F: Welches Wort ist laenger, ""und"" oder ""abschied""? A:","['und', 'abschied']",abschied,abschied
"Von den Woertern ""erfahrung"" und ""unter"", welches hat mehr Buchstaben? ","['erfahrung', 'unter']",erfahrung,erfahrung
"Von den Woertern ""bruellen"" und ""wurde"", welches hat mehr Buchstaben? ","['bruellen', 'wurde']",bruellen,wurde
"F: Welches Wort ist laenger, ""ehe"" oder ""pulvrig""? A:","['ehe', 'pulvrig']",pulvrig,ehe
"F: Welches Wort hat mehr Buchstaben, ""weinen"" oder ""ja""? A:","['weinen', 'ja']",weinen,ja
"F: Welches Wort ist laenger, ""nie"" oder ""mehrere""? A:","['nie', 'mehrere']",mehrere,nie
"F: Welches Wort ist laenger, ""einfach"" oder ""und""? A:","['einfach', 'und']",einfach,einfach
"F: Welches Wort ist laenger, ""nie"" oder ""gespuert""? A:","['nie', 'gespuert']",gespuert,gespuert
"F: Welches Wort hat mehr Buchstaben, ""fragen"" oder ""man""? A:","['fragen', 'man']",fragen,man
"Von den Woertern ""sowie"" und ""verlusten"", welches hat mehr Buchstaben? ","['sowie', 'verlusten']",verlusten,sowie
"F: Welches Wort hat mehr Buchstaben, ""ja"" oder ""bagger""? A:","['ja', 'bagger']",bagger,ja
"F: Welches Wort hat mehr Buchstaben, ""all"" oder ""gebiss""? A:","['all', 'gebiss']",gebiss,gebiss
"Von den Woertern ""mehr"" und ""tuefteln"", welches hat mehr Buchstaben? ","['mehr', 'tuefteln']",tuefteln,tuefteln
"F: Welches Wort hat mehr Buchstaben, ""pulvrig"" oder ""am""? A:","['pulvrig', 'am']",pulvrig,pulvrig
"F: Welches Wort hat mehr Buchstaben, ""jemand"" oder ""ja""? A:","['jemand', 'ja']",jemand,jemand
"F: Welches Wort ist laenger, ""bedeutet"" oder ""der""? A:","['bedeutet', 'der']",bedeutet,der
