Input,Options,Expected,Predicted
"Q: In the sentence ""John arranged for himself to get the prize"", which word immediately precedes the word ""the""? A:","['John', 'arranged', 'for', 'himself', 'to', 'get', 'the', 'prize']",get,himself
"Q: In the sentence ""Sally believes that she is brilliant"", which word immediately precedes the word ""that""? A:","['Sally', 'believes', 'that', 'she', 'is', 'brilliant']",believes,believes
"Q: In the sentence ""Sue knows the answer"", which word immediately precedes the word ""the""? A:","['Sue', 'knows', 'the', 'answer']",knows,knows
"Q: In the sentence ""John is eager to find a new home"", which word comes right before the word ""is""? A:","['John', 'is', 'eager', 'to', 'find', 'a', 'new', 'home']",John,new
"Q: Which word comes right before ""pleased"" in the sentence ""The news pleased the students""? A:","['The', 'news', 'pleased', 'the', 'students']",news,news
"Q: In the sentence ""Over the fort fluttered a large flag"", which word immediately precedes the word ""a""? A:","['Over', 'the', 'fort', 'fluttered', 'a', 'large', 'flag']",fluttered,fort
"Q: In the sentence ""I saw John on Sunday"", which word immediately precedes the word ""John""? A:","['I', 'saw', 'John', 'on', 'Sunday']",saw,on
"Q: Which word comes right before ""of"" in the sentence ""A serious accident happened in front of them""? A:","['A', 'serious', 'accident', 'happened', 'in', 'front', 'of', 'them']",front,in
"Q: In the sentence ""Brown equipped Jones with a camera"", which word comes right before the word ""with""? A:","['Brown', 'equipped', 'Jones', 'with', 'a', 'camera']",Jones,with
"Q: Which word comes right before ""to"" in the sentence ""John fed rice to the baby""? A:","['John', 'fed', 'rice', 'to', 'the', 'baby']",rice,fed
"Q: Which word comes right before ""people"" in the sentence ""It annoys people that dogs bark""? A:","['It', 'annoys', 'people', 'that', 'dogs', 'bark']",annoys,dogs
"Q: In the sentence ""The old and new carts banged together"", which word comes right before the word ""carts""? A:","['The', 'old', 'and', 'new', 'carts', 'banged', 'together']",new,new
"Q: In the sentence ""People from Tucson think very highly of themselves"", which word comes right before the word ""of""? A:","['People', 'from', 'Tucson', 'think', 'very', 'highly', 'of', 'themselves']",highly,think
"Q: In the sentence ""He continued writing poems"", which word immediately precedes the word ""poems""? A:","['He', 'continued', 'writing', 'poems']",writing,writing
"Q: Which word comes right before ""was"" in the sentence ""Calvin was eating""? A:","['Calvin', 'was', 'eating']",Calvin,was
"Q: In the sentence ""John knows whether she will come back"", which word comes right before the word ""back""? A:","['John', 'knows', 'whether', 'she', 'will', 'come', 'back']",come,come
"Q: In the sentence ""The bandits murdered innocent victims"", which word immediately precedes the word ""innocent""? A:","['The', 'bandits', 'murdered', 'innocent', 'victims']",murdered,bandits
"Q: In the sentence ""Bill sent Tom a package"", which word comes right before the word ""Tom""? A:","['Bill', 'sent', 'Tom', 'a', 'package']",sent,package
"Q: Which word comes right before ""lawyer"" in the sentence ""Almost every lawyer could answer that question""? A:","['Almost', 'every', 'lawyer', 'could', 'answer', 'that', 'question']",every,every
"Q: Which word comes right before ""to"" in the sentence ""John promised Bill to leave""? A:","['John', 'promised', 'Bill', 'to', 'leave']",Bill,promised
"Q: In the sentence ""Martha carved the baby a toy out of wood"", which word comes right before the word ""carved""? A:","['Martha', 'carved', 'the', 'baby', 'a', 'toy', 'out', 'of', 'wood']",Martha,carved
"Q: In the sentence ""It is obvious to everybody that Tasha likes Misha"", which word comes right before the word ""to""? A:","['It', 'is', 'obvious', 'to', 'everybody', 'that', 'Tasha', 'likes', 'Misha']",obvious,that
"Q: In the sentence ""The farmer loaded the cart with apples"", which word comes right before the word ""with""? A:","['The', 'farmer', 'loaded', 'the', 'cart', 'with', 'apples']",cart,loaded
"Q: Which word comes right before ""this"" in the sentence ""A pilot must be flying this plane""? A:","['A', 'pilot', 'must', 'be', 'flying', 'this', 'plane']",flying,pilot
"Q: In the sentence ""This violin is difficult to play sonatas on"", which word immediately precedes the word ""is""? A:","['This', 'violin', 'is', 'difficult', 'to', 'play', 'sonatas', 'on']",violin,to
