Sen,Sen_ppl,Wrong_Sen,Wrong_Sen_ppl,Score
"Yes, lovely creature, is n't she?",103.9437484741211,"Yes, lovely creature, am n't she?",251.67034912109375,1
There is no easy answer to the painful issue of abortion.,31.2108154296875,There am no easy answer to the painful issue of abortion.,155.68716430664062,1
"Right up to a week after my birth he continued to say, 'How is he?'",56.79835510253906,"Right up to a week after my birth he continued to say, 'How am he?'",87.19852447509766,1
This is whale meat that I photographed in a grocery store in Tokyo - or is it?,66.90771484375,This is whale meat that I photographed in a grocery store in Tokyo - or am it?,138.22161865234375,1
Among them is the former cloister from the abbey church of St. Peter and Paul.,50.40686798095703,Among them am the former cloister from the abbey church of St. Peter and Paul.,94.56417846679688,1
how much is a flight from washington to montreal,42.344825744628906,how much 'm a flight from washington to montreal,350.9935607910156,1
Among them is the former cloister from the abbey church of St. Peter and Paul.,50.40686798095703,Among them 'm the former cloister from the abbey church of St. Peter and Paul.,105.48174285888672,1
"Right up to a week after my birth he continued to say, 'How is he?'",56.79835510253906,"Right up to a week after my birth he continued to say, 'How 'm he?'",111.504150390625,1
There is no easy answer to the painful issue of abortion.,31.2108154296875,There 'm no easy answer to the painful issue of abortion.,141.0608673095703,1
how much is a flight from washington to boston,34.691741943359375,how much 'm a flight from washington to boston,279.6979675292969,1
But here is a mushroom that's past its prime.,58.62981033325195,But here am a mushroom that's past its prime.,167.1331329345703,1
"Yes, lovely creature, is n't she?",103.9437484741211,"Yes, lovely creature, 'm n't she?",288.33831787109375,1
how much is a flight from washington to montreal,42.344825744628906,how much am a flight from washington to montreal,151.2813262939453,1
"For one thing, there is increasing concern, and that is undoubtedly true, on the part of experts too.",61.44196319580078,"For one thing, there am increasing concern, and that is undoubtedly true, on the part of experts too.",136.9833526611328,1
"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so is their country – the sea.",60.05298614501953,"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so am their country – the sea.",80.78007507324219,1
how much is a flight from washington to boston,34.691741943359375,how much am a flight from washington to boston,126.0574951171875,1
"Tindi Kente is a wonderful dancer, wonderful, is n't she... just like a snake brought out by music, and sometimes he 'll try with her.",153.68365478515625,"Tindi Kente is a wonderful dancer, wonderful, 'm n't she... just like a snake brought out by music, and sometimes he 'll try with her.",185.37144470214844,1
"For one thing, there is increasing concern, and that is undoubtedly true, on the part of experts too.",61.44196319580078,"For one thing, there 'm increasing concern, and that is undoubtedly true, on the part of experts too.",149.19451904296875,1
In the corner is a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,60.41078567504883,In the corner 'm a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,101.39939880371094,1
"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so is their country – the sea.",60.05298614501953,"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so 'm their country – the sea.",86.8127670288086,1
This is whale meat that I photographed in a grocery store in Tokyo - or is it?,66.90771484375,This is whale meat that I photographed in a grocery store in Tokyo - or 'm it?,252.97119140625,1
But here is a mushroom that's past its prime.,58.62981033325195,But here 'm a mushroom that's past its prime.,134.91571044921875,1
In the corner is a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,60.41078567504883,In the corner am a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,96.92406463623047,1
