Input,Options,Expected,Output (raw),Predicted
"Q: Which word is shorter, ""daily"" or ""use""? A:","['daily', 'use']",use,"UTT_BOUNDARY q : W w h i c h W w o r d W i s W s h o r t e r , W "" d a i l y "" W o r W "" u s e "" ? W a : UTT_BOUNDARY u s e f u l l y "" ? W a : UTT_BOUNDARY","usefully""? a:"
"Q: Which word is shorter, ""chemistry"" or ""drawing""? A:","['chemistry', 'drawing']",drawing,"UTT_BOUNDARY q : W w h i c h W w o r d W i s W s h o r t e r , W "" c h e m i s t r y "" W o r W "" d r a w i n g "" ? W a : UTT_BOUNDARY d r a w i n g s W o f W t h e W w o r d W "" c o m","drawings of the word ""com"
"Q: Which word is shorter, ""drawing"" or ""neighbor""? A:","['drawing', 'neighbor']",drawing,"UTT_BOUNDARY q : W w h i c h W w o r d W i s W s h o r t e r , W "" d r a w i n g "" W o r W "" n e i g h b o r "" ? W a : UTT_BOUNDARY d r a w i n g s "" ? W a : UTT_BOUNDARY","drawings""? a:"
"Q: Which word has fewer letters, ""half"" or ""age""? A:","['half', 'age']",age,"UTT_BOUNDARY q : W w h i c h W w o r d W h a s W f e w e r W l e t t e r s , W "" h a l f "" W o r W "" a g e "" ? W a : UTT_BOUNDARY a g e d W a g a i n s t W t h e W w o r d W "" h a","aged against the word ""ha"
"Q: Of the words ""out"" and ""paint"" which one has fewer letters? A:","['out', 'paint']",out,"UTT_BOUNDARY q : W o f W t h e W w o r d s W "" o u t "" W a n d W "" p a i n t "" W w h i c h W o n e W h a s W f e w e r W l e t t e r s ? W a : UTT_BOUNDARY o u t s i d e ? W a : UTT_BOUNDARY",outside? a:
"Q: Which word is shorter, ""customer"" or ""problem""? A:","['customer', 'problem']",problem,"UTT_BOUNDARY q : W w h i c h W w o r d W i s W s h o r t e r , W "" c u s t o m e r "" W o r W "" p r o b l e m "" ? W a : UTT_BOUNDARY p r o b l e m ? W a : UTT_BOUNDARY",problem? a:
"Q: Which word is shorter, ""daughter"" or ""exactly""? A:","['daughter', 'exactly']",exactly,"UTT_BOUNDARY q : W w h i c h W w o r d W i s W s h o r t e r , W "" d a u g h t e r "" W o r W "" e x a c t l y "" ? W a : UTT_BOUNDARY e x a c t l y "" ? W a : UTT_BOUNDARY","exactly""? a:"
"Q: Of the words ""form"" and ""us"" which one has fewer letters? A:","['form', 'us']",us,"UTT_BOUNDARY q : W o f W t h e W w o r d s W "" f o r m "" W a n d W "" u s "" W w h i c h W o n e W h a s W f e w e r W l e t t e r s ? W a : UTT_BOUNDARY u s e f u l l y ? W a : UTT_BOUNDARY",usefully? a:
"Q: Which word has fewer letters, ""me"" or ""soft""? A:","['me', 'soft']",me,"UTT_BOUNDARY q : W w h i c h W w o r d W h a s W f e w e r W l e t t e r s , W "" m e "" W o r W "" s o f t "" ? W a : UTT_BOUNDARY m e l o n s "" ? W a : UTT_BOUNDARY","melons""? a:"
"Q: Of the words ""behind"" and ""last"" which one has fewer letters? A:","['behind', 'last']",last,"UTT_BOUNDARY q : W o f W t h e W w o r d s W "" b e h i n d "" W a n d W "" l a s t "" W w h i c h W o n e W h a s W f e w e r W l e t t e r s ? W a : UTT_BOUNDARY l a s t W w o r d W o f W t h e W s e n t e n c e",last word of the sentence
"Q: Of the words ""below"" and ""die"" which one has fewer letters? A:","['below', 'die']",die,"UTT_BOUNDARY q : W o f W t h e W w o r d s W "" b e l o w "" W a n d W "" d i e "" W w h i c h W o n e W h a s W f e w e r W l e t t e r s ? W a : UTT_BOUNDARY b e l o w "" ? W a : UTT_BOUNDARY","below""? a:"
"Q: Which word has fewer letters, ""about"" or ""aunt""? A:","['about', 'aunt']",aunt,"UTT_BOUNDARY q : W w h i c h W w o r d W h a s W f e w e r W l e t t e r s , W "" a b o u t "" W o r W "" a u n t "" ? W a : UTT_BOUNDARY a u n t i e s "" ? W a : UTT_BOUNDARY","aunties""? a:"
