Input,Expected,Predicted
"Q: Which letter does the word ""arrive"" end with? A:",e,"end of ""arrive""? a:"
"Q: Which letter does the word ""grandparent"" end with? A:",t,end of session? a:
"Q: Which letter does the word ""small"" end with? A:",l,"end of ""small""? a:"
"Q: What is the last letter of the word ""soft""? A:",t,eastern egg layer? a:
"Write the last letter of the word ""coffee"": ",e,enjoy yourself at the par
"Q: Which letter does the word ""borrow"" end with? A:",w,notes
"Q: Which letter does the word ""every"" end with? A:",y,"every day""? a:"
"Write the last letter of the word ""left"": ",t,"end of session, which wor"
"Q: What is the last letter of the word ""downstairs""? A:",s,downstairs? a:
"Write the last letter of the word ""kite"": ",e,easy enough for me to rea
"Write the last letter of the word ""chicken"": ",n,end of story
"Q: What is the last letter of the word ""grass""? A:",s,eastern egg? a:
"Q: What is the last letter of the word ""it""? A:",t,the last letter of the wo
"Q: Which letter does the word ""leather"" end with? A:",r,"end of ""leather""? a:"
"Write the last letter of the word ""rice"": ",e,rice?
"Q: What is the last letter of the word ""straight""? A:",t,exactly.
"Q: Which letter does the word ""have"" end with? A:",e,notes
"Q: What is the last letter of the word ""cafeteria""? A:",a,the last letter of the wo
"Write the last letter of the word ""beautiful"": ",l,english language series
"Write the last letter of the word ""several"": ",l,everyone says that severa
"Q: What is the last letter of the word ""diploma""? A:",a,exactly.
"Q: What is the last letter of the word ""month""? A:",h,early life and education 
"Q: What is the last letter of the word ""site""? A:",e,eighteenth of july is the
"Write the last letter of the word ""cooking"": ",g,each letter has 12 letter
"Q: Which letter does the word ""cover"" end with? A:",r,"end of ""cover""? a:"
"Write the last letter of the word ""broken"": ",n,note: project gutenberg a
"Write the last letter of the word ""guy"": ",y,"you know, i wrote the las"
"Q: Which letter does the word ""invite"" end with? A:",e,notes
"Q: What is the last letter of the word ""man""? A:",n,eastern eggs? a:
"Q: Which letter does the word ""television"" end with? A:",n,television? a:
"Q: Which letter does the word ""ice"" end with? A:",e,notes
"Q: Which letter does the word ""swim"" end with? A:",m,"end of ""swim""? a:"
"Q: What is the last letter of the word ""above""? A:",e,everybody has above avera
"Write the last letter of the word ""here"": ",e,each letter has two lette
"Q: What is the last letter of the word ""room""? A:",m,room? a:
"Q: What is the last letter of the word ""singer""? A:",r,excuse me? a:
"Write the last letter of the word ""way"": ",y,"you know, i wrote the las"
"Q: What is the last letter of the word ""own""? A:",n,notes
"Q: What is the last letter of the word ""student""? A:",t,exactly.
"Q: Which letter does the word ""student"" end with? A:",t,end of session? a:
"Q: What is the last letter of the word ""dressed""? A:",d,eastern eggs? a:
"Q: What is the last letter of the word ""wide""? A:",e,exactly.
"Q: What is the last letter of the word ""popular""? A:",r,the last letter of the wo
"Q: What is the last letter of the word ""sell""? A:",l,"ell, what is the last let"
"Q: Which letter does the word ""see"" end with? A:",e,notes
"Q: Which letter does the word ""baseball"" end with? A:",l,"end of ""baseball""? a:"
"Write the last letter of the word ""town"": ",n,town?
"Q: What is the last letter of the word ""clown""? A:",n,"yeah, clown"" and ""closed"""
"Write the last letter of the word ""yard"": ",d,early life and career:
"Q: Which letter does the word ""house"" end with? A:",e,notes
"Q: Which letter does the word ""plural"" end with? A:",l,"the word ""plural""? a:"
"Write the last letter of the word ""surf"": ",f,english language series
"Q: What is the last letter of the word ""customer""? A:",r,exactly.
"Write the last letter of the word ""competition"": ",n,each letter has a smaller
"Q: What is the last letter of the word ""sleep""? A:",p,early life and education 
"Write the last letter of the word ""tour"": ",r,tour?
"Q: Which letter does the word ""first"" end with? A:",t,"end of ""first""? a:"
"Q: What is the last letter of the word ""check""? A:",k,excuse me?
"Write the last letter of the word ""luggage"": ",e,english language series
"Q: Which letter does the word ""decide"" end with? A:",e,decide?
"Q: What is the last letter of the word ""cleaner""? A:",r,eastern eggs? a:
"Q: What is the last letter of the word ""rent""? A:",t,rent? a:
"Q: What is the last letter of the word ""eye""? A:",e,"eye"" is a small word mean"
"Q: What is the last letter of the word ""seat""? A:",t,eat? a:
"Q: What is the last letter of the word ""calendar""? A:",r,notes
"Q: Which letter does the word ""tights"" end with? A:",s,tights? a:
"Q: Which letter does the word ""dancer"" end with? A:",r,"end of ""dancer""? a:"
"Q: Which letter does the word ""any"" end with? A:",y,notes
"Q: Which letter does the word ""rat"" end with? A:",t,rat? a:
"Q: What is the last letter of the word ""jacket""? A:",t,the last letter of the wo
"Q: Which letter does the word ""boring"" end with? A:",g,"end of ""boring""? a:"
"Write the last letter of the word ""myself"": ",f,end of story
"Write the last letter of the word ""lemon"": ",n,english lemon?
"Q: Which letter does the word ""sun"" end with? A:",n,end of session? a:
"Q: What is the last letter of the word ""worse""? A:",e,exactly.
"Q: What is the last letter of the word ""off""? A:",f,off? a:
"Write the last letter of the word ""air"": ",r,right?
"Write the last letter of the word ""their"": ",r,"yeah, their numbers are b"
"Write the last letter of the word ""west"": ",t,"est indies est indies"":"
"Write the last letter of the word ""health"": ",h,early life and career:
"Q: Which letter does the word ""eye"" end with? A:",e,"eye"" end with? a:"
"Q: Which letter does the word ""with"" end with? A:",h,"end of ""with""? a:"
"Q: What is the last letter of the word ""cent""? A:",t,entertainment? a:
"Q: Which letter does the word ""hockey"" end with? A:",y,notes
"Write the last letter of the word ""decide"": ",e,example:
"Q: What is the last letter of the word ""way""? A:",y,"yeah, way""? a:"
"Write the last letter of the word ""chair"": ",r,right?
"Q: Which letter does the word ""climbing"" end with? A:",g,"end of ""climbing""? a:"
"Write the last letter of the word ""half"": ",f,each letter has one lette
"Write the last letter of the word ""outside"": ",e,"easy on the phone, man."
"Q: What is the last letter of the word ""long""? A:",g,eastern egg layer? a:
"Q: Which letter does the word ""get"" end with? A:",t,end of session? a:
"Write the last letter of the word ""coat"": ",t,easy enough for me to rea
"Q: Which letter does the word ""year"" end with? A:",r,year? a:
"Q: Which letter does the word ""queen"" end with? A:",n,"yeah, queen elizabeth is "
"Q: What is the last letter of the word ""yesterday""? A:",y,yesterday? a:
"Write the last letter of the word ""enough"": ",h,enough?
"Write the last letter of the word ""room"": ",m,room?
"Q: What is the last letter of the word ""agree""? A:",e,exactly.
"Q: Which letter does the word ""friend"" end with? A:",d,"end of ""friend""? a:"
"Write the last letter of the word ""tell"": ",l,english tell? a:
"Q: What is the last letter of the word ""watch""? A:",h,eastern european champion
"Q: What is the last letter of the word ""mouse""? A:",e,"excuse me, mouse""? a:"
"Q: Which letter does the word ""fit"" end with? A:",t,"end of ""fit""? a:"
"Q: Which letter does the word ""thin"" end with? A:",n,notes
"Q: What is the last letter of the word ""receptionist""? A:",t,receptionist?
"Q: Which letter does the word ""duck"" end with? A:",k,end of session? a:
"Q: What is the last letter of the word ""minute""? A:",e,exactly.
"Q: What is the last letter of the word ""cousin""? A:",n,excuse me?
"Q: Which letter does the word ""midnight"" end with? A:",t,night? a:
"Write the last letter of the word ""can"": ",n,notes
"Q: What is the last letter of the word ""window""? A:",w,exactly.
"Write the last letter of the word ""healthy"": ",y,eastern europe is a small
"Write the last letter of the word ""watch"": ",h,easy enough for me to rea
"Q: What is the last letter of the word ""pig""? A:",g,excuse me? a:
"Write the last letter of the word ""writing"": ",g,each letter has four lett
"Q: What is the last letter of the word ""beach""? A:",h,each letter has fewer let
"Q: What is the last letter of the word ""perfect""? A:",t,"eraser""? a:"
"Q: Which letter does the word ""west"" end with? A:",t,notes
"Q: Which letter does the word ""beginner"" end with? A:",r,notes
"Write the last letter of the word ""steak"": ",k,each letter has four lett
"Q: Which letter does the word ""match"" end with? A:",h,"end of session, right?"
"Q: What is the last letter of the word ""gym""? A:",m,excuse me? a:
"Q: Which letter does the word ""thank"" end with? A:",k,"thank you, thank you""? a:"
"Q: Which letter does the word ""hard"" end with? A:",d,notes
"Write the last letter of the word ""agree"": ",e,end of story
"Q: Which letter does the word ""carrot"" end with? A:",t,ready?
"Q: What is the last letter of the word ""we""? A:",e,eastern egg layer? a:
"Q: What is the last letter of the word ""under""? A:",r,the last letter of the wo
"Q: What is the last letter of the word ""loud""? A:",d,eastern egg layer? a:
"Write the last letter of the word ""behind"": ",d,easy enough for me to rea
"Q: Which letter does the word ""jump"" end with? A:",p,notes
"Q: Which letter does the word ""ham"" end with? A:",m,notes
"Q: Which letter does the word ""big"" end with? A:",g,notes
"Q: What is the last letter of the word ""discount""? A:",t,notes
"Q: What is the last letter of the word ""gift""? A:",t,the last letter of the wo
"Q: What is the last letter of the word ""pencil""? A:",l,encil? a:
"Q: Which letter does the word ""staff"" end with? A:",f,end of session? a:
"Q: Which letter does the word ""mirror"" end with? A:",r,"right, right, right, righ"
"Write the last letter of the word ""east"": ",t,east?
"Write the last letter of the word ""useful"": ",l,english language series
"Q: Which letter does the word ""workbook"" end with? A:",k,end of workbook? a:
"Write the last letter of the word ""brother"": ",r,right?
"Write the last letter of the word ""idea"": ",a,each letter has four lett
"Write the last letter of the word ""tired"": ",d,right?
"Q: What is the last letter of the word ""alone""? A:",e,eastern eggs? a:
"Write the last letter of the word ""photographer"": ",r,each letter has two lette
"Write the last letter of the word ""better"": ",r,right?
"Write the last letter of the word ""afternoon"": ",n,english language series
"Q: What is the last letter of the word ""dancer""? A:",r,nancy?
"Q: Which letter does the word ""so"" end with? A:",o,"end of ""so""? a:"
"Write the last letter of the word ""where"": ",e,easy enough for me to rea
"Q: What is the last letter of the word ""skiing""? A:",g,eastern european champion
"Write the last letter of the word ""simple"": ",e,english language series
"Q: What is the last letter of the word ""notebook""? A:",k,everyone who says that wo
"Q: Which letter does the word ""notes"" end with? A:",s,end of session? a:
"Q: What is the last letter of the word ""blouse""? A:",e,eastern egg layer? a:
"Write the last letter of the word ""deep"": ",p,example:
"Q: Which letter does the word ""smoking"" end with? A:",g,end of session? a:
"Write the last letter of the word ""vacation"": ",n,easy enough for me to rea
"Q: Which letter does the word ""wind"" end with? A:",d,end? a:
"Q: Which letter does the word ""bus"" end with? A:",s,notes
"Q: What is the last letter of the word ""short""? A:",t,the last letter of the wo
"Q: What is the last letter of the word ""winner""? A:",r,notes
"Q: Which letter does the word ""salad"" end with? A:",d,end of session? a:
