Input,Options,Expected,Output (raw),Predicted
"Q: Which word is longer, ""orange"" or ""copy""? A:","['orange', 'copy']",orange,"UTT_BOUNDARY q: which word is longer, ""orange"" or ""copy""? a:UTT_BOUNDARY orange juice? a:", orange juice? a:
"Q: Which word is longer, ""purse"" or ""for""? A:","['purse', 'for']",purse,"UTT_BOUNDARY q: which word is longer, ""purse"" or ""for""? a:UTT_BOUNDARY purse. ""anymore"," purse. ""anymore"
"Q: Which word is longer, ""purse"" or ""year""? A:","['purse', 'year']",purse,"UTT_BOUNDARY q: which word is longer, ""purse"" or ""year""? a:UTT_BOUNDARY purse"" or ""l"," purse"" or ""l"
"Q: Which word has more letters, ""throw"" or ""kite""? A:","['throw', 'kite']",throw,"UTT_BOUNDARY q: which word has more letters, ""throw"" or ""kite""? a:UTT_BOUNDARY throw it to lucas!", throw it to lucas!
"Q: Of the words ""low"" and ""size"" which one has more letters? A:","['low', 'size']",size,"UTT_BOUNDARY q: of the words ""low"" and ""size"" which one has more letters? a:UTT_BOUNDARY size than most of the", size than most of the
"Q: Which word is longer, ""soap"" or ""noisy""? A:","['soap', 'noisy']",noisy,"UTT_BOUNDARY q: which word is longer, ""soap"" or ""noisy""? a:UTT_BOUNDARY noisy? a:UTT_BOUNDARY", noisy? a:
"Q: Which word is longer, ""slim"" or ""young""? A:","['slim', 'young']",young,"UTT_BOUNDARY q: which word is longer, ""slim"" or ""young""? a:UTT_BOUNDARY youngster"" or """," youngster"" or """
"Q: Of the words ""sing"" and ""tea"" which one has more letters? A:","['sing', 'tea']",sing,"UTT_BOUNDARY q: of the words ""sing"" and ""tea"" which one has more letters? a:UTT_BOUNDARY sing along with a syll", sing along with a syll
"Q: Which word has more letters, ""cap"" or ""special""? A:","['cap', 'special']",special,"UTT_BOUNDARY q: which word has more letters, ""cap"" or ""special""? a:UTT_BOUNDARY specialist in the """," specialist in the """
"Q: Of the words ""fried"" and ""file"" which one has more letters? A:","['fried', 'file']",fried,"UTT_BOUNDARY q: of the words ""fried"" and ""file"" which one has more letters? a:UTT_BOUNDARY fried egg, a slice"," fried egg, a slice"
"Q: Of the words ""view"" and ""daily"" which one has more letters? A:","['view', 'daily']",daily,"UTT_BOUNDARY q: of the words ""view"" and ""daily"" which one has more letters? a:UTT_BOUNDARY daily news. a:", daily news. a:
"Q: Which word has more letters, ""twice"" or ""bird""? A:","['twice', 'bird']",twice,"UTT_BOUNDARY q: which word has more letters, ""twice"" or ""bird""? a:UTT_BOUNDARY twice as much as a", twice as much as a
"Q: Which word has more letters, ""wild"" or ""neighbor""? A:","['wild', 'neighbor']",neighbor,"UTT_BOUNDARY q: which word has more letters, ""wild"" or ""neighbor""? a:UTT_BOUNDARY neighbor. ""mother"""," neighbor. ""mother"""
"Q: Which word is longer, ""purse"" or ""mosque""? A:","['purse', 'mosque']",mosque,"UTT_BOUNDARY q: which word is longer, ""purse"" or ""mosque""? a:UTT_BOUNDARY mosque is a type", mosque is a type
"Q: Of the words ""stadium"" and ""build"" which one has more letters? A:","['stadium', 'build']",stadium,"UTT_BOUNDARY q: of the words ""stadium"" and ""build"" which one has more letters? a:UTT_BOUNDARY stadium is a stadium in", stadium is a stadium in
"Q: Which word has more letters, ""fan"" or ""very""? A:","['fan', 'very']",very,"UTT_BOUNDARY q: which word has more letters, ""fan"" or ""very""? a:UTT_BOUNDARY very special meaning. """," very special meaning. """
"Q: Which word is longer, ""money"" or ""playground""? A:","['money', 'playground']",playground,"UTT_BOUNDARY q: which word is longer, ""money"" or ""playground""? a:UTT_BOUNDARY playground. a:UTT_BOUNDARY", playground. a:
"Q: Which word has more letters, ""soul"" or ""sauce""? A:","['soul', 'sauce']",sauce,"UTT_BOUNDARY q: which word has more letters, ""soul"" or ""sauce""? a:UTT_BOUNDARY saucepan? a:", saucepan? a:
"Q: Of the words ""camping"" and ""bed"" which one has more letters? A:","['camping', 'bed']",camping,"UTT_BOUNDARY q: of the words ""camping"" and ""bed"" which one has more letters? a:UTT_BOUNDARY camping trip. a:", camping trip. a:
"Q: Of the words ""oh"" and ""ocean"" which one has more letters? A:","['oh', 'ocean']",ocean,"UTT_BOUNDARY q: of the words ""oh"" and ""ocean"" which one has more letters? a:UTT_BOUNDARY oceanic. a:", oceanic. a:
"Q: Which word has more letters, ""sun"" or ""pack""? A:","['sun', 'pack']",pack,"UTT_BOUNDARY q: which word has more letters, ""sun"" or ""pack""? a:UTT_BOUNDARY pack of cigarettes? a", pack of cigarettes? a
"Q: Which word has more letters, ""skirt"" or ""path""? A:","['skirt', 'path']",skirt,"UTT_BOUNDARY q: which word has more letters, ""skirt"" or ""path""? a:UTT_BOUNDARY skirt. ""story"," skirt. ""story"
