Input,Options,Expected,Predicted
"F: Von den Zahlen 70 und 496, welche ist kleiner? A:","['70', '496']",70,70
"F: Von den Zahlen 554 und 973, welche ist kleiner? A:","['554', '973']",554,554
"F: Von den Zahlen 103 und 882, welche ist kleiner? A:","['103', '882']",103,882
"F: Welche Zahl ist kleiner, 152 oder 369? A:","['152', '369']",152,152
Schreibe von den Zahlen 849 und 178 die kleinere: ,"['849', '178']",178,178
"F: Von den Zahlen 778 und 810, welche ist kleiner? A:","['778', '810']",778,810
"F: Von den Zahlen 321 und 183, welche ist kleiner? A:","['321', '183']",183,183
Schreibe von den Zahlen 40 und 886 die kleinere: ,"['40', '886']",40,886
"F: Welche Zahl ist kleiner, 581 oder 465? A:","['581', '465']",465,581
Schreibe von den Zahlen 219 und 633 die kleinere: ,"['219', '633']",219,219
Schreibe von den Zahlen 704 und 758 die kleinere: ,"['704', '758']",704,704
"F: Welche Zahl ist kleiner, 397 oder 942? A:","['397', '942']",397,397
"F: Welche Zahl ist kleiner, 374 oder 829? A:","['374', '829']",374,829
"F: Von den Zahlen 447 und 809, welche ist kleiner? A:","['447', '809']",447,447
Schreibe von den Zahlen 958 und 550 die kleinere: ,"['958', '550']",550,958
"F: Welche Zahl ist kleiner, 719 oder 950? A:","['719', '950']",719,950
"F: Von den Zahlen 782 und 274, welche ist kleiner? A:","['782', '274']",274,274
"F: Welche Zahl ist kleiner, 239 oder 845? A:","['239', '845']",239,239
Schreibe von den Zahlen 138 und 711 die kleinere: ,"['138', '711']",138,138
Schreibe von den Zahlen 739 und 684 die kleinere: ,"['739', '684']",684,684
"F: Welche Zahl ist kleiner, 599 oder 139? A:","['599', '139']",139,139
"F: Welche Zahl ist kleiner, 804 oder 554? A:","['804', '554']",554,554
"F: Welche Zahl ist kleiner, 16 oder 338? A:","['16', '338']",16,16
Schreibe von den Zahlen 967 und 238 die kleinere: ,"['967', '238']",238,238
"F: Von den Zahlen 258 und 283, welche ist kleiner? A:","['258', '283']",258,258
Schreibe von den Zahlen 520 und 335 die kleinere: ,"['520', '335']",335,335
Schreibe von den Zahlen 908 und 220 die kleinere: ,"['908', '220']",220,908
"F: Von den Zahlen 137 und 901, welche ist kleiner? A:","['137', '901']",137,137
"F: Welche Zahl ist kleiner, 604 oder 733? A:","['604', '733']",604,604
"F: Von den Zahlen 553 und 964, welche ist kleiner? A:","['553', '964']",553,553
"F: Von den Zahlen 156 und 780, welche ist kleiner? A:","['156', '780']",156,156
"F: Von den Zahlen 909 und 127, welche ist kleiner? A:","['909', '127']",127,127
"F: Welche Zahl ist kleiner, 86 oder 840? A:","['86', '840']",86,86
Schreibe von den Zahlen 658 und 614 die kleinere: ,"['658', '614']",614,658
"F: Welche Zahl ist kleiner, 934 oder 902? A:","['934', '902']",902,902
"F: Welche Zahl ist kleiner, 730 oder 92? A:","['730', '92']",92,92
Schreibe von den Zahlen 419 und 134 die kleinere: ,"['419', '134']",134,134
"F: Welche Zahl ist kleiner, 314 oder 80? A:","['314', '80']",80,314
"F: Welche Zahl ist kleiner, 987 oder 864? A:","['987', '864']",864,864
"F: Von den Zahlen 708 und 826, welche ist kleiner? A:","['708', '826']",708,826
"F: Welche Zahl ist kleiner, 951 oder 216? A:","['951', '216']",216,216
"F: Welche Zahl ist kleiner, 421 oder 978? A:","['421', '978']",421,421
"F: Welche Zahl ist kleiner, 607 oder 123? A:","['607', '123']",123,123
"F: Welche Zahl ist kleiner, 883 oder 446? A:","['883', '446']",446,446
"F: Von den Zahlen 378 und 180, welche ist kleiner? A:","['378', '180']",180,180
"F: Von den Zahlen 304 und 633, welche ist kleiner? A:","['304', '633']",304,304
Schreibe von den Zahlen 114 und 916 die kleinere: ,"['114', '916']",114,114
"F: Welche Zahl ist kleiner, 203 oder 237? A:","['203', '237']",203,203
Schreibe von den Zahlen 750 und 172 die kleinere: ,"['750', '172']",172,172
"F: Von den Zahlen 506 und 747, welche ist kleiner? A:","['506', '747']",506,506
"F: Von den Zahlen 65 und 376, welche ist kleiner? A:","['65', '376']",65,65
Schreibe von den Zahlen 52 und 4 die kleinere: ,"['52', '4']",4,4
"F: Welche Zahl ist kleiner, 796 oder 999? A:","['796', '999']",796,999
Schreibe von den Zahlen 371 und 352 die kleinere: ,"['371', '352']",352,371
"F: Welche Zahl ist kleiner, 332 oder 63? A:","['332', '63']",63,332
Schreibe von den Zahlen 686 und 154 die kleinere: ,"['686', '154']",154,154
"F: Von den Zahlen 600 und 102, welche ist kleiner? A:","['600', '102']",102,102
"F: Welche Zahl ist kleiner, 411 oder 986? A:","['411', '986']",411,411
Schreibe von den Zahlen 100 und 414 die kleinere: ,"['100', '414']",100,100
"F: Von den Zahlen 53 und 613, welche ist kleiner? A:","['53', '613']",53,53
"F: Welche Zahl ist kleiner, 662 oder 973? A:","['662', '973']",662,662
"F: Welche Zahl ist kleiner, 752 oder 995? A:","['752', '995']",752,995
"F: Welche Zahl ist kleiner, 590 oder 232? A:","['590', '232']",232,232
"F: Welche Zahl ist kleiner, 961 oder 768? A:","['961', '768']",768,961
"F: Welche Zahl ist kleiner, 808 oder 514? A:","['808', '514']",514,808
"F: Von den Zahlen 169 und 647, welche ist kleiner? A:","['169', '647']",169,169
"F: Von den Zahlen 294 und 91, welche ist kleiner? A:","['294', '91']",91,294
"F: Von den Zahlen 792 und 556, welche ist kleiner? A:","['792', '556']",556,556
"F: Von den Zahlen 93 und 570, welche ist kleiner? A:","['93', '570']",93,93
"F: Welche Zahl ist kleiner, 467 oder 486? A:","['467', '486']",467,467
"F: Von den Zahlen 574 und 903, welche ist kleiner? A:","['574', '903']",574,903
Schreibe von den Zahlen 519 und 294 die kleinere: ,"['519', '294']",294,519
Schreibe von den Zahlen 589 und 169 die kleinere: ,"['589', '169']",169,169
"F: Von den Zahlen 76 und 958, welche ist kleiner? A:","['76', '958']",76,958
"F: Welche Zahl ist kleiner, 0 oder 677? A:","['0', '677']",0,677
"F: Welche Zahl ist kleiner, 510 oder 977? A:","['510', '977']",510,510
Schreibe von den Zahlen 418 und 7 die kleinere: ,"['418', '7']",7,418
Schreibe von den Zahlen 868 und 326 die kleinere: ,"['868', '326']",326,326
Schreibe von den Zahlen 83 und 69 die kleinere: ,"['83', '69']",69,83
Schreibe von den Zahlen 459 und 735 die kleinere: ,"['459', '735']",459,459
"F: Von den Zahlen 395 und 973, welche ist kleiner? A:","['395', '973']",395,395
"F: Von den Zahlen 896 und 170, welche ist kleiner? A:","['896', '170']",170,170
"F: Welche Zahl ist kleiner, 672 oder 979? A:","['672', '979']",672,979
"F: Von den Zahlen 373 und 295, welche ist kleiner? A:","['373', '295']",295,295
Schreibe von den Zahlen 334 und 850 die kleinere: ,"['334', '850']",334,334
"F: Welche Zahl ist kleiner, 258 oder 514? A:","['258', '514']",258,258
Schreibe von den Zahlen 321 und 919 die kleinere: ,"['321', '919']",321,919
"F: Von den Zahlen 42 und 663, welche ist kleiner? A:","['42', '663']",42,663
Schreibe von den Zahlen 431 und 760 die kleinere: ,"['431', '760']",431,431
Schreibe von den Zahlen 669 und 961 die kleinere: ,"['669', '961']",669,669
"F: Welche Zahl ist kleiner, 81 oder 38? A:","['81', '38']",38,38
"F: Von den Zahlen 359 und 758, welche ist kleiner? A:","['359', '758']",359,359
Schreibe von den Zahlen 330 und 253 die kleinere: ,"['330', '253']",253,330
"F: Von den Zahlen 236 und 54, welche ist kleiner? A:","['236', '54']",54,236
"F: Von den Zahlen 273 und 785, welche ist kleiner? A:","['273', '785']",273,273
"F: Welche Zahl ist kleiner, 2 oder 799? A:","['2', '799']",2,2
Schreibe von den Zahlen 54 und 718 die kleinere: ,"['54', '718']",54,718
Schreibe von den Zahlen 199 und 983 die kleinere: ,"['199', '983']",199,199
"F: Welche Zahl ist kleiner, 654 oder 672? A:","['654', '672']",654,654
"F: Von den Zahlen 494 und 117, welche ist kleiner? A:","['494', '117']",117,117
Schreibe von den Zahlen 596 und 464 die kleinere: ,"['596', '464']",464,464
"F: Welche Zahl ist kleiner, 451 oder 45? A:","['451', '45']",45,45
"F: Welche Zahl ist kleiner, 991 oder 520? A:","['991', '520']",520,991
"F: Von den Zahlen 151 und 126, welche ist kleiner? A:","['151', '126']",126,151
"F: Von den Zahlen 238 und 801, welche ist kleiner? A:","['238', '801']",238,238
"F: Welche Zahl ist kleiner, 915 oder 309? A:","['915', '309']",309,309
"F: Von den Zahlen 814 und 228, welche ist kleiner? A:","['814', '228']",228,228
"F: Welche Zahl ist kleiner, 5 oder 327? A:","['5', '327']",5,5
"F: Welche Zahl ist kleiner, 508 oder 208? A:","['508', '208']",208,208
"F: Von den Zahlen 677 und 101, welche ist kleiner? A:","['677', '101']",101,101
Schreibe von den Zahlen 274 und 146 die kleinere: ,"['274', '146']",146,146
"F: Welche Zahl ist kleiner, 12 oder 619? A:","['12', '619']",12,619
Schreibe von den Zahlen 877 und 43 die kleinere: ,"['877', '43']",43,43
Schreibe von den Zahlen 941 und 652 die kleinere: ,"['941', '652']",652,652
"F: Welche Zahl ist kleiner, 995 oder 954? A:","['995', '954']",954,954
Schreibe von den Zahlen 968 und 98 die kleinere: ,"['968', '98']",98,98
"F: Welche Zahl ist kleiner, 387 oder 65? A:","['387', '65']",65,387
"F: Welche Zahl ist kleiner, 84 oder 554? A:","['84', '554']",84,84
"F: Von den Zahlen 195 und 282, welche ist kleiner? A:","['195', '282']",195,195
"F: Von den Zahlen 52 und 250, welche ist kleiner? A:","['52', '250']",52,250
Schreibe von den Zahlen 485 und 158 die kleinere: ,"['485', '158']",158,158
"F: Von den Zahlen 968 und 740, welche ist kleiner? A:","['968', '740']",740,968
"F: Welche Zahl ist kleiner, 668 oder 897? A:","['668', '897']",668,897
"F: Von den Zahlen 747 und 400, welche ist kleiner? A:","['747', '400']",400,400
"F: Von den Zahlen 314 und 102, welche ist kleiner? A:","['314', '102']",102,102
Schreibe von den Zahlen 392 und 830 die kleinere: ,"['392', '830']",392,392
"F: Von den Zahlen 105 und 820, welche ist kleiner? A:","['105', '820']",105,105
"F: Welche Zahl ist kleiner, 141 oder 415? A:","['141', '415']",141,141
"F: Welche Zahl ist kleiner, 680 oder 605? A:","['680', '605']",605,605
"F: Welche Zahl ist kleiner, 705 oder 478? A:","['705', '478']",478,478
Schreibe von den Zahlen 101 und 903 die kleinere: ,"['101', '903']",101,101
"F: Von den Zahlen 95 und 497, welche ist kleiner? A:","['95', '497']",95,95
"F: Von den Zahlen 587 und 183, welche ist kleiner? A:","['587', '183']",183,183
"F: Von den Zahlen 224 und 527, welche ist kleiner? A:","['224', '527']",224,224
"F: Welche Zahl ist kleiner, 142 oder 347? A:","['142', '347']",142,142
"F: Welche Zahl ist kleiner, 83 oder 877? A:","['83', '877']",83,83
"F: Welche Zahl ist kleiner, 405 oder 80? A:","['405', '80']",80,405
"F: Von den Zahlen 587 und 767, welche ist kleiner? A:","['587', '767']",587,587
"F: Von den Zahlen 627 und 622, welche ist kleiner? A:","['627', '622']",622,622
Schreibe von den Zahlen 472 und 989 die kleinere: ,"['472', '989']",472,989
Schreibe von den Zahlen 612 und 107 die kleinere: ,"['612', '107']",107,107
"F: Von den Zahlen 352 und 249, welche ist kleiner? A:","['352', '249']",249,249
Schreibe von den Zahlen 295 und 118 die kleinere: ,"['295', '118']",118,295
Schreibe von den Zahlen 666 und 480 die kleinere: ,"['666', '480']",480,666
Schreibe von den Zahlen 243 und 702 die kleinere: ,"['243', '702']",243,243
"F: Welche Zahl ist kleiner, 113 oder 374? A:","['113', '374']",113,374
Schreibe von den Zahlen 215 und 64 die kleinere: ,"['215', '64']",64,215
Schreibe von den Zahlen 123 und 155 die kleinere: ,"['123', '155']",123,123
Schreibe von den Zahlen 40 und 54 die kleinere: ,"['40', '54']",40,40
"F: Welche Zahl ist kleiner, 670 oder 78? A:","['670', '78']",78,670
"F: Von den Zahlen 399 und 251, welche ist kleiner? A:","['399', '251']",251,251
Schreibe von den Zahlen 767 und 787 die kleinere: ,"['767', '787']",767,767
"F: Welche Zahl ist kleiner, 358 oder 377? A:","['358', '377']",358,377
Schreibe von den Zahlen 868 und 49 die kleinere: ,"['868', '49']",49,49
"F: Welche Zahl ist kleiner, 422 oder 852? A:","['422', '852']",422,422
"F: Von den Zahlen 552 und 835, welche ist kleiner? A:","['552', '835']",552,835
"F: Welche Zahl ist kleiner, 536 oder 727? A:","['536', '727']",536,536
Schreibe von den Zahlen 718 und 693 die kleinere: ,"['718', '693']",693,693
"F: Von den Zahlen 12 und 206, welche ist kleiner? A:","['12', '206']",12,12
Schreibe von den Zahlen 811 und 797 die kleinere: ,"['811', '797']",797,811
"F: Von den Zahlen 714 und 127, welche ist kleiner? A:","['714', '127']",127,127
"F: Von den Zahlen 813 und 219, welche ist kleiner? A:","['813', '219']",219,219
"F: Welche Zahl ist kleiner, 50 oder 671? A:","['50', '671']",50,50
"F: Welche Zahl ist kleiner, 963 oder 648? A:","['963', '648']",648,648
"F: Von den Zahlen 17 und 913, welche ist kleiner? A:","['17', '913']",17,913
"F: Von den Zahlen 948 und 170, welche ist kleiner? A:","['948', '170']",170,170
"F: Welche Zahl ist kleiner, 486 oder 365? A:","['486', '365']",365,365
Schreibe von den Zahlen 799 und 353 die kleinere: ,"['799', '353']",353,353
Schreibe von den Zahlen 883 und 388 die kleinere: ,"['883', '388']",388,388
"F: Welche Zahl ist kleiner, 354 oder 711? A:","['354', '711']",354,354
Schreibe von den Zahlen 51 und 494 die kleinere: ,"['51', '494']",51,494
Schreibe von den Zahlen 145 und 666 die kleinere: ,"['145', '666']",145,145
"F: Von den Zahlen 432 und 944, welche ist kleiner? A:","['432', '944']",432,432
"F: Welche Zahl ist kleiner, 281 oder 408? A:","['281', '408']",281,281
Schreibe von den Zahlen 819 und 183 die kleinere: ,"['819', '183']",183,183
"F: Von den Zahlen 584 und 896, welche ist kleiner? A:","['584', '896']",584,896
Schreibe von den Zahlen 858 und 302 die kleinere: ,"['858', '302']",302,302
"F: Von den Zahlen 305 und 12, welche ist kleiner? A:","['305', '12']",12,305
"F: Welche Zahl ist kleiner, 48 oder 879? A:","['48', '879']",48,879
"F: Von den Zahlen 105 und 549, welche ist kleiner? A:","['105', '549']",105,105
"F: Welche Zahl ist kleiner, 170 oder 321? A:","['170', '321']",170,170
Schreibe von den Zahlen 660 und 556 die kleinere: ,"['660', '556']",556,660
"F: Von den Zahlen 179 und 595, welche ist kleiner? A:","['179', '595']",179,179
Schreibe von den Zahlen 921 und 312 die kleinere: ,"['921', '312']",312,312
"F: Welche Zahl ist kleiner, 687 oder 405? A:","['687', '405']",405,687
"F: Welche Zahl ist kleiner, 570 oder 537? A:","['570', '537']",537,537
"F: Welche Zahl ist kleiner, 963 oder 725? A:","['963', '725']",725,963
Schreibe von den Zahlen 788 und 302 die kleinere: ,"['788', '302']",302,302
