Input,Options,Expected,Output (raw),Predicted
"F: Welches Wort ist kürzer, ""wertlos"" oder ""namenlos""? A:","['wertlos', 'namenlos']",wertlos,"UTT_BOUNDARY f: welches wort ist kürzer, ""wertlos"" oder ""namenlos""? a:UTT_BOUNDARY wertlos"" oder """," wertlos"" oder """
"F: Welches Wort ist kürzer, ""völlig"" oder ""daran""? A:","['völlig', 'daran']",daran,"UTT_BOUNDARY f: welches wort ist kürzer, ""völlig"" oder ""daran""? a:UTT_BOUNDARY daran, ""bestens"," daran, ""bestens"
"F: Welches Wort ist kürzer, ""Abschied"" oder ""wertlos""? A:","['Abschied', 'wertlos']",wertlos,"UTT_BOUNDARY f: welches wort ist kürzer, ""abschied"" oder ""wertlos""? a:UTT_BOUNDARY wertlos.""? a"," wertlos.""? a"
"F: Welches Wort hat weniger Buchstaben, ""um"" oder ""all""? A:","['um', 'all']",um,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""um"" oder ""all""? a:UTT_BOUNDARY umgänglicher"""," umgänglicher"""
"Von den Wörtern ""Fachbücher"" und ""Polarität"", welches hat weniger Buchstaben? ","['Fachbücher', 'Polarität']",polarität,"UTT_BOUNDARY von den wörtern ""fachbücher"" und ""polarität"", welches hat weniger buchstaben?UTT_BOUNDARY polarität? a", polarität? a
"F: Welches Wort ist kürzer, ""jemand"" oder ""nicht""? A:","['jemand', 'nicht']",nicht,"UTT_BOUNDARY f: welches wort ist kürzer, ""jemand"" oder ""nicht""? a:UTT_BOUNDARY nicht nicht"", welches hat"," nicht nicht"", welches hat"
"F: Welches Wort ist kürzer, ""sollen"" oder ""brüllen""? A:","['sollen', 'brüllen']",sollen,"UTT_BOUNDARY f: welches wort ist kürzer, ""sollen"" oder ""brüllen""? a:UTT_BOUNDARY sollen wir das nicht zu", sollen wir das nicht zu
"Von den Wörtern ""variabel"" und ""Iteration"", welches hat weniger Buchstaben? ","['variabel', 'Iteration']",variabel,"UTT_BOUNDARY von den wörtern ""variabel"" und ""iteration"", welches hat weniger buchstaben?UTT_BOUNDARY variabel"" oder """," variabel"" oder """
"F: Welches Wort hat weniger Buchstaben, ""muss"" oder ""ist""? A:","['muss', 'ist']",ist,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""muss"" oder ""ist""? a:UTT_BOUNDARY ist sehr unterhaltsam."""," ist sehr unterhaltsam."""
"Von den Wörtern ""Oligarchie"" und ""Bedeutung"", welches hat weniger Buchstaben? ","['Oligarchie', 'Bedeutung']",bedeutung,"UTT_BOUNDARY von den wörtern ""oligarchie"" und ""bedeutung"", welches hat weniger buchstaben?UTT_BOUNDARY bedeutung des wortes """," bedeutung des wortes """
"Von den Wörtern ""Obduktion"" und ""offensiv"", welches hat weniger Buchstaben? ","['Obduktion', 'offensiv']",offensiv,"UTT_BOUNDARY von den wörtern ""obduktion"" und ""offensiv"", welches hat weniger buchstaben?UTT_BOUNDARY offensiv"" oder"," offensiv"" oder"
"F: Welches Wort hat weniger Buchstaben, ""im"" oder ""weg""? A:","['im', 'weg']",im,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""im"" oder ""weg""? a:UTT_BOUNDARY im sommer"" oder """," im sommer"" oder """
"F: Welches Wort hat weniger Buchstaben, ""rot"" oder ""dann""? A:","['rot', 'dann']",rot,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""rot"" oder ""dann""? a:UTT_BOUNDARY rot rot rot rot rot", rot rot rot rot rot
"F: Welches Wort ist kürzer, ""Abschied"" oder ""ungerne""? A:","['Abschied', 'ungerne']",ungerne,"UTT_BOUNDARY f: welches wort ist kürzer, ""abschied"" oder ""ungerne""? a:UTT_BOUNDARY ungerne""? a"," ungerne""? a"
"Von den Wörtern ""Plakatwand"" und ""Iteration"", welches hat weniger Buchstaben? ","['Plakatwand', 'Iteration']",iteration,"UTT_BOUNDARY von den wörtern ""plakatwand"" und ""iteration"", welches hat weniger buchstaben?UTT_BOUNDARY iterationlich."""," iterationlich."""
"F: Welches Wort hat weniger Buchstaben, ""daran"" oder ""heut""? A:","['daran', 'heut']",heut,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""daran"" oder ""heut""? a:UTT_BOUNDARY heutiger arbeitstag""?"," heutiger arbeitstag""?"
"F: Welches Wort ist kürzer, ""weinen"" oder ""unter""? A:","['weinen', 'unter']",unter,"UTT_BOUNDARY f: welches wort ist kürzer, ""weinen"" oder ""unter""? a:UTT_BOUNDARY unter dem ""bagger""?"," unter dem ""bagger""?"
"F: Welches Wort hat weniger Buchstaben, ""bald"" oder ""man""? A:","['bald', 'man']",man,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""bald"" oder ""man""? a:UTT_BOUNDARY mango.""? a"," mango.""? a"
"Von den Wörtern ""Robbenfell"" und ""Verzichts"", welches hat weniger Buchstaben? ","['Robbenfell', 'Verzichts']",verzichts,"UTT_BOUNDARY von den wörtern ""robbenfell"" und ""verzichts"", welches hat weniger buchstaben?UTT_BOUNDARY verzichtslosung?", verzichtslosung?
"Von den Wörtern ""Machtwort"" und ""Wachmänner"", welches hat weniger Buchstaben? ","['Machtwort', 'Wachmänner']",machtwort,"UTT_BOUNDARY von den wörtern ""machtwort"" und ""wachmänner"", welches hat weniger buchstaben?UTT_BOUNDARY machtwort des satzes", machtwort des satzes
"F: Welches Wort hat weniger Buchstaben, ""ein"" oder ""im""? A:","['ein', 'im']",im,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""ein"" oder ""im""? a:UTT_BOUNDARY im kino"" oder """," im kino"" oder """
"F: Welches Wort hat weniger Buchstaben, ""sind"" oder ""der""? A:","['sind', 'der']",der,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""sind"" oder ""der""? a:UTT_BOUNDARY der ist größer und größer", der ist größer und größer
