Input,Options,Expected,Predicted
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""gabel"" oder ""wand""? A:","['gabel', 'wand']",gabel," gabelerst""?"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""qualm"" oder ""vogel""? A:","['qualm', 'vogel']",qualm, qualm?
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""hut"" oder ""hammer""? A:","['hut', 'hammer']",hammer, hammerhead reihen
"F: In alphabetischer Reihenfolge, welches der Woerter ""ente"" und ""maske"" kommt zuerst? A:","['ente', 'maske']",ente, enteibe den
"Welches von den Woertern ""teller"" und ""lampe"", kommt alphabetisch zuerst? ","['teller', 'lampe']",lampe, tellerst?
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""wiese"" oder ""uhr""? A:","['wiese', 'uhr']",uhr, uhr komm
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""rakete"" oder ""zelt""? A:","['rakete', 'zelt']",rakete," rakete""?"
"Welches von den Woertern ""erdbeere"" und ""milch"", kommt alphabetisch zuerst? ","['erdbeere', 'milch']",erdbeere, erdbeereere
"F: In alphabetischer Reihenfolge, welches der Woerter ""erdbeere"" und ""haus"" kommt zuerst? A:","['erdbeere', 'haus']",erdbeere, erdbeereere
"Welches von den Woertern ""ufer"" und ""glas"", kommt alphabetisch zuerst? ","['ufer', 'glas']",glas, ufersterem
"Welches von den Woertern ""oma"" und ""lied"", kommt alphabetisch zuerst? ","['oma', 'lied']",lied, lied?
"F: In alphabetischer Reihenfolge, welches der Woerter ""apfel"" und ""journal"" kommt zuerst? A:","['apfel', 'journal']",apfel, apfelst?
"F: In alphabetischer Reihenfolge, welches der Woerter ""urlaub"" und ""lampe"" kommt zuerst? A:","['urlaub', 'lampe']",lampe," lampee""?"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""gabel"" oder ""insekt""? A:","['gabel', 'insekt']",gabel, gabeltoberger
"Welches von den Woertern ""ampel"" und ""hose"", kommt alphabetisch zuerst? ","['ampel', 'hose']",ampel, ampelung?
"F: In alphabetischer Reihenfolge, welches der Woerter ""birne"" und ""qualle"" kommt zuerst? A:","['birne', 'qualle']",birne, birne?
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""jeans"" oder ""tasse""? A:","['jeans', 'tasse']",jeans," tasse""?"
