Input,Options,Expected,Predicted
"F: Welches Wort steht am Anfang des Satzes ""Sie schreibt regelmäßig Briefe an ihre Großeltern auf dem Land.""? A:","['sie', 'schreibt', 'regelmäßig', 'briefe', 'an', 'ihre', 'großeltern', 'auf', 'dem', 'land']",sie,sie
"F: Welches Wort steht am Anfang des Satzes ""Sie trägt eine rote Jacke im Winter und warme Stiefel dazu.""? A:","['sie', 'trägt', 'eine', 'rote', 'jacke', 'im', 'winter', 'und', 'warme', 'stiefel', 'dazu']",sie,sie
"F: Welches Wort steht am Anfang des Satzes ""Wir machen eine Wanderung durch den Wald bei schönem Wetter.""? A:","['wir', 'machen', 'eine', 'wanderung', 'durch', 'den', 'wald', 'bei', 'schönem', 'wetter']",wir,wir
"F: Was ist das erste Wort des Satzes ""Der Hund bellt laut, wenn jemand an der Tür klingelt.""? A:","['der', 'hund', 'bellt', 'laut', 'wenn', 'jemand', 'an', 'der', 'tür', 'klingelt']",der,der
"Schreibe das erste Wort des Satzes ""Der Hund kuschelt sich zufrieden in seine warme Decke."": ","['der', 'hund', 'kuschelt', 'sich', 'zufrieden', 'in', 'seine', 'warme', 'decke']",der,der
"F: Welches Wort steht am Anfang des Satzes ""Wir besuchen das Schloss im nahegelegenen Ort am Sonntag.""? A:","['wir', 'besuchen', 'das', 'schloss', 'im', 'nahegelegenen', 'ort', 'am', 'sonntag']",wir,wir
"F: Welches Wort steht am Anfang des Satzes ""Ich höre Musik, während ich meine Hausaufgaben mache zu Hause.""? A:","['ich', 'höre', 'musik', 'während', 'ich', 'meine', 'hausaufgaben', 'mache', 'zu', 'hause']",ich,ich
"Schreibe das erste Wort des Satzes ""Er fährt jeden Morgen mit dem Fahrrad zur Arbeit in die Stadt."": ","['er', 'fährt', 'jeden', 'morgen', 'mit', 'dem', 'fahrrad', 'zur', 'arbeit', 'in', 'die', 'stadt']",er,er
"F: Was ist das erste Wort des Satzes ""Ich koche heute eine Suppe mit frischem Gemüse.""? A:","['ich', 'koche', 'heute', 'eine', 'suppe', 'mit', 'frischem', 'gemüse']",ich,ich
"Schreibe das erste Wort des Satzes ""Die Katze schläft zufrieden auf dem gemütlichen Sofa im Wohnzimmer."": ","['die', 'katze', 'schläft', 'zufrieden', 'auf', 'dem', 'gemütlichen', 'sofa', 'im', 'wohnzimmer']",die,die
"Schreibe das erste Wort des Satzes ""Das Kind malt ein buntes Bild mit Wasserfarben."": ","['das', 'kind', 'malt', 'ein', 'buntes', 'bild', 'mit', 'wasserfarben']",das,das
"F: Was ist das erste Wort des Satzes ""Der Film war spannend und hat mir gut gefallen.""? A:","['der', 'film', 'war', 'spannend', 'und', 'hat', 'mir', 'gut', 'gefallen']",der,der
"F: Was ist das erste Wort des Satzes ""Der Hund liebt es, im Park mit anderen Hunden zu spielen.""? A:","['der', 'hund', 'liebt', 'es', 'im', 'park', 'mit', 'anderen', 'hunden', 'zu', 'spielen']",der,der
"F: Welches Wort steht am Anfang des Satzes ""Sie liest gern Sachbücher über Geschichte und Naturwissenschaften.""? A:","['sie', 'liest', 'gern', 'sachbücher', 'über', 'geschichte', 'und', 'naturwissenschaften']",sie,sie
"Schreibe das erste Wort des Satzes ""Der Lehrer erklärt geduldig neue Vokabeln im Deutschunterricht der Klasse."": ","['der', 'lehrer', 'erklärt', 'geduldig', 'neue', 'vokabeln', 'im', 'deutschunterricht', 'der', 'klasse']",der,der
"F: Was ist das erste Wort des Satzes ""Ich lese oft Bücher über Geschichte und Kultur.""? A:","['ich', 'lese', 'oft', 'bücher', 'über', 'geschichte', 'und', 'kultur']",ich,ich
"F: Welches Wort steht am Anfang des Satzes ""Bitte öffne das Fenster, es ist warm und stickig im Zimmer.""? A:","['bitte', 'öffne', 'das', 'fenster', 'es', 'ist', 'warm', 'und', 'stickig', 'im', 'zimmer']",bitte,bitte
"F: Was ist das erste Wort des Satzes ""Ich esse morgens oft frisches Obst und Joghurt zum Frühstück.""? A:","['ich', 'esse', 'morgens', 'oft', 'frisches', 'obst', 'und', 'joghurt', 'zum', 'frühstück']",ich,ich
"Schreibe das erste Wort des Satzes ""Sie kocht heute ein neues Rezept mit viel Gemüse und Kräutern."": ","['sie', 'kocht', 'heute', 'ein', 'neues', 'rezept', 'mit', 'viel', 'gemüse', 'und', 'kräutern']",sie,sie
