Input,Options,Expected,Predicted
"F: Welches Wort ist kuerzer, ""tadellos"" oder ""gezeigt""? A:","['tadellos', 'gezeigt']",gezeigt,gezeigt
"F: Welches Wort ist kuerzer, ""mulmig"" oder ""wertlos""? A:","['mulmig', 'wertlos']",mulmig,wertlos
"F: Welches Wort ist kuerzer, ""gespuert"" oder ""voellig""? A:","['gespuert', 'voellig']",voellig,gespuert
"F: Welches Wort hat weniger Buchstaben, ""all"" oder ""um""? A:","['all', 'um']",um,all
"Von den Woertern ""verlusten"" und ""verbindung"", welches hat weniger Buchstaben? ","['verlusten', 'verbindung']",verlusten,verlusten
"F: Welches Wort ist kuerzer, ""allen"" oder ""graben""? A:","['allen', 'graben']",allen,allen
"F: Welches Wort ist kuerzer, ""denken"" oder ""solches""? A:","['denken', 'solches']",denken,solches
"Von den Woertern ""jobcenter"" und ""wirklich"", welches hat weniger Buchstaben? ","['jobcenter', 'wirklich']",wirklich,wirklich
"F: Welches Wort hat weniger Buchstaben, ""ist"" oder ""muss""? A:","['ist', 'muss']",ist,ist
"Von den Woertern ""iteration"" und ""oligarchie"", welches hat weniger Buchstaben? ","['iteration', 'oligarchie']",iteration,oligarchie
"Von den Woertern ""bekannte"" und ""idiotisch"", welches hat weniger Buchstaben? ","['bekannte', 'idiotisch']",bekannte,bekannte
"F: Welches Wort hat weniger Buchstaben, ""weg"" oder ""im""? A:","['weg', 'im']",im,weg
"F: Welches Wort hat weniger Buchstaben, ""dann"" oder ""rot""? A:","['dann', 'rot']",rot,rot
"F: Welches Wort ist kuerzer, ""beweise"" oder ""verloren""? A:","['beweise', 'verloren']",beweise,beweise
"Von den Woertern ""unablaessiggleichstand"" und ""veranstalt"", welches hat weniger Buchstaben? ","['unablaessiggleichstand', 'veranstalt']",veranstalt,veranstalt
"F: Welches Wort hat weniger Buchstaben, ""sich"" oder ""daher""? A:","['sich', 'daher']",sich,daher
"F: Welches Wort ist kuerzer, ""graben"" oder ""dabei""? A:","['graben', 'dabei']",dabei,dabei
"F: Welches Wort hat weniger Buchstaben, ""man"" oder ""bald""? A:","['man', 'bald']",man,bald
"Von den Woertern ""mitarbeiter"" und ""entwickeln"", welches hat weniger Buchstaben? ","['mitarbeiter', 'entwickeln']",entwickeln,entwickeln
"Von den Woertern ""verzichts"" und ""veranstalt"", welches hat weniger Buchstaben? ","['verzichts', 'veranstalt']",verzichts,veranstalt
"F: Welches Wort hat weniger Buchstaben, ""ein"" oder ""im""? A:","['ein', 'im']",im,ein
"F: Welches Wort hat weniger Buchstaben, ""der"" oder ""sind""? A:","['der', 'sind']",der,der
"F: Welches Wort hat weniger Buchstaben, ""daher"" oder ""lang""? A:","['daher', 'lang']",lang,daher
"Von den Woertern ""beispiel"" und ""machtwort"", welches hat weniger Buchstaben? ","['beispiel', 'machtwort']",beispiel,beispiel
"F: Welches Wort ist kuerzer, ""abholen"" oder ""wissen""? A:","['abholen', 'wissen']",wissen,wissen
"Von den Woertern ""mitarbeiter"" und ""hustenbonbon"", welches hat weniger Buchstaben? ","['mitarbeiter', 'hustenbonbon']",mitarbeiter,hustenbonbon
"Von den Woertern ""offizielle"" und ""fachbuecher"", welches hat weniger Buchstaben? ","['offizielle', 'fachbuecher']",offizielle,offizielle
"F: Welches Wort ist kuerzer, ""gedanke"" oder ""koennt""? A:","['gedanke', 'koennt']",koennt,gedanke
"F: Welches Wort hat weniger Buchstaben, ""der"" oder ""sehr""? A:","['der', 'sehr']",der,sehr
