Input,Options,Expected,Predicted
"F: Mit welchem Buchstaben endet das Wort ""Parkscheibe""? A:","['p', 'a', 'r', 'k', 's', 'c', 'h', 'e', 'i', 'b', 'e']",e,e
"F: Mit welchem Buchstaben endet das Wort ""elastisch""? A:","['e', 'l', 'a', 's', 't', 'i', 's', 'c', 'h']",h,l
"F: Mit welchem Buchstaben endet das Wort ""Zug""? A:","['z', 'u', 'g']",g,g
"F: Was ist der letzte Buchstabe des Wortes ""Schaf""? A:","['s', 'c', 'h', 'a', 'f']",f,f
"Schreibe den letzten Buchstaben des Wortes ""Bäckerei"": ","['b', 'ä', 'c', 'k', 'e', 'r', 'e', 'i']",i,ä
"F: Mit welchem Buchstaben endet das Wort ""Flasche""? A:","['f', 'l', 'a', 's', 'c', 'h', 'e']",e,a
"F: Mit welchem Buchstaben endet das Wort ""Goldfisch""? A:","['g', 'o', 'l', 'd', 'f', 'i', 's', 'c', 'h']",h,h
"Schreibe den letzten Buchstaben des Wortes ""ausgraben"": ","['a', 'u', 's', 'g', 'r', 'a', 'b', 'e', 'n']",n,u
"F: Was ist der letzte Buchstabe des Wortes ""Kunst""? A:","['k', 'u', 'n', 's', 't']",t,u
"Schreibe den letzten Buchstaben des Wortes ""menschlich"": ","['m', 'e', 'n', 's', 'c', 'h', 'l', 'i', 'c', 'h']",h,m
"Schreibe den letzten Buchstaben des Wortes ""Punktestand"": ","['p', 'u', 'n', 'k', 't', 'e', 's', 't', 'a', 'n', 'd']",d,t
"F: Was ist der letzte Buchstabe des Wortes ""Haus""? A:","['h', 'a', 'u', 's']",s,u
"F: Was ist der letzte Buchstabe des Wortes ""rennen""? A:","['r', 'e', 'n', 'n', 'e', 'n']",n,r
"F: Mit welchem Buchstaben endet das Wort ""lesen""? A:","['l', 'e', 's', 'e', 'n']",n,l
"Schreibe den letzten Buchstaben des Wortes ""Hof"": ","['h', 'o', 'f']",f,f
"F: Was ist der letzte Buchstabe des Wortes ""berühren""? A:","['b', 'e', 'r', 'ü', 'h', 'r', 'e', 'n']",n,ü
"F: Mit welchem Buchstaben endet das Wort ""Entwicklungshilfe""? A:","['e', 'n', 't', 'w', 'i', 'c', 'k', 'l', 'u', 'n', 'g', 's', 'h', 'i', 'l', 'f', 'e']",e,c
"F: Was ist der letzte Buchstabe des Wortes ""Nudelholz""? A:","['n', 'u', 'd', 'e', 'l', 'h', 'o', 'l', 'z']",z,l
"Schreibe den letzten Buchstaben des Wortes ""Essen"": ","['e', 's', 's', 'e', 'n']",n,n
