Input,Options,Expected,Predicted
"Q: Which is a rhyme of the word ""routine"", ""hurt"" or ""scene""? A:","['scene', 'hurt']",scene, upsetting.
"Q: Which is a rhyme of the word ""wow"", ""announce"" or ""cow""? A:","['cow', 'announce']",cow, cow raising:
"Q: Which is a rhyme of the word ""begin"", ""pin"" or ""couple""? A:","['pin', 'couple']",pin, pineapple.
"Q: Which word rhymes with the word ""frog"", ""diet"" or ""jog""? A:","['jog', 'diet']",jog," jog""?"
"Q: Of the words ""discover"" and ""cinema"", which one rhymes with ""recover""? A:","['discover', 'cinema']",discover, cover:
"Q: Which is a rhyme of the word ""thick"", ""feel"" or ""sick""? A:","['sick', 'feel']",sick, sickle.
"Q: Which is a rhyme of the word ""dancer"", ""cancer"" or ""television""? A:","['cancer', 'television']",cancer, dancer:
"Q: Of the words ""nightclub"" and ""mess"", which one rhymes with ""stress""? A:","['mess', 'nightclub']",mess, nightclub.
"Q: Which word rhymes with the word ""mean"", ""clean"" or ""bracelet""? A:","['clean', 'bracelet']",clean," cleanliness, cleanliness"
"Q: Of the words ""pan"" and ""tell"", which one rhymes with ""plan""? A:","['pan', 'tell']",pan, tell.
"Q: Of the words ""stripe"" and ""dull"", which one rhymes with ""type""? A:","['stripe', 'dull']",stripe, stripe:
"Q: Which word rhymes with the word ""truck"", ""luck"" or ""breakfast""? A:","['luck', 'breakfast']",luck, breakfast?
"Q: Which word rhymes with the word ""exchange"", ""location"" or ""strange""? A:","['strange', 'location']",strange, strange word:
"Q: Which is a rhyme of the word ""beat"", ""eastern"" or ""defeat""? A:","['defeat', 'eastern']",defeat, western.
"Q: Of the words ""description"" and ""cigarette"", which one rhymes with ""prescription""? A:","['description', 'cigarette']",description, article:
"Q: Which word rhymes with the word ""ferry"", ""sex"" or ""very""? A:","['very', 'sex']",very, sexually active.
"Q: Which is a rhyme of the word ""blank"", ""thank"" or ""dot""? A:","['thank', 'dot']",thank, thank you.
"Q: Which word rhymes with the word ""thick"", ""trick"" or ""dead""? A:","['trick', 'dead']",trick, dead:
"Q: Of the words ""possessive"" and ""main"", which one rhymes with ""rain""? A:","['main', 'possessive']",main, trainer:
"Q: Of the words ""identification"" and ""connect"", which one rhymes with ""application""? A:","['identification', 'connect']",identification, identification:
"Q: Which word rhymes with the word ""hold"", ""cry"" or ""fold""? A:","['fold', 'cry']",fold, fold.
"Q: Which word rhymes with the word ""dish"", ""fish"" or ""blogger""? A:","['fish', 'blogger']",fish, fish:
"Q: Which word rhymes with the word ""morning"", ""warning"" or ""per""? A:","['warning', 'per']",warning, presentation:
"Q: Of the words ""sick"" and ""coat"", which one rhymes with ""stick""? A:","['sick', 'coat']",sick, cold jacket
"Q: Which is a rhyme of the word ""pretty"", ""city"" or ""dangerous""? A:","['city', 'dangerous']",city, city.
"Q: Of the words ""house"" and ""definitely"", which one rhymes with ""blouse""? A:","['house', 'definitely']",house, house.
"Q: Of the words ""pollution"" and ""trumpet"", which one rhymes with ""solution""? A:","['pollution', 'trumpet']",pollution, pollution.
"Q: Which is a rhyme of the word ""warning"", ""morning"" or ""nightmare""? A:","['morning', 'nightmare']",morning, nightmare:
"Q: Which word rhymes with the word ""lamp"", ""camp"" or ""newspaper""? A:","['camp', 'newspaper']",camp, campfire:
"Q: Which is a rhyme of the word ""fare"", ""sing"" or ""square""? A:","['square', 'sing']",square, twinkle twinkle twinkle
"Q: Which is a rhyme of the word ""child"", ""green"" or ""mild""? A:","['mild', 'green']",mild, green:
"Q: Which is a rhyme of the word ""camp"", ""stamp"" or ""reader""? A:","['stamp', 'reader']",stamp, reader:
