Input,Expected,Predicted
"Q: Which word is longer, ""throw"" or ""oh""? A:",throw,throw? a:
"Q: Which word is longer, ""during"" or ""on""? A:",during,during? a:
"Q: Which word is longer, ""playground"" or ""why""? A:",playground,playground? a:
"Q: Which word has more letters, ""empty"" or ""an""? A:",empty,and empty? a:
"Q: Of the words ""be"" and ""money"" which one has more letters? A:",money,"be"" and ""be""? a:"
"Q: Which word is longer, ""of"" or ""print""? A:",print,print? a:
"Q: Which word is longer, ""cover"" or ""playground""? A:",playground,"playground"" or ""playgroun"
"Q: Of the words ""cold"" and ""skating"" which one has more letters? A:",skating,cold? a:
"Q: Which word has more letters, ""playground"" or ""gas""? A:",playground,playground? a:
"Q: Of the words ""playground"" and ""also"" which one has more letters? A:",playground,playground? a:
"Q: Of the words ""yard"" and ""postcard"" which one has more letters? A:",postcard,postcard? a:
"Q: Which word has more letters, ""anymore"" or ""on""? A:",anymore,onemore? a:
"Q: Which word has more letters, ""singular"" or ""disco""? A:",singular,singular? a:
"Q: Which word is longer, ""surfing"" or ""hour""? A:",surfing,surfing?
"Q: Of the words ""own"" and ""minute"" which one has more letters? A:",minute,own? a:
"Q: Which word has more letters, ""head"" or ""discount""? A:",discount,discount? a:
"Q: Which word is longer, ""turn"" or ""mistake""? A:",mistake,"mistake""? a:"
"Q: Which word has more letters, ""go"" or ""worst""? A:",worst,"goodbye"" or ""worst""? a:"
"Q: Of the words ""nature"" and ""cry"" which one has more letters? A:",nature,nature? a:
"Q: Of the words ""my"" and ""around"" which one has more letters? A:",around,around? around? around? a
"Q: Which word has more letters, ""boyfriend"" or ""worst""? A:",boyfriend,worst?
"Q: Which word has more letters, ""drawing"" or ""nice""? A:",drawing,drawing? a:
"Q: Which word has more letters, ""an"" or ""snack""? A:",snack,snack? a:
"Q: Of the words ""modern"" and ""playground"" which one has more letters? A:",playground,"playground"" or ""playgroun"
"Q: Which word is longer, ""itself"" or ""we""? A:",itself,itself? a:
"Q: Of the words ""be"" and ""playground"" which one has more letters? A:",playground,playground? a:
"Q: Of the words ""playground"" and ""heat"" which one has more letters? A:",playground,playground? a:
"Q: Which word is longer, ""past"" or ""something""? A:",something,"something"" or ""past""? a:"
"Q: Which word has more letters, ""playground"" or ""low""? A:",playground,playground? a:
"Q: Which word is longer, ""include"" or ""bag""? A:",include,bag?
"Q: Which word is longer, ""they"" or ""wonderful""? A:",wonderful,"they"" or ""wonderful""? a:"
"Q: Which word is longer, ""new"" or ""myself""? A:",myself,"myself""? a:"
"Q: Which word has more letters, ""surfing"" or ""arm""? A:",surfing,surfing?
"Q: Of the words ""listen"" and ""an"" which one has more letters? A:",listen,"and ""listen""? a:"
"Q: Which word has more letters, ""fashion"" or ""gym""? A:",fashion,gym? a:
"Q: Which word has more letters, ""cloudy"" or ""try""? A:",cloudy,"try""? a:"
"Q: Of the words ""buy"" and ""software"" which one has more letters? A:",software,"buy"" or ""software""? a:"
"Q: Which word has more letters, ""big"" or ""details""? A:",details,"big"" or ""details""? a:"
"Q: Which word has more letters, ""something"" or ""dream""? A:",something,dream? a:
"Q: Which word is longer, ""something"" or ""dream""? A:",something,dream? a:
"Q: Which word has more letters, ""dirty"" or ""oh""? A:",dirty,"oh, oh, oh, oh, oh, oh, o"
"Q: Which word has more letters, ""ad"" or ""money""? A:",money,money? ad:
"Q: Which word has more letters, ""your"" or ""various""? A:",various,various? a:
"Q: Which word has more letters, ""mix"" or ""friendly""? A:",friendly,"friendly"" or ""friendly""? "
"Q: Which word is longer, ""suit"" or ""blanket""? A:",blanket,blanket? a:
"Q: Which word is longer, ""enough"" or ""for""? A:",enough,enough?
"Q: Of the words ""site"" and ""musical"" which one has more letters? A:",musical,"musical"" which one has mo"
"Q: Which word has more letters, ""oh"" or ""playground""? A:",playground,"playground"" or ""playgroun"
"Q: Of the words ""sofa"" and ""lunchtime"" which one has more letters? A:",lunchtime,lunchtime? a:
"Q: Which word is longer, ""bother"" or ""set""? A:",bother,bother? a:
"Q: Which word is longer, ""water"" or ""so""? A:",water,water? a:
"Q: Of the words ""sea"" and ""cousin"" which one has more letters? A:",cousin,"cousin"" which one? a:"
"Q: Which word has more letters, ""my"" or ""smoke""? A:",smoke,"smoke"" or ""smoke""? a:"
