Input,Options,Expected,Predicted
"Q: In the sentence ""I broke those twigs and branches apart"", which word immediately succeeds the word ""and""? A:","['I', 'broke', 'those', 'twigs', 'and', 'branches', 'apart']",branches,those
"Q: In the sentence ""I might eat deep fried muffins"", which word immediately succeeds the word ""deep""? A:","['I', 'might', 'eat', 'deep', 'fried', 'muffins']",fried,eat
"Q: In the sentence ""Jason was killed"", which word immediately succeeds the word ""was""? A:","['Jason', 'was', 'killed']",killed,was
"Q: In the sentence ""The tigers hunt prey at night"", which word comes right after the word ""The""? A:","['The', 'tigers', 'hunt', 'prey', 'at', 'night']",tigers,night
"Q: Which word comes right after ""Susan"" in the sentence ""Susan bought some flowers for her mother""? A:","['Susan', 'bought', 'some', 'flowers', 'for', 'her', 'mother']",bought,mother
"Q: In the sentence ""Lucy sent Jane a letter"", which word immediately succeeds the word ""Lucy""? A:","['Lucy', 'sent', 'Jane', 'a', 'letter']",sent,letter
"Q: In the sentence ""I want him to eat asparagus"", which word immediately succeeds the word ""eat""? A:","['I', 'want', 'him', 'to', 'eat', 'asparagus']",asparagus,asparagus
"Q: Which word comes right after ""butter"" in the sentence ""The king loved peanut butter cookies""? A:","['The', 'king', 'loved', 'peanut', 'butter', 'cookies']",cookies,butter
"Q: In the sentence ""Dogs like Kim"", which word comes right after the word ""Dogs""? A:","['Dogs', 'like', 'Kim']",like,like
"Q: Which word comes right after ""halfway"" in the sentence ""I sent the package halfway around the world""? A:","['I', 'sent', 'the', 'package', 'halfway', 'around', 'the', 'world']",around,world
"Q: Which word comes right after ""Ellen"" in the sentence ""Ellen talked with Helen about the problem""? A:","['Ellen', 'talked', 'with', 'Helen', 'about', 'the', 'problem']",talked,talked
"Q: In the sentence ""The barber shaved my chin"", which word comes right after the word ""barber""? A:","['The', 'barber', 'shaved', 'my', 'chin']",shaved,barber
"Q: In the sentence ""Fred threw the ball behind the tree"", which word comes right after the word ""ball""? A:","['Fred', 'threw', 'the', 'ball', 'behind', 'the', 'tree']",behind,threw
"Q: In the sentence ""Susan rode a bright blue train from New York"", which word immediately succeeds the word ""Susan""? A:","['Susan', 'rode', 'a', 'bright', 'blue', 'train', 'from', 'New', 'York']",rode,bright
"Q: Which word comes right after ""large"" in the sentence ""A large dog chased a small cat""? A:","['A', 'large', 'dog', 'chased', 'a', 'small', 'cat']",dog,a
"Q: In the sentence ""I went to the store and bought some whisky"", which word comes right after the word ""I""? A:","['I', 'went', 'to', 'the', 'store', 'and', 'bought', 'some', 'whisky']",went,and
"Q: In the sentence ""Nora sent the book"", which word immediately succeeds the word ""the""? A:","['Nora', 'sent', 'the', 'book']",book,the
"Q: In the sentence ""It is obvious to everybody that Tasha likes Misha"", which word comes right after the word ""to""? A:","['It', 'is', 'obvious', 'to', 'everybody', 'that', 'Tasha', 'likes', 'Misha']",everybody,everybody
"Q: Which word comes right after ""John"" in the sentence ""John believes Sally to be polite""? A:","['John', 'believes', 'Sally', 'to', 'be', 'polite']",believes,be
"Q: Which word comes right after ""the"" in the sentence ""A large ship appeared on the horizon""? A:","['A', 'large', 'ship', 'appeared', 'on', 'the', 'horizon']",horizon,appeared
"Q: In the sentence ""Everyone thinks he is smart"", which word comes right after the word ""is""? A:","['Everyone', 'thinks', 'he', 'is', 'smart']",smart,he
"Q: In the sentence ""Dana longs for a sunny day"", which word comes right after the word ""sunny""? A:","['Dana', 'longs', 'for', 'a', 'sunny', 'day']",day,for
"Q: In the sentence ""That whole wheat flour bakes wonderful bread"", which word comes right after the word ""flour""? A:","['That', 'whole', 'wheat', 'flour', 'bakes', 'wonderful', 'bread']",bakes,flour
"Q: Which word comes right after ""package"" in the sentence ""The package weighed ten pounds""? A:","['The', 'package', 'weighed', 'ten', 'pounds']",weighed,weighed
"Q: In the sentence ""The storm arrived while we ate lunch"", which word immediately succeeds the word ""ate""? A:","['The', 'storm', 'arrived', 'while', 'we', 'ate', 'lunch']",lunch,ate
"Q: Which word comes right after ""a"" in the sentence ""It is a problem that he is here""? A:","['It', 'is', 'a', 'problem', 'that', 'he', 'is', 'here']",problem,a
"Q: Which word comes right after ""The"" in the sentence ""The son took care of his parents""? A:","['The', 'son', 'took', 'care', 'of', 'his', 'parents']",son,his
"Q: In the sentence ""There remained just a few problems to be solved"", which word immediately succeeds the word ""few""? A:","['There', 'remained', 'just', 'a', 'few', 'problems', 'to', 'be', 'solved']",problems,a
"Q: In the sentence ""Jason expected Medea to be treated by the doctor"", which word comes right after the word ""Jason""? A:","['Jason', 'expected', 'Medea', 'to', 'be', 'treated', 'by', 'the', 'doctor']",expected,the
"Q: In the sentence ""No one could remove the blood on the wall"", which word immediately succeeds the word ""one""? A:","['No', 'one', 'could', 'remove', 'the', 'blood', 'on', 'the', 'wall']",could,one
"Q: In the sentence ""I would like for John to win"", which word immediately succeeds the word ""for""? A:","['I', 'would', 'like', 'for', 'John', 'to', 'win']",John,win
"Q: In the sentence ""It seems to be easy to fool Ben"", which word immediately succeeds the word ""be""? A:","['It', 'seems', 'to', 'be', 'easy', 'to', 'fool', 'Ben']",easy,be
"Q: In the sentence ""John wants to leave"", which word comes right after the word ""to""? A:","['John', 'wants', 'to', 'leave']",leave,wants
"Q: Which word comes right after ""to"" in the sentence ""Mary has always preferred lemons to limes""? A:","['Mary', 'has', 'always', 'preferred', 'lemons', 'to', 'limes']",limes,always
"Q: In the sentence ""Margaret cut the string"", which word comes right after the word ""the""? A:","['Margaret', 'cut', 'the', 'string']",string,the
"Q: In the sentence ""The old and new carts banged together"", which word comes right after the word ""The""? A:","['The', 'old', 'and', 'new', 'carts', 'banged', 'together']",old,new
"Q: Which word comes right after ""David"" in the sentence ""David constructed the house""? A:","['David', 'constructed', 'the', 'house']",constructed,the
