Input,Options,Expected,Predicted
"F: Welches Wort ist laenger, ""einfach"" oder ""offensiv""? A:","['einfach', 'offensiv']",offensiv,offensiv
"F: Welches Wort ist laenger, ""hier"" oder ""ich""? A:","['hier', 'ich']",hier,hier
"F: Welches Wort ist laenger, ""beenden"" oder ""irgendwo""? A:","['beenden', 'irgendwo']",irgendwo,beenden
"F: Welches Wort hat mehr Buchstaben, ""zeit"" oder ""sollen""? A:","['zeit', 'sollen']",sollen,sollen
"Von den Woertern ""wenn"" und ""verloren"", welches hat mehr Buchstaben? ","['wenn', 'verloren']",verloren,verloren
"F: Welches Wort ist laenger, ""das"" oder ""viel""? A:","['das', 'viel']",viel,viel
"F: Welches Wort ist laenger, ""rot"" oder ""zeit""? A:","['rot', 'zeit']",zeit,rot
"Von den Woertern ""lebende"" und ""bedeutet"", welches hat mehr Buchstaben? ","['lebende', 'bedeutet']",bedeutet,bedeutet
"F: Welches Wort hat mehr Buchstaben, ""jemand"" oder ""sich""? A:","['jemand', 'sich']",jemand,sich
"Von den Woertern ""sind"" und ""bruellen"", welches hat mehr Buchstaben? ","['sind', 'bruellen']",bruellen,bruellen
"Von den Woertern ""hier"" und ""rechenfehler"", welches hat mehr Buchstaben? ","['hier', 'rechenfehler']",rechenfehler,hier
"F: Welches Wort hat mehr Buchstaben, ""nach"" oder ""nichts""? A:","['nach', 'nichts']",nichts,nichts
"F: Welches Wort hat mehr Buchstaben, ""weg"" oder ""voellig""? A:","['weg', 'voellig']",voellig,voellig
"F: Welches Wort ist laenger, ""darueber"" oder ""abholen""? A:","['darueber', 'abholen']",darueber,abholen
"Von den Woertern ""viel"" und ""bedrohen"", welches hat mehr Buchstaben? ","['viel', 'bedrohen']",bedrohen,viel
"F: Welches Wort hat mehr Buchstaben, ""du"" oder ""der""? A:","['du', 'der']",der,der
"F: Welches Wort ist laenger, ""ganz"" oder ""die""? A:","['ganz', 'die']",ganz,ganz
"F: Welches Wort hat mehr Buchstaben, ""und"" oder ""abholen""? A:","['und', 'abholen']",abholen,abholen
"Von den Woertern ""ehrenlos"" und ""sehr"", welches hat mehr Buchstaben? ","['ehrenlos', 'sehr']",ehrenlos,sehr
"Von den Woertern ""bedrohen"" und ""will"", welches hat mehr Buchstaben? ","['bedrohen', 'will']",bedrohen,bedrohen
"F: Welches Wort hat mehr Buchstaben, ""mulmig"" oder ""nach""? A:","['mulmig', 'nach']",mulmig,nach
"F: Welches Wort hat mehr Buchstaben, ""ganz"" oder ""anteil""? A:","['ganz', 'anteil']",anteil,anteil
"F: Welches Wort hat mehr Buchstaben, ""du"" oder ""weg""? A:","['du', 'weg']",weg,du
"Von den Woertern ""mehrere"" und ""abschied"", welches hat mehr Buchstaben? ","['mehrere', 'abschied']",abschied,abschied
"F: Welches Wort ist laenger, ""nie"" oder ""auch""? A:","['nie', 'auch']",auch,nie
"Von den Woertern ""graben"" und ""sowie"", welches hat mehr Buchstaben? ","['graben', 'sowie']",graben,sowie
"Von den Woertern ""hier"" und ""tuefteln"", welches hat mehr Buchstaben? ","['hier', 'tuefteln']",tuefteln,tuefteln
"F: Welches Wort ist laenger, ""kann"" oder ""man""? A:","['kann', 'man']",kann,kann
"F: Welches Wort hat mehr Buchstaben, ""ganz"" oder ""weinen""? A:","['ganz', 'weinen']",weinen,ganz
"F: Welches Wort ist laenger, ""aus"" oder ""noch""? A:","['aus', 'noch']",noch,aus
"F: Welches Wort ist laenger, ""sie"" oder ""um""? A:","['sie', 'um']",sie,sie
"F: Welches Wort ist laenger, ""entsteht"" oder ""ab""? A:","['entsteht', 'ab']",entsteht,ab
"F: Welches Wort hat mehr Buchstaben, ""beenden"" oder ""neu""? A:","['beenden', 'neu']",beenden,neu
"Von den Woertern ""diese"" und ""graben"", welches hat mehr Buchstaben? ","['diese', 'graben']",graben,graben
"F: Welches Wort hat mehr Buchstaben, ""ganz"" oder ""bagger""? A:","['ganz', 'bagger']",bagger,bagger
"F: Welches Wort hat mehr Buchstaben, ""an"" oder ""die""? A:","['an', 'die']",die,an
"Von den Woertern ""gleichheiten"" und ""noch"", welches hat mehr Buchstaben? ","['gleichheiten', 'noch']",gleichheiten,noch
"F: Welches Wort hat mehr Buchstaben, ""denken"" oder ""erst""? A:","['denken', 'erst']",denken,erst
"F: Welches Wort hat mehr Buchstaben, ""jemand"" oder ""ganz""? A:","['jemand', 'ganz']",jemand,ganz
"F: Welches Wort ist laenger, ""sich"" oder ""weg""? A:","['sich', 'weg']",sich,sich
"F: Welches Wort hat mehr Buchstaben, ""sehen "" oder ""muss""? A:","['sehen ', 'muss']",sehen ,sehen
"F: Welches Wort hat mehr Buchstaben, ""nach"" oder ""laufen""? A:","['nach', 'laufen']",laufen,laufen
"F: Welches Wort hat mehr Buchstaben, ""viel"" oder ""laufen""? A:","['viel', 'laufen']",laufen,laufen
"F: Welches Wort hat mehr Buchstaben, ""lebende"" oder ""los""? A:","['lebende', 'los']",lebende,lebende
"F: Welches Wort ist laenger, ""er"" oder ""gespuert""? A:","['er', 'gespuert']",gespuert,er
"F: Welches Wort ist laenger, ""bedrohen"" oder ""zu""? A:","['bedrohen', 'zu']",bedrohen,bedrohen
"Von den Woertern ""nach"" und ""irgendwo"", welches hat mehr Buchstaben? ","['nach', 'irgendwo']",irgendwo,irgendwo
"F: Welches Wort hat mehr Buchstaben, ""denken"" oder ""auch""? A:","['denken', 'auch']",denken,auch
"Von den Woertern ""wirklich"" und ""muss"", welches hat mehr Buchstaben? ","['wirklich', 'muss']",wirklich,muss
"F: Welches Wort ist laenger, ""abschied"" oder ""er""? A:","['abschied', 'er']",abschied,er
"F: Welches Wort ist laenger, ""und"" oder ""hier""? A:","['und', 'hier']",hier,hier
"Von den Woertern ""lebende"" und ""namenlos"", welches hat mehr Buchstaben? ","['lebende', 'namenlos']",namenlos,namenlos
"F: Welches Wort hat mehr Buchstaben, ""bagger"" oder ""sind""? A:","['bagger', 'sind']",bagger,sind
"Von den Woertern ""nach"" und ""bruellen"", welches hat mehr Buchstaben? ","['nach', 'bruellen']",bruellen,nach
"F: Welches Wort hat mehr Buchstaben, ""kann"" oder ""tragen""? A:","['kann', 'tragen']",tragen,kann
"Von den Woertern ""bagger"" und ""wurde"", welches hat mehr Buchstaben? ","['bagger', 'wurde']",bagger,bagger
"F: Welches Wort ist laenger, ""lang"" oder ""ehe""? A:","['lang', 'ehe']",lang,lang
"F: Welches Wort hat mehr Buchstaben, ""weg"" oder ""am""? A:","['weg', 'am']",weg,am
"Von den Woertern ""ganz"" und ""irgendwo"", welches hat mehr Buchstaben? ","['ganz', 'irgendwo']",irgendwo,ganz
"F: Welches Wort ist laenger, ""um"" oder ""die""? A:","['um', 'die']",die,die
"F: Welches Wort hat mehr Buchstaben, ""wertlos"" oder ""los""? A:","['wertlos', 'los']",wertlos,los
"F: Welches Wort hat mehr Buchstaben, ""aus"" oder ""voellig""? A:","['aus', 'voellig']",voellig,aus
