Input,Options,Expected,Predicted
"F: Welches Wort ist kürzer, ""beenden"" oder ""entsteht""? A:","['beenden', 'entsteht']",beenden,entsteht
"F: Welches Wort ist kürzer, ""ein"" oder ""hier""? A:","['ein', 'hier']",ein,ein
"F: Welches Wort ist kürzer, ""solches"" oder ""offensiv""? A:","['solches', 'offensiv']",solches,offensiv
"F: Welches Wort hat weniger Buchstaben, ""zeit"" oder ""völlig""? A:","['zeit', 'völlig']",zeit,völlig
"Von den Wörtern ""verloren"" und ""zeit"", welches hat weniger Buchstaben? ","['verloren', 'zeit']",zeit,verloren
"F: Welches Wort ist kürzer, ""der"" oder ""viel""? A:","['der', 'viel']",der,viel
"F: Welches Wort ist kürzer, ""zeit"" oder ""ehe""? A:","['zeit', 'ehe']",ehe,ehe
"Von den Wörtern ""Gleichheiten"" und ""auch"", welches hat weniger Buchstaben? ","['Gleichheiten', 'auch']",auch,auch
"F: Welches Wort hat weniger Buchstaben, ""lang"" oder ""wissen""? A:","['lang', 'wissen']",lang,wissen
"Von den Wörtern ""Abschied"" und ""heut"", welches hat weniger Buchstaben? ","['Abschied', 'heut']",heut,abschied
"Von den Wörtern ""umgänglicher"" und ""heut"", welches hat weniger Buchstaben? ","['umgänglicher', 'heut']",heut,umgänglicher
"F: Welches Wort hat weniger Buchstaben, ""nach"" oder ""jemand""? A:","['nach', 'jemand']",nach,nach
"F: Welches Wort hat weniger Buchstaben, ""ungerne"" oder ""all""? A:","['ungerne', 'all']",all,all
"F: Welches Wort ist kürzer, ""abholen"" oder ""offensiv""? A:","['abholen', 'offensiv']",abholen,abholen
"Von den Wörtern ""graben"" und ""unter"", welches hat weniger Buchstaben? ","['graben', 'unter']",unter,unter
"F: Welches Wort hat weniger Buchstaben, ""zu"" oder ""der""? A:","['zu', 'der']",zu,der
"F: Welches Wort ist kürzer, ""war"" oder ""um""? A:","['war', 'um']",um,um
"F: Welches Wort hat weniger Buchstaben, ""gezeigt"" oder ""und""? A:","['gezeigt', 'und']",und,und
"Von den Wörtern ""Anteil"" und ""daher"", welches hat weniger Buchstaben? ","['Anteil', 'daher']",daher,anteil
"Von den Wörtern ""erst"" und ""bedeutet"", welches hat weniger Buchstaben? ","['erst', 'bedeutet']",erst,bedeutet
"F: Welches Wort hat weniger Buchstaben, ""nach"" oder ""Anteil""? A:","['nach', 'Anteil']",nach,anteil
"F: Welches Wort hat weniger Buchstaben, ""sehen "" oder ""ganz""? A:","['sehen ', 'ganz']",ganz,ganz
"F: Welches Wort hat weniger Buchstaben, ""weg"" oder ""zu""? A:","['weg', 'zu']",zu,weg
"Von den Wörtern ""tadellos"" und ""tüfteln"", welches hat weniger Buchstaben? ","['tadellos', 'tüfteln']",tüfteln,tadellos
"F: Welches Wort ist kürzer, ""war"" oder ""auch""? A:","['war', 'auch']",war,auch
"Von den Wörtern ""denken"" und ""reden"", welches hat weniger Buchstaben? ","['denken', 'reden']",reden,reden
"Von den Wörtern ""viel"" und ""irgendwo"", welches hat weniger Buchstaben? ","['viel', 'irgendwo']",viel,irgendwo
"F: Welches Wort ist kürzer, ""ist"" oder ""kann""? A:","['ist', 'kann']",ist,ist
"F: Welches Wort hat weniger Buchstaben, ""erst"" oder ""Anteil""? A:","['erst', 'Anteil']",erst,anteil
"F: Welches Wort ist kürzer, ""ich"" oder ""noch""? A:","['ich', 'noch']",ich,ich
"F: Welches Wort ist kürzer, ""sie"" oder ""ab""? A:","['sie', 'ab']",ab,ab
"F: Welches Wort ist kürzer, ""ab"" oder ""variabel""? A:","['ab', 'variabel']",ab,ab
"F: Welches Wort hat weniger Buchstaben, ""nie"" oder ""erzählt""? A:","['nie', 'erzählt']",nie,erzählt
"Von den Wörtern ""jemand"" und ""waren"", welches hat weniger Buchstaben? ","['jemand', 'waren']",waren,waren
"F: Welches Wort hat weniger Buchstaben, ""tragen"" oder ""ganz""? A:","['tragen', 'ganz']",ganz,tragen
"F: Welches Wort hat weniger Buchstaben, ""rot"" oder ""einfach""? A:","['rot', 'einfach']",rot,rot
"Von den Wörtern ""mehr"" und ""Haaresbreite"", welches hat weniger Buchstaben? ","['mehr', 'Haaresbreite']",mehr,haaresbreite
"F: Welches Wort hat weniger Buchstaben, ""sollen"" oder ""heut""? A:","['sollen', 'heut']",heut,heut
"F: Welches Wort hat weniger Buchstaben, ""besser"" oder ""erst""? A:","['besser', 'erst']",erst,erst
"F: Welches Wort ist kürzer, ""man"" oder ""sich""? A:","['man', 'sich']",man,sich
"F: Welches Wort hat weniger Buchstaben, ""sind"" oder ""Gebiss""? A:","['sind', 'Gebiss']",sind,sind
"F: Welches Wort hat weniger Buchstaben, ""mulmig"" oder ""mehr""? A:","['mulmig', 'mehr']",mehr,mulmig
"F: Welches Wort hat weniger Buchstaben, ""sich"" oder ""meinen""? A:","['sich', 'meinen']",sich,sich
"F: Welches Wort hat weniger Buchstaben, ""wertlos"" oder ""ehe""? A:","['wertlos', 'ehe']",ehe,ehe
"F: Welches Wort ist kürzer, ""offensiv"" oder ""zu""? A:","['offensiv', 'zu']",zu,offensiv
"F: Welches Wort ist kürzer, ""im"" oder ""offensiv""? A:","['im', 'offensiv']",im,im
"Von den Wörtern ""tadellos"" und ""will"", welches hat weniger Buchstaben? ","['tadellos', 'will']",will,will
"F: Welches Wort hat weniger Buchstaben, ""fragen"" oder ""auch""? A:","['fragen', 'auch']",auch,fragen
"Von den Wörtern ""irgendwo"" und ""heut"", welches hat weniger Buchstaben? ","['irgendwo', 'heut']",heut,heut
"F: Welches Wort ist kürzer, ""bedrohen"" oder ""da""? A:","['bedrohen', 'da']",da,bedrohen
"F: Welches Wort ist kürzer, ""ja"" oder ""aus""? A:","['ja', 'aus']",ja,aus
"Von den Wörtern ""gespürt"" und ""Abschied"", welches hat weniger Buchstaben? ","['gespürt', 'Abschied']",gespürt,abschied
"F: Welches Wort hat weniger Buchstaben, ""fragen"" oder ""sind""? A:","['fragen', 'sind']",sind,sind
"Von den Wörtern ""ehrenlos"" und ""will"", welches hat weniger Buchstaben? ","['ehrenlos', 'will']",will,ehrenlos
"F: Welches Wort hat weniger Buchstaben, ""will"" oder ""Gebiss""? A:","['will', 'Gebiss']",will,will
"Von den Wörtern ""reden"" und ""tragen"", welches hat weniger Buchstaben? ","['reden', 'tragen']",reden,reden
"F: Welches Wort ist kürzer, ""weg"" oder ""lang""? A:","['weg', 'lang']",weg,weg
"F: Welches Wort hat weniger Buchstaben, ""gezeigt"" oder ""los""? A:","['gezeigt', 'los']",los,los
"Von den Wörtern ""Gebiss"" und ""haben"", welches hat weniger Buchstaben? ","['Gebiss', 'haben']",haben,haben
"F: Welches Wort ist kürzer, ""die"" oder ""ab""? A:","['die', 'ab']",ab,ab
"F: Welches Wort hat weniger Buchstaben, ""nun"" oder ""tüfteln""? A:","['nun', 'tüfteln']",nun,nun
"F: Welches Wort hat weniger Buchstaben, ""man"" oder ""gezeigt""? A:","['man', 'gezeigt']",man,man
"F: Welches Wort hat weniger Buchstaben, ""und"" oder ""an""? A:","['und', 'an']",an,und
"F: Welches Wort hat weniger Buchstaben, ""fragen"" oder ""bald""? A:","['fragen', 'bald']",bald,fragen
"F: Welches Wort hat weniger Buchstaben, ""nach"" oder ""wissen""? A:","['nach', 'wissen']",nach,nach
"F: Welches Wort ist kürzer, ""heut"" oder ""ein""? A:","['heut', 'ein']",ein,ein
"F: Welches Wort ist kürzer, ""mit"" oder ""hier""? A:","['mit', 'hier']",mit,hier
"F: Welches Wort ist kürzer, ""zeit"" oder ""neu""? A:","['zeit', 'neu']",neu,neu
"F: Welches Wort ist kürzer, ""bedrohen"" oder ""zu""? A:","['bedrohen', 'zu']",zu,bedrohen
"F: Welches Wort hat weniger Buchstaben, ""sie"" oder ""einfach""? A:","['sie', 'einfach']",sie,einfach
