Input,Options,Expected,Predicted
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""notiz"" oder ""niveau""? A:","['notiz', 'niveau']",niveau," niveau""? a"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""januar"" oder ""joghurt""? A:","['januar', 'joghurt']",januar," januarst""?"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""nager"" oder ""nadel""? A:","['nager', 'nadel']",nadel, nadelbaum
"F: In alphabetischer Reihenfolge, welches der Woerter ""chor"" und ""clip"" kommt zuerst? A:","['chor', 'clip']",chor, choruseschor
"Welches von den Woertern ""topf"" und ""taste"", kommt alphabetisch zuerst? ","['topf', 'taste']",taste, taste?
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""inselstaat"" oder ""index""? A:","['inselstaat', 'index']",index, inselstaat?
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""keks"" oder ""krebs""? A:","['keks', 'krebs']",keks, keksar rei
"Welches von den Woertern ""pfirsich"" und ""perle"", kommt alphabetisch zuerst? ","['pfirsich', 'perle']",perle, perlekisch
"F: In alphabetischer Reihenfolge, welches der Woerter ""diamant"" und ""dezember"" kommt zuerst? A:","['diamant', 'dezember']",dezember, diamantantantant
"Welches von den Woertern ""tisch"" und ""tuer"", kommt alphabetisch zuerst? ","['tisch', 'tuer']",tisch, tuerst?
"Welches von den Woertern ""rolle"" und ""rubin"", kommt alphabetisch zuerst? ","['rolle', 'rubin']",rolle, rollecklich?
"F: In alphabetischer Reihenfolge, welches der Woerter ""brille"" und ""besen"" kommt zuerst? A:","['brille', 'besen']",besen, brille brille brill
"F: In alphabetischer Reihenfolge, welches der Woerter ""ferse"" und ""ferse"" kommt zuerst? A:","['ferse', 'ferse']",ferse," ferse""?"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""narr"" oder ""nagel""? A:","['narr', 'nagel']",nagel," narrusten""?"
"Welches von den Woertern ""vitrine"" und ""vulkan"", kommt alphabetisch zuerst? ","['vitrine', 'vulkan']",vitrine, vorlose von
"F: In alphabetischer Reihenfolge, welches der Woerter ""herd"" und ""hemd"" kommt zuerst? A:","['herd', 'hemd']",hemd, hemdialog von
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""ideal"" oder ""ikone""? A:","['ideal', 'ikone']",ideal, igelangelobl
"F: In alphabetischer Reihenfolge, welches der Woerter ""erdbeere"" und ""ego"" kommt zuerst? A:","['erdbeere', 'ego']",ego, egoldbeere
"Welches von den Woertern ""verhalten"" und ""vase"", kommt alphabetisch zuerst? ","['verhalten', 'vase']",vase, verhalten?
"Welches von den Woertern ""tiger"" und ""theater"", kommt alphabetisch zuerst? ","['tiger', 'theater']",theater, tiger inn?
"F: In alphabetischer Reihenfolge, welches der Woerter ""bastel"" und ""birne"" kommt zuerst? A:","['bastel', 'birne']",bastel, bastelelel
"F: In alphabetischer Reihenfolge, welches der Woerter ""dorf"" und ""diskette"" kommt zuerst? A:","['dorf', 'diskette']",diskette, dorf?
"F: In alphabetischer Reihenfolge, welches der Woerter ""herd"" und ""hose"" kommt zuerst? A:","['herd', 'hose']",herd," herd ""herd"
"Welches von den Woertern ""plakat"" und ""pfanne"", kommt alphabetisch zuerst? ","['plakat', 'pfanne']",pfanne, plakatzenko
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""kamm"" oder ""krankheit""? A:","['kamm', 'krankheit']",kamm," kommt""?"
"Welches von den Woertern ""wolke"" und ""wunsch"", kommt alphabetisch zuerst? ","['wolke', 'wunsch']",wolke, wunschweer
"Welches von den Woertern ""unterlage"" und ""uhr"", kommt alphabetisch zuerst? ","['unterlage', 'uhr']",uhr, uhrst?
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""januar"" oder ""jury""? A:","['januar', 'jury']",januar," januarst""?"
"F: In alphabetischer Reihenfolge, welches der Woerter ""dorf"" und ""drama"" kommt zuerst? A:","['dorf', 'drama']",dorf, dorf?
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""jasmin"" oder ""jongleur""? A:","['jasmin', 'jongleur']",jasmin, jasminum?
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""hilfe"" oder ""helm""? A:","['hilfe', 'helm']",helm, hilfe?
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""muenze"" oder ""mandarine""? A:","['muenze', 'mandarine']",mandarine," mandarine""?"
"F: In alphabetischer Reihenfolge, welches der Woerter ""giraffe"" und ""gabel"" kommt zuerst? A:","['giraffe', 'gabel']",gabel, gabelungaffe
