Input,Options,Expected,Predicted
"Q: Which is a rhyme of the word ""routine"", ""hurt"" or ""scene""? A:","['scene', 'hurt']",scene, scene:
"Q: Which is a rhyme of the word ""wow"", ""announce"" or ""cow""? A:","['cow', 'announce']",cow, cow raising is a rhyme
"Q: Which is a rhyme of the word ""begin"", ""pin"" or ""couple""? A:","['pin', 'couple']",pin," pineapple""? a"
"Q: Which word rhymes with the word ""frog"", ""diet"" or ""jog""? A:","['jog', 'diet']",jog," jellyfish""? a:"
"Q: Of the words ""discover"" and ""cinema"", which one rhymes with ""recover""? A:","['discover', 'cinema']",discover, cover art:
"Q: Which is a rhyme of the word ""thick"", ""feel"" or ""sick""? A:","['sick', 'feel']",sick, feel the weight of the
"Q: Which is a rhyme of the word ""dancer"", ""cancer"" or ""television""? A:","['cancer', 'television']",cancer, dancer:
"Q: Of the words ""nightclub"" and ""mess"", which one rhymes with ""stress""? A:","['mess', 'nightclub']",mess, nightclubbing is a
"Q: Which word rhymes with the word ""mean"", ""clean"" or ""bracelet""? A:","['clean', 'bracelet']",clean," clean""? a:"
"Q: Of the words ""pan"" and ""tell"", which one rhymes with ""plan""? A:","['pan', 'tell']",pan," tell"":"
"Q: Of the words ""stripe"" and ""dull"", which one rhymes with ""type""? A:","['stripe', 'dull']",stripe, stripe:
"Q: Which word rhymes with the word ""truck"", ""luck"" or ""breakfast""? A:","['luck', 'breakfast']",luck," breakfast""? a:"
"Q: Which word rhymes with the word ""exchange"", ""location"" or ""strange""? A:","['strange', 'location']",strange," strange word"" or """
"Q: Which is a rhyme of the word ""beat"", ""eastern"" or ""defeat""? A:","['defeat', 'eastern']",defeat," defeat"" or ""s"
"Q: Of the words ""description"" and ""cigarette"", which one rhymes with ""prescription""? A:","['description', 'cigarette']",description," cigarette"":"
"Q: Which word rhymes with the word ""ferry"", ""sex"" or ""very""? A:","['very', 'sex']",very," very""? a:"
"Q: Which is a rhyme of the word ""blank"", ""thank"" or ""dot""? A:","['thank', 'dot']",thank," thank you"" is a"
"Q: Which word rhymes with the word ""thick"", ""trick"" or ""dead""? A:","['trick', 'dead']",trick, dead?
"Q: Of the words ""possessive"" and ""main"", which one rhymes with ""rain""? A:","['main', 'possessive']",main, main:
"Q: Of the words ""identification"" and ""connect"", which one rhymes with ""application""? A:","['identification', 'connect']",identification, identification identification ident
"Q: Which word rhymes with the word ""hold"", ""cry"" or ""fold""? A:","['fold', 'cry']",fold," fold""? a:"
"Q: Which word rhymes with the word ""dish"", ""fish"" or ""blogger""? A:","['fish', 'blogger']",fish, fishbonehead is a
"Q: Which word rhymes with the word ""morning"", ""warning"" or ""per""? A:","['warning', 'per']",warning, warning:
"Q: Of the words ""sick"" and ""coat"", which one rhymes with ""stick""? A:","['sick', 'coat']",sick," sickle""? a:"
"Q: Which is a rhyme of the word ""pretty"", ""city"" or ""dangerous""? A:","['city', 'dangerous']",city, city of oblast significance
"Q: Of the words ""house"" and ""definitely"", which one rhymes with ""blouse""? A:","['house', 'definitely']",house, housemate is always welcome
"Q: Of the words ""pollution"" and ""trumpet"", which one rhymes with ""solution""? A:","['pollution', 'trumpet']",pollution, pollution is a
"Q: Which is a rhyme of the word ""warning"", ""morning"" or ""nightmare""? A:","['morning', 'nightmare']",morning," morningmare""? a:"
"Q: Which word rhymes with the word ""lamp"", ""camp"" or ""newspaper""? A:","['camp', 'newspaper']",camp," campfire magazine"" or"
"Q: Which is a rhyme of the word ""fare"", ""sing"" or ""square""? A:","['square', 'sing']",square, square meter is a rhyme
"Q: Which is a rhyme of the word ""child"", ""green"" or ""mild""? A:","['mild', 'green']",mild, mildred blank slate with
"Q: Which is a rhyme of the word ""camp"", ""stamp"" or ""reader""? A:","['stamp', 'reader']",stamp, stampede.
"Q: Which word rhymes with the word ""join"", ""professional"" or ""coin""? A:","['coin', 'professional']",coin, coinage:
"Q: Of the words ""speech"" and ""purpose"", which one rhymes with ""each""? A:","['speech', 'purpose']",speech, speech is a word that
"Q: Which word rhymes with the word ""hut"", ""cut"" or ""bookcase""? A:","['cut', 'bookcase']",cut," bookcase"" or """
"Q: Which word rhymes with the word ""possibility"", ""ability"" or ""feed""? A:","['ability', 'feed']",ability, ability to control itself is
"Q: Of the words ""wrap"" and ""quiet"", which one rhymes with ""diet""? A:","['quiet', 'wrap']",quiet, blanket blanket blanket blanket blanket
"Q: Which word rhymes with the word ""much"", ""touch"" or ""author""? A:","['touch', 'author']",touch," touch"" or ""s"
"Q: Which word rhymes with the word ""bury"", ""careful"" or ""scary""? A:","['scary', 'careful']",scary, scary word:
"Q: Which is a rhyme of the word ""bury"", ""careful"" or ""scary""? A:","['scary', 'careful']",scary, scary movie:
"Q: Which word rhymes with the word ""situation"", ""application"" or ""sweet""? A:","['application', 'sweet']",application," celebration of the day""?"
"Q: Which word rhymes with the word ""anymore"", ""swim"" or ""store""? A:","['store', 'swim']",store," storehouse"" or """
"Q: Which word rhymes with the word ""car"", ""offense"" or ""star""? A:","['star', 'offense']",star, offense:
"Q: Which word rhymes with the word ""pin"", ""escape"" or ""chin""? A:","['chin', 'escape']",chin," chinatown""? a"
"Q: Which is a rhyme of the word ""far"", ""car"" or ""attach""? A:","['car', 'attach']",car," attach""? a:"
"Q: Which is a rhyme of the word ""knit"", ""birthday"" or ""hit""? A:","['hit', 'birthday']",hit," hit""? a:"
"Q: Of the words ""mix"" and ""racket"", which one rhymes with ""fix""? A:","['mix', 'racket']",mix, mixer:
"Q: Which word rhymes with the word ""sir"", ""dusty"" or ""stir""? A:","['stir', 'dusty']",stir, sugar cane buttercream:
"Q: Of the words ""policewoman"" and ""grill"", which one rhymes with ""bill""? A:","['grill', 'policewoman']",grill," policewoman"" which one"
"Q: Which is a rhyme of the word ""routine"", ""machine"" or ""granddad""? A:","['machine', 'granddad']",machine," machine gunboat"" is"
"Q: Which is a rhyme of the word ""drink"", ""link"" or ""sheet""? A:","['link', 'sheet']",link, sheet of paper is blank
"Q: Of the words ""union"" and ""bit"", which one rhymes with ""fit""? A:","['bit', 'union']",bit, bit of information about the
"Q: Which word rhymes with the word ""pill"", ""still"" or ""online""? A:","['still', 'online']",still," still"" or ""d"
"Q: Of the words ""cupboard"" and ""city"", which one rhymes with ""pretty""? A:","['city', 'cupboard']",city, city of london has a
"Q: Which word rhymes with the word ""letter"", ""guidebook"" or ""sweater""? A:","['sweater', 'guidebook']",sweater," guidebook"" or """
"Q: Of the words ""health"" and ""fly"", which one rhymes with ""apply""? A:","['fly', 'health']",fly," fly""? a:"
"Q: Which is a rhyme of the word ""wear"", ""engaged"" or ""bear""? A:","['bear', 'engaged']",bear," bear""? a:"
"Q: Which word rhymes with the word ""main"", ""drum"" or ""explain""? A:","['explain', 'drum']",explain, explain:
"Q: Of the words ""put"" and ""water"", which one rhymes with ""daughter""? A:","['water', 'put']",water," put the word ""water"
"Q: Which is a rhyme of the word ""check"", ""kilo"" or ""deck""? A:","['deck', 'kilo']",deck," deck""? a:"
"Q: Which word rhymes with the word ""pile"", ""mile"" or ""television""? A:","['mile', 'television']",mile," meter"" or meter?"
"Q: Which word rhymes with the word ""deliver"", ""afraid"" or ""river""? A:","['river', 'afraid']",river," afraid of thunder""? a"
"Q: Which word rhymes with the word ""mess"", ""ceiling"" or ""chess""? A:","['chess', 'ceiling']",chess, folding the folding
"Q: Which word rhymes with the word ""plastic"", ""composition"" or ""fantastic""? A:","['fantastic', 'composition']",fantastic," fantastic idea"" or """
"Q: Which word rhymes with the word ""switch"", ""undress"" or ""rich""? A:","['rich', 'undress']",rich, richter than richter
"Q: Which is a rhyme of the word ""full"", ""meter"" or ""bull""? A:","['bull', 'meter']",bull," bull""? a:"
"Q: Which is a rhyme of the word ""face"", ""race"" or ""pork""? A:","['race', 'pork']",race," race""? a:"
"Q: Which is a rhyme of the word ""fan"", ""plan"" or ""hit""? A:","['plan', 'hit']",plan," plan ""plan""?"
"Q: Which is a rhyme of the word ""prize"", ""flu"" or ""size""? A:","['size', 'flu']",size, size:
"Q: Which word rhymes with the word ""rain"", ""complain"" or ""chef""? A:","['complain', 'chef']",complain, explain:
"Q: Which is a rhyme of the word ""space"", ""face"" or ""fry""? A:","['face', 'fry']",face, facebook page:
"Q: Of the words ""amusing"" and ""squash"", which one rhymes with ""wash""? A:","['squash', 'amusing']",squash, squash is a word which
"Q: Of the words ""pig"" and ""post"", which one rhymes with ""coast""? A:","['post', 'pig']",post, pigmentation:
"Q: Which is a rhyme of the word ""include"", ""rude"" or ""pattern""? A:","['rude', 'pattern']",rude,"ude"" or ""s"
"Q: Which word rhymes with the word ""per"", ""her"" or ""film""? A:","['her', 'film']",her," hermitsu"""
"Q: Which word rhymes with the word ""wage"", ""cage"" or ""smell""? A:","['cage', 'smell']",cage," laugh at yourself""? a"
"Q: Of the words ""stress"" and ""black"", which one rhymes with ""attack""? A:","['black', 'stress']",black," black""? a:"
"Q: Of the words ""limit"" and ""find"", which one rhymes with ""kind""? A:","['find', 'limit']",find," find, find, find"
"Q: Of the words ""election"" and ""few"", which one rhymes with ""section""? A:","['election', 'few']",election, election:
"Q: Of the words ""box"" and ""chess"", which one rhymes with ""success""? A:","['chess', 'box']",chess, chess clubbeds
"Q: Which is a rhyme of the word ""mess"", ""ceiling"" or ""chess""? A:","['chess', 'ceiling']",chess, folding the folding
"Q: Which is a rhyme of the word ""thriller"", ""rug"" or ""killer""? A:","['killer', 'rug']",killer," killer""? a:"
"Q: Which word rhymes with the word ""kit"", ""terrified"" or ""sit""? A:","['sit', 'terrified']",sit," sit""? a:"
"Q: Which is a rhyme of the word ""wave"", ""save"" or ""join""? A:","['save', 'join']",save," save the children"":"
"Q: Of the words ""kilo"" and ""deck"", which one rhymes with ""check""? A:","['deck', 'kilo']",deck," decker"" which one"
"Q: Which word rhymes with the word ""diet"", ""wrap"" or ""quiet""? A:","['quiet', 'wrap']",quiet, blanket blanket blanket blanket blanket
"Q: Of the words ""contain"" and ""clearly"", which one rhymes with ""nearly""? A:","['clearly', 'contain']",clearly," clearly, clearly, clearly"
