Input,Options,Expected,Output (raw),Predicted
"Q: In the sentence ""John was lots more obnoxious than Fred"", what is the last word? A:","['John', 'was', 'lots', 'more', 'obnoxious', 'than', 'Fred']",fred,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" j o h n W w a s W l o t s W m o r e W o b n o x i o u s W t h a n W f r e d "" , W w h a t W i s W t h e W l a s t W w o r d ? W a : UTT_BOUNDARY k i m "" ? W a : UTT_BOUNDARY","kim""? a:"
"Q: In the sentence ""A boy hit the ball"", what is the last word? A:","['A', 'boy', 'hit', 'the', 'ball']",ball,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" a W b o y W h i t W t h e W b a l l "" , W w h a t W i s W t h e W l a s t W w o r d ? W a : UTT_BOUNDARY b a l l s W i s W a W s o n g W a r o u n d W a n",balls is a song around an
"Q: In the sentence ""I remembered having kissed Mary"", what is the last word? A:","['I', 'remembered', 'having', 'kissed', 'Mary']",mary,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" i W r e m e m b e r e d W h a v i n g W k i s s e d W m a r y "" , W w h a t W i s W t h e W l a s t W w o r d ? W a : UTT_BOUNDARY m a r y "" , W w h a t W i s W t h e W l a s t W w","mary"", what is the last w"
"Q: What is the last word of the sentence ""I believe strongly that the world is round""? A:","['I', 'believe', 'strongly', 'that', 'the', 'world', 'is', 'round']",round,"UTT_BOUNDARY q : W w h a t W i s W t h e W l a s t W w o r d W o f W t h e W s e n t e n c e W "" i W b e l i e v e W s t r o n g l y W t h a t W t h e W w o r l d W i s W r o u n d "" ? W a : UTT_BOUNDARY r o a d W t o W e r e s t W t o r o e v e r t h e",road to erest toroeverthe
"Write the last word of the sentence ""John will see you"": ","['John', 'will', 'see', 'you']",you,"UTT_BOUNDARY w r i t e W t h e W l a s t W w o r d W o f W t h e W s e n t e n c e W "" j o h n W w i l l W s e e W y o u "" : UTT_BOUNDARY W a m e r i c a n W s i n g e r - s o n g w r i t", american singer-songwrit
"Q: In the sentence ""They gave the bicycle to me"", what is the last word? A:","['They', 'gave', 'the', 'bicycle', 'to', 'me']",me,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" t h e y W g a v e W t h e W b i c y c l e W t o W m e "" , W w h a t W i s W t h e W l a s t W w o r d ? W a : UTT_BOUNDARY m a r y W s a n g W a W s o l d i e r "" ? W a : UTT_BOUNDARY","mary sang a soldier""? a:"
"Q: In the sentence ""An owl hunts mice"", what is the last word? A:","['An', 'owl', 'hunts', 'mice']",mice,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" a n W o w l W h u n t s W m i c e "" , W w h a t W i s W t h e W l a s t W w o r d ? W a : UTT_BOUNDARY a p p l e s W a n d W p a p e r s "" ? W a : UTT_BOUNDARY","apples and papers""? a:"
"Write the last word of the sentence ""Helen wiped the wall"": ","['Helen', 'wiped', 'the', 'wall']",wall,"UTT_BOUNDARY w r i t e W t h e W l a s t W w o r d W o f W t h e W s e n t e n c e W "" h e l e n W w i p e d W t h e W w a l l "" : UTT_BOUNDARY w a l l s W a n d W t h e W b r i c k s W a n d W",walls and the bricks and 
"Q: What is the last word of the sentence ""Elizabeth regretted that she had met Wickham""? A:","['Elizabeth', 'regretted', 'that', 'she', 'had', 'met', 'Wickham']",wickham,"UTT_BOUNDARY q : W w h a t W i s W t h e W l a s t W w o r d W o f W t h e W s e n t e n c e W "" e l i z a b e t h W r e g r e t t e d W t h a t W s h e W h a d W m e t W w i c k h a m "" ? W a : UTT_BOUNDARY s i n g ? W a : UTT_BOUNDARY",sing? a:
"Write the last word of the sentence ""I told the story to Daniel"": ","['I', 'told', 'the', 'story', 'to', 'Daniel']",daniel,"UTT_BOUNDARY w r i t e W t h e W l a s t W w o r d W o f W t h e W s e n t e n c e W "" i W t o l d W t h e W s t o r y W t o W d a n i e l "" : UTT_BOUNDARY b i l l y W b e l l o w e d W h e r W l a s t W w",billy bellowed her last w
"Write the last word of the sentence ""Sonatas are easy to play on this violin"": ","['Sonatas', 'are', 'easy', 'to', 'play', 'on', 'this', 'violin']",violin,"UTT_BOUNDARY w r i t e W t h e W l a s t W w o r d W o f W t h e W s e n t e n c e W "" s o n a t a s W a r e W e a s y W t o W p l a y W o n W t h i s W v i o l i n "" : UTT_BOUNDARY p i t c h e r W t v "" : UTT_BOUNDARY","pitcher tv"":"
"Q: What is the last word of the sentence ""Paula hit the fence""? A:","['Paula', 'hit', 'the', 'fence']",fence,"UTT_BOUNDARY q : W w h a t W i s W t h e W l a s t W w o r d W o f W t h e W s e n t e n c e W "" p a u l a W h i t W t h e W f e n c e "" ? W a : UTT_BOUNDARY f e n c e s W i n W t h e W w a t e r "" ? W a : UTT_BOUNDARY","fences in the water""? a:"
"Q: What is the last word of the sentence ""The man killed the king with the knife""? A:","['The', 'man', 'killed', 'the', 'king', 'with', 'the', 'knife']",knife,"UTT_BOUNDARY q : W w h a t W i s W t h e W l a s t W w o r d W o f W t h e W s e n t e n c e W "" t h e W m a n W k i l l e d W t h e W k i n g W w i t h W t h e W k n i f e "" ? W a : UTT_BOUNDARY k i s s e d W h e r . t f u l l y "" ? W a : UTT_BOUNDARY","kissed her.tfully""? a:"
"Q: In the sentence ""The student knew the answers"", what is the last word? A:","['The', 'student', 'knew', 'the', 'answers']",answers,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" t h e W s t u d e n t W k n e w W t h e W a n s w e r s "" , W w h a t W i s W t h e W l a s t W w o r d ? W a : UTT_BOUNDARY a n s w e r s ? W a : UTT_BOUNDARY",answers? a:
"Write the last word of the sentence ""Celia brushed her hair"": ","['Celia', 'brushed', 'her', 'hair']",hair,"UTT_BOUNDARY w r i t e W t h e W l a s t W w o r d W o f W t h e W s e n t e n c e W "" c e l i a W b r u s h e d W h e r W h a i r "" : UTT_BOUNDARY h e r W h a i r W a n d W h e r W e y e s W f i l",her hair and her eyes fil
"Q: What is the last word of the sentence ""I served leek soup to my guests""? A:","['I', 'served', 'leek', 'soup', 'to', 'my', 'guests']",guests,"UTT_BOUNDARY q : W w h a t W i s W t h e W l a s t W w o r d W o f W t h e W s e n t e n c e W "" i W s e r v e d W l e e k W s o u p W t o W m y W g u e s t s "" ? W a : UTT_BOUNDARY g u e s t s "" ? W a : UTT_BOUNDARY","guests""? a:"
"Q: In the sentence ""Never had Sir Thomas been so offended"", what is the last word? A:","['Never', 'had', 'Sir', 'Thomas', 'been', 'so', 'offended']",offended,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" n e v e r W h a d W s i r W t h o m a s W b e e n W s o W o f f e n d e d "" , W w h a t W i s W t h e W l a s t W w o r d ? W a : UTT_BOUNDARY o f f e r e d W m e W t h e W r e l e s s l e s l",offered me the relesslesl
"Q: What is the last word of the sentence ""I will speak to Hector about this""? A:","['I', 'will', 'speak', 'to', 'Hector', 'about', 'this']",this,"UTT_BOUNDARY q : W w h a t W i s W t h e W l a s t W w o r d W o f W t h e W s e n t e n c e W "" i W w i l l W s p e a k W t o W h e c t o r W a b o u t W t h i s "" ? W a : UTT_BOUNDARY h i m s e l f "" ? W a : UTT_BOUNDARY","himself""? a:"
"Write the last word of the sentence ""Rosemary hates New York"": ","['Rosemary', 'hates', 'New', 'York']",york,"UTT_BOUNDARY w r i t e W t h e W l a s t W w o r d W o f W t h e W s e n t e n c e W "" r o s e m a r y W h a t e s W n e w W y o r k "" : UTT_BOUNDARY c l a s s W 1 W 5 0 0 W b u c k s W a n d W h e W",class 1 500 bucks and he 
"Write the last word of the sentence ""He planted the garden with roses last November"": ","['He', 'planted', 'the', 'garden', 'with', 'roses', 'last', 'November']",november,"UTT_BOUNDARY w r i t e W t h e W l a s t W w o r d W o f W t h e W s e n t e n c e W "" h e W p l a n t e d W t h e W g a r d e n W w i t h W r o s e s W l a s t W n o v e m b e r "" : UTT_BOUNDARY r i c e W i n W t h e W b a t h t o w n d o o "" .","rice in the bathtowndoo""."
"Q: What is the last word of the sentence ""Julie felt he was there""? A:","['Julie', 'felt', 'he', 'was', 'there']",there,"UTT_BOUNDARY q : W w h a t W i s W t h e W l a s t W w o r d W o f W t h e W s e n t e n c e W "" j u l i e W f e l t W h e W w a s W t h e r e "" ? W a : UTT_BOUNDARY i n v i t a t i o n s W b e f o r e W t h e W s e",invitations before the se
