Input,Options,Expected,Output (raw),Predicted
"Q: Which is a rhyme of the word ""routine"", ""hurt"" or ""scene""? A:","['scene', 'hurt']",scene,"UTT_BOUNDARY q: which is a rhyme of the word ""routine"", ""hurt"" or ""scene""? a:UTT_BOUNDARY scene with the word """," scene with the word """
"Q: Which is a rhyme of the word ""wow"", ""announce"" or ""cow""? A:","['cow', 'announce']",cow,"UTT_BOUNDARY q: which is a rhyme of the word ""wow"", ""announce"" or ""cow""? a:UTT_BOUNDARY cowboys""? a:"," cowboys""? a:"
"Q: Which is a rhyme of the word ""begin"", ""pin"" or ""couple""? A:","['pin', 'couple']",pin,"UTT_BOUNDARY q: which is a rhyme of the word ""begin"", ""pin"" or ""couple""? a:UTT_BOUNDARY pinball is a machine", pinball is a machine
"Q: Which word rhymes with the word ""frog"", ""diet"" or ""jog""? A:","['jog', 'diet']",jog,"UTT_BOUNDARY q: which word rhymes with the word ""frog"", ""diet"" or ""jog""? a:UTT_BOUNDARY jog, another part"," jog, another part"
"Q: Of the words ""discover"" and ""cinema"", which one rhymes with ""recover""? A:","['discover', 'cinema']",discover,"UTT_BOUNDARY q: of the words ""discover"" and ""cinema"", which one rhymes with ""recover""? a:UTT_BOUNDARY discover the same as the", discover the same as the
"Q: Which is a rhyme of the word ""thick"", ""feel"" or ""sick""? A:","['sick', 'feel']",sick,"UTT_BOUNDARY q: which is a rhyme of the word ""thick"", ""feel"" or ""sick""? a:UTT_BOUNDARY sicklectric,"," sicklectric,"
"Q: Which is a rhyme of the word ""dancer"", ""cancer"" or ""television""? A:","['cancer', 'television']",cancer,"UTT_BOUNDARY q: which is a rhyme of the word ""dancer"", ""cancer"" or ""television""? a:UTT_BOUNDARY cancer of the word """," cancer of the word """
"Q: Of the words ""nightclub"" and ""mess"", which one rhymes with ""stress""? A:","['mess', 'nightclub']",mess,"UTT_BOUNDARY q: of the words ""nightclub"" and ""mess"", which one rhymes with ""stress""? a:UTT_BOUNDARY cartoonist"" and """," cartoonist"" and """
"Q: Which word rhymes with the word ""mean"", ""clean"" or ""bracelet""? A:","['clean', 'bracelet']",clean,"UTT_BOUNDARY q: which word rhymes with the word ""mean"", ""clean"" or ""bracelet""? a:UTT_BOUNDARY cleanup. a:", cleanup. a:
"Q: Of the words ""pan"" and ""tell"", which one rhymes with ""plan""? A:","['pan', 'tell']",pan,"UTT_BOUNDARY q: of the words ""pan"" and ""tell"", which one rhymes with ""plan""? a:UTT_BOUNDARY panickedoo"""," panickedoo"""
