Input,Options,Expected,Output (raw),Predicted
"Q: In the sentence ""John was lots more obnoxious than Fred"", what is the last word? A:","['John', 'was', 'lots', 'more', 'obnoxious', 'than', 'Fred']",fred,"UTT_BOUNDARY q: in the sentence ""john was lots more obnoxious than fred"", what is the last word? a:UTT_BOUNDARY freddie. a:", freddie. a:
"Q: In the sentence ""A boy hit the ball"", what is the last word? A:","['A', 'boy', 'hit', 'the', 'ball']",ball,"UTT_BOUNDARY q: in the sentence ""a boy hit the ball"", what is the last word? a:UTT_BOUNDARY ballad and the ball", ballad and the ball
"Q: In the sentence ""I remembered having kissed Mary"", what is the last word? A:","['I', 'remembered', 'having', 'kissed', 'Mary']",mary,"UTT_BOUNDARY q: in the sentence ""i remembered having kissed mary"", what is the last word? a:UTT_BOUNDARY mary is a girl herself", mary is a girl herself
"Q: What is the last word of the sentence ""I believe strongly that the world is round""? A:","['I', 'believe', 'strongly', 'that', 'the', 'world', 'is', 'round']",round,"UTT_BOUNDARY q: what is the last word of the sentence ""i believe strongly that the world is round""? a:UTT_BOUNDARY round. a:UTT_BOUNDARY", round. a:
"Write the last word of the sentence ""John will see you"": ","['John', 'will', 'see', 'you']",you,"UTT_BOUNDARY write the last word of the sentence ""john will see you"":UTT_BOUNDARY you will see him"","," you will see him"","
"Q: In the sentence ""They gave the bicycle to me"", what is the last word? A:","['They', 'gave', 'the', 'bicycle', 'to', 'me']",me,"UTT_BOUNDARY q: in the sentence ""they gave the bicycle to me"", what is the last word? a:UTT_BOUNDARY meats. a:", meats. a:
"Q: In the sentence ""An owl hunts mice"", what is the last word? A:","['An', 'owl', 'hunts', 'mice']",mice,"UTT_BOUNDARY q: in the sentence ""an owl hunts mice"", what is the last word? a:UTT_BOUNDARY cats swim or swims", cats swim or swims
"Write the last word of the sentence ""Helen wiped the wall"": ","['Helen', 'wiped', 'the', 'wall']",wall,"UTT_BOUNDARY write the last word of the sentence ""helen wiped the wall"":UTT_BOUNDARY wallace"":UTT_BOUNDARY"," wallace"":"
"Q: What is the last word of the sentence ""Elizabeth regretted that she had met Wickham""? A:","['Elizabeth', 'regretted', 'that', 'she', 'had', 'met', 'Wickham']",wickham,"UTT_BOUNDARY q: what is the last word of the sentence ""elizabeth regretted that she had met wickham""? a:UTT_BOUNDARY wickham is a doctor and", wickham is a doctor and
"Write the last word of the sentence ""I told the story to Daniel"": ","['I', 'told', 'the', 'story', 'to', 'Daniel']",daniel,"UTT_BOUNDARY write the last word of the sentence ""i told the story to daniel"":UTT_BOUNDARY john smith who is the", john smith who is the
