Input,Options,Expected,Output (raw),Predicted
"Q: In an alphabetical order, which word comes first, ""face"" or ""wild""? A:","['face', 'wild']",face,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""face"" or ""wild""? a:UTT_BOUNDARY face or face? a", face or face? a
"Q: In an alphabetical order, which word comes first, ""oil"" or ""any""? A:","['oil', 'any']",any,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""oil"" or ""any""? a:UTT_BOUNDARY any any old manuscripts", any any old manuscripts
"Q: In an alphabetical order, which word comes first, ""loud"" or ""yard""? A:","['loud', 'yard']",loud,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""loud"" or ""yard""? a:UTT_BOUNDARY loud ""singular"""," loud ""singular"""
"Q: In an alphabetical order, which of the words ""your"" and ""grass"" comes first? A:","['your', 'grass']",grass,"UTT_BOUNDARY q: in an alphabetical order, which of the words ""your"" and ""grass"" comes first? a:UTT_BOUNDARY grassy world"" or"," grassy world"" or"
"Q: Of the words ""some"" and ""cathedral"", which word comes first alphabetically? A:","['some', 'cathedral']",cathedral,"UTT_BOUNDARY q: of the words ""some"" and ""cathedral"", which word comes first alphabetically? a:UTT_BOUNDARY cathedral cathedral"", which word"," cathedral cathedral"", which word"
"Q: In an alphabetical order, which word comes first, ""chess"" or ""receptionist""? A:","['chess', 'receptionist']",chess,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""chess"" or ""receptionist""? a:UTT_BOUNDARY chess shoes? a:", chess shoes? a:
"Q: In an alphabetical order, which word comes first, ""business"" or ""occupation""? A:","['business', 'occupation']",business,"UTT_BOUNDARY q: in an alphabetical order, which word comes first, ""business"" or ""occupation""? a:UTT_BOUNDARY businesswoman""? a:"," businesswoman""? a:"
"Q: Of the words ""waiter"" and ""awful"", which word comes first alphabetically? A:","['waiter', 'awful']",awful,"UTT_BOUNDARY q: of the words ""waiter"" and ""awful"", which word comes first alphabetically? a:UTT_BOUNDARY awful awful good cake to", awful awful good cake to
"Q: In an alphabetical order, which of the words ""useful"" and ""available"" comes first? A:","['useful', 'available']",available,"UTT_BOUNDARY q: in an alphabetical order, which of the words ""useful"" and ""available"" comes first? a:UTT_BOUNDARY available information"" or """," available information"" or """
"Q: Of the words ""party"" and ""beginner"", which word comes first alphabetically? A:","['party', 'beginner']",beginner,"UTT_BOUNDARY q: of the words ""party"" and ""beginner"", which word comes first alphabetically? a:UTT_BOUNDARY beginner""? a:"," beginner""? a:"
"Q: Of the words ""cleaner"" and ""various"", which word comes first alphabetically? A:","['cleaner', 'various']",cleaner,"UTT_BOUNDARY q: of the words ""cleaner"" and ""various"", which word comes first alphabetically? a:UTT_BOUNDARY cleaner for the word", cleaner for the word
"Q: In an alphabetical order, which of the words ""yes"" and ""kiss"" comes first? A:","['yes', 'kiss']",kiss,"UTT_BOUNDARY q: in an alphabetical order, which of the words ""yes"" and ""kiss"" comes first? a:UTT_BOUNDARY kiss kiss? a:", kiss kiss? a:
"Q: In an alphabetical order, which of the words ""various"" and ""indoor"" comes first? A:","['various', 'indoor']",indoor,"UTT_BOUNDARY q: in an alphabetical order, which of the words ""various"" and ""indoor"" comes first? a:UTT_BOUNDARY indoorway"", which"," indoorway"", which"
