Input,Options,Expected,Output (raw),Predicted
"F: Welches Wort steht am Ende des Satzes ""Sie schreibt regelmäßig Briefe an ihre Großeltern auf dem Land.""? A:","['Sie', 'schreibt', 'regelmäßig', 'Briefe', 'an', 'ihre', 'Großeltern', 'auf', 'dem', 'Land']",land,"UTT_BOUNDARY f: welches wort steht am ende des satzes ""sie schreibt regelmäßig briefe an ihre großeltern auf dem land.""? a:UTT_BOUNDARY landkarte.""? a"," landkarte.""? a"
"F: Welches Wort steht am Ende des Satzes ""Sie trägt eine rote Jacke im Winter und warme Stiefel dazu.""? A:","['Sie', 'trägt', 'eine', 'rote', 'Jacke', 'im', 'Winter', 'und', 'warme', 'Stiefel', 'dazu']",dazu,"UTT_BOUNDARY f: welches wort steht am ende des satzes ""sie trägt eine rote jacke im winter und warme stiefel dazu.""? a:UTT_BOUNDARY dazu? a:UTT_BOUNDARY", dazu? a:
"F: Welches Wort steht am Ende des Satzes ""Wir machen eine Wanderung durch den Wald bei schönem Wetter.""? A:","['Wir', 'machen', 'eine', 'Wanderung', 'durch', 'den', 'Wald', 'bei', 'schönem', 'Wetter']",wetter,"UTT_BOUNDARY f: welches wort steht am ende des satzes ""wir machen eine wanderung durch den wald bei schönem wetter.""? a:UTT_BOUNDARY wetter heute.""? a"," wetter heute.""? a"
"F: Was ist das letzte Wort des Satzes ""Der Hund bellt laut, wenn jemand an der Tür klingelt.""? A:","['Der', 'Hund', 'bellt', 'laut', 'wenn', 'jemand', 'an', 'der', 'Tür', 'klingelt']",klingelt,"UTT_BOUNDARY f: was ist das letzte wort des satzes ""der hund bellt laut, wenn jemand an der tür klingelt.""? a:UTT_BOUNDARY klingelt nicht.""? a"," klingelt nicht.""? a"
"Schreibe das letzte Wort des Satzes ""Der Hund kuschelt sich zufrieden in seine warme Decke."": ","['Der', 'Hund', 'kuschelt', 'sich', 'zufrieden', 'in', 'seine', 'warme', 'Decke']",decke,"UTT_BOUNDARY schreibe das letzte wort des satzes ""der hund kuschelt sich zufrieden in seine warme decke."":UTT_BOUNDARY seinen freunden im park."""," seinen freunden im park."""
"F: Welches Wort steht am Ende des Satzes ""Wir besuchen das Schloss im nahegelegenen Ort am Sonntag.""? A:","['Wir', 'besuchen', 'das', 'Schloss', 'im', 'nahegelegenen', 'Ort', 'am', 'Sonntag']",sonntag,"UTT_BOUNDARY f: welches wort steht am ende des satzes ""wir besuchen das schloss im nahegelegenen ort am sonntag.""? a:UTT_BOUNDARY sonntagmorgens ist heute", sonntagmorgens ist heute
"F: Welches Wort steht am Ende des Satzes ""Ich höre Musik, während ich meine Hausaufgaben mache zu Hause.""? A:","['Ich', 'höre', 'Musik', 'während', 'ich', 'meine', 'Hausaufgaben', 'mache', 'zu', 'Hause']",hause,"UTT_BOUNDARY f: welches wort steht am ende des satzes ""ich höre musik, während ich meine hausaufgaben mache zu hause.""? a:UTT_BOUNDARY hause gehen zu hause oft", hause gehen zu hause oft
"Schreibe das letzte Wort des Satzes ""Er fährt jeden Morgen mit dem Fahrrad zur Arbeit in die Stadt."": ","['Er', 'fährt', 'jeden', 'Morgen', 'mit', 'dem', 'Fahrrad', 'zur', 'Arbeit', 'in', 'die', 'Stadt']",stadt,"UTT_BOUNDARY schreibe das letzte wort des satzes ""er fährt jeden morgen mit dem fahrrad zur arbeit in die stadt."":UTT_BOUNDARY stadthalle."":UTT_BOUNDARY"," stadthalle."":"
"F: Was ist das letzte Wort des Satzes ""Ich koche heute eine Suppe mit frischem Gemüse.""? A:","['Ich', 'koche', 'heute', 'eine', 'Suppe', 'mit', 'frischem', 'Gemüse']",gemüse,"UTT_BOUNDARY f: was ist das letzte wort des satzes ""ich koche heute eine suppe mit frischem gemüse.""? a:UTT_BOUNDARY gemüse zum frühstück essen."""," gemüse zum frühstück essen."""
"Schreibe das letzte Wort des Satzes ""Die Katze schläft zufrieden auf dem gemütlichen Sofa im Wohnzimmer."": ","['Die', 'Katze', 'schläft', 'zufrieden', 'auf', 'dem', 'gemütlichen', 'Sofa', 'im', 'Wohnzimmer']",wohnzimmer,"UTT_BOUNDARY schreibe das letzte wort des satzes ""die katze schläft zufrieden auf dem gemütlichen sofa im wohnzimmer."":UTT_BOUNDARY wohnzimmerboden."":UTT_BOUNDARY"," wohnzimmerboden."":"
