Input,Options,Expected,Predicted
"F: Welches Wort ist kürzer, ""beenden"" oder ""entsteht""? A:","['beenden', 'entsteht']",beenden,"gezeigt ""bedeutet"" oder """
"F: Welches Wort ist kürzer, ""ein"" oder ""hier""? A:","['ein', 'hier']",ein,
"F: Welches Wort ist kürzer, ""solches"" oder ""offensiv""? A:","['solches', 'offensiv']",solches,
"F: Welches Wort hat weniger Buchstaben, ""zeit"" oder ""völlig""? A:","['zeit', 'völlig']",zeit,
"Von den Wörtern ""verloren"" und ""zeit"", welches hat weniger Buchstaben? ","['verloren', 'zeit']",zeit,
"F: Welches Wort ist kürzer, ""der"" oder ""viel""? A:","['der', 'viel']",der,
"F: Welches Wort ist kürzer, ""zeit"" oder ""ehe""? A:","['zeit', 'ehe']",ehe,
"Von den Wörtern ""Gleichheiten"" und ""auch"", welches hat weniger Buchstaben? ","['Gleichheiten', 'auch']",auch,sinder buchstaben weshene
"F: Welches Wort hat weniger Buchstaben, ""lang"" oder ""wissen""? A:","['lang', 'wissen']",lang,
"Von den Wörtern ""Abschied"" und ""heut"", welches hat weniger Buchstaben? ","['Abschied', 'heut']",heut,"sinder of ""mehrerenningto"
"Von den Wörtern ""umgänglicher"" und ""heut"", welches hat weniger Buchstaben? ","['umgänglicher', 'heut']",heut,daranese weningrowena. es
"F: Welches Wort hat weniger Buchstaben, ""nach"" oder ""jemand""? A:","['nach', 'jemand']",nach,
"F: Welches Wort hat weniger Buchstaben, ""ungerne"" oder ""all""? A:","['ungerne', 'all']",all,
"F: Welches Wort ist kürzer, ""abholen"" oder ""offensiv""? A:","['abholen', 'offensiv']",abholen,
"Von den Wörtern ""graben"" und ""unter"", welches hat weniger Buchstaben? ","['graben', 'unter']",unter,"hieronn. esialanten, ""meh"
"F: Welches Wort hat weniger Buchstaben, ""zu"" oder ""der""? A:","['zu', 'der']",zu,
"F: Welches Wort ist kürzer, ""war"" oder ""um""? A:","['war', 'um']",um,
"F: Welches Wort hat weniger Buchstaben, ""gezeigt"" oder ""und""? A:","['gezeigt', 'und']",und,
"Von den Wörtern ""Anteil"" und ""daher"", welches hat weniger Buchstaben? ","['Anteil', 'daher']",daher,daranchber mehrereranger 
"Von den Wörtern ""erst"" und ""bedeutet"", welches hat weniger Buchstaben? ","['erst', 'bedeutet']",erst,daraneen weniger buchtult
"F: Welches Wort hat weniger Buchstaben, ""nach"" oder ""Anteil""? A:","['nach', 'Anteil']",nach,
"F: Welches Wort hat weniger Buchstaben, ""sehen "" oder ""ganz""? A:","['sehen ', 'ganz']",ganz,
"F: Welches Wort hat weniger Buchstaben, ""weg"" oder ""zu""? A:","['weg', 'zu']",zu,"erzählt"" oder ""wirklich""?"
"Von den Wörtern ""tadellos"" und ""tüfteln"", welches hat weniger Buchstaben? ","['tadellos', 'tüfteln']",tüfteln,mehreren weningenenchenen
"F: Welches Wort ist kürzer, ""war"" oder ""auch""? A:","['war', 'auch']",war,
"Von den Wörtern ""denken"" und ""reden"", welches hat weniger Buchstaben? ","['denken', 'reden']",reden,daranchber mehreren/frien
"Von den Wörtern ""viel"" und ""irgendwo"", welches hat weniger Buchstaben? ","['viel', 'irgendwo']",viel,daraneen weningerousen we
"F: Welches Wort ist kürzer, ""ist"" oder ""kann""? A:","['ist', 'kann']",ist,
"F: Welches Wort hat weniger Buchstaben, ""erst"" oder ""Anteil""? A:","['erst', 'Anteil']",erst,
"F: Welches Wort ist kürzer, ""ich"" oder ""noch""? A:","['ich', 'noch']",ich,
"F: Welches Wort ist kürzer, ""sie"" oder ""ab""? A:","['sie', 'ab']",ab,
"F: Welches Wort ist kürzer, ""ab"" oder ""variabel""? A:","['ab', 'variabel']",ab,
"F: Welches Wort hat weniger Buchstaben, ""nie"" oder ""erzählt""? A:","['nie', 'erzählt']",nie,"erstenden ""wirklicher"" od"
"Von den Wörtern ""jemand"" und ""waren"", welches hat weniger Buchstaben? ","['jemand', 'waren']",waren,warenlosen weniger buchst
"F: Welches Wort hat weniger Buchstaben, ""tragen"" oder ""ganz""? A:","['tragen', 'ganz']",ganz,"nochoichtensteinlet, ""meh"
"F: Welches Wort hat weniger Buchstaben, ""rot"" oder ""einfach""? A:","['rot', 'einfach']",rot,nie weniger weniger buchs
