Input,Options,Expected,Output (raw),Predicted
"F: Von den Zahlen 117 und 552, welche ist größer? A:","['117', '552']",552,"UTT_BOUNDARY f: von den zahlen 117 und 552, welche ist größer? a:UTT_BOUNDARY 552 oder 8", 552 oder 8
"F: Von den Zahlen 707 und 918, welche ist größer? A:","['707', '918']",918,"UTT_BOUNDARY f: von den zahlen 707 und 918, welche ist größer? a:UTT_BOUNDARY 918 oder 93", 918 oder 93
"F: Von den Zahlen 181 und 41, welche ist größer? A:","['181', '41']",181,"UTT_BOUNDARY f: von den zahlen 181 und 41, welche ist größer? a:UTT_BOUNDARY 461 oder 7", 461 oder 7
"F: Welche Zahl ist größer, 540 oder 444? A:","['540', '444']",540,"UTT_BOUNDARY f: welche zahl ist größer, 540 oder 444? a:UTT_BOUNDARY 59933 oder", 59933 oder
Gib von den Zahlen 549 und 234 die größere an: ,"['549', '234']",549,UTT_BOUNDARY gib von den zahlen 549 und 234 die größere an:UTT_BOUNDARY 549 mit viel, 549 mit viel
"F: Von den Zahlen 157 und 504, welche ist größer? A:","['157', '504']",504,"UTT_BOUNDARY f: von den zahlen 157 und 504, welche ist größer? a:UTT_BOUNDARY 454 oder 54", 454 oder 54
"F: Von den Zahlen 616 und 193, welche ist größer? A:","['616', '193']",616,"UTT_BOUNDARY f: von den zahlen 616 und 193, welche ist größer? a:UTT_BOUNDARY 616 und 63", 616 und 63
Gib von den Zahlen 264 und 107 die größere an: ,"['264', '107']",264,"UTT_BOUNDARY gib von den zahlen 264 und 107 die größere an:UTT_BOUNDARY 26433,"," 26433,"
"F: Welche Zahl ist größer, 270 oder 846? A:","['270', '846']",846,"UTT_BOUNDARY f: welche zahl ist größer, 270 oder 846? a:UTT_BOUNDARY 846 oder 5", 846 oder 5
Gib von den Zahlen 199 und 523 die größere an: ,"['199', '523']",523,UTT_BOUNDARY gib von den zahlen 199 und 523 die größere an:UTT_BOUNDARY 5123 in berlin, 5123 in berlin
Gib von den Zahlen 176 und 270 die größere an: ,"['176', '270']",270,UTT_BOUNDARY gib von den zahlen 176 und 270 die größere an:UTT_BOUNDARY 170 und 55, 170 und 55
"F: Welche Zahl ist größer, 726 oder 838? A:","['726', '838']",838,"UTT_BOUNDARY f: welche zahl ist größer, 726 oder 838? a:UTT_BOUNDARY 836 oder 5", 836 oder 5
"F: Welche Zahl ist größer, 876 oder 134? A:","['876', '134']",876,"UTT_BOUNDARY f: welche zahl ist größer, 876 oder 134? a:UTT_BOUNDARY 876 oder 5", 876 oder 5
"F: Von den Zahlen 691 und 565, welche ist größer? A:","['691', '565']",691,"UTT_BOUNDARY f: von den zahlen 691 und 565, welche ist größer? a:UTT_BOUNDARY 695 oder 5", 695 oder 5
Gib von den Zahlen 82 und 605 die größere an: ,"['82', '605']",605,UTT_BOUNDARY gib von den zahlen 82 und 605 die größere an:UTT_BOUNDARY 852 die größere, 852 die größere
"F: Welche Zahl ist größer, 709 oder 297? A:","['709', '297']",709,"UTT_BOUNDARY f: welche zahl ist größer, 709 oder 297? a:UTT_BOUNDARY 709 oder 89", 709 oder 89
"F: Von den Zahlen 192 und 531, welche ist größer? A:","['192', '531']",531,"UTT_BOUNDARY f: von den zahlen 192 und 531, welche ist größer? a:UTT_BOUNDARY 531, 38"," 531, 38"
"F: Welche Zahl ist größer, 950 oder 356? A:","['950', '356']",950,"UTT_BOUNDARY f: welche zahl ist größer, 950 oder 356? a:UTT_BOUNDARY 9006? a", 9006? a
Gib von den Zahlen 900 und 752 die größere an: ,"['900', '752']",900,UTT_BOUNDARY gib von den zahlen 900 und 752 die größere an:UTT_BOUNDARY 752 die größere an, 752 die größere an
Gib von den Zahlen 126 und 256 die größere an: ,"['126', '256']",256,UTT_BOUNDARY gib von den zahlen 126 und 256 die größere an:UTT_BOUNDARY 236 die kleinere:, 236 die kleinere:
"F: Welche Zahl ist größer, 152 oder 332? A:","['152', '332']",332,"UTT_BOUNDARY f: welche zahl ist größer, 152 oder 332? a:UTT_BOUNDARY 332 oder 92", 332 oder 92
"F: Welche Zahl ist größer, 560 oder 969? A:","['560', '969']",969,"UTT_BOUNDARY f: welche zahl ist größer, 560 oder 969? a:UTT_BOUNDARY 969 oder 8", 969 oder 8
