Input,Options,Expected,Predicted
"Q: In the sentence ""John was lots more obnoxious than Fred"", what is the first word? A:","['john', 'was', 'lots', 'more', 'obnoxious', 'than', 'fred']",john,than
"Q: In the sentence ""A boy hit the ball"", what is the first word? A:","['a', 'boy', 'hit', 'the', 'ball']",a,a
"Q: In the sentence ""I remembered having kissed Mary"", what is the first word? A:","['i', 'remembered', 'having', 'kissed', 'mary']",i,mary
"Q: What is the first word of the sentence ""I believe strongly that the world is round""? A:","['i', 'believe', 'strongly', 'that', 'the', 'world', 'is', 'round']",i,world
"Write the first word of the sentence ""John will see you"": ","['john', 'will', 'see', 'you']",john,see
"Q: In the sentence ""They gave the bicycle to me"", what is the first word? A:","['they', 'gave', 'the', 'bicycle', 'to', 'me']",they,me
"Q: In the sentence ""An owl hunts mice"", what is the first word? A:","['an', 'owl', 'hunts', 'mice']",an,an
"Write the first word of the sentence ""Helen wiped the wall"": ","['helen', 'wiped', 'the', 'wall']",helen,the
"Q: What is the first word of the sentence ""Elizabeth regretted that she had met Wickham""? A:","['elizabeth', 'regretted', 'that', 'she', 'had', 'met', 'wickham']",elizabeth,met
"Write the first word of the sentence ""I told the story to Daniel"": ","['i', 'told', 'the', 'story', 'to', 'daniel']",i,the
"Write the first word of the sentence ""Sonatas are easy to play on this violin"": ","['sonatas', 'are', 'easy', 'to', 'play', 'on', 'this', 'violin']",sonatas,are
"Q: What is the first word of the sentence ""Paula hit the fence""? A:","['paula', 'hit', 'the', 'fence']",paula,the
"Q: What is the first word of the sentence ""The man killed the king with the knife""? A:","['the', 'man', 'killed', 'the', 'king', 'with', 'the', 'knife']",the,the
"Q: In the sentence ""The student knew the answers"", what is the first word? A:","['the', 'student', 'knew', 'the', 'answers']",the,answers
"Write the first word of the sentence ""Celia brushed her hair"": ","['celia', 'brushed', 'her', 'hair']",celia,brushed
"Q: What is the first word of the sentence ""I served leek soup to my guests""? A:","['i', 'served', 'leek', 'soup', 'to', 'my', 'guests']",i,guests
"Q: In the sentence ""Never had Sir Thomas been so offended"", what is the first word? A:","['never', 'had', 'sir', 'thomas', 'been', 'so', 'offended']",never,thomas
"Q: What is the first word of the sentence ""I will speak to Hector about this""? A:","['i', 'will', 'speak', 'to', 'hector', 'about', 'this']",i,will
"Write the first word of the sentence ""Rosemary hates New York"": ","['rosemary', 'hates', 'new', 'york']",rosemary,new
"Write the first word of the sentence ""He planted the garden with roses last November"": ","['he', 'planted', 'the', 'garden', 'with', 'roses', 'last', 'november']",he,november
"Q: What is the first word of the sentence ""Julie felt he was there""? A:","['julie', 'felt', 'he', 'was', 'there']",julie,felt
"Q: What is the first word of the sentence ""Kim is fond of Lee""? A:","['kim', 'is', 'fond', 'of', 'lee']",kim,kim
"Q: What is the first word of the sentence ""I know the person whose mother died""? A:","['i', 'know', 'the', 'person', 'whose', 'mother', 'died']",i,the
"Write the first word of the sentence ""Almost every lawyer could answer that question"": ","['almost', 'every', 'lawyer', 'could', 'answer', 'that', 'question']",almost,could
"Q: In the sentence ""The boat sank"", what is the first word? A:","['the', 'boat', 'sank']",the,the
"Write the first word of the sentence ""Most of the fruit is rotten"": ","['most', 'of', 'the', 'fruit', 'is', 'rotten']",most,most
"Write the first word of the sentence ""Don swatted the mosquito with the newspaper"": ","['don', 'swatted', 'the', 'mosquito', 'with', 'the', 'newspaper']",don,don
"Q: In the sentence ""Shannon sent Dan an email"", what is the first word? A:","['shannon', 'sent', 'dan', 'an', 'email']",shannon,an
"Q: What is the first word of the sentence ""The defendant denied the accusation""? A:","['the', 'defendant', 'denied', 'the', 'accusation']",the,defendant
"Q: In the sentence ""I have six more of them"", what is the first word? A:","['i', 'have', 'six', 'more', 'of', 'them']",i,six
"Q: In the sentence ""The dog chased the cat for days"", what is the first word? A:","['the', 'dog', 'chased', 'the', 'cat', 'for', 'days']",the,for
"Q: In the sentence ""Fred kicked the ball over the fence"", what is the first word? A:","['fred', 'kicked', 'the', 'ball', 'over', 'the', 'fence']",fred,over
"Q: What is the first word of the sentence ""John talked to any politician who is powerful""? A:","['john', 'talked', 'to', 'any', 'politician', 'who', 'is', 'powerful']",john,is
"Write the first word of the sentence ""Jessica loaded boxes under the wagon"": ","['jessica', 'loaded', 'boxes', 'under', 'the', 'wagon']",jessica,jessica
"Q: What is the first word of the sentence ""He looks so formidable""? A:","['he', 'looks', 'so', 'formidable']",he,he
"Q: What is the first word of the sentence ""Jackie chased the thief""? A:","['jackie', 'chased', 'the', 'thief']",jackie,the
"Write the first word of the sentence ""Doug cleared the table"": ","['doug', 'cleared', 'the', 'table']",doug,the
"Q: What is the first word of the sentence ""John promised Mary that he would leave""? A:","['john', 'promised', 'mary', 'that', 'he', 'would', 'leave']",john,john
"Q: What is the first word of the sentence ""Henri will paint the floor for an hour""? A:","['henri', 'will', 'paint', 'the', 'floor', 'for', 'an', 'hour']",henri,floor
"Q: In the sentence ""Henri will paint the floor for an hour"", what is the first word? A:","['henri', 'will', 'paint', 'the', 'floor', 'for', 'an', 'hour']",henri,the
"Q: What is the first word of the sentence ""I saw only the student""? A:","['i', 'saw', 'only', 'the', 'student']",i,the
"Q: What is the first word of the sentence ""The strong winds cleared the skies""? A:","['the', 'strong', 'winds', 'cleared', 'the', 'skies']",the,the
"Q: What is the first word of the sentence ""Steve tossed the ball at Anna""? A:","['steve', 'tossed', 'the', 'ball', 'at', 'anna']",steve,ball
"Q: What is the first word of the sentence ""Mary cuts the paper easily""? A:","['mary', 'cuts', 'the', 'paper', 'easily']",mary,paper
"Q: In the sentence ""Jill embraced Sarah"", what is the first word? A:","['jill', 'embraced', 'sarah']",jill,jill
"Q: In the sentence ""Few doctors approve of our remedy"", what is the first word? A:","['few', 'doctors', 'approve', 'of', 'our', 'remedy']",few,our
"Write the first word of the sentence ""George sang to himself"": ","['george', 'sang', 'to', 'himself']",george,himself
"Q: What is the first word of the sentence ""He continued writing poems""? A:","['he', 'continued', 'writing', 'poems']",he,poems
"Write the first word of the sentence ""I am drinking lemonade and eating a brownie"": ","['i', 'am', 'drinking', 'lemonade', 'and', 'eating', 'a', 'brownie']",i,and
