Input,Options,Expected,Predicted
"F: Welches Wort ist kuerzer, ""tadellos"" oder ""gezeigt""? A:","['tadellos', 'gezeigt']",gezeigt,"tadellos""? a:"
"F: Welches Wort ist kuerzer, ""mulmig"" oder ""wertlos""? A:","['mulmig', 'wertlos']",mulmig,"mulmig"" oder ""mulmig""? a:"
"F: Welches Wort ist kuerzer, ""gespuert"" oder ""voellig""? A:","['gespuert', 'voellig']",voellig,"gespuert""? a:"
"F: Welches Wort hat weniger Buchstaben, ""all"" oder ""um""? A:","['all', 'um']",um,"um""? a:"
"Von den Woertern ""verlusten"" und ""verbindung"", welches hat weniger Buchstaben? ","['verlusten', 'verbindung']",verlusten,verbindung?
"F: Welches Wort ist kuerzer, ""allen"" oder ""graben""? A:","['allen', 'graben']",allen,graben?
"F: Welches Wort ist kuerzer, ""denken"" oder ""solches""? A:","['denken', 'solches']",denken,"denken"" oder ""wertlos""? a"
"Von den Woertern ""jobcenter"" und ""wirklich"", welches hat weniger Buchstaben? ","['jobcenter', 'wirklich']",wirklich,"jobcenter""?"
"F: Welches Wort hat weniger Buchstaben, ""ist"" oder ""muss""? A:","['ist', 'muss']",ist,"ist""? a:"
"Von den Woertern ""iteration"" und ""oligarchie"", welches hat weniger Buchstaben? ","['iteration', 'oligarchie']",iteration,iteration?
"Von den Woertern ""bekannte"" und ""idiotisch"", welches hat weniger Buchstaben? ","['bekannte', 'idiotisch']",bekannte,idiotisch?
"F: Welches Wort hat weniger Buchstaben, ""weg"" oder ""im""? A:","['weg', 'im']",im,"im ""weg""? a:"
"F: Welches Wort hat weniger Buchstaben, ""dann"" oder ""rot""? A:","['dann', 'rot']",rot,"rot""? a:"
"F: Welches Wort ist kuerzer, ""beweise"" oder ""verloren""? A:","['beweise', 'verloren']",beweise,"verloren""? a:"
"Von den Woertern ""unablaessiggleichstand"" und ""veranstalt"", welches hat weniger Buchstaben? ","['unablaessiggleichstand', 'veranstalt']",veranstalt,unablaessiggleichstand?
"F: Welches Wort hat weniger Buchstaben, ""sich"" oder ""daher""? A:","['sich', 'daher']",sich,"daher""? a:"
"F: Welches Wort ist kuerzer, ""graben"" oder ""dabei""? A:","['graben', 'dabei']",dabei,"dabei""? a:"
"F: Welches Wort hat weniger Buchstaben, ""man"" oder ""bald""? A:","['man', 'bald']",man,"man""? a:"
"Von den Woertern ""mitarbeiter"" und ""entwickeln"", welches hat weniger Buchstaben? ","['mitarbeiter', 'entwickeln']",entwickeln,mitarbeiter?
"Von den Woertern ""verzichts"" und ""veranstalt"", welches hat weniger Buchstaben? ","['verzichts', 'veranstalt']",verzichts,verzichtstalt?
"F: Welches Wort hat weniger Buchstaben, ""ein"" oder ""im""? A:","['ein', 'im']",im,"im ""ein""? a:"
"F: Welches Wort hat weniger Buchstaben, ""der"" oder ""sind""? A:","['der', 'sind']",der,"sind"" oder ""wenn""? a:"
"F: Welches Wort hat weniger Buchstaben, ""daher"" oder ""lang""? A:","['daher', 'lang']",lang,"daher""? a:"
"Von den Woertern ""beispiel"" und ""machtwort"", welches hat weniger Buchstaben? ","['beispiel', 'machtwort']",beispiel,"machtwort""?"
"F: Welches Wort ist kuerzer, ""abholen"" oder ""wissen""? A:","['abholen', 'wissen']",wissen,"abholen""? a:"
"Von den Woertern ""mitarbeiter"" und ""hustenbonbon"", welches hat weniger Buchstaben? ","['mitarbeiter', 'hustenbonbon']",mitarbeiter,hustenbonbonbonbonbonbonb
"Von den Woertern ""offizielle"" und ""fachbuecher"", welches hat weniger Buchstaben? ","['offizielle', 'fachbuecher']",offizielle,fachbuecher?
"F: Welches Wort ist kuerzer, ""gedanke"" oder ""koennt""? A:","['gedanke', 'koennt']",koennt,koennt? a:
"F: Welches Wort hat weniger Buchstaben, ""der"" oder ""sehr""? A:","['der', 'sehr']",der,"sehr""? a:"
"F: Welches Wort ist kuerzer, ""anteil"" oder ""beweise""? A:","['anteil', 'beweise']",anteil,"anteil""? a:"
"F: Welches Wort ist kuerzer, ""laufen"" oder ""wurde""? A:","['laufen', 'wurde']",wurde,wurder?
"F: Welches Wort ist kuerzer, ""zwischen"" oder ""anderen""? A:","['zwischen', 'anderen']",anderen,"anderen""? a:"
"F: Welches Wort hat weniger Buchstaben, ""wenn"" oder ""dabei""? A:","['wenn', 'dabei']",wenn,"wenn"" oder ""wenn""? a:"
"Von den Woertern ""wachmaenner"" und ""wunderkind"", welches hat weniger Buchstaben? ","['wachmaenner', 'wunderkind']",wunderkind,wachmaenner?
"F: Welches Wort hat weniger Buchstaben, ""zeit"" oder ""der""? A:","['zeit', 'der']",der,zeit?
"F: Welches Wort hat weniger Buchstaben, ""muss"" oder ""unter""? A:","['muss', 'unter']",muss,"muss""? a:"
"Von den Woertern ""bedrohen"" und ""obduktion"", welches hat weniger Buchstaben? ","['bedrohen', 'obduktion']",bedrohen,obduktion?
"F: Welches Wort hat weniger Buchstaben, ""nach"" oder ""und""? A:","['nach', 'und']",und,"und""? a:"
"F: Welches Wort hat weniger Buchstaben, ""sich"" oder ""der""? A:","['sich', 'der']",der,sich? a:
"F: Welches Wort ist kuerzer, ""beenden"" oder ""gebiss""? A:","['beenden', 'gebiss']",gebiss,"beenden, ""beenden""? a:"
"F: Welches Wort hat weniger Buchstaben, ""ab"" oder ""nun""? A:","['ab', 'nun']",ab,"ab"" oder ""nun""? a:"
"F: Welches Wort hat weniger Buchstaben, ""es"" oder ""das""? A:","['es', 'das']",es,"das es""? a:"
"F: Welches Wort hat weniger Buchstaben, ""ganz"" oder ""sie""? A:","['ganz', 'sie']",sie,"sie""? a:"
"F: Welches Wort hat weniger Buchstaben, ""mehr"" oder ""reden""? A:","['mehr', 'reden']",mehr,"reden""? a:"
"F: Welches Wort ist kuerzer, ""darueber"" oder ""beenden""? A:","['darueber', 'beenden']",beenden,"darueber""? a:"
"F: Welches Wort ist kuerzer, ""abholen"" oder ""beispiel""? A:","['abholen', 'beispiel']",abholen,"abholen""? a:"
"Von den Woertern ""verbindung"" und ""erfahrung"", welches hat weniger Buchstaben? ","['verbindung', 'erfahrung']",erfahrung,erfahrung.
"F: Welches Wort hat weniger Buchstaben, ""nun"" oder ""am""? A:","['nun', 'am']",am,"nun""? a:"
"Von den Woertern ""idiotisch"" und ""entstehung"", welches hat weniger Buchstaben? ","['idiotisch', 'entstehung']",idiotisch,entstehung?
"F: Welches Wort ist kuerzer, ""entsteht"" oder ""beenden""? A:","['entsteht', 'beenden']",beenden,beenden?
"F: Welches Wort ist kuerzer, ""fragen"" oder ""nicht""? A:","['fragen', 'nicht']",nicht,"fragen"" oder ""nichts""? a:"
"Von den Woertern ""iteration"" und ""tadellos"", welches hat weniger Buchstaben? ","['iteration', 'tadellos']",tadellos,"tadellos""?"
