Input,Options,Expected,Output (raw),Predicted
"F: Von den Zahlen 70 und 496, welche ist kleiner? A:","['70', '496']",70,"UTT_BOUNDARY f: von den zahlen 70 und 496, welche ist kleiner? a:UTT_BOUNDARY 466 oder 8", 466 oder 8
"F: Von den Zahlen 554 und 973, welche ist kleiner? A:","['554', '973']",554,"UTT_BOUNDARY f: von den zahlen 554 und 973, welche ist kleiner? a:UTT_BOUNDARY 553 oder 5", 553 oder 5
"F: Von den Zahlen 103 und 882, welche ist kleiner? A:","['103', '882']",103,"UTT_BOUNDARY f: von den zahlen 103 und 882, welche ist kleiner? a:UTT_BOUNDARY 1032 oder 5", 1032 oder 5
"F: Welche Zahl ist kleiner, 152 oder 369? A:","['152', '369']",152,"UTT_BOUNDARY f: welche zahl ist kleiner, 152 oder 369? a:UTT_BOUNDARY 1529? a", 1529? a
Schreibe von den Zahlen 849 und 178 die kleinere: ,"['849', '178']",178,UTT_BOUNDARY schreibe von den zahlen 849 und 178 die kleinere:UTT_BOUNDARY 179 die kleinere:, 179 die kleinere:
"F: Von den Zahlen 778 und 810, welche ist kleiner? A:","['778', '810']",778,"UTT_BOUNDARY f: von den zahlen 778 und 810, welche ist kleiner? a:UTT_BOUNDARY 810 oder 58", 810 oder 58
"F: Von den Zahlen 321 und 183, welche ist kleiner? A:","['321', '183']",183,"UTT_BOUNDARY f: von den zahlen 321 und 183, welche ist kleiner? a:UTT_BOUNDARY 181 und 73", 181 und 73
Schreibe von den Zahlen 40 und 886 die kleinere: ,"['40', '886']",40,UTT_BOUNDARY schreibe von den zahlen 40 und 886 die kleinere:UTT_BOUNDARY 408 und 98, 408 und 98
"F: Welche Zahl ist kleiner, 581 oder 465? A:","['581', '465']",465,"UTT_BOUNDARY f: welche zahl ist kleiner, 581 oder 465? a:UTT_BOUNDARY 461 oder 8", 461 oder 8
Schreibe von den Zahlen 219 und 633 die kleinere: ,"['219', '633']",219,UTT_BOUNDARY schreibe von den zahlen 219 und 633 die kleinere:UTT_BOUNDARY 633 und 5, 633 und 5
Schreibe von den Zahlen 704 und 758 die kleinere: ,"['704', '758']",704,UTT_BOUNDARY schreibe von den zahlen 704 und 758 die kleinere:UTT_BOUNDARY 754 die größere an, 754 die größere an
"F: Welche Zahl ist kleiner, 397 oder 942? A:","['397', '942']",397,"UTT_BOUNDARY f: welche zahl ist kleiner, 397 oder 942? a:UTT_BOUNDARY 392 oder 5", 392 oder 5
"F: Welche Zahl ist kleiner, 374 oder 829? A:","['374', '829']",374,"UTT_BOUNDARY f: welche zahl ist kleiner, 374 oder 829? a:UTT_BOUNDARY 3729? a", 3729? a
"F: Von den Zahlen 447 und 809, welche ist kleiner? A:","['447', '809']",447,"UTT_BOUNDARY f: von den zahlen 447 und 809, welche ist kleiner? a:UTT_BOUNDARY 4491, 22"," 4491, 22"
Schreibe von den Zahlen 958 und 550 die kleinere: ,"['958', '550']",550,UTT_BOUNDARY schreibe von den zahlen 958 und 550 die kleinere:UTT_BOUNDARY 558 die kleinere, 558 die kleinere
"F: Welche Zahl ist kleiner, 719 oder 950? A:","['719', '950']",719,"UTT_BOUNDARY f: welche zahl ist kleiner, 719 oder 950? a:UTT_BOUNDARY 945: in dem", 945: in dem
"F: Von den Zahlen 782 und 274, welche ist kleiner? A:","['782', '274']",274,"UTT_BOUNDARY f: von den zahlen 782 und 274, welche ist kleiner? a:UTT_BOUNDARY 272 oder 72", 272 oder 72
"F: Welche Zahl ist kleiner, 239 oder 845? A:","['239', '845']",239,"UTT_BOUNDARY f: welche zahl ist kleiner, 239 oder 845? a:UTT_BOUNDARY 239 oder 59", 239 oder 59
Schreibe von den Zahlen 138 und 711 die kleinere: ,"['138', '711']",138,UTT_BOUNDARY schreibe von den zahlen 138 und 711 die kleinere:UTT_BOUNDARY 138 und 98, 138 und 98
Schreibe von den Zahlen 739 und 684 die kleinere: ,"['739', '684']",684,UTT_BOUNDARY schreibe von den zahlen 739 und 684 die kleinere:UTT_BOUNDARY 684 die kleinere:, 684 die kleinere:
"F: Welche Zahl ist kleiner, 599 oder 139? A:","['599', '139']",139,"UTT_BOUNDARY f: welche zahl ist kleiner, 599 oder 139? a:UTT_BOUNDARY 1392? a", 1392? a
"F: Welche Zahl ist kleiner, 804 oder 554? A:","['804', '554']",554,"UTT_BOUNDARY f: welche zahl ist kleiner, 804 oder 554? a:UTT_BOUNDARY 554 oder 5", 554 oder 5
"F: Welche Zahl ist kleiner, 16 oder 338? A:","['16', '338']",16,"UTT_BOUNDARY f: welche zahl ist kleiner, 16 oder 338? a:UTT_BOUNDARY 338 oder 58", 338 oder 58
Schreibe von den Zahlen 967 und 238 die kleinere: ,"['967', '238']",238,UTT_BOUNDARY schreibe von den zahlen 967 und 238 die kleinere:UTT_BOUNDARY 237 die kleinere:, 237 die kleinere:
"F: Von den Zahlen 258 und 283, welche ist kleiner? A:","['258', '283']",258,"UTT_BOUNDARY f: von den zahlen 258 und 283, welche ist kleiner? a:UTT_BOUNDARY 288 oder 93", 288 oder 93
Schreibe von den Zahlen 520 und 335 die kleinere: ,"['520', '335']",335,UTT_BOUNDARY schreibe von den zahlen 520 und 335 die kleinere:UTT_BOUNDARY 335 die kleinere:, 335 die kleinere:
Schreibe von den Zahlen 908 und 220 die kleinere: ,"['908', '220']",220,UTT_BOUNDARY schreibe von den zahlen 908 und 220 die kleinere:UTT_BOUNDARY 220 oder 88, 220 oder 88
"F: Von den Zahlen 137 und 901, welche ist kleiner? A:","['137', '901']",137,"UTT_BOUNDARY f: von den zahlen 137 und 901, welche ist kleiner? a:UTT_BOUNDARY 137 oder 97", 137 oder 97
"F: Welche Zahl ist kleiner, 604 oder 733? A:","['604', '733']",604,"UTT_BOUNDARY f: welche zahl ist kleiner, 604 oder 733? a:UTT_BOUNDARY 604 oder 53", 604 oder 53
"F: Von den Zahlen 553 und 964, welche ist kleiner? A:","['553', '964']",553,"UTT_BOUNDARY f: von den zahlen 553 und 964, welche ist kleiner? a:UTT_BOUNDARY 564 oder 5", 564 oder 5
"F: Von den Zahlen 156 und 780, welche ist kleiner? A:","['156', '780']",156,"UTT_BOUNDARY f: von den zahlen 156 und 780, welche ist kleiner? a:UTT_BOUNDARY 156 oder 53", 156 oder 53
"F: Von den Zahlen 909 und 127, welche ist kleiner? A:","['909', '127']",127,"UTT_BOUNDARY f: von den zahlen 909 und 127, welche ist kleiner? a:UTT_BOUNDARY 1279? a", 1279? a
"F: Welche Zahl ist kleiner, 86 oder 840? A:","['86', '840']",86,"UTT_BOUNDARY f: welche zahl ist kleiner, 86 oder 840? a:UTT_BOUNDARY 860? a:", 860? a:
Schreibe von den Zahlen 658 und 614 die kleinere: ,"['658', '614']",614,UTT_BOUNDARY schreibe von den zahlen 658 und 614 die kleinere:UTT_BOUNDARY 658 und 98, 658 und 98
"F: Welche Zahl ist kleiner, 934 oder 902? A:","['934', '902']",902,"UTT_BOUNDARY f: welche zahl ist kleiner, 934 oder 902? a:UTT_BOUNDARY 904 oder 54", 904 oder 54
"F: Welche Zahl ist kleiner, 730 oder 92? A:","['730', '92']",92,"UTT_BOUNDARY f: welche zahl ist kleiner, 730 oder 92? a:UTT_BOUNDARY 728? a", 728? a
Schreibe von den Zahlen 419 und 134 die kleinere: ,"['419', '134']",134,UTT_BOUNDARY schreibe von den zahlen 419 und 134 die kleinere:UTT_BOUNDARY 184 und 919, 184 und 919
"F: Welche Zahl ist kleiner, 314 oder 80? A:","['314', '80']",80,"UTT_BOUNDARY f: welche zahl ist kleiner, 314 oder 80? a:UTT_BOUNDARY 314yin,"," 314yin,"
"F: Welche Zahl ist kleiner, 987 oder 864? A:","['987', '864']",864,"UTT_BOUNDARY f: welche zahl ist kleiner, 987 oder 864? a:UTT_BOUNDARY 874ende junge", 874ende junge
"F: Von den Zahlen 708 und 826, welche ist kleiner? A:","['708', '826']",708,"UTT_BOUNDARY f: von den zahlen 708 und 826, welche ist kleiner? a:UTT_BOUNDARY 708 oder 52", 708 oder 52
"F: Welche Zahl ist kleiner, 951 oder 216? A:","['951', '216']",216,"UTT_BOUNDARY f: welche zahl ist kleiner, 951 oder 216? a:UTT_BOUNDARY 211, welche ist"," 211, welche ist"
"F: Welche Zahl ist kleiner, 421 oder 978? A:","['421', '978']",421,"UTT_BOUNDARY f: welche zahl ist kleiner, 421 oder 978? a:UTT_BOUNDARY 421, welche ist"," 421, welche ist"
"F: Welche Zahl ist kleiner, 607 oder 123? A:","['607', '123']",123,"UTT_BOUNDARY f: welche zahl ist kleiner, 607 oder 123? a:UTT_BOUNDARY 127 oder 57", 127 oder 57
"F: Welche Zahl ist kleiner, 883 oder 446? A:","['883', '446']",446,"UTT_BOUNDARY f: welche zahl ist kleiner, 883 oder 446? a:UTT_BOUNDARY 4483 oder 8", 4483 oder 8
"F: Von den Zahlen 378 und 180, welche ist kleiner? A:","['378', '180']",180,"UTT_BOUNDARY f: von den zahlen 378 und 180, welche ist kleiner? a:UTT_BOUNDARY 180 oder 93", 180 oder 93
"F: Von den Zahlen 304 und 633, welche ist kleiner? A:","['304', '633']",304,"UTT_BOUNDARY f: von den zahlen 304 und 633, welche ist kleiner? a:UTT_BOUNDARY 304333", 304333
Schreibe von den Zahlen 114 und 916 die kleinere: ,"['114', '916']",114,UTT_BOUNDARY schreibe von den zahlen 114 und 916 die kleinere:UTT_BOUNDARY 114333, 114333
"F: Welche Zahl ist kleiner, 203 oder 237? A:","['203', '237']",203,"UTT_BOUNDARY f: welche zahl ist kleiner, 203 oder 237? a:UTT_BOUNDARY 203 oder 53", 203 oder 53
Schreibe von den Zahlen 750 und 172 die kleinere: ,"['750', '172']",172,UTT_BOUNDARY schreibe von den zahlen 750 und 172 die kleinere:UTT_BOUNDARY 172 und 92, 172 und 92
"F: Von den Zahlen 506 und 747, welche ist kleiner? A:","['506', '747']",506,"UTT_BOUNDARY f: von den zahlen 506 und 747, welche ist kleiner? a:UTT_BOUNDARY 506 oder 56", 506 oder 56
"F: Von den Zahlen 65 und 376, welche ist kleiner? A:","['65', '376']",65,"UTT_BOUNDARY f: von den zahlen 65 und 376, welche ist kleiner? a:UTT_BOUNDARY 377 oder 97", 377 oder 97
Schreibe von den Zahlen 52 und 4 die kleinere: ,"['52', '4']",4,UTT_BOUNDARY schreibe von den zahlen 52 und 4 die kleinere:UTT_BOUNDARY 4828 und, 4828 und
"F: Welche Zahl ist kleiner, 796 oder 999? A:","['796', '999']",796,"UTT_BOUNDARY f: welche zahl ist kleiner, 796 oder 999? a:UTT_BOUNDARY 79936?", 79936?
Schreibe von den Zahlen 371 und 352 die kleinere: ,"['371', '352']",352,UTT_BOUNDARY schreibe von den zahlen 371 und 352 die kleinere:UTT_BOUNDARY 351 oder 82, 351 oder 82
"F: Welche Zahl ist kleiner, 332 oder 63? A:","['332', '63']",63,"UTT_BOUNDARY f: welche zahl ist kleiner, 332 oder 63? a:UTT_BOUNDARY 332 oder 53", 332 oder 53
Schreibe von den Zahlen 686 und 154 die kleinere: ,"['686', '154']",154,UTT_BOUNDARY schreibe von den zahlen 686 und 154 die kleinere:UTT_BOUNDARY 156 die kleinere:, 156 die kleinere:
"F: Von den Zahlen 600 und 102, welche ist kleiner? A:","['600', '102']",102,"UTT_BOUNDARY f: von den zahlen 600 und 102, welche ist kleiner? a:UTT_BOUNDARY 1023, welche"," 1023, welche"
"F: Welche Zahl ist kleiner, 411 oder 986? A:","['411', '986']",411,"UTT_BOUNDARY f: welche zahl ist kleiner, 411 oder 986? a:UTT_BOUNDARY 488 oder 8", 488 oder 8
Schreibe von den Zahlen 100 und 414 die kleinere: ,"['100', '414']",100,UTT_BOUNDARY schreibe von den zahlen 100 und 414 die kleinere:UTT_BOUNDARY 41428 und, 41428 und
"F: Von den Zahlen 53 und 613, welche ist kleiner? A:","['53', '613']",53,"UTT_BOUNDARY f: von den zahlen 53 und 613, welche ist kleiner? a:UTT_BOUNDARY 54033 oder", 54033 oder
"F: Welche Zahl ist kleiner, 662 oder 973? A:","['662', '973']",662,"UTT_BOUNDARY f: welche zahl ist kleiner, 662 oder 973? a:UTT_BOUNDARY 662 oder 5", 662 oder 5
"F: Welche Zahl ist kleiner, 752 oder 995? A:","['752', '995']",752,"UTT_BOUNDARY f: welche zahl ist kleiner, 752 oder 995? a:UTT_BOUNDARY 755 oder 55", 755 oder 55
"F: Welche Zahl ist kleiner, 590 oder 232? A:","['590', '232']",232,"UTT_BOUNDARY f: welche zahl ist kleiner, 590 oder 232? a:UTT_BOUNDARY 232 oder 52", 232 oder 52
"F: Welche Zahl ist kleiner, 961 oder 768? A:","['961', '768']",768,"UTT_BOUNDARY f: welche zahl ist kleiner, 961 oder 768? a:UTT_BOUNDARY 761 oder 7", 761 oder 7
"F: Welche Zahl ist kleiner, 808 oder 514? A:","['808', '514']",514,"UTT_BOUNDARY f: welche zahl ist kleiner, 808 oder 514? a:UTT_BOUNDARY 514 oder 98", 514 oder 98
"F: Von den Zahlen 169 und 647, welche ist kleiner? A:","['169', '647']",169,"UTT_BOUNDARY f: von den zahlen 169 und 647, welche ist kleiner? a:UTT_BOUNDARY 1691 oder 6", 1691 oder 6
"F: Von den Zahlen 294 und 91, welche ist kleiner? A:","['294', '91']",91,"UTT_BOUNDARY f: von den zahlen 294 und 91, welche ist kleiner? a:UTT_BOUNDARY 2941, 16"," 2941, 16"
"F: Von den Zahlen 792 und 556, welche ist kleiner? A:","['792', '556']",556,"UTT_BOUNDARY f: von den zahlen 792 und 556, welche ist kleiner? a:UTT_BOUNDARY 552, welche"," 552, welche"
"F: Von den Zahlen 93 und 570, welche ist kleiner? A:","['93', '570']",93,"UTT_BOUNDARY f: von den zahlen 93 und 570, welche ist kleiner? a:UTT_BOUNDARY 570 oder 5", 570 oder 5
"F: Welche Zahl ist kleiner, 467 oder 486? A:","['467', '486']",467,"UTT_BOUNDARY f: welche zahl ist kleiner, 467 oder 486? a:UTT_BOUNDARY 466 oder 8", 466 oder 8
"F: Von den Zahlen 574 und 903, welche ist kleiner? A:","['574', '903']",574,"UTT_BOUNDARY f: von den zahlen 574 und 903, welche ist kleiner? a:UTT_BOUNDARY 574 oder 5", 574 oder 5
Schreibe von den Zahlen 519 und 294 die kleinere: ,"['519', '294']",294,UTT_BOUNDARY schreibe von den zahlen 519 und 294 die kleinere:UTT_BOUNDARY 2942 und 5, 2942 und 5
Schreibe von den Zahlen 589 und 169 die kleinere: ,"['589', '169']",169,UTT_BOUNDARY schreibe von den zahlen 589 und 169 die kleinere:UTT_BOUNDARY 169 und 59, 169 und 59
"F: Von den Zahlen 76 und 958, welche ist kleiner? A:","['76', '958']",76,"UTT_BOUNDARY f: von den zahlen 76 und 958, welche ist kleiner? a:UTT_BOUNDARY 768 oder 8", 768 oder 8
"F: Welche Zahl ist kleiner, 0 oder 677? A:","['0', '677']",0,"UTT_BOUNDARY f: welche zahl ist kleiner, 0 oder 677? a:UTT_BOUNDARY 677 oder 8", 677 oder 8
"F: Welche Zahl ist kleiner, 510 oder 977? A:","['510', '977']",510,"UTT_BOUNDARY f: welche zahl ist kleiner, 510 oder 977? a:UTT_BOUNDARY 577 oder 5", 577 oder 5
Schreibe von den Zahlen 418 und 7 die kleinere: ,"['418', '7']",7,UTT_BOUNDARY schreibe von den zahlen 418 und 7 die kleinere:UTT_BOUNDARY 719 und 919, 719 und 919
