Input,Options,Expected,Predicted
"F: Mit welchem Buchstaben beginnt das Wort ""Parkscheibe""? A:","['P', 'a', 'r', 'k', 's', 'c', 'h', 'e', 'i', 'b', 'e']",P, sachschei
"F: Mit welchem Buchstaben beginnt das Wort ""elastisch""? A:","['e', 'l', 'a', 's', 't', 'i', 's', 'c', 'h']",e, einenbau
"F: Mit welchem Buchstaben beginnt das Wort ""Zug""? A:","['Z', 'u', 'g']",Z, zugzug?
"F: Was ist der erste Buchstabe des Wortes ""Schaf""? A:","['S', 'c', 'h', 'a', 'f']",S, schaf?
"Schreibe den ersten Buchstaben des Wortes ""Baeckerei"": ","['B', 'a', 'e', 'c', 'k', 'e', 'r', 'e', 'i']",B, bursucht b
"F: Mit welchem Buchstaben beginnt das Wort ""Flasche""? A:","['F', 'l', 'a', 's', 'c', 'h', 'e']",F, sachschem
"F: Mit welchem Buchstaben beginnt das Wort ""Goldfisch""? A:","['G', 'o', 'l', 'd', 'f', 'i', 's', 'c', 'h']",G, gedengeld
"Schreibe den ersten Buchstaben des Wortes ""ausgraben"": ","['a', 'u', 's', 'g', 'r', 'a', 'b', 'e', 'n']",a, ausstrug
"F: Was ist der erste Buchstabe des Wortes ""Kunst""? A:","['K', 'u', 'n', 's', 't']",K," niehst""?"
"Schreibe den ersten Buchstaben des Wortes ""menschlich"": ","['m', 'e', 'n', 's', 'c', 'h', 'l', 'i', 'c', 'h']",m, menschlich?
"Schreibe den ersten Buchstaben des Wortes ""Punktestand"": ","['P', 'u', 'n', 'k', 't', 'e', 's', 't', 'a', 'n', 'd']",P, piktadell
"F: Was ist der erste Buchstabe des Wortes ""Haus""? A:","['H', 'a', 'u', 's']",H, einenbuch
"F: Was ist der erste Buchstabe des Wortes ""rennen""? A:","['r', 'e', 'n', 'n', 'e', 'n']",r, nachbennen
"F: Mit welchem Buchstaben beginnt das Wort ""lesen""? A:","['l', 'e', 's', 'e', 'n']",l, sachsen?
"Schreibe den ersten Buchstaben des Wortes ""Hof"": ","['H', 'o', 'f']",H, hintermeiert
"F: Was ist der erste Buchstabe des Wortes ""beruehren""? A:","['b', 'e', 'r', 'u', 'e', 'h', 'r', 'e', 'n']",b, rittermeistert
"F: Mit welchem Buchstaben beginnt das Wort ""Entwicklungshilfe""? A:","['E', 'n', 't', 'w', 'i', 'c', 'k', 'l', 'u', 'n', 'g', 's', 'h', 'i', 'l', 'f', 'e']",E, einenreich
"F: Was ist der erste Buchstabe des Wortes ""Nudelholz""? A:","['N', 'u', 'd', 'e', 'l', 'h', 'o', 'l', 'z']",N, nudelholz
"Schreibe den ersten Buchstaben des Wortes ""Essen"": ","['E', 's', 's', 'e', 'n']",E, sarsen sars
"Schreibe den ersten Buchstaben des Wortes ""bezaubernd"": ","['b', 'e', 'z', 'a', 'u', 'b', 'e', 'r', 'n', 'd']",b, bilderbe den
"F: Was ist der erste Buchstabe des Wortes ""Hand""? A:","['H', 'a', 'n', 'd']",H, ausstabe des
"F: Was ist der erste Buchstabe des Wortes ""treffen""? A:","['t', 'r', 'e', 'f', 'f', 'e', 'n']",t, treffen?
"F: Was ist der erste Buchstabe des Wortes ""warm""? A:","['w', 'a', 'r', 'm']",w, mitarre des wor
"Schreibe den ersten Buchstaben des Wortes ""Loeffel"": ","['L', 'o', 'e', 'f', 'f', 'e', 'l']",L, hintermeiert
"F: Mit welchem Buchstaben beginnt das Wort ""Feuerwehrmann""? A:","['F', 'e', 'u', 'e', 'r', 'w', 'e', 'h', 'r', 'm', 'a', 'n', 'n']",F, fensterwehr
"Schreibe den ersten Buchstaben des Wortes ""Trick"": ","['T', 'r', 'i', 'c', 'k']",T, tischstab
"Schreibe den ersten Buchstaben des Wortes ""Abnahme"": ","['A', 'b', 'n', 'a', 'h', 'm', 'e']",A, akkadienne
"F: Mit welchem Buchstaben beginnt das Wort ""unverwuestlich""? A:","['u', 'n', 'v', 'e', 'r', 'w', 'u', 'e', 's', 't', 'l', 'i', 'c', 'h']",u, niehstau
"F: Was ist der erste Buchstabe des Wortes ""schwach""? A:","['s', 'c', 'h', 'w', 'a', 'c', 'h']",s, sachsen?
"F: Mit welchem Buchstaben beginnt das Wort ""gluecklich""? A:","['g', 'l', 'u', 'e', 'c', 'k', 'l', 'i', 'c', 'h']",g, geduldig
"F: Mit welchem Buchstaben beginnt das Wort ""verabschieden""? A:","['v', 'e', 'r', 'a', 'b', 's', 'c', 'h', 'i', 'e', 'd', 'e', 'n']",v, vorwartschi
"F: Mit welchem Buchstaben beginnt das Wort ""unterscheidbar""? A:","['u', 'n', 't', 'e', 'r', 's', 'c', 'h', 'e', 'i', 'd', 'b', 'a', 'r']",u, nagerstaben
"F: Was ist der erste Buchstabe des Wortes ""Strom""? A:","['S', 't', 'r', 'o', 'm']",S, tisch zu
"Schreibe den ersten Buchstaben des Wortes ""zartbitter"": ","['z', 'a', 'r', 't', 'b', 'i', 't', 't', 'e', 'r']",z, zube den er
"F: Was ist der erste Buchstabe des Wortes ""Bord""? A:","['B', 'o', 'r', 'd']",B, borde das
"F: Was ist der erste Buchstabe des Wortes ""Kaelte""? A:","['K', 'a', 'e', 'l', 't', 'e']",K, kleine des wor
"Schreibe den ersten Buchstaben des Wortes ""Unterricht"": ","['U', 'n', 't', 'e', 'r', 'r', 'i', 'c', 'h', 't']",U, ueber des wor
"F: Was ist der erste Buchstabe des Wortes ""Fruehstueck""? A:","['F', 'r', 'u', 'e', 'h', 's', 't', 'u', 'e', 'c', 'k']",F, tischstue
"F: Was ist der erste Buchstabe des Wortes ""Schnur""? A:","['S', 'c', 'h', 'n', 'u', 'r']",S, niehstau
"F: Mit welchem Buchstaben beginnt das Wort ""Dosis""? A:","['D', 'o', 's', 'i', 's']",D," das wort """
"F: Was ist der erste Buchstabe des Wortes ""anklaeren""? A:","['a', 'n', 'k', 'l', 'a', 'e', 'r', 'e', 'n']",a, akkadellen
"F: Was ist der erste Buchstabe des Wortes ""Gedanke""? A:","['G', 'e', 'd', 'a', 'n', 'k', 'e']",G," gedanke""?"
"F: Was ist der erste Buchstabe des Wortes ""Krawatte""? A:","['K', 'r', 'a', 'w', 'a', 't', 't', 'e']",K, krawatte
"F: Was ist der erste Buchstabe des Wortes ""Tee""? A:","['T', 'e', 'e']",T, tisch zu
"F: Mit welchem Buchstaben beginnt das Wort ""aengstlich""? A:","['a', 'e', 'n', 'g', 's', 't', 'l', 'i', 'c', 'h']",a, aengstlich?
"F: Mit welchem Buchstaben beginnt das Wort ""unfreundlich""? A:","['u', 'n', 'f', 'r', 'e', 'u', 'n', 'd', 'l', 'i', 'c', 'h']",u," nach ""unf"
"Schreibe den ersten Buchstaben des Wortes ""Fuchs"": ","['F', 'u', 'c', 'h', 's']",F, fenster buch
