Input,Options,Expected,Predicted
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""notiz"" oder ""niveau""? A:","['notiz', 'niveau']",niveau," niveau""? a"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""januar"" oder ""joghurt""? A:","['januar', 'joghurt']",januar," januar""? a"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""nager"" oder ""nadel""? A:","['nager', 'nadel']",nadel," nadelert ""na"
"F: In alphabetischer Reihenfolge, welches der Woerter ""chor"" und ""clip"" kommt zuerst? A:","['chor', 'clip']",chor," chorale""? a"
"Welches von den Woertern ""topf"" und ""taste"", kommt alphabetisch zuerst? ","['topf', 'taste']",taste, topf?
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""inselstaat"" oder ""index""? A:","['inselstaat', 'index']",index," index""? a:"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""keks"" oder ""krebs""? A:","['keks', 'krebs']",keks," keks""? a:"
"Welches von den Woertern ""pfirsich"" und ""perle"", kommt alphabetisch zuerst? ","['pfirsich', 'perle']",perle, perlek?
"F: In alphabetischer Reihenfolge, welches der Woerter ""diamant"" und ""dezember"" kommt zuerst? A:","['diamant', 'dezember']",dezember," dezember"" re"
"Welches von den Woertern ""tisch"" und ""tuer"", kommt alphabetisch zuerst? ","['tisch', 'tuer']",tisch, tuerst?
"Welches von den Woertern ""rolle"" und ""rubin"", kommt alphabetisch zuerst? ","['rolle', 'rubin']",rolle, rolleck?
"F: In alphabetischer Reihenfolge, welches der Woerter ""brille"" und ""besen"" kommt zuerst? A:","['brille', 'besen']",besen," besen ""brille"
"F: In alphabetischer Reihenfolge, welches der Woerter ""ferse"" und ""ferse"" kommt zuerst? A:","['ferse', 'ferse']",ferse," ferse"" zeek"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""narr"" oder ""nagel""? A:","['narr', 'nagel']",nagel," narr, ""na"
"Welches von den Woertern ""vitrine"" und ""vulkan"", kommt alphabetisch zuerst? ","['vitrine', 'vulkan']",vitrine, vorikan alphabet
"F: In alphabetischer Reihenfolge, welches der Woerter ""herd"" und ""hemd"" kommt zuerst? A:","['herd', 'hemd']",hemd," herd ""herd"
