Input,Options,Expected,Output (raw),Predicted
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Niveau"" oder ""Notiz""? A:","['Niveau', 'Notiz']",niveau,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches wort kommt zuerst, ""niveau"" oder ""notiz""? a:UTT_BOUNDARY idealismus: der mensch", idealismus: der mensch
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Joghurt"" oder ""Januar""? A:","['Joghurt', 'Januar']",januar,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches wort kommt zuerst, ""joghurt"" oder ""januar""? a:UTT_BOUNDARY januarmarkt: freitagabend", januarmarkt: freitagabend
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Nager"" oder ""Nadel""? A:","['Nager', 'Nadel']",nadel,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches wort kommt zuerst, ""nager"" oder ""nadel""? a:UTT_BOUNDARY nadelbaum. a:", nadelbaum. a:
"F: In alphabetischer Reihenfolge, welches der Wörter ""Chor"" und ""Clip"" kommt zuerst? A:","['Chor', 'Clip']",chor,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches der wörter ""chor"" und ""clip"" kommt zuerst? a:UTT_BOUNDARY chili, ch"," chili, ch"
"Welches von den Wörtern ""Topf"" und ""Taste"", kommt alphabetisch zuerst? ","['Topf', 'Taste']",taste,"UTT_BOUNDARY welches von den wörtern ""topf"" und ""taste"", kommt alphabetisch zuerst?UTT_BOUNDARY tastebrotwaage", tastebrotwaage
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Inselstaat"" oder ""Index""? A:","['Inselstaat', 'Index']",index,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches wort kommt zuerst, ""inselstaat"" oder ""index""? a:UTT_BOUNDARY index"" oder"," index"" oder"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Keks"" oder ""Krebs""? A:","['Keks', 'Krebs']",keks,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches wort kommt zuerst, ""keks"" oder ""krebs""? a:UTT_BOUNDARY kekselade? a", kekselade? a
"Welches von den Wörtern ""Perle"" und ""Pfirsich"", kommt alphabetisch zuerst? ","['Perle', 'Pfirsich']",perle,"UTT_BOUNDARY welches von den wörtern ""perle"" und ""pfirsich"", kommt alphabetisch zuerst?UTT_BOUNDARY pfirsiche, die"," pfirsiche, die"
"F: In alphabetischer Reihenfolge, welches der Wörter ""Dezember"" und ""Diamant"" kommt zuerst? A:","['Dezember', 'Diamant']",dezember,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches der wörter ""dezember"" und ""diamant"" kommt zuerst? a:UTT_BOUNDARY dezemberor, 26,"," dezemberor, 26,"
"Welches von den Wörtern ""Tür"" und ""Tisch"", kommt alphabetisch zuerst? ","['Tür', 'Tisch']",tisch,"UTT_BOUNDARY welches von den wörtern ""tür"" und ""tisch"", kommt alphabetisch zuerst?UTT_BOUNDARY tasche, tasche, tasche"," tasche, tasche, tasche"
"Welches von den Wörtern ""Rubin"" und ""Rolle"", kommt alphabetisch zuerst? ","['Rubin', 'Rolle']",rolle,"UTT_BOUNDARY welches von den wörtern ""rubin"" und ""rolle"", kommt alphabetisch zuerst?UTT_BOUNDARY ulme, also der"," ulme, also der"
"F: In alphabetischer Reihenfolge, welches der Wörter ""Brille"" und ""Besen"" kommt zuerst? A:","['Brille', 'Besen']",besen,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches der wörter ""brille"" und ""besen"" kommt zuerst? a:UTT_BOUNDARY haken: ""mos"," haken: ""mos"
"F: In alphabetischer Reihenfolge, welches der Wörter ""Ferse"" und ""Ferse"" kommt zuerst? A:","['Ferse', 'Ferse']",ferse,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches der wörter ""ferse"" und ""ferse"" kommt zuerst? a:UTT_BOUNDARY ferse, der """," ferse, der """
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Narr"" oder ""Nagel""? A:","['Narr', 'Nagel']",nagel,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches wort kommt zuerst, ""narr"" oder ""nagel""? a:UTT_BOUNDARY narbe, fack"," narbe, fack"
"Welches von den Wörtern ""Vitrine"" und ""Vulkan"", kommt alphabetisch zuerst? ","['Vitrine', 'Vulkan']",vitrine,"UTT_BOUNDARY welches von den wörtern ""vitrine"" und ""vulkan"", kommt alphabetisch zuerst?UTT_BOUNDARY vase, also der"," vase, also der"
"F: In alphabetischer Reihenfolge, welches der Wörter ""Herd"" und ""Hemd"" kommt zuerst? A:","['Herd', 'Hemd']",hemd,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches der wörter ""herd"" und ""hemd"" kommt zuerst? a:UTT_BOUNDARY hemd, hemd und hemd"," hemd, hemd und hemd"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Ideal"" oder ""Ikone""? A:","['Ideal', 'Ikone']",ideal,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches wort kommt zuerst, ""ideal"" oder ""ikone""? a:UTT_BOUNDARY ikone? a", ikone? a
"F: In alphabetischer Reihenfolge, welches der Wörter ""Ego"" und ""Erdbeere"" kommt zuerst? A:","['Ego', 'Erdbeere']",ego,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches der wörter ""ego"" und ""erdbeere"" kommt zuerst? a:UTT_BOUNDARY chiffreeper", chiffreeper
"Welches von den Wörtern ""Verhalten"" und ""Vase"", kommt alphabetisch zuerst? ","['Verhalten', 'Vase']",vase,"UTT_BOUNDARY welches von den wörtern ""verhalten"" und ""vase"", kommt alphabetisch zuerst?UTT_BOUNDARY verhaltenssteuerung,"," verhaltenssteuerung,"
"Welches von den Wörtern ""Theater"" und ""Tiger"", kommt alphabetisch zuerst? ","['Theater', 'Tiger']",theater,"UTT_BOUNDARY welches von den wörtern ""theater"" und ""tiger"", kommt alphabetisch zuerst?UTT_BOUNDARY theatergerät. ""t"," theatergerät. ""t"
"F: In alphabetischer Reihenfolge, welches der Wörter ""Birne"" und ""Bastel"" kommt zuerst? A:","['Birne', 'Bastel']",bastel,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches der wörter ""birne"" und ""bastel"" kommt zuerst? a:UTT_BOUNDARY bastelbuchstabe.", bastelbuchstabe.
"F: In alphabetischer Reihenfolge, welches der Wörter ""Dorf"" und ""Diskette"" kommt zuerst? A:","['Dorf', 'Diskette']",diskette,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches der wörter ""dorf"" und ""diskette"" kommt zuerst? a:UTT_BOUNDARY fabrikantiebe,"," fabrikantiebe,"
"F: In alphabetischer Reihenfolge, welches der Wörter ""Hose"" und ""Herd"" kommt zuerst? A:","['Hose', 'Herd']",herd,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches der wörter ""hose"" und ""herd"" kommt zuerst? a:UTT_BOUNDARY hemdkreide? a", hemdkreide? a
"Welches von den Wörtern ""Pfanne"" und ""Plakat"", kommt alphabetisch zuerst? ","['Pfanne', 'Plakat']",pfanne,"UTT_BOUNDARY welches von den wörtern ""pfanne"" und ""plakat"", kommt alphabetisch zuerst?UTT_BOUNDARY pfanne, salat, salat"," pfanne, salat, salat"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Krankheit"" oder ""Kamm""? A:","['Krankheit', 'Kamm']",kamm,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches wort kommt zuerst, ""krankheit"" oder ""kamm""? a:UTT_BOUNDARY kammpfadel?", kammpfadel?
"Welches von den Wörtern ""Wunsch"" und ""Wolke"", kommt alphabetisch zuerst? ","['Wunsch', 'Wolke']",wolke,"UTT_BOUNDARY welches von den wörtern ""wunsch"" und ""wolke"", kommt alphabetisch zuerst?UTT_BOUNDARY schaufelradbahn, die"," schaufelradbahn, die"
"Welches von den Wörtern ""Unterlage"" und ""Uhr"", kommt alphabetisch zuerst? ","['Unterlage', 'Uhr']",uhr,"UTT_BOUNDARY welches von den wörtern ""unterlage"" und ""uhr"", kommt alphabetisch zuerst?UTT_BOUNDARY uhrzeigerung, pause"," uhrzeigerung, pause"
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Jury"" oder ""Januar""? A:","['Jury', 'Januar']",januar,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches wort kommt zuerst, ""jury"" oder ""januar""? a:UTT_BOUNDARY januaror"" oder """," januaror"" oder """
"F: In alphabetischer Reihenfolge, welches der Wörter ""Dorf"" und ""Drama"" kommt zuerst? A:","['Dorf', 'Drama']",dorf,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches der wörter ""dorf"" und ""drama"" kommt zuerst? a:UTT_BOUNDARY dinosaurier. a:UTT_BOUNDARY", dinosaurier. a:
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Jongleur"" oder ""Jasmin""? A:","['Jongleur', 'Jasmin']",jasmin,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches wort kommt zuerst, ""jongleur"" oder ""jasmin""? a:UTT_BOUNDARY jasminteebs", jasminteebs
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""Helm"" oder ""Hilfe""? A:","['Helm', 'Hilfe']",helm,"UTT_BOUNDARY f: in alphabetischer reihenfolge, welches wort kommt zuerst, ""helm"" oder ""hilfe""? a:UTT_BOUNDARY mine oder so was?", mine oder so was?
