Input,Options,Expected,Output (raw),Predicted
"F: In dem Satz ""Sie schreibt regelmäßig Briefe an ihre Großeltern auf dem Land."", welches Wort kommt unmittelbar nach dem Wort ""auf""? A:","['Sie', 'schreibt', 'regelmäßig', 'Briefe', 'an', 'ihre', 'Großeltern', 'auf', 'dem', 'Land']",dem,"UTT_BOUNDARY f: in dem satz ""sie schreibt regelmäßig briefe an ihre großeltern auf dem land."", welches wort kommt unmittelbar nach dem wort ""auf""? a:UTT_BOUNDARY ihre freunde."", welches"," ihre freunde."", welches"
"F: In dem Satz ""Sie trägt eine rote Jacke im Winter und warme Stiefel dazu."", welches Wort kommt unmittelbar nach dem Wort ""trägt""? A:","['Sie', 'trägt', 'eine', 'rote', 'Jacke', 'im', 'Winter', 'und', 'warme', 'Stiefel', 'dazu']",eine,"UTT_BOUNDARY f: in dem satz ""sie trägt eine rote jacke im winter und warme stiefel dazu."", welches wort kommt unmittelbar nach dem wort ""trägt""? a:UTT_BOUNDARY eine warme jacke und handschuhe", eine warme jacke und handschuhe
"F: In dem Satz ""Wir machen eine Wanderung durch den Wald bei schönem Wetter."", welches Wort kommt unmittelbar nach dem Wort ""schönem""? A:","['Wir', 'machen', 'eine', 'Wanderung', 'durch', 'den', 'Wald', 'bei', 'schönem', 'Wetter']",wetter,"UTT_BOUNDARY f: in dem satz ""wir machen eine wanderung durch den wald bei schönem wetter."", welches wort kommt unmittelbar nach dem wort ""schönem""? a:UTT_BOUNDARY wetter heute nachmittag.""?"," wetter heute nachmittag.""?"
"F: In dem Satz ""Der Hund bellt laut, wenn jemand an der Tür klingelt."", welches Wort folgt direkt auf das Wort ""der""? A:","['Der', 'Hund', 'bellt', 'laut', 'wenn', 'jemand', 'an', 'der', 'Tür', 'klingelt']",tür,"UTT_BOUNDARY f: in dem satz ""der hund bellt laut, wenn jemand an der tür klingelt."", welches wort folgt direkt auf das wort ""der""? a:UTT_BOUNDARY tür? a:UTT_BOUNDARY", tür? a:
"Welches Wort steht im Satz ""Der Hund kuschelt sich zufrieden in seine warme Decke."" direkt nach ""kuschelt""? ","['Der', 'Hund', 'kuschelt', 'sich', 'zufrieden', 'in', 'seine', 'warme', 'Decke']",sich,"UTT_BOUNDARY welches wort steht im satz ""der hund kuschelt sich zufrieden in seine warme decke."" direkt nach ""kuschelt""?UTT_BOUNDARY zufrieden mit seinem ball."""," zufrieden mit seinem ball."""
"F: In dem Satz ""Wir besuchen das Schloss im nahegelegenen Ort am Sonntag."", welches Wort kommt unmittelbar nach dem Wort ""besuchen""? A:","['Wir', 'besuchen', 'das', 'Schloss', 'im', 'nahegelegenen', 'Ort', 'am', 'Sonntag']",das,"UTT_BOUNDARY f: in dem satz ""wir besuchen das schloss im nahegelegenen ort am sonntag."", welches wort kommt unmittelbar nach dem wort ""besuchen""? a:UTT_BOUNDARY das schloss im nahegel", das schloss im nahegel
"F: In dem Satz ""Ich höre Musik, während ich meine Hausaufgaben mache zu Hause."", welches Wort kommt unmittelbar nach dem Wort ""meine""? A:","['Ich', 'höre', 'Musik', 'während', 'ich', 'meine', 'Hausaufgaben', 'mache', 'zu', 'Hause']",hausaufgaben,"UTT_BOUNDARY f: in dem satz ""ich höre musik, während ich meine hausaufgaben mache zu hause."", welches wort kommt unmittelbar nach dem wort ""meine""? a:UTT_BOUNDARY hausaufgaben mache ich nicht."""," hausaufgaben mache ich nicht."""
"Welches Wort steht im Satz ""Er fährt jeden Morgen mit dem Fahrrad zur Arbeit in die Stadt."" direkt nach ""in""? ","['Er', 'fährt', 'jeden', 'Morgen', 'mit', 'dem', 'Fahrrad', 'zur', 'Arbeit', 'in', 'die', 'Stadt']",die,"UTT_BOUNDARY welches wort steht im satz ""er fährt jeden morgen mit dem fahrrad zur arbeit in die stadt."" direkt nach ""in""?UTT_BOUNDARY die stadthalle."" direkt"," die stadthalle."" direkt"
"F: In dem Satz ""Ich koche heute eine Suppe mit frischem Gemüse."", welches Wort folgt direkt auf das Wort ""Suppe""? A:","['Ich', 'koche', 'heute', 'eine', 'Suppe', 'mit', 'frischem', 'Gemüse']",mit,"UTT_BOUNDARY f: in dem satz ""ich koche heute eine suppe mit frischem gemüse."", welches wort folgt direkt auf das wort ""suppe""? a:UTT_BOUNDARY mit frischen kräutern und", mit frischen kräutern und
"Welches Wort steht im Satz ""Die Katze schläft zufrieden auf dem gemütlichen Sofa im Wohnzimmer."" direkt nach ""Katze""? ","['Die', 'Katze', 'schläft', 'zufrieden', 'auf', 'dem', 'gemütlichen', 'Sofa', 'im', 'Wohnzimmer']",schläft,"UTT_BOUNDARY welches wort steht im satz ""die katze schläft zufrieden auf dem gemütlichen sofa im wohnzimmer."" direkt nach ""katze""?UTT_BOUNDARY schläft."" direkt vor """," schläft."" direkt vor """
"Welches Wort steht im Satz ""Das Kind malt ein buntes Bild mit Wasserfarben."" direkt nach ""Bild""? ","['Das', 'Kind', 'malt', 'ein', 'buntes', 'Bild', 'mit', 'Wasserfarben']",mit,"UTT_BOUNDARY welches wort steht im satz ""das kind malt ein buntes bild mit wasserfarben."" direkt nach ""bild""?UTT_BOUNDARY mit bunten farben und viel", mit bunten farben und viel
"F: In dem Satz ""Der Film war spannend und hat mir gut gefallen."", welches Wort folgt direkt auf das Wort ""hat""? A:","['Der', 'Film', 'war', 'spannend', 'und', 'hat', 'mir', 'gut', 'gefallen']",mir,"UTT_BOUNDARY f: in dem satz ""der film war spannend und hat mir gut gefallen."", welches wort folgt direkt auf das wort ""hat""? a:UTT_BOUNDARY und publikumsanfragen", und publikumsanfragen
"F: In dem Satz ""Der Hund liebt es, im Park mit anderen Hunden zu spielen."", welches Wort folgt direkt auf das Wort ""Hund""? A:","['Der', 'Hund', 'liebt', 'es', 'im', 'Park', 'mit', 'anderen', 'Hunden', 'zu', 'spielen']",liebt,"UTT_BOUNDARY f: in dem satz ""der hund liebt es, im park mit anderen hunden zu spielen."", welches wort folgt direkt auf das wort ""hund""? a:UTT_BOUNDARY liebt es, im park"," liebt es, im park"
"F: In dem Satz ""Sie liest gern Sachbücher über Geschichte und Naturwissenschaften."", welches Wort kommt unmittelbar nach dem Wort ""über""? A:","['Sie', 'liest', 'gern', 'Sachbücher', 'über', 'Geschichte', 'und', 'Naturwissenschaften']",geschichte,"UTT_BOUNDARY f: in dem satz ""sie liest gern sachbücher über geschichte und naturwissenschaften."", welches wort kommt unmittelbar nach dem wort ""über""? a:UTT_BOUNDARY sachbücher über geschichte und", sachbücher über geschichte und
"Welches Wort steht im Satz ""Der Lehrer erklärt geduldig neue Vokabeln im Deutschunterricht der Klasse."" direkt nach ""geduldig""? ","['Der', 'Lehrer', 'erklärt', 'geduldig', 'neue', 'Vokabeln', 'im', 'Deutschunterricht', 'der', 'Klasse']",neue,"UTT_BOUNDARY welches wort steht im satz ""der lehrer erklärt geduldig neue vokabeln im deutschunterricht der klasse."" direkt nach ""geduldig""?UTT_BOUNDARY die grammatikregeln """," die grammatikregeln """
"F: In dem Satz ""Ich lese oft Bücher über Geschichte und Kultur."", welches Wort folgt direkt auf das Wort ""Bücher""? A:","['Ich', 'lese', 'oft', 'Bücher', 'über', 'Geschichte', 'und', 'Kultur']",über,"UTT_BOUNDARY f: in dem satz ""ich lese oft bücher über geschichte und kultur."", welches wort folgt direkt auf das wort ""bücher""? a:UTT_BOUNDARY über geschichte und kultur."""," über geschichte und kultur."""
"F: In dem Satz ""Bitte öffne das Fenster, es ist warm und stickig im Zimmer."", welches Wort kommt unmittelbar nach dem Wort ""stickig""? A:","['Bitte', 'öffne', 'das', 'Fenster', 'es', 'ist', 'warm', 'und', 'stickig', 'im', 'Zimmer']",im,"UTT_BOUNDARY f: in dem satz ""bitte öffne das fenster, es ist warm und stickig im zimmer."", welches wort kommt unmittelbar nach dem wort ""stickig""? a:UTT_BOUNDARY warm."", welches wort"," warm."", welches wort"
"F: In dem Satz ""Ich esse morgens oft frisches Obst und Joghurt zum Frühstück."", welches Wort folgt direkt auf das Wort ""morgens""? A:","['Ich', 'esse', 'morgens', 'oft', 'frisches', 'Obst', 'und', 'Joghurt', 'zum', 'Frühstück']",oft,"UTT_BOUNDARY f: in dem satz ""ich esse morgens oft frisches obst und joghurt zum frühstück."", welches wort folgt direkt auf das wort ""morgens""? a:UTT_BOUNDARY esse ich gern.""?"," esse ich gern.""?"
"Welches Wort steht im Satz ""Sie kocht heute ein neues Rezept mit viel Gemüse und Kräutern."" direkt nach ""viel""? ","['Sie', 'kocht', 'heute', 'ein', 'neues', 'Rezept', 'mit', 'viel', 'Gemüse', 'und', 'Kräutern']",gemüse,"UTT_BOUNDARY welches wort steht im satz ""sie kocht heute ein neues rezept mit viel gemüse und kräutern."" direkt nach ""viel""?UTT_BOUNDARY ein fröhliches lied im", ein fröhliches lied im
"Welches Wort steht im Satz ""Die Kinder spielen draußen im Park mit Freunden und Ball."" direkt nach ""mit""? ","['Die', 'Kinder', 'spielen', 'draußen', 'im', 'Park', 'mit', 'Freunden', 'und', 'Ball']",freunden,"UTT_BOUNDARY welches wort steht im satz ""die kinder spielen draußen im park mit freunden und ball."" direkt nach ""mit""?UTT_BOUNDARY freunden"", welches hat weniger"," freunden"", welches hat weniger"
"F: In dem Satz ""Sie schreibt eine E-Mail an ihre beste Freundin."", welches Wort folgt direkt auf das Wort ""E-Mail""? A:","['Sie', 'schreibt', 'eine', 'E-Mail', 'an', 'ihre', 'beste', 'Freundin']",an,"UTT_BOUNDARY f: in dem satz ""sie schreibt eine e-mail an ihre beste freundin."", welches wort folgt direkt auf das wort ""e-mail""? a:UTT_BOUNDARY an ihre freundin und erzählt", an ihre freundin und erzählt
