Input,Options,Expected,Output (raw),Predicted
"Q: In the sentence ""John was lots more obnoxious than Fred"", what is the first word? A:","['John', 'was', 'lots', 'more', 'obnoxious', 'than', 'Fred']",john,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" j o h n W w a s W l o t s W m o r e W o b n o x i o u s W t h a n W f r e d "" , W w h a t W i s W t h e W f i r s t W w o r d ? W a : UTT_BOUNDARY j o h n W w a s W f o r g o t t e n "" ? W a : UTT_BOUNDARY","john was forgotten""? a:"
"Q: In the sentence ""A boy hit the ball"", what is the first word? A:","['A', 'boy', 'hit', 'the', 'ball']",a,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" a W b o y W h i t W t h e W b a l l "" , W w h a t W i s W t h e W f i r s t W w o r d ? W a : UTT_BOUNDARY a n n a b e l l a W a p p e a r s W t o W b e W h",annabella appears to be h
"Q: In the sentence ""I remembered having kissed Mary"", what is the first word? A:","['I', 'remembered', 'having', 'kissed', 'Mary']",i,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" i W r e m e m b e r e d W h a v i n g W k i s s e d W m a r y "" , W w h a t W i s W t h e W f i r s t W w o r d ? W a : UTT_BOUNDARY i W s a w W t h e s e W d a n c e r s W a n d W t",i saw these dancers and t
"Q: What is the first word of the sentence ""I believe strongly that the world is round""? A:","['I', 'believe', 'strongly', 'that', 'the', 'world', 'is', 'round']",i,"UTT_BOUNDARY q : W w h a t W i s W t h e W f i r s t W w o r d W o f W t h e W s e n t e n c e W "" i W b e l i e v e W s t r o n g l y W t h a t W t h e W w o r l d W i s W r o u n d "" ? W a : UTT_BOUNDARY i n t o W t h e W r o o m "" ? W a : UTT_BOUNDARY","into the room""? a:"
"Write the first word of the sentence ""John will see you"": ","['John', 'will', 'see', 'you']",john,"UTT_BOUNDARY w r i t e W t h e W f i r s t W w o r d W o f W t h e W s e n t e n c e W "" j o h n W w i l l W s e e W y o u "" : UTT_BOUNDARY j o h n W i s W h a p p y "" : UTT_BOUNDARY","john is happy"":"
"Q: In the sentence ""They gave the bicycle to me"", what is the first word? A:","['They', 'gave', 'the', 'bicycle', 'to', 'me']",they,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" t h e y W g a v e W t h e W b i c y c l e W t o W m e "" , W w h a t W i s W t h e W f i r s t W w o r d ? W a : UTT_BOUNDARY t h e y W g a v e W t h e W b i c y c l e W t o W",they gave the bicycle to 
"Q: In the sentence ""An owl hunts mice"", what is the first word? A:","['An', 'owl', 'hunts', 'mice']",an,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" a n W o w l W h u n t s W m i c e "" , W w h a t W i s W t h e W f i r s t W w o r d ? W a : UTT_BOUNDARY a n g e l s , W a n d W w h i t e W t o w e r s ?","angels, and white towers?"
"Write the first word of the sentence ""Helen wiped the wall"": ","['Helen', 'wiped', 'the', 'wall']",helen,"UTT_BOUNDARY w r i t e W t h e W f i r s t W w o r d W o f W t h e W s e n t e n c e W "" h e l e n W w i p e d W t h e W w a l l "" : UTT_BOUNDARY h e l e n W w i p e d W t h e W w a l l "" : UTT_BOUNDARY","helen wiped the wall"":"
"Q: What is the first word of the sentence ""Elizabeth regretted that she had met Wickham""? A:","['Elizabeth', 'regretted', 'that', 'she', 'had', 'met', 'Wickham']",elizabeth,"UTT_BOUNDARY q : W w h a t W i s W t h e W f i r s t W w o r d W o f W t h e W s e n t e n c e W "" e l i z a b e t h W r e g r e t t e d W t h a t W s h e W h a d W m e t W w i c k h a m "" ? W a : UTT_BOUNDARY e l i z a b e t h "" ? W a : UTT_BOUNDARY","elizabeth""? a:"
"Write the first word of the sentence ""I told the story to Daniel"": ","['I', 'told', 'the', 'story', 'to', 'Daniel']",i,"UTT_BOUNDARY w r i t e W t h e W f i r s t W w o r d W o f W t h e W s e n t e n c e W "" i W t o l d W t h e W s t o r y W t o W d a n i e l "" : UTT_BOUNDARY i t s e l f "" : UTT_BOUNDARY","itself"":"
