Input,Options,Expected,Predicted
"Q: Which letter does the word ""arrive"" start with? A:","['a', 'r', 'r', 'i', 'v', 'e']",a,e
"Q: Which letter does the word ""grandparent"" start with? A:","['g', 'r', 'a', 'n', 'd', 'p', 'a', 'r', 'e', 'n', 't']",g,a
"Q: Which letter does the word ""small"" start with? A:","['s', 'm', 'a', 'l', 'l']",s,s
"Q: What is the first letter of the word ""soft""? A:","['s', 'o', 'f', 't']",s,s
"Write the first letter of the word ""coffee"": ","['c', 'o', 'f', 'f', 'e', 'e']",c,c
"Q: Which letter does the word ""borrow"" start with? A:","['b', 'o', 'r', 'r', 'o', 'w']",b,b
"Q: Which letter does the word ""every"" start with? A:","['e', 'v', 'e', 'r', 'y']",e,v
"Write the first letter of the word ""left"": ","['l', 'e', 'f', 't']",l,e
"Q: What is the first letter of the word ""downstairs""? A:","['d', 'o', 'w', 'n', 's', 't', 'a', 'i', 'r', 's']",d,o
"Write the first letter of the word ""kite"": ","['k', 'i', 't', 'e']",k,i
"Write the first letter of the word ""chicken"": ","['c', 'h', 'i', 'c', 'k', 'e', 'n']",c,c
"Q: What is the first letter of the word ""grass""? A:","['g', 'r', 'a', 's', 's']",g,r
"Q: What is the first letter of the word ""it""? A:","['i', 't']",i,i
"Q: Which letter does the word ""leather"" start with? A:","['l', 'e', 'a', 't', 'h', 'e', 'r']",l,e
"Write the first letter of the word ""rice"": ","['r', 'i', 'c', 'e']",r,c
"Q: What is the first letter of the word ""straight""? A:","['s', 't', 'r', 'a', 'i', 'g', 'h', 't']",s,s
"Q: Which letter does the word ""have"" start with? A:","['h', 'a', 'v', 'e']",h,v
"Q: What is the first letter of the word ""cafeteria""? A:","['c', 'a', 'f', 'e', 't', 'e', 'r', 'i', 'a']",c,i
"Write the first letter of the word ""beautiful"": ","['b', 'e', 'a', 'u', 't', 'i', 'f', 'u', 'l']",b,i
"Write the first letter of the word ""several"": ","['s', 'e', 'v', 'e', 'r', 'a', 'l']",s,r
"Q: What is the first letter of the word ""diploma""? A:","['d', 'i', 'p', 'l', 'o', 'm', 'a']",d,i
"Q: What is the first letter of the word ""month""? A:","['m', 'o', 'n', 't', 'h']",m,h
"Q: What is the first letter of the word ""site""? A:","['s', 'i', 't', 'e']",s,s
"Write the first letter of the word ""cooking"": ","['c', 'o', 'o', 'k', 'i', 'n', 'g']",c,c
"Q: Which letter does the word ""cover"" start with? A:","['c', 'o', 'v', 'e', 'r']",c,c
"Write the first letter of the word ""broken"": ","['b', 'r', 'o', 'k', 'e', 'n']",b,r
"Write the first letter of the word ""guy"": ","['g', 'u', 'y']",g,g
"Q: Which letter does the word ""invite"" start with? A:","['i', 'n', 'v', 'i', 't', 'e']",i,t
"Q: What is the first letter of the word ""man""? A:","['m', 'a', 'n']",m,m
"Q: Which letter does the word ""television"" start with? A:","['t', 'e', 'l', 'e', 'v', 'i', 's', 'i', 'o', 'n']",t,e
