Input,Options,Expected,Output (raw),Predicted
"F: Welches Wort ist kürzer, ""beenden"" oder ""entsteht""? A:","['beenden', 'entsteht']",beenden,"UTT_BOUNDARY f: welches wort ist kürzer, ""beenden"" oder ""entsteht""? a:UTT_BOUNDARY beenden? a:UTT_BOUNDARY", beenden? a:
"F: Welches Wort ist kürzer, ""ein"" oder ""hier""? A:","['ein', 'hier']",ein,"UTT_BOUNDARY f: welches wort ist kürzer, ""ein"" oder ""hier""? a:UTT_BOUNDARY ein ""tüf"," ein ""tüf"
"F: Welches Wort ist kürzer, ""solches"" oder ""offensiv""? A:","['solches', 'offensiv']",solches,"UTT_BOUNDARY f: welches wort ist kürzer, ""solches"" oder ""offensiv""? a:UTT_BOUNDARY solches ""variabel"," solches ""variabel"
"F: Welches Wort hat weniger Buchstaben, ""zeit"" oder ""völlig""? A:","['zeit', 'völlig']",zeit,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""zeit"" oder ""völlig""? a:UTT_BOUNDARY zeitlich"" oder """," zeitlich"" oder """
"Von den Wörtern ""verloren"" und ""zeit"", welches hat weniger Buchstaben? ","['verloren', 'zeit']",zeit,"UTT_BOUNDARY von den wörtern ""verloren"" und ""zeit"", welches hat weniger buchstaben?UTT_BOUNDARY zeitlich bis hin zu", zeitlich bis hin zu
"F: Welches Wort ist kürzer, ""der"" oder ""viel""? A:","['der', 'viel']",der,"UTT_BOUNDARY f: welches wort ist kürzer, ""der"" oder ""viel""? a:UTT_BOUNDARY der, der die wahrheit"," der, der die wahrheit"
"F: Welches Wort ist kürzer, ""zeit"" oder ""ehe""? A:","['zeit', 'ehe']",ehe,"UTT_BOUNDARY f: welches wort ist kürzer, ""zeit"" oder ""ehe""? a:UTT_BOUNDARY ehe"" oder ""dann"," ehe"" oder ""dann"
"Von den Wörtern ""Gleichheiten"" und ""auch"", welches hat weniger Buchstaben? ","['Gleichheiten', 'auch']",auch,"UTT_BOUNDARY von den wörtern ""gleichheiten"" und ""auch"", welches hat weniger buchstaben?UTT_BOUNDARY auch nicht die, die"," auch nicht die, die"
"F: Welches Wort hat weniger Buchstaben, ""lang"" oder ""wissen""? A:","['lang', 'wissen']",lang,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""lang"" oder ""wissen""? a:UTT_BOUNDARY lang, lang, lang"," lang, lang, lang"
"Von den Wörtern ""Abschied"" und ""heut"", welches hat weniger Buchstaben? ","['Abschied', 'heut']",heut,"UTT_BOUNDARY von den wörtern ""abschied"" und ""heut"", welches hat weniger buchstaben?UTT_BOUNDARY heut'"" oder """," heut'"" oder """
"Von den Wörtern ""umgänglicher"" und ""heut"", welches hat weniger Buchstaben? ","['umgänglicher', 'heut']",heut,"UTT_BOUNDARY von den wörtern ""umgänglicher"" und ""heut"", welches hat weniger buchstaben?UTT_BOUNDARY heut' oder ""ander"," heut' oder ""ander"
"F: Welches Wort hat weniger Buchstaben, ""nach"" oder ""jemand""? A:","['nach', 'jemand']",nach,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""nach"" oder ""jemand""? a:UTT_BOUNDARY nach dem abgleich """," nach dem abgleich """
"F: Welches Wort hat weniger Buchstaben, ""ungerne"" oder ""all""? A:","['ungerne', 'all']",all,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""ungerne"" oder ""all""? a:UTT_BOUNDARY alligator? a", alligator? a
"F: Welches Wort ist kürzer, ""abholen"" oder ""offensiv""? A:","['abholen', 'offensiv']",abholen,"UTT_BOUNDARY f: welches wort ist kürzer, ""abholen"" oder ""offensiv""? a:UTT_BOUNDARY abholen? a:UTT_BOUNDARY", abholen? a:
"Von den Wörtern ""graben"" und ""unter"", welches hat weniger Buchstaben? ","['graben', 'unter']",unter,"UTT_BOUNDARY von den wörtern ""graben"" und ""unter"", welches hat weniger buchstaben?UTT_BOUNDARY unter den füßen halten,"," unter den füßen halten,"
"F: Welches Wort hat weniger Buchstaben, ""zu"" oder ""der""? A:","['zu', 'der']",zu,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""zu"" oder ""der""? a:UTT_BOUNDARY zu hause? a:", zu hause? a:
"F: Welches Wort ist kürzer, ""war"" oder ""um""? A:","['war', 'um']",um,"UTT_BOUNDARY f: welches wort ist kürzer, ""war"" oder ""um""? a:UTT_BOUNDARY um die ecke? a", um die ecke? a
"F: Welches Wort hat weniger Buchstaben, ""gezeigt"" oder ""und""? A:","['gezeigt', 'und']",und,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""gezeigt"" oder ""und""? a:UTT_BOUNDARY und dann hat man das", und dann hat man das
"Von den Wörtern ""Anteil"" und ""daher"", welches hat weniger Buchstaben? ","['Anteil', 'daher']",daher,"UTT_BOUNDARY von den wörtern ""anteil"" und ""daher"", welches hat weniger buchstaben?UTT_BOUNDARY daher, dass die menschen"," daher, dass die menschen"
"Von den Wörtern ""erst"" und ""bedeutet"", welches hat weniger Buchstaben? ","['erst', 'bedeutet']",erst,"UTT_BOUNDARY von den wörtern ""erst"" und ""bedeutet"", welches hat weniger buchstaben?UTT_BOUNDARY erst, wenn wir es"," erst, wenn wir es"
"F: Welches Wort hat weniger Buchstaben, ""nach"" oder ""Anteil""? A:","['nach', 'Anteil']",nach,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""nach"" oder ""anteil""? a:UTT_BOUNDARY nach dem abzählen?", nach dem abzählen?
"F: Welches Wort hat weniger Buchstaben, ""sehen "" oder ""ganz""? A:","['sehen ', 'ganz']",ganz,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""sehen "" oder ""ganz""? a:UTT_BOUNDARY ganz""? a:UTT_BOUNDARY"," ganz""? a:"
"F: Welches Wort hat weniger Buchstaben, ""weg"" oder ""zu""? A:","['weg', 'zu']",zu,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""weg"" oder ""zu""? a:UTT_BOUNDARY zu""? a:UTT_BOUNDARY"," zu""? a:"
"Von den Wörtern ""tadellos"" und ""tüfteln"", welches hat weniger Buchstaben? ","['tadellos', 'tüfteln']",tüfteln,"UTT_BOUNDARY von den wörtern ""tadellos"" und ""tüfteln"", welches hat weniger buchstaben?UTT_BOUNDARY tüfteln, tü"," tüfteln, tü"
"F: Welches Wort ist kürzer, ""war"" oder ""auch""? A:","['war', 'auch']",war,"UTT_BOUNDARY f: welches wort ist kürzer, ""war"" oder ""auch""? a:UTT_BOUNDARY wars"" oder """," wars"" oder """
"Von den Wörtern ""denken"" und ""reden"", welches hat weniger Buchstaben? ","['denken', 'reden']",reden,"UTT_BOUNDARY von den wörtern ""denken"" und ""reden"", welches hat weniger buchstaben?UTT_BOUNDARY redenschreiber? a:", redenschreiber? a:
"Von den Wörtern ""viel"" und ""irgendwo"", welches hat weniger Buchstaben? ","['viel', 'irgendwo']",viel,"UTT_BOUNDARY von den wörtern ""viel"" und ""irgendwo"", welches hat weniger buchstaben?UTT_BOUNDARY viel mehr, ""be"," viel mehr, ""be"
"F: Welches Wort ist kürzer, ""ist"" oder ""kann""? A:","['ist', 'kann']",ist,"UTT_BOUNDARY f: welches wort ist kürzer, ""ist"" oder ""kann""? a:UTT_BOUNDARY ist das, was ich"," ist das, was ich"
"F: Welches Wort hat weniger Buchstaben, ""erst"" oder ""Anteil""? A:","['erst', 'Anteil']",erst,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""erst"" oder ""anteil""? a:UTT_BOUNDARY erst recht"" oder """," erst recht"" oder """
"F: Welches Wort ist kürzer, ""ich"" oder ""noch""? A:","['ich', 'noch']",ich,"UTT_BOUNDARY f: welches wort ist kürzer, ""ich"" oder ""noch""? a:UTT_BOUNDARY ich"" oder ""um"," ich"" oder ""um"
"F: Welches Wort ist kürzer, ""sie"" oder ""ab""? A:","['sie', 'ab']",ab,"UTT_BOUNDARY f: welches wort ist kürzer, ""sie"" oder ""ab""? a:UTT_BOUNDARY ab"" oder ""kann"," ab"" oder ""kann"
