Input,Options,Expected,Output (raw),Predicted
"Q: Which word is longer, ""point"" or ""jacket""? A:","['point', 'jacket']",jacket,"UTT_BOUNDARY q: which word is longer, ""point"" or ""jacket""? a:UTT_BOUNDARY jacket or jacket""? a"," jacket or jacket""? a"
"Q: Which word is longer, ""tour"" or ""roast""? A:","['tour', 'roast']",roast,"UTT_BOUNDARY q: which word is longer, ""tour"" or ""roast""? a:UTT_BOUNDARY roasted cheese""? a"," roasted cheese""? a"
"Q: Which word is longer, ""careful"" or ""worst""? A:","['careful', 'worst']",careful,"UTT_BOUNDARY q: which word is longer, ""careful"" or ""worst""? a:UTT_BOUNDARY careful""? a:UTT_BOUNDARY"," careful""? a:"
"Q: Which word has more letters, ""friendly"" or ""policeman""? A:","['friendly', 'policeman']",policeman,"UTT_BOUNDARY q: which word has more letters, ""friendly"" or ""policeman""? a:UTT_BOUNDARY policeman""? a:UTT_BOUNDARY"," policeman""? a:"
"Q: Of the words ""wonderful"" and ""diploma"" which one has more letters? A:","['wonderful', 'diploma']",wonderful,"UTT_BOUNDARY q: of the words ""wonderful"" and ""diploma"" which one has more letters? a:UTT_BOUNDARY wonderful bookcase of the", wonderful bookcase of the
"Q: Which word is longer, ""dinosaur"" or ""cloudy""? A:","['dinosaur', 'cloudy']",dinosaur,"UTT_BOUNDARY q: which word is longer, ""dinosaur"" or ""cloudy""? a:UTT_BOUNDARY dinosaur""? a:UTT_BOUNDARY"," dinosaur""? a:"
"Q: Which word is longer, ""enough"" or ""various""? A:","['enough', 'various']",various,"UTT_BOUNDARY q: which word is longer, ""enough"" or ""various""? a:UTT_BOUNDARY enough"" which one has"," enough"" which one has"
"Q: Of the words ""special"" and ""favorite"" which one has more letters? A:","['special', 'favorite']",favorite,"UTT_BOUNDARY q: of the words ""special"" and ""favorite"" which one has more letters? a:UTT_BOUNDARY favorite movie? a:", favorite movie? a:
"Q: Which word has more letters, ""dirty"" or ""buy""? A:","['dirty', 'buy']",dirty,"UTT_BOUNDARY q: which word has more letters, ""dirty"" or ""buy""? a:UTT_BOUNDARY dirty dirtypants""? a"," dirty dirtypants""? a"
"Q: Of the words ""blond"" and ""shower"" which one has more letters? A:","['blond', 'shower']",shower,"UTT_BOUNDARY q: of the words ""blond"" and ""shower"" which one has more letters? a:UTT_BOUNDARY shower of thunder"", """," shower of thunder"", """
"Q: Of the words ""mosque"" and ""also"" which one has more letters? A:","['mosque', 'also']",mosque,"UTT_BOUNDARY q: of the words ""mosque"" and ""also"" which one has more letters? a:UTT_BOUNDARY mosqueal words """," mosqueal words """
"Q: Which word has more letters, ""minute"" or ""favorite""? A:","['minute', 'favorite']",favorite,"UTT_BOUNDARY q: which word has more letters, ""minute"" or ""favorite""? a:UTT_BOUNDARY favorite movie in the sentence", favorite movie in the sentence
"Q: Which word has more letters, ""boyfriend"" or ""holiday""? A:","['boyfriend', 'holiday']",boyfriend,"UTT_BOUNDARY q: which word has more letters, ""boyfriend"" or ""holiday""? a:UTT_BOUNDARY boyfriend""? a:UTT_BOUNDARY"," boyfriend""? a:"
"Q: Which word is longer, ""grape"" or ""uniform""? A:","['grape', 'uniform']",uniform,"UTT_BOUNDARY q: which word is longer, ""grape"" or ""uniform""? a:UTT_BOUNDARY uniform""? a:UTT_BOUNDARY"," uniform""? a:"
"Q: Of the words ""sick"" and ""closed"" which one has more letters? A:","['sick', 'closed']",closed,"UTT_BOUNDARY q: of the words ""sick"" and ""closed"" which one has more letters? a:UTT_BOUNDARY closed door than a door", closed door than a door
"Q: Which word has more letters, ""country"" or ""sandwich""? A:","['country', 'sandwich']",sandwich,"UTT_BOUNDARY q: which word has more letters, ""country"" or ""sandwich""? a:UTT_BOUNDARY sandwich""? a:UTT_BOUNDARY"," sandwich""? a:"
"Q: Which word is longer, ""fried"" or ""himself""? A:","['fried', 'himself']",himself,"UTT_BOUNDARY q: which word is longer, ""fried"" or ""himself""? a:UTT_BOUNDARY himself""? a:UTT_BOUNDARY"," himself""? a:"
"Q: Which word has more letters, ""stadium"" or ""guitar""? A:","['stadium', 'guitar']",stadium,"UTT_BOUNDARY q: which word has more letters, ""stadium"" or ""guitar""? a:UTT_BOUNDARY stadium in orkil", stadium in orkil
"Q: Of the words ""easy"" and ""strong"" which one has more letters? A:","['easy', 'strong']",strong,"UTT_BOUNDARY q: of the words ""easy"" and ""strong"" which one has more letters? a:UTT_BOUNDARY strong windsmate""? a"," strong windsmate""? a"
"Q: Of the words ""grape"" and ""bother"" which one has more letters? A:","['grape', 'bother']",bother,"UTT_BOUNDARY q: of the words ""grape"" and ""bother"" which one has more letters? a:UTT_BOUNDARY bother""? a:UTT_BOUNDARY"," bother""? a:"
