Input,Options,Expected,Predicted
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""olive"" oder ""niveau""? A:","['olive', 'niveau']",niveau,niveau
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""joghurt"" oder ""korn""? A:","['joghurt', 'korn']",joghurt,joghurt
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""original"" oder ""nadel""? A:","['original', 'nadel']",nadel,original
"F: In alphabetischer Reihenfolge, welches der Woerter ""buehne"" und ""chor"" kommt zuerst? A:","['buehne', 'chor']",buehne,buehne
"Welches von den Woertern ""umstand"" und ""topf"", kommt alphabetisch zuerst? ","['umstand', 'topf']",topf,topf
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""index"" oder ""heizung""? A:","['index', 'heizung']",heizung,heizung
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""keks"" oder ""job""? A:","['keks', 'job']",job,job
"Welches von den Woertern ""olive"" und ""pfirsich"", kommt alphabetisch zuerst? ","['olive', 'pfirsich']",olive,olive
"F: In alphabetischer Reihenfolge, welches der Woerter ""ecke"" und ""dezember"" kommt zuerst? A:","['ecke', 'dezember']",dezember,ecke
"Welches von den Woertern ""unterlage"" und ""tisch"", kommt alphabetisch zuerst? ","['unterlage', 'tisch']",tisch,tisch
"Welches von den Woertern ""rolle"" und ""schaufel"", kommt alphabetisch zuerst? ","['rolle', 'schaufel']",rolle,rolle
"F: In alphabetischer Reihenfolge, welches der Woerter ""casting"" und ""brille"" kommt zuerst? A:","['casting', 'brille']",brille,brille
"F: In alphabetischer Reihenfolge, welches der Woerter ""gaensehaut"" und ""ferse"" kommt zuerst? A:","['gaensehaut', 'ferse']",ferse,ferse
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""nagel"" oder ""opfer""? A:","['nagel', 'opfer']",nagel,nagel
"Welches von den Woertern ""vulkan"" und ""werkstatt"", kommt alphabetisch zuerst? ","['vulkan', 'werkstatt']",vulkan,werkstatt
"F: In alphabetischer Reihenfolge, welches der Woerter ""institut"" und ""hemd"" kommt zuerst? A:","['institut', 'hemd']",hemd,hemd
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""ideal"" oder ""hobby""? A:","['ideal', 'hobby']",hobby,ideal
"F: In alphabetischer Reihenfolge, welches der Woerter ""duese"" und ""erdbeere"" kommt zuerst? A:","['duese', 'erdbeere']",duese,erdbeere
"Welches von den Woertern ""witz"" und ""vase"", kommt alphabetisch zuerst? ","['witz', 'vase']",vase,vase
"Welches von den Woertern ""tiger"" und ""unterschrift"", kommt alphabetisch zuerst? ","['tiger', 'unterschrift']",tiger,unterschrift
"F: In alphabetischer Reihenfolge, welches der Woerter ""birne"" und ""coupon"" kommt zuerst? A:","['birne', 'coupon']",birne,birne
"F: In alphabetischer Reihenfolge, welches der Woerter ""eile"" und ""dorf"" kommt zuerst? A:","['eile', 'dorf']",dorf,dorf
"F: In alphabetischer Reihenfolge, welches der Woerter ""hose"" und ""institut"" kommt zuerst? A:","['hose', 'institut']",hose,hose
"Welches von den Woertern ""orkan"" und ""pfanne"", kommt alphabetisch zuerst? ","['orkan', 'pfanne']",orkan,orkan
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""kamm"" oder ""jade""? A:","['kamm', 'jade']",jade,jade
"Welches von den Woertern ""veranda"" und ""wolke"", kommt alphabetisch zuerst? ","['veranda', 'wolke']",veranda,veranda
"Welches von den Woertern ""uhr"" und ""tuer"", kommt alphabetisch zuerst? ","['uhr', 'tuer']",tuer,tuer
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""jury"" oder ""korn""? A:","['jury', 'korn']",jury,jury
"F: In alphabetischer Reihenfolge, welches der Woerter ""element"" und ""dorf"" kommt zuerst? A:","['element', 'dorf']",dorf,element
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""konzert"" oder ""jasmin""? A:","['konzert', 'jasmin']",jasmin,jasmin
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""ikarus"" oder ""helm""? A:","['ikarus', 'helm']",helm,helm
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""liter"" oder ""muenze""? A:","['liter', 'muenze']",liter,liter
"F: In alphabetischer Reihenfolge, welches der Woerter ""gabel"" und ""funk"" kommt zuerst? A:","['gabel', 'funk']",funk,gabel
"Welches von den Woertern ""volk"" und ""waechter"", kommt alphabetisch zuerst? ","['volk', 'waechter']",volk,volk
"F: In alphabetischer Reihenfolge, welches der Woerter ""dorf"" und ""eingang"" kommt zuerst? A:","['dorf', 'eingang']",dorf,dorf
"F: In alphabetischer Reihenfolge, welches der Woerter ""fabrik"" und ""gans"" kommt zuerst? A:","['fabrik', 'gans']",fabrik,fabrik
"Welches von den Woertern ""pinsel"" und ""orchidee"", kommt alphabetisch zuerst? ","['pinsel', 'orchidee']",orchidee,orchidee
"F: In alphabetischer Reihenfolge, welches der Woerter ""ernte"" und ""decke"" kommt zuerst? A:","['ernte', 'decke']",decke,decke
"F: In alphabetischer Reihenfolge, welches der Woerter ""dorf"" und ""ernte"" kommt zuerst? A:","['dorf', 'ernte']",dorf,dorf
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""kaffee"" oder ""januar""? A:","['kaffee', 'januar']",januar,januar
"F: In alphabetischer Reihenfolge, welches der Woerter ""computer"" und ""bild"" kommt zuerst? A:","['computer', 'bild']",bild,bild
