Input,Expected,Predicted
"Q: Which is a rhyme of the word ""baby"", ""maybe"" or ""war""? A:",maybe,"maybe""? a:"
"Q: Which is a rhyme of the word ""bay"", ""advanced"" or ""away""? A:",away,away?
"Q: Which is a rhyme of the word ""not"", ""spot"" or ""individual""? A:",spot,"spot, ""individual""? a:"
"Q: Which word rhymes with the word ""amusing"", ""confusing"" or ""frog""? A:",confusing,frog?
"Q: Of the words ""guitar"" and ""kitchen"", which one rhymes with ""bar""? A:",guitar,guitar?
"Q: Which is a rhyme of the word ""pray"", ""stay"" or ""cold""? A:",stay,"stay"" or ""stay""? a:"
"Q: Which is a rhyme of the word ""fur"", ""per"" or ""server""? A:",per,server?
"Q: Of the words ""sit"" and ""lighter"", which one rhymes with ""writer""? A:",lighter,"lighter, ""lighter""? a:"
"Q: Which word rhymes with the word ""plastic"", ""guest"" or ""fantastic""? A:",fantastic,guest?
"Q: Of the words ""guess"" and ""grass"", which one rhymes with ""press""? A:",guess,grass?
"Q: Of the words ""mouse"" and ""fight"", which one rhymes with ""house""? A:",mouse,"mouse"" and ""fight""? a:"
"Q: Which word rhymes with the word ""southwest"", ""breast"" or ""cola""? A:",breast,"breast"" or ""cola""? a:"
"Q: Which word rhymes with the word ""escape"", ""grape"" or ""quantity""? A:",grape,"grapes"", ""grapes"", ""grape"
"Q: Which is a rhyme of the word ""beat"", ""wide"" or ""heat""? A:",heat,"wide, ""wide""? a:"
"Q: Of the words ""sum"" and ""healthy"", which one rhymes with ""come""? A:",sum,"sum, ""sum""? a:"
"Q: Which word rhymes with the word ""reason"", ""season"" or ""fail""? A:",season,"season, yeah."
"Q: Which is a rhyme of the word ""rarely"", ""smoking"" or ""fairly""? A:",fairly,"smoking, ""smoking""? a:"
"Q: Which word rhymes with the word ""shorts"", ""sports"" or ""atmosphere""? A:",sports,sports word rhymes with t
"Q: Of the words ""salary"" and ""cut"", which one rhymes with ""gallery""? A:",salary,salary?
"Q: Of the words ""guard"" and ""inexpensive"", which one rhymes with ""card""? A:",guard,"inexpensive, ""inexpensive"
"Q: Which word rhymes with the word ""fork"", ""pork"" or ""ordinary""? A:",pork,"pork, ""pork""? a:"
"Q: Which word rhymes with the word ""table"", ""altogether"" or ""label""? A:",label,"label, ""altogether""? a:"
"Q: Which word rhymes with the word ""afternoon"", ""cartoon"" or ""ages""? A:",cartoon,cartoon? a:
"Q: Of the words ""souvenir"" and ""rescue"", which one rhymes with ""year""? A:",souvenir,rescue?
"Q: Which is a rhyme of the word ""pretty"", ""city"" or ""curtain""? A:",city,"city"", ""city"", ""city"" or "
"Q: Of the words ""identification"" and ""star"", which one rhymes with ""application""? A:",identification,"star"", which one rhymes w"
"Q: Of the words ""biography"" and ""trust"", which one rhymes with ""photography""? A:",biography,trust?
"Q: Which is a rhyme of the word ""involve"", ""solve"" or ""fever""? A:",solve,"solve"", ""solve"", ""solve"" "
"Q: Which word rhymes with the word ""city"", ""beginner"" or ""pretty""? A:",pretty,"pretty, pretty, pretty"", "
"Q: Which is a rhyme of the word ""bored"", ""screen"" or ""board""? A:",board,"board, ""board""? a:"
"Q: Which is a rhyme of the word ""sort"", ""arrest"" or ""support""? A:",support,support?
"Q: Which is a rhyme of the word ""degree"", ""puppy"" or ""pea""? A:",pea,pea?
"Q: Which word rhymes with the word ""fee"", ""left"" or ""she""? A:",she,"she, ""left""? a:"
"Q: Of the words ""cliff"" and ""inform"", which one rhymes with ""perform""? A:",inform,"cliff, ""inform""? a:"
"Q: Which word rhymes with the word ""registration"", ""warning"" or ""transportation""? A:",transportation,"warning, ""warning""? a:"
"Q: Which word rhymes with the word ""stop"", ""shop"" or ""mail""? A:",shop,"shop, ""stop"", ""stop"" or """
"Q: Of the words ""cheese"" and ""slim"", which one rhymes with ""please""? A:",cheese,"slim ""slim""? a:"
"Q: Which word rhymes with the word ""scared"", ""here"" or ""prepared""? A:",prepared,prepared.
"Q: Which word rhymes with the word ""never"", ""clever"" or ""site""? A:",clever,"site, ""clever""? a:"
"Q: Which is a rhyme of the word ""never"", ""clever"" or ""site""? A:",clever,site.
"Q: Which word rhymes with the word ""chain"", ""explain"" or ""folder""? A:",explain,folder?
"Q: Which word rhymes with the word ""whole"", ""goal"" or ""pen""? A:",goal,"pen, ""pen""? a:"
"Q: Which word rhymes with the word ""ache"", ""snake"" or ""rainy""? A:",snake,snake
"Q: Which word rhymes with the word ""skiing"", ""sightseeing"" or ""youth""? A:",sightseeing,"sightseeing"", ""sightseein"
"Q: Which is a rhyme of the word ""far"", ""car"" or ""application""? A:",car,car
"Q: Which is a rhyme of the word ""pet"", ""sauce"" or ""yet""? A:",yet,"sauce, ""sauce""? a:"
"Q: Of the words ""run"" and ""nowadays"", which one rhymes with ""son""? A:",run,"run"" and ""son""? a:"
"Q: Which word rhymes with the word ""stripe"", ""type"" or ""sensible""? A:",type,"sensible"", ""sensible"", ""s"
"Q: Of the words ""handwriting"" and ""song"", which one rhymes with ""wrong""? A:",song,"song, ""song""? a:"
"Q: Which is a rhyme of the word ""routine"", ""screen"" or ""irregular""? A:",screen,screen?
"Q: Which is a rhyme of the word ""sandy"", ""successful"" or ""candy""? A:",candy,sandy?
"Q: Of the words ""blood"" and ""shiny"", which one rhymes with ""flood""? A:",blood,"shiny"" and ""shiny""? a:"
"Q: Which word rhymes with the word ""rule"", ""stadium"" or ""cool""? A:",cool,"stadium, ""cool""? a:"
"Q: Of the words ""tired"" and ""zoo"", which one rhymes with ""view""? A:",zoo,zoo? a:
"Q: Which word rhymes with the word ""worse"", ""unfriendly"" or ""purse""? A:",purse,purse?
"Q: Of the words ""honey"" and ""bean"", which one rhymes with ""routine""? A:",bean,"bean, ""bean""? a:"
"Q: Which is a rhyme of the word ""wear"", ""annual"" or ""declare""? A:",declare,declared wear? a:
"Q: Which word rhymes with the word ""main"", ""plain"" or ""list""? A:",plain,"plain, ""plain""? a:"
"Q: Of the words ""sky"" and ""signature"", which one rhymes with ""goodbye""? A:",sky,"signature, ""signature""? a"
"Q: Which is a rhyme of the word ""together"", ""leather"" or ""neighbor""? A:",leather,leather? a:
"Q: Which word rhymes with the word ""compete"", ""silk"" or ""complete""? A:",complete,"silk, ""complete""? a:"
"Q: Which word rhymes with the word ""space"", ""case"" or ""winner""? A:",case,winner?
"Q: Which word rhymes with the word ""spy"", ""tie"" or ""overnight""? A:",tie,"tie"", ""tie"", ""tie"" or ""ti"
"Q: Which word rhymes with the word ""believe"", ""achieve"" or ""ski""? A:",achieve,"ski, ""achieve""? a:"
"Q: Which word rhymes with the word ""steak"", ""awake"" or ""area""? A:",awake,awake?
"Q: Which is a rhyme of the word ""free"", ""knee"" or ""stuff""? A:",knee,stuff?
