Input,Options,Expected,Predicted
"F: Welches Wort steht am Ende des Satzes ""Sie schreibt regelmaessig Briefe an ihre Grosseltern auf dem Land.""? A:","['Sie', 'schreibt', 'regelmaessig', 'Briefe', 'an', 'ihre', 'Grosseltern', 'auf', 'dem', 'Land']",Land,land auf dem landen auf a
"F: Welches Wort steht am Ende des Satzes ""Sie traegt eine rote Jacke im Winter und warme Stiefel dazu.""? A:","['Sie', 'traegt', 'eine', 'rote', 'Jacke', 'im', 'Winter', 'und', 'warme', 'Stiefel', 'dazu']",dazu,dazu?
"F: Welches Wort steht am Ende des Satzes ""Wir machen eine Wanderung durch den Wald bei schoenem Wetter.""? A:","['Wir', 'machen', 'eine', 'Wanderung', 'durch', 'den', 'Wald', 'bei', 'schoenem', 'Wetter']",Wetter,etter.
"F: Was ist das letzte Wort des Satzes ""Der Hund bellt laut, wenn jemand an der Tuer klingelt.""? A:","['Der', 'Hund', 'bellt', 'laut', 'wenn', 'jemand', 'an', 'der', 'Tuer', 'klingelt']",klingelt,klingelt?
"Schreibe das letzte Wort des Satzes ""Der Hund kuschelt sich zufrieden in seine warme Decke."": ","['Der', 'Hund', 'kuschelt', 'sich', 'zufrieden', 'in', 'seine', 'warme', 'Decke']",Decke,decke warme decke warme d
"F: Welches Wort steht am Ende des Satzes ""Wir besuchen das Schloss im nahegelegenen Ort am Sonntag.""? A:","['Wir', 'besuchen', 'das', 'Schloss', 'im', 'nahegelegenen', 'Ort', 'am', 'Sonntag']",Sonntag,sonntag?
"F: Welches Wort steht am Ende des Satzes ""Ich hoere Musik, waehrend ich meine Hausaufgaben mache zu Hause.""? A:","['Ich', 'hoere', 'Musik', 'waehrend', 'ich', 'meine', 'Hausaufgaben', 'mache', 'zu', 'Hause']",Hause,hause zu hause zu heu hen
"Schreibe das letzte Wort des Satzes ""Er faehrt jeden Morgen mit dem Fahrrad zur Arbeit in die Stadt."": ","['Er', 'faehrt', 'jeden', 'Morgen', 'mit', 'dem', 'Fahrrad', 'zur', 'Arbeit', 'in', 'die', 'Stadt']",Stadt,stadt zur arbeit zur arbe
"F: Was ist das letzte Wort des Satzes ""Ich koche heute eine Suppe mit frischem Gemuese.""? A:","['Ich', 'koche', 'heute', 'eine', 'Suppe', 'mit', 'frischem', 'Gemuese']",Gemuese,gemuese?
"Schreibe das letzte Wort des Satzes ""Die Katze schlaeft zufrieden auf dem gemuetlichen Sofa im Wohnzimmer."": ","['Die', 'Katze', 'schlaeft', 'zufrieden', 'auf', 'dem', 'gemuetlichen', 'Sofa', 'im', 'Wohnzimmer']",Wohnzimmer,ohnzimmer zufrieden zim z
"Schreibe das letzte Wort des Satzes ""Das Kind malt ein buntes Bild mit Wasserfarben."": ","['Das', 'Kind', 'malt', 'ein', 'buntes', 'Bild', 'mit', 'Wasserfarben']",Wasserfarben,mit asserfarben ort des s
"F: Was ist das letzte Wort des Satzes ""Der Film war spannend und hat mir gut gefallen.""? A:","['Der', 'Film', 'war', 'spannend', 'und', 'hat', 'mir', 'gut', 'gefallen']",gefallen,gefallen?
"F: Was ist das letzte Wort des Satzes ""Der Hund liebt es, im Park mit anderen Hunden zu spielen.""? A:","['Der', 'Hund', 'liebt', 'es', 'im', 'Park', 'mit', 'anderen', 'Hunden', 'zu', 'spielen']",spielen,spielen?
"F: Welches Wort steht am Ende des Satzes ""Sie liest gern Sachbuecher ueber Geschichte und Naturwissenschaften.""? A:","['Sie', 'liest', 'gern', 'Sachbuecher', 'ueber', 'Geschichte', 'und', 'Naturwissenschaften']",Naturwissenschaften,naturwissenschaftenafunag
"Schreibe das letzte Wort des Satzes ""Der Lehrer erklaert geduldig neue Vokabeln im Deutschunterricht der Klasse."": ","['Der', 'Lehrer', 'erklaert', 'geduldig', 'neue', 'Vokabeln', 'im', 'Deutschunterricht', 'der', 'Klasse']",Klasse,klasse vokabeln zenenenen
"F: Was ist das letzte Wort des Satzes ""Ich lese oft Buecher ueber Geschichte und Kultur.""? A:","['Ich', 'lese', 'oft', 'Buecher', 'ueber', 'Geschichte', 'und', 'Kultur']",Kultur,kultur?
"F: Welches Wort steht am Ende des Satzes ""Bitte oeffne das Fenster, es ist warm und stickig im Zimmer.""? A:","['Bitte', 'oeffne', 'das', 'Fenster', 'es', 'ist', 'warm', 'und', 'stickig', 'im', 'Zimmer']",Zimmer,zimmer?
"F: Was ist das letzte Wort des Satzes ""Ich esse morgens oft frisches Obst und Joghurt zum Fruehstueck.""? A:","['Ich', 'esse', 'morgens', 'oft', 'frisches', 'Obst', 'und', 'Joghurt', 'zum', 'Fruehstueck']",Fruehstueck,fruehstueck?
"Schreibe das letzte Wort des Satzes ""Sie kocht heute ein neues Rezept mit viel Gemuese und Kraeutern."": ","['Sie', 'kocht', 'heute', 'ein', 'neues', 'Rezept', 'mit', 'viel', 'Gemuese', 'und', 'Kraeutern']",Kraeutern,kraeutern und kraeutern u
"Schreibe das letzte Wort des Satzes ""Die Kinder spielen draussen im Park mit Freunden und Ball."": ","['Die', 'Kinder', 'spielen', 'draussen', 'im', 'Park', 'mit', 'Freunden', 'und', 'Ball']",Ball,ball?
"F: Was ist das letzte Wort des Satzes ""Sie schreibt eine E-Mail an ihre beste Freundin.""? A:","['Sie', 'schreibt', 'eine', 'E-Mail', 'an', 'ihre', 'beste', 'Freundin']",Freundin,freundin?
"F: Was ist das letzte Wort des Satzes ""Ich mag es, im Herbst durch bunte Blaetter zu laufen.""? A:","['Ich', 'mag', 'es', 'im', 'Herbst', 'durch', 'bunte', 'Blaetter', 'zu', 'laufen']",laufen,laufen zu laufen zu laufe
"F: Was ist das letzte Wort des Satzes ""Die Blumen bluehen bunt und duften angenehm im Fruehling.""? A:","['Die', 'Blumen', 'bluehen', 'bunt', 'und', 'duften', 'angenehm', 'im', 'Fruehling']",Fruehling,fruehling?
"Schreibe das letzte Wort des Satzes ""Wir machen eine Fahrradtour entlang des Flusses im Sommer."": ","['Wir', 'machen', 'eine', 'Fahrradtour', 'entlang', 'des', 'Flusses', 'im', 'Sommer']",Sommer,"sommer des satzes "" ir fl"
"F: Welches Wort steht am Ende des Satzes ""Sie trinkt abends gerne einen warmen Kraeutertee zum Entspannen.""? A:","['Sie', 'trinkt', 'abends', 'gerne', 'einen', 'warmen', 'Kraeutertee', 'zum', 'Entspannen']",Entspannen,entspannen?
"Schreibe das letzte Wort des Satzes ""Ich hoere beim Joggen motivierende Musik, die mich antreibt."": ","['Ich', 'hoere', 'beim', 'Joggen', 'motivierende', 'Musik', 'die', 'mich', 'antreibt']",antreibt,antreibt motivierende mus
"Schreibe das letzte Wort des Satzes ""Sie tanzt voller Freude zu ihrer Lieblingsmusik am Wochenende."": ","['Sie', 'tanzt', 'voller', 'Freude', 'zu', 'ihrer', 'Lieblingsmusik', 'am', 'Wochenende']",Wochenende,ochenende zu ihrer liebli
"F: Welches Wort steht am Ende des Satzes ""Die Kinder spielen froehlich im Sandkasten im Garten zusammen.""? A:","['Die', 'Kinder', 'spielen', 'froehlich', 'im', 'Sandkasten', 'im', 'Garten', 'zusammen']",zusammen,zusammen?
"F: Was ist das letzte Wort des Satzes ""Die Katze schlaeft gerne auf dem warmen Sofa.""? A:","['Die', 'Katze', 'schlaeft', 'gerne', 'auf', 'dem', 'warmen', 'Sofa']",Sofa,sofa?
"F: Welches Wort steht am Ende des Satzes ""Wir besuchen das Schloss im nahegelegenen Ort am Sonntag oft.""? A:","['Wir', 'besuchen', 'das', 'Schloss', 'im', 'nahegelegenen', 'Ort', 'am', 'Sonntag', 'oft']",oft,sonntag oft.
"F: Welches Wort steht am Ende des Satzes ""Sie kocht gern italienische Gerichte fuer ihre Familie am Wochenende.""? A:","['Sie', 'kocht', 'gern', 'italienische', 'Gerichte', 'fuer', 'ihre', 'Familie', 'am', 'Wochenende']",Wochenende, ochenende famis fue fami
"F: Welches Wort steht am Ende des Satzes ""Sie tanzt begeistert bei der Tanzstunde am Freitagabend in der Halle.""? A:","['Sie', 'tanzt', 'begeistert', 'bei', 'der', 'Tanzstunde', 'am', 'Freitagabend', 'in', 'der', 'Halle']",Halle,halle?
"F: Was ist das letzte Wort des Satzes ""Die Katze schlaeft gerne auf dem warmen Sofa zu Hause.""? A:","['Die', 'Katze', 'schlaeft', 'gerne', 'auf', 'dem', 'warmen', 'Sofa', 'zu', 'Hause']",Hause,hause?
"Schreibe das letzte Wort des Satzes ""Sie schreibt liebevolle Briefe an ihre Verwandten im Ausland."": ","['Sie', 'schreibt', 'liebevolle', 'Briefe', 'an', 'ihre', 'Verwandten', 'im', 'Ausland']",Ausland,auslandten im auslandten 
"F: Was ist das letzte Wort des Satzes ""Wir machen einen Ausflug in den Wald am Wochenende.""? A:","['Wir', 'machen', 'einen', 'Ausflug', 'in', 'den', 'Wald', 'am', 'Wochenende']",Wochenende, ochenende in den ald aus
"F: Was ist das letzte Wort des Satzes ""Sie tanzt jeden Freitag im Tanzkurs mit grosser Freude.""? A:","['Sie', 'tanzt', 'jeden', 'Freitag', 'im', 'Tanzkurs', 'mit', 'grosser', 'Freude']",Freude,freude freude mit grosser
"Schreibe das letzte Wort des Satzes ""Ich lese abends gern spannende Krimis vor dem Einschlafen."": ","['Ich', 'lese', 'abends', 'gern', 'spannende', 'Krimis', 'vor', 'dem', 'Einschlafen']",Einschlafen,einschlafen einschlafen e
