Sen,Sen_ppl,Wrong_Sen,Wrong_Sen_ppl,Score
"Yes, lovely creature, is n't she?",947.879638671875,"Yes, lovely creature, am n't she?",1323.4627685546875,1
There is no easy answer to the painful issue of abortion.,130.97560119628906,There am no easy answer to the painful issue of abortion.,3175.244384765625,1
"Right up to a week after my birth he continued to say, 'How is he?'",1203.340087890625,"Right up to a week after my birth he continued to say, 'How am he?'",2449.42333984375,1
This is whale meat that I photographed in a grocery store in Tokyo - or is it?,413.94061279296875,This is whale meat that I photographed in a grocery store in Tokyo - or am it?,757.5512084960938,1
Among them is the former cloister from the abbey church of St. Peter and Paul.,128.3916473388672,Among them am the former cloister from the abbey church of St. Peter and Paul.,496.7156982421875,1
how much is a flight from washington to montreal,972.3515014648438,how much 'm a flight from washington to montreal,18027.986328125,1
Among them is the former cloister from the abbey church of St. Peter and Paul.,128.3916473388672,Among them 'm the former cloister from the abbey church of St. Peter and Paul.,2736.49853515625,1
"Right up to a week after my birth he continued to say, 'How is he?'",1203.340087890625,"Right up to a week after my birth he continued to say, 'How 'm he?'",1858.0311279296875,1
There is no easy answer to the painful issue of abortion.,130.97560119628906,There 'm no easy answer to the painful issue of abortion.,6135.638671875,1
how much is a flight from washington to boston,627.2197875976562,how much 'm a flight from washington to boston,9518.935546875,1
But here is a mushroom that's past its prime.,1305.35791015625,But here am a mushroom that's past its prime.,3102.728515625,1
"Yes, lovely creature, is n't she?",947.879638671875,"Yes, lovely creature, 'm n't she?",2005.5487060546875,1
how much is a flight from washington to montreal,972.3515014648438,how much am a flight from washington to montreal,2131.526611328125,1
"For one thing, there is increasing concern, and that is undoubtedly true, on the part of experts too.",224.8573760986328,"For one thing, there am increasing concern, and that is undoubtedly true, on the part of experts too.",384.232421875,1
"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so is their country – the sea.",129.34805297851562,"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so am their country – the sea.",205.1834716796875,1
how much is a flight from washington to boston,627.2197875976562,how much am a flight from washington to boston,1288.896728515625,1
"Tindi Kente is a wonderful dancer, wonderful, is n't she... just like a snake brought out by music, and sometimes he 'll try with her.",1003.7943115234375,"Tindi Kente is a wonderful dancer, wonderful, 'm n't she... just like a snake brought out by music, and sometimes he 'll try with her.",1320.8829345703125,1
"For one thing, there is increasing concern, and that is undoubtedly true, on the part of experts too.",224.8573760986328,"For one thing, there 'm increasing concern, and that is undoubtedly true, on the part of experts too.",606.2146606445312,1
