Input,Options,Expected,Output (raw),Predicted
"Q: Which letter does the word ""arrive"" start with? A:","['a', 'r', 'r', 'i', 'v', 'e']",a,"UTT_BOUNDARY q: which letter does the word ""arrive"" start with? a:UTT_BOUNDARY aviate ""s"," aviate ""s"
"Q: Which letter does the word ""grandparent"" start with? A:","['g', 'r', 'a', 'n', 'd', 'p', 'a', 'r', 'e', 'n', 't']",g,"UTT_BOUNDARY q: which letter does the word ""grandparent"" start with? a:UTT_BOUNDARY gomez gome", gomez gome
"Q: Which letter does the word ""small"" start with? A:","['s', 'm', 'a', 'l', 'l']",s,"UTT_BOUNDARY q: which letter does the word ""small"" start with? a:UTT_BOUNDARY s. s. s", s. s. s
"Q: What is the first letter of the word ""soft""? A:","['s', 'o', 'f', 't']",s,"UTT_BOUNDARY q: what is the first letter of the word ""soft""? a:UTT_BOUNDARY chinge tsk", chinge tsk
"Write the first letter of the word ""coffee"": ","['c', 'o', 'f', 'f', 'e', 'e']",c,"UTT_BOUNDARY write the first letter of the word ""coffee"":UTT_BOUNDARY c c c c c", c c c c c
"Q: Which letter does the word ""borrow"" start with? A:","['b', 'o', 'r', 'r', 'o', 'w']",b,"UTT_BOUNDARY q: which letter does the word ""borrow"" start with? a:UTT_BOUNDARY b. j. a", b. j. a
"Q: Which letter does the word ""every"" start with? A:","['e', 'v', 'e', 'r', 'y']",e,"UTT_BOUNDARY q: which letter does the word ""every"" start with? a:UTT_BOUNDARY s. s. s", s. s. s
"Write the first letter of the word ""left"": ","['l', 'e', 'f', 't']",l,"UTT_BOUNDARY write the first letter of the word ""left"":UTT_BOUNDARY s. t. t", s. t. t
"Q: What is the first letter of the word ""downstairs""? A:","['d', 'o', 'w', 'n', 's', 't', 'a', 'i', 'r', 's']",d,"UTT_BOUNDARY q: what is the first letter of the word ""downstairs""? a:UTT_BOUNDARY d. s. s", d. s. s
"Write the first letter of the word ""kite"": ","['k', 'i', 't', 'e']",k,"UTT_BOUNDARY write the first letter of the word ""kite"":UTT_BOUNDARY koo-site", koo-site
"Write the first letter of the word ""chicken"": ","['c', 'h', 'i', 'c', 'k', 'e', 'n']",c,"UTT_BOUNDARY write the first letter of the word ""chicken"":UTT_BOUNDARY b, d, d"," b, d, d"
"Q: What is the first letter of the word ""grass""? A:","['g', 'r', 'a', 's', 's']",g,"UTT_BOUNDARY q: what is the first letter of the word ""grass""? a:UTT_BOUNDARY gambourine""?"," gambourine""?"
"Q: What is the first letter of the word ""it""? A:","['i', 't']",i,"UTT_BOUNDARY q: what is the first letter of the word ""it""? a:UTT_BOUNDARY tsk t t t", tsk t t t
"Q: Which letter does the word ""leather"" start with? A:","['l', 'e', 'a', 't', 'h', 'e', 'r']",l,"UTT_BOUNDARY q: which letter does the word ""leather"" start with? a:UTT_BOUNDARY d p, d,"," d p, d,"
"Write the first letter of the word ""rice"": ","['r', 'i', 'c', 'e']",r,"UTT_BOUNDARY write the first letter of the word ""rice"":UTT_BOUNDARY ghewali"" is"," ghewali"" is"
"Q: What is the first letter of the word ""straight""? A:","['s', 't', 'r', 'a', 'i', 'g', 'h', 't']",s,"UTT_BOUNDARY q: what is the first letter of the word ""straight""? a:UTT_BOUNDARY s.m.a", s.m.a
"Q: Which letter does the word ""have"" start with? A:","['h', 'a', 'v', 'e']",h,"UTT_BOUNDARY q: which letter does the word ""have"" start with? a:UTT_BOUNDARY s. s. s", s. s. s
"Q: What is the first letter of the word ""cafeteria""? A:","['c', 'a', 'f', 'e', 't', 'e', 'r', 'i', 'a']",c,"UTT_BOUNDARY q: what is the first letter of the word ""cafeteria""? a:UTT_BOUNDARY cicero? a", cicero? a
"Write the first letter of the word ""beautiful"": ","['b', 'e', 'a', 'u', 't', 'i', 'f', 'u', 'l']",b,"UTT_BOUNDARY write the first letter of the word ""beautiful"":UTT_BOUNDARY b. d. b", b. d. b
"Write the first letter of the word ""several"": ","['s', 'e', 'v', 'e', 'r', 'a', 'l']",s,"UTT_BOUNDARY write the first letter of the word ""several"":UTT_BOUNDARY s. s. s", s. s. s
"Q: What is the first letter of the word ""diploma""? A:","['d', 'i', 'p', 'l', 'o', 'm', 'a']",d,"UTT_BOUNDARY q: what is the first letter of the word ""diploma""? a:UTT_BOUNDARY a:UTT_BOUNDARY", a:
"Q: What is the first letter of the word ""month""? A:","['m', 'o', 'n', 't', 'h']",m,"UTT_BOUNDARY q: what is the first letter of the word ""month""? a:UTT_BOUNDARY morrow""? a:"," morrow""? a:"
"Q: What is the first letter of the word ""site""? A:","['s', 'i', 't', 'e']",s,"UTT_BOUNDARY q: what is the first letter of the word ""site""? a:UTT_BOUNDARY s.m.a", s.m.a
"Write the first letter of the word ""cooking"": ","['c', 'o', 'o', 'k', 'i', 'n', 'g']",c,"UTT_BOUNDARY write the first letter of the word ""cooking"":UTT_BOUNDARY chinge:UTT_BOUNDARY", chinge:
"Q: Which letter does the word ""cover"" start with? A:","['c', 'o', 'v', 'e', 'r']",c,"UTT_BOUNDARY q: which letter does the word ""cover"" start with? a:UTT_BOUNDARY c. m. t", c. m. t
"Write the first letter of the word ""broken"": ","['b', 'r', 'o', 'k', 'e', 'n']",b,"UTT_BOUNDARY write the first letter of the word ""broken"":UTT_BOUNDARY fumse: the", fumse: the
"Write the first letter of the word ""guy"": ","['g', 'u', 'y']",g,"UTT_BOUNDARY write the first letter of the word ""guy"":UTT_BOUNDARY g. r. t", g. r. t
