Input,Expected,Predicted
"Q: In the sentence ""John was lots more obnoxious than Fred"", what is the last word? A:",Fred,"freddy, was lots more obn"
"Q: In the sentence ""A boy hit the ball"", what is the last word? A:",ball,boy hit the ball? a:
"Q: In the sentence ""I remembered having kissed Mary"", what is the last word? A:",Mary,"mary""? a:"
"Q: What is the last word of the sentence ""I believe strongly that the world is round""? A:",round,roundly?
"Write the last word of the sentence ""John will see you"": ",you,"you will see me"":"
"Q: In the sentence ""They gave the bicycle to me"", what is the last word? A:",me,me?
"Q: In the sentence ""An owl hunts mice"", what is the last word? A:",mice,"mice""? a:"
"Write the last word of the sentence ""Helen wiped the wall"": ",wall,"wiped the wall"":"
"Q: What is the last word of the sentence ""Elizabeth regretted that she had met Wickham""? A:",Wickham,"met ickham""? a:"
"Write the last word of the sentence ""I told the story to Daniel"": ",Daniel,daniel told the story to 
"Write the last word of the sentence ""Sonatas are easy to play on this violin"": ",violin,violin?
"Q: What is the last word of the sentence ""Paula hit the fence""? A:",fence,fence? a:
"Q: What is the last word of the sentence ""The man killed the king with the knife""? A:",knife,killed the knife with the
"Q: In the sentence ""The student knew the answers"", what is the last word? A:",answers,answers? a:
"Write the last word of the sentence ""Celia brushed her hair"": ",hair,hairdressers brushed her 
"Q: What is the last word of the sentence ""I served leek soup to my guests""? A:",guests,guests?
"Q: In the sentence ""Never had Sir Thomas been so offended"", what is the last word? A:",offended,"offended?""? a:"
"Q: What is the last word of the sentence ""I will speak to Hector about this""? A:",this,hector about this? a:
"Write the last word of the sentence ""Rosemary hates New York"": ",York,york?
"Write the last word of the sentence ""He planted the garden with roses last November"": ",November,"garden with roses"":"
"Q: What is the last word of the sentence ""Julie felt he was there""? A:",there,there was a woman there w
"Q: What is the last word of the sentence ""Kim is fond of Lee""? A:",Lee,"kim is fond of lee""? a:"
"Q: What is the last word of the sentence ""I know the person whose mother died""? A:",died,person whose mother died?
"Write the last word of the sentence ""Almost every lawyer could answer that question"": ",question,question?
"Q: In the sentence ""The boat sank"", what is the last word? A:",sank,sank? a:
"Write the last word of the sentence ""Most of the fruit is rotten"": ",rotten,rotten?
"Write the last word of the sentence ""Don swatted the mosquito with the newspaper"": ",newspaper,"newspaper"":"
"Q: In the sentence ""Shannon sent Dan an email"", what is the last word? A:",email,"email?"""
"Q: What is the last word of the sentence ""The defendant denied the accusation""? A:",accusation,accusation? a:
"Q: In the sentence ""I have six more of them"", what is the last word? A:",them,six more of them? a:
"Q: In the sentence ""The dog chased the cat for days"", what is the last word? A:",days,dog chased the cat? a:
"Q: In the sentence ""Fred kicked the ball over the fence"", what is the last word? A:",fence,fred kicked the ball over
"Q: What is the last word of the sentence ""John talked to any politician who is powerful""? A:",powerful,powerful politician? a:
"Write the last word of the sentence ""Jessica loaded boxes under the wagon"": ",wagon,wagon?
