Input,Options,Expected,Output (raw),Predicted
"Q: In the sentence ""John arranged for himself to get the prize"", which word immediately precedes the word ""the""? A:","['John', 'arranged', 'for', 'himself', 'to', 'get', 'the', 'prize']",get,"UTT_BOUNDARY q: in the sentence ""john arranged for himself to get the prize"", which word immediately precedes the word ""the""? a:UTT_BOUNDARY get the prize. the", get the prize. the
"Q: In the sentence ""Sally believes that she is brilliant"", which word immediately precedes the word ""that""? A:","['Sally', 'believes', 'that', 'she', 'is', 'brilliant']",believes,"UTT_BOUNDARY q: in the sentence ""sally believes that she is brilliant"", which word immediately precedes the word ""that""? a:UTT_BOUNDARY believes that she is pregnant", believes that she is pregnant
"Q: In the sentence ""Sue knows the answer"", which word immediately precedes the word ""the""? A:","['Sue', 'knows', 'the', 'answer']",knows,"UTT_BOUNDARY q: in the sentence ""sue knows the answer"", which word immediately precedes the word ""the""? a:UTT_BOUNDARY knowed""? a:"," knowed""? a:"
"Q: In the sentence ""John is eager to find a new home"", which word comes right before the word ""is""? A:","['John', 'is', 'eager', 'to', 'find', 'a', 'new', 'home']",john,"UTT_BOUNDARY q: in the sentence ""john is eager to find a new home"", which word comes right before the word ""is""? a:UTT_BOUNDARY john is eager to find", john is eager to find
"Q: Which word comes right before ""pleased"" in the sentence ""The news pleased the students""? A:","['The', 'news', 'pleased', 'the', 'students']",news,"UTT_BOUNDARY q: which word comes right before ""pleased"" in the sentence ""the news pleased the students""? a:UTT_BOUNDARY news of the students""?"," news of the students""?"
"Q: In the sentence ""Over the fort fluttered a large flag"", which word immediately precedes the word ""a""? A:","['Over', 'the', 'fort', 'fluttered', 'a', 'large', 'flag']",fluttered,"UTT_BOUNDARY q: in the sentence ""over the fort fluttered a large flag"", which word immediately precedes the word ""a""? a:UTT_BOUNDARY fluttered the ship"","," fluttered the ship"","
"Q: In the sentence ""I saw John on Sunday"", which word immediately precedes the word ""John""? A:","['I', 'saw', 'John', 'on', 'Sunday']",saw,"UTT_BOUNDARY q: in the sentence ""i saw john on sunday"", which word immediately precedes the word ""john""? a:UTT_BOUNDARY told mary that he was", told mary that he was
"Q: Which word comes right before ""of"" in the sentence ""A serious accident happened in front of them""? A:","['A', 'serious', 'accident', 'happened', 'in', 'front', 'of', 'them']",front,"UTT_BOUNDARY q: which word comes right before ""of"" in the sentence ""a serious accident happened in front of them""? a:UTT_BOUNDARY frontispiece of the", frontispiece of the
"Q: In the sentence ""Brown equipped Jones with a camera"", which word comes right before the word ""with""? A:","['Brown', 'equipped', 'Jones', 'with', 'a', 'camera']",jones,"UTT_BOUNDARY q: in the sentence ""brown equipped jones with a camera"", which word comes right before the word ""with""? a:UTT_BOUNDARY jones promised me to leave", jones promised me to leave
"Q: Which word comes right before ""to"" in the sentence ""John fed rice to the baby""? A:","['John', 'fed', 'rice', 'to', 'the', 'baby']",rice,"UTT_BOUNDARY q: which word comes right before ""to"" in the sentence ""john fed rice to the baby""? a:UTT_BOUNDARY john is eager to find", john is eager to find
"Q: Which word comes right before ""people"" in the sentence ""It annoys people that dogs bark""? A:","['It', 'annoys', 'people', 'that', 'dogs', 'bark']",annoys,"UTT_BOUNDARY q: which word comes right before ""people"" in the sentence ""it annoys people that dogs bark""? a:UTT_BOUNDARY people think that the word", people think that the word
"Q: In the sentence ""The old and new carts banged together"", which word comes right before the word ""carts""? A:","['The', 'old', 'and', 'new', 'carts', 'banged', 'together']",new,"UTT_BOUNDARY q: in the sentence ""the old and new carts banged together"", which word comes right before the word ""carts""? a:UTT_BOUNDARY new yorker bought some", new yorker bought some
"Q: In the sentence ""People from Tucson think very highly of themselves"", which word comes right before the word ""of""? A:","['People', 'from', 'Tucson', 'think', 'very', 'highly', 'of', 'themselves']",highly,"UTT_BOUNDARY q: in the sentence ""people from tucson think very highly of themselves"", which word comes right before the word ""of""? a:UTT_BOUNDARY think of the word """," think of the word """
"Q: In the sentence ""He continued writing poems"", which word immediately precedes the word ""poems""? A:","['He', 'continued', 'writing', 'poems']",writing,"UTT_BOUNDARY q: in the sentence ""he continued writing poems"", which word immediately precedes the word ""poems""? a:UTT_BOUNDARY writing of the book is", writing of the book is
